ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
42751	0.599698	2.87e-01	-1.0866195	-5.598581	-0.4327916	CEP135	centrosomal protein 135
34813	0.599714	2.87e-01	-1.0865378	-5.598665	-0.5837021	HMGN5	high mobility group nucleosome binding domain 5
13672	0.599714	2.87e-01	-1.0865347	-5.598668	-0.4730204	NFIX	nuclear factor I X
14518	0.599714	2.87e-01	1.0865063	-5.598698	0.4284132	LONRF1	LON peptidase N-terminal domain and ring finger 1
15575	0.59973	2.87e-01	1.0864578	-5.598748	0.4860631	IRX1	iroquois homeobox 1
22520	0.599865	2.87e-01	-1.086277	-5.598934	-0.5181206	ZNF195	zinc finger protein 195
14892	0.59988	2.87e-01	-1.086165	-5.59905	-0.5800379		
12996	0.59988	2.87e-01	-1.0861631	-5.599052	-0.5309317		
30619	0.59988	2.87e-01	-1.0861441	-5.599071	-0.3774789	SP140L	SP140 nuclear body protein like
26114	0.59988	2.87e-01	-1.0860874	-5.59913	-0.454187	TAAR1	trace amine associated receptor 1
4548	0.59988	2.87e-01	-1.0860401	-5.599178	-0.3485628		
23227	0.59988	2.87e-01	-1.0860395	-5.599179	-0.3956936		
21517	0.59988	2.87e-01	1.0860375	-5.599181	0.3605047		
4034	0.599895	2.87e-01	-1.0859885	-5.599232	-0.3020097	RPS3	ribosomal protein S3
4659	0.599905	2.87e-01	-1.0859185	-5.599304	-0.2768558	LINGO1	leucine rich repeat and Ig domain containing 1
34994	0.599905	2.87e-01	1.0859146	-5.599308	0.4466509	ATP8A2	ATPase phospholipid transporting 8A2
27732	0.599909	2.87e-01	1.0858778	-5.599346	0.6214314		
8612	0.599949	2.87e-01	-1.0857508	-5.599477	-0.2782628		
20157	0.599949	2.87e-01	-1.0857359	-5.599492	-0.5184848	NOL6	nucleolar protein 6
32298	0.599949	2.87e-01	-1.0856913	-5.599538	-0.4942544		
26264	0.599949	2.87e-01	-1.0856771	-5.599553	-0.2930581	DEF8	differentially expressed in FDCP 8 homolog
13646	0.599949	2.87e-01	-1.0856749	-5.599555	-0.3581067	SNUPN	snurportin 1
44822	0.599995	2.87e-01	-1.0855923	-5.59964	-0.3776644	WAC	WW domain containing adaptor with coiled-coil
36661	0.600037	2.87e-01	-1.0855137	-5.599721	-0.4219539	EIF2S2	eukaryotic translation initiation factor 2 subunit beta
21770	0.600157	2.88e-01	1.0853067	-5.599934	0.4447065	CMTM1	CKLF like MARVEL transmembrane domain containing 1
4328	0.600157	2.88e-01	-1.0852563	-5.599986	-0.6561394	UMODL1-AS1	UMODL1 antisense RNA 1
35260	0.600157	2.88e-01	1.0852503	-5.599992	0.3459274		
6707	0.600157	2.88e-01	-1.0852087	-5.600035	-0.3078841	ZNF317	zinc finger protein 317
38669	0.600157	2.88e-01	-1.0851157	-5.600131	-0.2591911		
24882	0.600157	2.88e-01	-1.085095	-5.600152	-0.5371193		
43912	0.600157	2.88e-01	-1.0850863	-5.600161	-0.3611846		
38567	0.600157	2.88e-01	-1.0850847	-5.600163	-0.2571841	LOC100131150	uncharacterized LOC100131150
41374	0.600157	2.88e-01	-1.0850827	-5.600165	-0.3483267	ANKRD16	ankyrin repeat domain 16
44956	0.600157	2.88e-01	1.085063	-5.600185	0.4689914	RIMBP2	RIMS binding protein 2
16519	0.600184	2.88e-01	-1.0849977	-5.600253	-0.3848655	OSMR	oncostatin M receptor
42135	0.600184	2.88e-01	-1.0849696	-5.600282	-0.4007364	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1
13873	0.600245	2.88e-01	1.0848713	-5.600383	0.566586	FGA	fibrinogen alpha chain
26484	0.600266	2.88e-01	1.0848146	-5.600441	0.4373672		
36737	0.600266	2.88e-01	-1.084775	-5.600482	-0.5128402	PDK3	pyruvate dehydrogenase kinase 3
35202	0.600266	2.88e-01	1.0847523	-5.600505	0.5015305		
32096	0.600307	2.88e-01	-1.0846469	-5.600614	-0.3552473	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
