Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Hypoxia,-2.742488e-01,-1.232619e+00,5.442177e-02,1.935085e-01,8.630000e-01,60/195,18.99%,PPFIA4;GAPDH;GPC3;LXN;GPI;COL5A1;ALDOA;CCNG2;DTNA;FOXO3;ISG20;SULT2B1;TMEM45A;CXCR4;P4HA2;BNIP3L;HK1;ANXA2;BCL2;BGN;DCN;SLC6A6;CDKN1C;MYH9;S100A4;MAFF;STC1;ENO2;PGF;KDELR3;NR3C1;HEXA;PDGFB;EFNA1;F3;NDRG1;PKP1;GPC4;TPI1;IDS;CHST2;PFKP;MAP3K1;ETS1;SRPX;TGFBI;UGP2;TES;ACKR3;KDM3A;SDC3;KLF7;VLDLR;PLAUR;GYS1;CA12;GPC1;STC2;NEDD4L;CDKN1B
prerank,PI3K/AKT/mTOR  Signaling,-2.964965e-01,-1.223151e+00,1.080508e-01,1.958412e-01,8.850000e-01,37/105,19.33%,PFN1;PPP1CA;RAC1;IL2RG;AP2M1;PLCG1;NOD1;CAB39L;CXCR4;ACTR3;HRAS;VAV3;MAP3K7;MAPK10;PIN1;LCK;ATF1;NFKBIB;MKNK1;SLA;TRAF2;ARPC3;CDK4;ACTR2;FGF6;GRB2;ADCY2;TSC2;RPS6KA1;CSNK2B;PIK3R3;PITX2;EIF4E;MAPK9;RIT1;CDKN1B;IRAK4
prerank,Hedgehog Signaling,-3.662336e-01,-1.208399e+00,1.829522e-01,2.077280e-01,9.020000e-01,19/36,28.76%,CRMP1;THY1;RTN1;LDB1;MYH9;ADGRG1;NRP2;CELSR1;VLDLR;ACHE;NRP1;PML;PTCH1;RASA1;CDK6;GLI1;NF1;CDK5R1;DPYSL2
prerank,Androgen Response,3.101740e-01,1.206659e+00,1.496350e-01,4.112594e-01,9.610000e-01,40/97,21.71%,AKT1;B4GALT1;ZBTB10;DNAJB9;SLC38A2;TPD52;HOMER2;CDC14B;DHCR24;HSD17B14;DBI;SPCS3;AZGP1;LMAN1;SORD;PTK2B;HPGD;SRP19;SRF;SAT1;IQGAP2;ACSL3;HERC3;INSIG1;SPDEF;SCD;HMGCS1;AKAP12;IDI1;GNAI3;ABHD2;UBE2I;ELL2;FADS1;PDLIM5;NGLY1;NCOA4;ACTN1;PLPP1;CENPN
prerank,Apoptosis,-2.719863e-01,-1.201632e+00,9.421842e-02,2.072074e-01,9.110000e-01,56/160,20.39%,GSN;LUM;FAS;HMGB2;AIFM3;IGFBP6;TSPO;PLAT;LEF1;ISG20;SMAD7;MMP2;BNIP3L;CD2;LGALS3;ADD1;NEDD9;BGN;PEA15;DIABLO;DCN;BTG2;BCL2L2;FDXR;PDGFRB;HGF;ENO2;TGFB2;TXNIP;ANXA1;ANKH;CASP8;CD69;PSEN1;PAK1;PRF1;CCND1;BCL2L11;TIMP2;TIMP1;CCND2;TAP1;BMP2;PSEN2;IRF1;CASP1;BID;RNASEL;EMP1;CDKN1B;CASP6;PPT1;PLCB2;TIMP3;DAP3;HSPB1
prerank,Inflammatory Response,-2.670330e-01,-1.199728e+00,9.130435e-02,1.996026e-01,9.190000e-01,72/199,21.86%,CSF1;PDPN;CCL5;CD48;GPC3;RTP4;MSR1;IL7R;KCNA3;CCR7;CXCL10;SLAMF1;LAMP3;LPAR1;CCL2;CXCL9;CCRL2;RASGRP1;ATP2B1;BTG2;CCL24;CXCR6;LIF;ADRM1;IRF7;RIPK2;IL18RAP;RHOG;SELL;LCK;TAPBP;PIK3R5;PTGIR;EMP3;CXCL6;CYBB;F3;SPHK1;BST2;AXL;CD69;HAS2;PSEN1;CHST2;PTAFR;ABI1;LYN;SRI;SEMA4D;GPR183;TIMP1;CMKLR1;PTPRE;IRF1;BEST1;RGS1;CCL20;PLAUR;KCNJ2;TNFRSF9;ICAM1;MYC;IL10;TLR1;SLC31A2;HIF1A;CLEC5A;KCNMB2;IFITM1;OSMR;IL2RB;NMI
prerank,Wnt-beta Catenin Signaling,-3.321213e-01,-1.128866e+00,2.576687e-01,3.197678e-01,9.830000e-01,17/42,22.35%,WNT5B;LEF1;HDAC11;JAG2;JAG1;AXIN2;AXIN1;ADAM17;CCND2;PSEN2;TP53;NKD1;DLL1;MYC;HDAC2;PTCH1;NOTCH4
prerank,Cholesterol Homeostasis,3.039396e-01,1.127705e+00,2.500000e-01,5.858213e-01,9.930000e-01,31/73,21.38%,LDLR;ALDOC;FADS2;ATF5;CLU;AVPR1A;PCYT2;TP53INP1;ADH4;CTNNB1;TM7SF2;LSS;ERRFI1;SC5D;PDK3;GLDC;SREBF2;SCD;CD9;ACAT2;TMEM97;HMGCS1;PNRC1;STX5;IDI1;EBP;PLSCR1;ECH1;CBS;ATF3;FDPS
prerank,Adipogenesis,2.559777e-01,1.099541e+00,2.451155e-01,6.038110e-01,1.000000e+00,66/194,19.35%,PPM1B;ARAF;POR;CHUK;SORBS1;SULT1A1;SDHC;ATL2;RTN3;DNAJB9;ABCA1;STOM;GPAM;ORM1;ETFB;ADCY6;CHCHD10;ACADS;SOWAHC;C3;ALDH2;FZD4;MDH2;GPHN;SCARB1;HIBCH;UQCRC1;BCKDHA;DNAJC15;RNF11;FAH;GPAT4;DBT;ECHS1;REEP5;ACADL;BCL2L13;NMT1;UQCRQ;PREB;APOE;GHITM;APLP2;QDPR;ACADM;SOD1;CRAT;EPHX2;RMDN3;ITSN1;PGM1;CD36;CD302;IDH3A;COX7B;ATP1B3;HADH;IDH1;ITGA7;PTCD3;SLC25A1;MTCH2;SLC25A10;CMBL;PFKFB3;ECH1
prerank,Unfolded Protein Response,2.752442e-01,1.090801e+00,2.917431e-01,5.654542e-01,1.000000e+00,33/109,17.06%,HERPUD1;KHSRP;DNAJB9;NOP14;TSPYL2;ATF6;IMP3;PDIA5;PAIP1;SPCS3;EIF4G1;CXXC1;FKBP14;VEGFA;DDX10;TUBB2A;EDEM1;EDC4;PDIA6;EXOSC4;PSAT1;EXOSC2;DDIT4;PREB;EEF2;DNAJC3;SLC1A4;XBP1;HSPA5;CALR;HSPA9;HSP90B1;EIF4EBP1
