ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1676385	0.0000175	5.80e-10	9.5340327	12.593302	1.12528472	NA		
ILMN_1652434	0.0000175	7.17e-10	9.4351529	12.401284	0.61070205	NA		
ILMN_2322498	0.0000199	1.22e-09	9.1897491	11.918327	1.00725096	213385297	RORA	RAR related orphan receptor A
ILMN_2167922	0.0000342	3.20e-09	-8.753433	11.03697	-0.64120592	612339293	TRMT5	tRNA methyltransferase 5
ILMN_1758128	0.0000342	3.50e-09	-8.7140415	10.955964	-0.86492804	374253798	CYGB	cytoglobin
ILMN_1867517	0.0000425	5.99e-09	8.4761622	10.461722	1.1638943	16550830	RORA	RAR related orphan receptor A
ILMN_2359456	0.0000425	6.10e-09	-8.468612	10.445893	-0.59661436	38327614	ERGIC3	ERGIC and golgi 3
ILMN_1767514	0.000045	7.37e-09	8.3853238	10.270698	0.72564803	NA		
ILMN_1706546	0.0000716	1.32e-08	8.1325851	9.732571	0.4205334	402794174	MAX	MYC associated factor X
ILMN_1652123	0.0000795	1.75e-08	-8.0111487	9.47055	-0.73747604	48255932	HMGN1	high mobility group nucleosome binding domain 1
ILMN_2366703	0.0000795	2.01e-08	7.9526967	9.343632	0.72121765	323510626	SGK3	serum/glucocorticoid regulated kinase family member 3
ILMN_1687223	0.0000795	2.42e-08	-7.8740191	9.171984	-0.309636	966751372	ZNF514	zinc finger protein 514
ILMN_1810712	0.0000795	2.63e-08	7.8388776	9.095015	0.43798028	310832411	ARHGEF12	Rho guanine nucleotide exchange factor 12
ILMN_1797975	0.0000795	2.63e-08	-7.8379058	9.092884	-0.4427559	4504098	CXCR3	C-X-C motif chemokine receptor 3
ILMN_1765606	0.0000795	2.70e-08	7.8269993	9.068957	0.43505624	991820335	YAF2	YY1 associated factor 2
ILMN_1662878	0.0000795	2.78e-08	-7.8149218	9.04244	-0.314976	117938313	MZB1	marginal zone B and B1 cell specific protein
ILMN_2160209	0.0000795	2.78e-08	-7.8148259	9.04223	-0.33423366	218505669	EPCAM	epithelial cell adhesion molecule
ILMN_1835905	0.0000795	2.93e-08	7.7925241	8.993207	0.38790452	6301278		
ILMN_1763540	0.0000883	3.44e-08	7.7251821	8.844728	0.54195482	163644282	PSME4	proteasome activator subunit 4
ILMN_1795507	0.0000893	3.66e-08	7.699011	8.786842	1.01350348	27436952	ABCA6	ATP binding cassette subfamily A member 6
ILMN_1903858	0.0000901	3.97e-08	7.6649424	8.711336	0.37501079	5234902		
ILMN_2306565	0.0000901	4.55e-08	-7.6074282	8.583477	-0.33444218	240848542	MTX2	metaxin 2
ILMN_1745976	0.0000901	4.67e-08	-7.5965111	8.559152	-0.26376175	118402591	TRAF4	TNF receptor associated factor 4
ILMN_1658420	0.0000901	4.69e-08	7.5954739	8.55684	0.68603284	45827724	DSCAM	DS cell adhesion molecule
ILMN_2293692	0.0000901	4.80e-08	7.5856219	8.534872	0.48676513	119943103	CREBBP	CREB binding protein
ILMN_2399877	0.0000901	4.80e-08	-7.5854974	8.534594	-0.38086929	240849530	COG5	component of oligomeric golgi complex 5
ILMN_1815392	0.0000933	5.32e-08	7.5420596	8.437564	0.47456992	226507776	ACTRT1	actin related protein T1
ILMN_1748767	0.0000933	5.35e-08	-7.5398753	8.432678	-0.4489316	NA		
ILMN_1712040	0.0000967	5.75e-08	7.5097206	8.365147	0.48766679	558472845	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1
ILMN_1892895	0.0000967	5.94e-08	7.496301	8.335051	0.51101853	39887221		
ILMN_1747504	0.0001049	6.66e-08	7.4489043	8.228545	0.47719817	262359928	AHCTF1	AT-hook containing transcription factor 1
ILMN_1910805	0.0001194	7.83e-08	-7.3819477	8.07753	-0.32029303	NA		
ILMN_2179837	0.0001232	8.55e-08	-7.3457804	7.995688	-0.52394169	221316571	BANF1	barrier to autointegration factor 1
ILMN_1801043	0.0001232	8.58e-08	-7.3441002	7.991882	-1.64832287	89276752	GSN	gelsolin
ILMN_1773968	0.0001367	9.95e-08	7.2832244	7.853689	0.43545247	66346682	SERBP1	SERPINE1 mRNA binding protein 1
ILMN_1893633	0.0001367	1.02e-07	-7.2730959	7.830646	-0.46913429	302393536	PRKCQ-AS1	PRKCQ antisense RNA 1
ILMN_2366654	0.0001367	1.06e-07	7.2559305	7.791558	0.81777937	451172092	NR5A2	nuclear receptor subfamily 5 group A member 2
ILMN_1689623	0.0001367	1.06e-07	7.2555224	7.790629	0.34446371	NA		
ILMN_1661346	0.0001428	1.14e-07	-7.2269165	7.725396	-0.77542422	NA		
ILMN_1805833	0.0001429	1.19e-07	7.2110088	7.68907	0.40690815	NA		
ILMN_1720233	0.0001429	1.20e-07	7.2061338	7.677931	0.54733973	414144285	CWC25	CWC25 spliceosome associated protein homolog
ILMN_1712950	0.0001546	1.33e-07	-7.1641132	7.581774	-0.66321179	394582017	PFN1	profilin 1
ILMN_1703564	0.0001604	1.44e-07	-7.1325085	7.509289	-0.56677994	528524490	DYNLRB1	dynein light chain roadblock-type 1
ILMN_1727977	0.0001604	1.45e-07	7.1299662	7.503453	0.37440503	NA		
ILMN_1651315	0.0001604	1.51e-07	7.1124857	7.463295	0.32306404	83715963	HMG20B	high mobility group 20B
ILMN_1693896	0.0001604	1.52e-07	7.1087072	7.454609	0.27747679	924183250	ATP8A2	ATPase phospholipid transporting 8A2
ILMN_1653728	0.0001604	1.57e-07	7.0965795	7.426718	0.45564045	110825959	ERBB4	erb-b2 receptor tyrosine kinase 4
ILMN_2306033	0.0001604	1.58e-07	7.0946913	7.422373	0.53222909	619328980	PRAME	preferentially expressed antigen in melanoma
ILMN_1752283	0.0001671	1.68e-07	7.0689712	7.363147	0.86508347	1023300905	ITCH	itchy E3 ubiquitin protein ligase
ILMN_1815292	0.0001671	1.71e-07	-7.0614866	7.345894	-0.50074027	72187675	RPL7	ribosomal protein L7
ILMN_1859030	0.000177	1.85e-07	7.0301447	7.273567	0.32867261	15941929	CACNA1C-AS4	CACNA1C antisense RNA 4
ILMN_1701648	0.0001776	1.92e-07	7.0145547	7.237539	0.83631166	226442728	KLHL15	kelch like family member 15
ILMN_1854270	0.0001776	1.93e-07	7.0131786	7.234358	0.7361134	27836118		
ILMN_1689327	0.0001797	1.99e-07	-7.0007684	7.205652	-0.6099289	NA		
ILMN_2280707	0.0001819	2.09e-07	6.9801255	7.157858	0.28038816	397739045	SMOX	spermine oxidase
ILMN_1793287	0.0001819	2.12e-07	6.9755269	7.147203	0.55905324	NA		
ILMN_1660552	0.0001819	2.15e-07	-6.9682828	7.130413	-0.59255796	24797149	BMP5	bone morphogenetic protein 5
ILMN_1790052	0.0001819	2.16e-07	-6.9669045	7.127217	-0.65636009	NA		
ILMN_1823809	0.0001914	2.33e-07	6.9358593	7.055174	0.86134084	10437525		
ILMN_1660302	0.0001914	2.36e-07	6.9316852	7.045478	0.24239843	NA		
ILMN_1723684	0.0001914	2.46e-07	-6.9152743	7.007333	-1.26388263	315434205	ACKR1	atypical chemokine receptor 1 (Duffy blood group)
ILMN_2098013	0.0001914	2.47e-07	6.9127939	7.001564	1.33979333	169636438	CETP	cholesteryl ester transfer protein
ILMN_1784447	0.0001914	2.49e-07	-6.9097308	6.99444	-0.298824	117168249	PLCE1	phospholipase C epsilon 1
ILMN_1670975	0.0001914	2.53e-07	-6.9031866	6.979214	-0.56404032	282847454	ERICH5	glutamate rich 5
ILMN_1862524	0.0001914	2.55e-07	6.9002471	6.972373	0.51851399	10890131		
ILMN_1906541	0.0001918	2.61e-07	6.8914461	6.951883	0.37612089	5811655		
ILMN_1672148	0.0001918	2.63e-07	-6.8872367	6.94208	-3.74105556	223468662	AKR1B10	aldo-keto reductase family 1 member B10
ILMN_1685043	0.0001936	2.70e-07	-6.8774248	6.91922	-2.27076228	608788369	CYP3A7	cytochrome P450 family 3 subfamily A member 7
ILMN_2205211	0.000194	2.74e-07	-6.8706937	6.90353	-0.5707773	NA		
ILMN_1872250	0.0001954	2.81e-07	6.8610268	6.880986	0.32643277	340144		
ILMN_1728163	0.0001954	2.87e-07	-6.8529549	6.862152	-0.4077661	332308968	CTDSP1	CTD small phosphatase 1
ILMN_1781517	0.0001954	2.88e-07	6.8507281	6.856955	0.30373695	311771506	LIPF	lipase F, gastric type
ILMN_1683354	0.000201	3.02e-07	6.8325637	6.814536	0.4321833	299782599	CDRT15P2	CMT1A duplicated region transcript 15 pseudogene 2
ILMN_1805216	0.000201	3.05e-07	6.8284602	6.804947	0.63454201	221316693	GPC6	glypican 6
ILMN_2287157	0.000202	3.10e-07	6.8209412	6.787371	1.08750806	469832269	DST	dystonin
ILMN_1797526	0.000202	3.15e-07	6.8151121	6.773741	0.42746949	155969690	SERTM1	serine rich and transmembrane domain containing 1
ILMN_2358540	0.000202	3.19e-07	6.8104823	6.762911	0.58386966	222446645	RBMS1	RNA binding motif single stranded interacting protein 1
ILMN_2157435	0.000215	3.44e-07	-6.7801566	6.691908	-0.556632	528524490	DYNLRB1	dynein light chain roadblock-type 1
ILMN_1826771	0.0002168	3.58e-07	6.7638183	6.653604	0.42801421	31452357		
ILMN_2294684	0.0002168	3.58e-07	6.7633151	6.652424	0.32901473	109255227	CEP170	centrosomal protein 170
ILMN_1902196	0.0002168	3.66e-07	6.7548094	6.632468	0.34899737	2743529		
ILMN_1681501	0.0002168	3.68e-07	6.7521852	6.62631	0.23677068	NA		
ILMN_1658883	0.0002168	3.72e-07	6.7487348	6.618211	0.4128124	371875716	ARAF	A-Raf proto-oncogene, serine/threonine kinase
ILMN_1687848	0.0002168	3.76e-07	-6.7445223	6.608321	-1.57893936	45580687	C7	complement component 7
ILMN_1865290	0.0002168	3.78e-07	6.7423728	6.603274	0.32909416	23284815		
ILMN_1659405	0.0002252	3.97e-07	-6.7225601	6.556723	-0.68644566	NA		
ILMN_1856480	0.0002271	4.08e-07	6.7113151	6.53028	0.65188008	34191392	PPM1L	protein phosphatase, Mg2+/Mn2+ dependent 1L
ILMN_1661985	0.0002271	4.14e-07	6.7059762	6.51772	0.360048	NA		
ILMN_1866491	0.0002271	4.23e-07	6.6967822	6.496081	0.33991239	27878421		
ILMN_1849997	0.0002271	4.24e-07	-6.6964456	6.495289	-0.29826713	34528653		
ILMN_1703573	0.0002271	4.27e-07	6.6935446	6.488459	0.41842133	296434239	DNAJC17	DnaJ heat shock protein family (Hsp40) member C17
ILMN_1658053	0.0002271	4.28e-07	-6.6921656	6.485212	-0.54136072	528524490	DYNLRB1	dynein light chain roadblock-type 1
ILMN_2058141	0.0002288	4.40e-07	-6.6813394	6.459712	-0.74429832	148922918	HMGN2	high mobility group nucleosomal binding domain 2
ILMN_2108823	0.0002288	4.41e-07	6.6805789	6.45792	0.61380848	4503832	FZD7	frizzled class receptor 7
ILMN_1903345	0.0002338	4.55e-07	6.6678105	6.427825	0.44053555	83105874		
ILMN_2100693	0.0002646	5.23e-07	6.6127405	6.297788	0.42801566	526479849	MAP2K4	mitogen-activated protein kinase kinase 4
ILMN_1659688	0.0002646	5.26e-07	-6.6101512	6.291665	-1.1465941	221316752	LGALS3BP	galectin 3 binding protein
ILMN_1817609	0.0002646	5.31e-07	6.606163	6.282231	0.38607502	18989030		
ILMN_1857775	0.0002653	5.43e-07	6.5976883	6.262179	0.30061333	19706955		
ILMN_2130218	0.0002653	5.44e-07	6.5970752	6.260728	0.21678233	1024249255	PAK3	p21 (RAC1) activated kinase 3
ILMN_1751081	0.0002701	5.67e-07	-6.5802731	6.220945	-0.23436546	574957265	EHMT2	euchromatic histone lysine methyltransferase 2
ILMN_1916642	0.0002701	5.76e-07	6.5739157	6.205883	0.47460142	5432646		
ILMN_1738346	0.0002701	5.80e-07	-6.5715861	6.200362	-0.38406093	292781267	MICU2	mitochondrial calcium uptake 2
ILMN_1881538	0.0002701	5.84e-07	6.5685428	6.19315	0.30643724	3418952		
ILMN_1744795	0.0002701	5.86e-07	6.567184	6.189929	0.47576528	213021184	TBL1X	transducin (beta)-like 1X-linked
ILMN_1814304	0.0002701	5.91e-07	6.5634621	6.181105	0.25135077	NA		
ILMN_2130441	0.0002701	5.95e-07	-6.5610096	6.17529	-0.87338208	537544665	HLA-H	major histocompatibility complex, class I, H (pseudogene)
ILMN_2186806	0.0002701	6.00e-07	-6.5577025	6.167448	-0.94008396	149158697	HLA-F	major histocompatibility complex, class I, F
ILMN_1763364	0.0002701	6.03e-07	6.5556095	6.162484	0.62970727	532691748	WHAMM	WAS protein homolog associated with actin, golgi membranes and microtubules
ILMN_1764496	0.0002724	6.14e-07	6.5486891	6.146067	0.29646427	NA		
ILMN_1757978	0.0002899	6.59e-07	6.520366	6.078816	0.3488364	148539590	INO80D	INO80 complex subunit D
ILMN_2052790	0.0002923	6.71e-07	-6.5136034	6.062744	-0.36060234	224028242	NONO	non-POU domain containing, octamer-binding
ILMN_2265654	0.0002964	6.86e-07	6.5045487	6.041216	0.27904751	528524526	UBE2C	ubiquitin conjugating enzyme E2 C
ILMN_1693645	0.0002979	6.97e-07	6.4981302	6.02595	0.32170573	NA		
ILMN_1862403	0.0002979	7.02e-07	6.4956092	6.019953	0.5274895	22347785		
ILMN_1832123	0.0003017	7.25e-07	6.4829355	5.98979	0.39552167	6025609		
ILMN_1817973	0.0003017	7.28e-07	6.480886	5.984911	0.41982157	NA		
ILMN_2299221	0.0003017	7.36e-07	-6.4769929	5.97564	-0.30180651	375378298	RABGGTA	Rab geranylgeranyltransferase alpha subunit
ILMN_1711408	0.0003017	7.39e-07	-6.4753706	5.971777	-0.95415419	1002623481	ANXA4	annexin A4
ILMN_1893344	0.0003017	7.42e-07	6.4737051	5.96781	0.34427099	3427529		
ILMN_1670532	0.0003073	7.62e-07	6.4631319	5.94262	0.46430017	999809117	GMCL1	germ cell-less, spermatogenesis associated 1
ILMN_1783156	0.0003255	8.14e-07	6.4371793	5.880733	0.82985759	NA		
ILMN_1831575	0.000327	8.24e-07	-6.4320662	5.868531	-0.21318999	656262		
ILMN_1703718	0.0003275	8.33e-07	-6.4280874	5.859034	-0.3479357	261399872	CCT7	chaperonin containing TCP1 subunit 7
ILMN_1672795	0.0003275	8.39e-07	6.4251313	5.851977	0.4998211	156938286	SH2D5	SH2 domain containing 5
ILMN_1766762	0.0003306	8.53e-07	-6.4183206	5.835713	-0.47281885	528524490	DYNLRB1	dynein light chain roadblock-type 1
ILMN_1670972	0.0003468	9.07e-07	6.3945192	5.778833	0.29485436	NA		
ILMN_1705253	0.0003468	9.10e-07	6.3931695	5.775605	0.51385954	283484021	PTPRD	protein tyrosine phosphatase, receptor type D
ILMN_1844176	0.0003531	9.33e-07	6.3830759	5.751462	0.30485653	1782989		
ILMN_1783889	0.0003588	9.60e-07	6.3718719	5.724649	0.47887055	94557300	PRKAA1	protein kinase AMP-activated catalytic subunit alpha 1
ILMN_1735792	0.0003588	9.63e-07	-6.3707028	5.721851	-0.33110973	306035189	RHBDF2	rhomboid 5 homolog 2
ILMN_1904701	0.0003664	9.91e-07	6.3594118	5.694813	0.43257153	21980248		
ILMN_1666380	0.0003707	1.01e-06	6.3515842	5.676061	0.34095547	209529720	STARD13	StAR related lipid transfer domain containing 13
ILMN_1689177	0.0003707	1.02e-06	-6.3469413	5.664934	-0.61937258	970414577	PLPP4	phospholipid phosphatase 4
ILMN_1806828	0.0003707	1.03e-06	6.3459515	5.662562	0.40661917	1044635705	MRI1	methylthioribose-1-phosphate isomerase 1
ILMN_2355486	0.0003744	1.04e-06	-6.3391288	5.646207	-1.61425029	46255031	FAM3B	family with sequence similarity 3 member B
ILMN_1726842	0.0003756	1.05e-06	6.3349842	5.636269	0.49850323	242332556	TYW3	tRNA-yW synthesizing protein 3 homolog
ILMN_1845005	0.0003777	1.07e-06	6.3299736	5.624252	0.20891195	16181215		
ILMN_1765829	0.0003806	1.09e-06	6.3220257	5.605184	0.87814725	158853997	NUFIP2	NUFIP2, FMR1 interacting protein 2
ILMN_1707901	0.0003806	1.10e-06	-6.3173745	5.594022	-0.33090786	356461037	DHRS7B	dehydrogenase/reductase 7B
ILMN_1705231	0.0003806	1.11e-06	-6.3164601	5.591828	-1.21755184	188528662	SLCO2A1	solute carrier organic anion transporter family member 2A1
ILMN_1894279	0.0003806	1.11e-06	6.3133818	5.584439	0.40894651	14046329		
ILMN_1672591	0.0003806	1.12e-06	6.3129953	5.583511	0.7393724	256017191	SCN9A	sodium voltage-gated channel alpha subunit 9
ILMN_1806320	0.0003861	1.15e-06	6.3002621	5.552935	0.74270464	312032466	PPFIBP1	PPFIA binding protein 1
ILMN_1778242	0.0003861	1.16e-06	6.2991893	5.550358	0.42922206	260656023	CALM1	calmodulin 1
ILMN_1656376	0.0003861	1.16e-06	6.2989108	5.549689	0.41302309	NA		
ILMN_1686109	0.0003861	1.17e-06	6.2954201	5.541303	1.0204118	632794830	CCL23	C-C motif chemokine ligand 23
ILMN_1758293	0.0003861	1.17e-06	6.2938291	5.537481	0.40982623	NA		
ILMN_1809522	0.0003883	1.19e-06	6.2889095	5.525659	0.50759492	333944041	NACC2	NACC family member 2
ILMN_1845894	0.0003894	1.20e-06	-6.2852342	5.516826	-0.26778312	83091032		
ILMN_1875887	0.00039	1.21e-06	6.2819728	5.508985	0.58078026	4987481		
ILMN_1776052	0.000391	1.22e-06	-6.2784532	5.500524	-0.5703384	NA		
ILMN_1696276	0.0003978	1.25e-06	6.2690794	5.47798	0.48674829	289547724	ZNF653	zinc finger protein 653
ILMN_2125675	0.0004002	1.27e-06	-6.2633476	5.46419	-0.61151048	119943148	HNRNPA1P33	heterogeneous nuclear ribonucleoprotein A1 pseudogene 33
ILMN_1668971	0.0004002	1.28e-06	6.2584426	5.452387	0.23616123	NA		
ILMN_2185077	0.0004002	1.28e-06	6.2584006	5.452286	0.3350733	190610009	C14orf39	chromosome 14 open reading frame 39
ILMN_1765872	0.0004002	1.29e-06	6.2558611	5.446174	0.45786432	597709785	SIPA1L3	signal induced proliferation associated 1 like 3
ILMN_1824362	0.0004002	1.30e-06	6.2540618	5.441843	1.36839769	27846495		
ILMN_1757742	0.0004045	1.32e-06	6.2474784	5.425993	0.73141468	110815808	ZRANB1	zinc finger RANBP2-type containing 1
ILMN_2317463	0.0004048	1.33e-06	6.2446655	5.41922	0.4436441	160948598	INTS1	integrator complex subunit 1
ILMN_1720114	0.0004055	1.34e-06	-6.2410949	5.41062	-0.87867086	354681981	GMNN	geminin, DNA replication inhibitor
ILMN_1786630	0.0004055	1.36e-06	6.235322	5.396714	0.22822531	NA		
ILMN_1677919	0.0004055	1.38e-06	-6.2291754	5.381904	-0.4134702	545688746	GMPR2	guanosine monophosphate reductase 2
ILMN_2115490	0.0004055	1.38e-06	6.2290801	5.381674	0.97215717	476007873	NBPF9	neuroblastoma breakpoint family member 9
ILMN_1754753	0.0004055	1.38e-06	6.2284296	5.380106	0.91198153	332309202	IL6R	interleukin 6 receptor
ILMN_1874569	0.0004055	1.39e-06	6.2279059	5.378844	0.32207486	34192957	LINC01210	long intergenic non-protein coding RNA 1210
ILMN_2303166	0.0004055	1.39e-06	6.2272335	5.377224	0.93283169	282721000	MBNL3	muscleblind like splicing regulator 3
ILMN_2126038	0.0004058	1.40e-06	-6.2246119	5.370905	-1.54270007	312922387	STMN2	stathmin 2
ILMN_1674740	0.0004063	1.42e-06	6.2188265	5.356958	0.24718554	NA		
ILMN_1764549	0.0004063	1.42e-06	6.2175603	5.353905	0.45512635	332000023	UBE3A	ubiquitin protein ligase E3A
ILMN_1791826	0.0004063	1.42e-06	-6.2172215	5.353088	-1.52320031	951232994	RAB25	RAB25, member RAS oncogene family
ILMN_1736969	0.0004071	1.43e-06	6.2141391	5.345655	1.15225567	974005334	SLITRK3	SLIT and NTRK like family member 3
ILMN_1655754	0.0004253	1.52e-06	6.1922456	5.292833	0.36211574	NA		
ILMN_1819223	0.0004253	1.53e-06	6.1892074	5.285498	0.24049649	NA		
ILMN_1651506	0.0004253	1.53e-06	6.1881022	5.28283	0.32758685	961525463	TGS1	trimethylguanosine synthase 1
ILMN_1903914	0.0004253	1.53e-06	6.1880359	5.28267	1.34113878	34526302		
ILMN_1738759	0.0004294	1.56e-06	-6.1806042	5.264724	-0.42106944	386642890	PIGT	phosphatidylinositol glycan anchor biosynthesis class T
ILMN_1815882	0.0004294	1.57e-06	-6.1798797	5.262975	-0.43084511	994318937	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1
ILMN_1903568	0.0004333	1.59e-06	6.1730114	5.246384	0.37017037	10434613	CNIH1	cornichon family AMPA receptor auxiliary protein 1
ILMN_2369403	0.0004333	1.60e-06	6.1719626	5.24385	0.99308969	290463078	PALM2	paralemmin 2
ILMN_2091792	0.000438	1.65e-06	-6.1601635	5.215335	-0.53824339	1016841039	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative)
ILMN_1808041	0.000438	1.65e-06	-6.1597027	5.214221	-0.87771142	72407914	RPL10A	ribosomal protein L10a
ILMN_1755115	0.000438	1.66e-06	-6.158235	5.210673	-0.61348622	78190459	RPL23	ribosomal protein L23
ILMN_1699723	0.000438	1.66e-06	6.1571086	5.20795	0.29699973	590122014	RARB	retinoic acid receptor beta
ILMN_1917109	0.000438	1.67e-06	6.155793	5.204769	0.19605759	2804978		
ILMN_1692849	0.000438	1.67e-06	-6.1549846	5.202814	-0.21674943	238637345	SOWAHD	sosondowah ankyrin repeat domain family member D
ILMN_1775931	0.000439	1.68e-06	-6.1519586	5.195497	-0.89003115	156547090	EPHA3	EPH receptor A3
ILMN_1660451	0.0004405	1.70e-06	6.1485151	5.18717	0.71266577	NA		
ILMN_2172755	0.0004456	1.73e-06	-6.1420058	5.171424	-0.4300789	545686976	DEPTOR	DEP domain containing MTOR-interacting protein
ILMN_1826717	0.0004542	1.77e-06	-6.1311832	5.145236	-0.24512121	24809506		
ILMN_1670272	0.0004542	1.78e-06	-6.1304429	5.143444	-0.63705512	1042779807	LRP10	LDL receptor related protein 10
ILMN_1822368	0.0004553	1.80e-06	6.1253412	5.131094	0.40154655	23377469		
ILMN_2402930	0.0004553	1.81e-06	-6.1243606	5.12872	-0.37011336	66472905	H3F3AP4	H3 histone, family 3A, pseudogene 4
ILMN_1793504	0.0004553	1.81e-06	6.1228653	5.1251	1.15744482	61744446	FCN2	ficolin 2
ILMN_1765923	0.0004553	1.82e-06	-6.1214169	5.121592	-0.39267033	285397287	OGFOD3	2-oxoglutarate and iron dependent oxygenase domain containing 3
ILMN_1712231	0.0004576	1.84e-06	-6.1172555	5.111515	-0.98865575	544186022	SH3YL1	SH3 and SYLF domain containing 1
ILMN_1657210	0.0004576	1.85e-06	6.1154724	5.107197	0.30582497	NA		
ILMN_1655190	0.0004624	1.88e-06	6.1093897	5.092462	0.43258834	NA		
ILMN_1757723	0.0004775	1.95e-06	6.0949191	5.057395	0.48375875	567757466	C6orf106	chromosome 6 open reading frame 106
ILMN_1733781	0.0004779	1.96e-06	6.0926635	5.051926	0.30743914	227500152	FSD1	fibronectin type III and SPRY domain containing 1
ILMN_1663263	0.0004788	1.97e-06	6.0899205	5.045276	0.34802008	150456468	EPHA10	EPH receptor A10
ILMN_1807662	0.0004804	1.99e-06	6.0856775	5.034987	0.45835788	953768341	IGF2R	insulin like growth factor 2 receptor
ILMN_1722648	0.0004804	2.00e-06	-6.0840493	5.031038	-0.46786212	325652126	SF3B4	splicing factor 3b subunit 4
ILMN_1652472	0.0004804	2.01e-06	6.0828778	5.028197	0.37483354	187608632	BRAF	B-Raf proto-oncogene, serine/threonine kinase
ILMN_2155719	0.0004877	2.05e-06	6.0751212	5.009382	0.8735546	478247000	NBPF10	neuroblastoma breakpoint family member 10
ILMN_1684407	0.000489	2.07e-06	-6.0715151	5.000632	-0.26184852	NA		
ILMN_2206953	0.000489	2.07e-06	-6.070304	4.997693	-0.27250385	254939660	PLCL1	phospholipase C like 1
ILMN_1788968	0.0004911	2.10e-06	6.0651276	4.98513	0.34252032	115298675	C11orf65	chromosome 11 open reading frame 65
ILMN_1705570	0.0004911	2.10e-06	-6.0648398	4.984432	-0.91318721	95113660	H2AFY2	H2A histone family member Y2
ILMN_1910965	0.0004927	2.12e-06	6.061786	4.977019	0.29170483	13135524		
ILMN_1877317	0.0004943	2.14e-06	-6.0586182	4.969329	-0.25692538	6701336		
ILMN_1888546	0.000495	2.15e-06	6.0562626	4.963609	0.31287819	3278427		
ILMN_1698715	0.0004984	2.18e-06	6.0517161	4.952569	0.40085043	304307770	NHLRC2	NHL repeat containing 2
ILMN_1679617	0.0004993	2.20e-06	6.0474466	4.9422	0.47988209	52630343	HLA-DRB4	major histocompatibility complex, class II, DR beta 4
ILMN_1700810	0.0004993	2.20e-06	-6.047444	4.942193	-0.21883084	NA		
ILMN_2271762	0.0005032	2.23e-06	6.0426174	4.930468	0.20078404	93141209	SCN2A	sodium voltage-gated channel alpha subunit 2
ILMN_1773849	0.0005043	2.24e-06	-6.0399161	4.923905	-0.36432629	NA		
ILMN_1712291	0.0005176	2.32e-06	-6.026059	4.890227	-0.51525463	157694514	MICALL2	MICAL like 2
ILMN_1672564	0.0005176	2.33e-06	6.0252855	4.888347	0.51569242	83281198	FMO6P	flavin containing monooxygenase 6 pseudogene
ILMN_1779677	0.0005176	2.33e-06	6.024492	4.886417	1.06058093	297307112	ZCCHC6	zinc finger CCHC-type containing 6
ILMN_1679922	0.000518	2.35e-06	6.0223821	4.881288	0.33012919	NA		
ILMN_1866300	0.000523	2.38e-06	6.0169237	4.868014	0.31214898	4684962		
ILMN_1720941	0.0005242	2.40e-06	-6.0142939	4.861618	-0.74748188	NA		
ILMN_1897629	0.0005257	2.41e-06	6.0114327	4.854659	0.25407377	22912005		
ILMN_1731851	0.0005285	2.44e-06	-6.006479	4.842607	-0.36718896	223718096	OXA1L	OXA1L, mitochondrial inner membrane protein
ILMN_1651878	0.0005285	2.45e-06	-6.0058101	4.84098	-0.30426949	111119011	EVC	EvC ciliary complex subunit 1
ILMN_1886750	0.0005285	2.46e-06	6.0042164	4.837102	0.3923407	27877893		
ILMN_1889440	0.0005378	2.52e-06	-5.9951015	4.814919	-0.20773297	34193119		
ILMN_1675454	0.0005378	2.53e-06	5.9923089	4.808122	0.28568746	90193625	CDH9	cadherin 9
ILMN_2053415	0.0005378	2.54e-06	5.9908667	4.80461	1.20134447	307775410	LDLR	low density lipoprotein receptor
ILMN_2193315	0.0005378	2.55e-06	-5.9906803	4.804157	-0.41726095	546231232	EFCAB11	EF-hand calcium binding domain 11
ILMN_1761411	0.0005421	2.58e-06	5.9858517	4.7924	0.35119103	373838725	MCMBP	minichromosome maintenance complex binding protein
ILMN_1752899	0.0005465	2.65e-06	-5.975213	4.766489	-0.6893695	148539885	BCL11A	B-cell CLL/lymphoma 11A
ILMN_1658384	0.0005465	2.68e-06	-5.9710707	4.756397	-0.43235014	343403754	CRTAC1	cartilage acidic protein 1
ILMN_1917334	0.0005465	2.68e-06	5.9708921	4.755962	0.32939945	17163539		
ILMN_1796962	0.0005465	2.68e-06	5.970858	4.755879	0.52606315	45238847	PPP3R1	protein phosphatase 3 regulatory subunit B, alpha
ILMN_2322131	0.0005465	2.68e-06	5.9708253	4.755799	1.36453616	223278351	CLEC4M	C-type lectin domain family 4 member M
ILMN_2386291	0.0005465	2.68e-06	-5.9701146	4.754068	-0.34374607	122937268	WTIP	Wilms tumor 1 interacting protein
ILMN_1682981	0.0005465	2.69e-06	5.9699283	4.753614	0.30840658	115511019	SMG6	SMG6, nonsense mediated mRNA decay factor
ILMN_1915365	0.0005465	2.69e-06	5.9695562	4.752707	0.3105515	5540902		
ILMN_1778098	0.0005607	2.77e-06	5.9580066	4.724559	0.26785627	NA		
