ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1656486	0.021229	1.77e-03	-3.4850935	-1.369509	-0.11189845	409971395	DNAJC10	DnaJ heat shock protein family (Hsp40) member C10
ILMN_1891808	0.021229	1.77e-03	3.4850307	-1.369657	0.1273989	52706532		
ILMN_2121437	0.021229	1.77e-03	-3.4850121	-1.369701	-0.24021303	55956787	NCL	nucleolin
ILMN_2171295	0.0212327	1.77e-03	3.4848459	-1.370094	0.30762558	560231605	CDK14	cyclin dependent kinase 14
ILMN_1876778	0.0212386	1.77e-03	3.4846162	-1.370636	0.42103724	5438265		
ILMN_1810880	0.0212386	1.77e-03	3.4845426	-1.370809	0.1623151	NA		
ILMN_1821190	0.0212397	1.77e-03	3.4843334	-1.371303	0.2161747	24774949		
ILMN_2391765	0.0212397	1.77e-03	-3.484328	-1.371316	-0.55250279	566035352	C6orf48	chromosome 6 open reading frame 48
ILMN_1752647	0.0212538	1.77e-03	-3.4839684	-1.372165	-0.1557815	283046827	KLRC1	killer cell lectin like receptor C1
ILMN_2346987	0.0212799	1.77e-03	3.4833878	-1.373535	1.20121581	116292749	LPA	lipoprotein(a)
ILMN_1797668	0.0213006	1.78e-03	-3.4829075	-1.374668	-0.18176579	44890063	INSM1	INSM transcriptional repressor 1
ILMN_1667578	0.0213087	1.78e-03	-3.4826603	-1.375251	-0.19872455	760998150	DUSP26	dual specificity phosphatase 26 (putative)
ILMN_1833964	0.0213106	1.78e-03	3.482481	-1.375674	0.20268348	3784560		
ILMN_1679157	0.0213106	1.78e-03	3.4824314	-1.375792	0.14689126	NA		
ILMN_2262901	0.0213237	1.78e-03	3.4820783	-1.376625	0.23575936	635172826	RUFY3	RUN and FYVE domain containing 3
ILMN_2205032	0.0213237	1.78e-03	-3.4819953	-1.376821	-0.27497335	291045210	MAGEE1	MAGE family member E1
ILMN_1793615	0.0213416	1.78e-03	-3.4815671	-1.377831	-0.30847387	62420881	ME3	malic enzyme 3
ILMN_1697120	0.0213442	1.78e-03	3.4813944	-1.378238	0.14543725	NA		
ILMN_1859435	0.0213442	1.78e-03	-3.4812864	-1.378493	-0.14828465	51663534		
ILMN_1777214	0.0213442	1.78e-03	-3.4812298	-1.378627	-0.17183978	808175911	KANSL1L	KAT8 regulatory NSL complex subunit 1 like
ILMN_1836217	0.0213492	1.78e-03	-3.4810399	-1.379075	-0.15665499	117414167	NUP210L	nucleoporin 210 like
ILMN_1788499	0.0213544	1.78e-03	-3.4808473	-1.379529	-0.10818028	NA		
ILMN_1872419	0.0213586	1.79e-03	3.4806737	-1.379939	0.47132655	6663509		
