GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
387890	3.55e-16	5.80e-18	0.1279	-8.636458	-1.10461408	17.8	TMEM233	transmembrane protein 233
81567	3.71e-16	6.08e-18	0.0678	-8.6310306	-0.58557672	1141.73	TXNDC5	thioredoxin domain containing 5
649	3.72e-16	6.12e-18	0.0765	-8.6302575	-0.66011388	689.7	BMP1	bone morphogenetic protein 1
9021	4.17e-16	6.88e-18	0.1638	-8.6169316	-1.41106255	297.63	SOCS3	suppressor of cytokine signaling 3
100132987	4.30e-16	7.10e-18	0.2074	-8.6132121	-1.78637029	9.7	LINC00856	long intergenic non-protein coding RNA 856
84868	4.74e-16	7.84e-18	0.0964	-8.6018575	-0.82963523	189.03	HAVCR2	hepatitis A virus cellular receptor 2
9672	4.82e-16	7.99e-18	0.0987	-8.5997088	-0.84848048	834.44	SDC3	syndecan 3
51177	5.07e-16	8.44e-18	0.0731	-8.5934602	-0.62784032	369.16	PLEKHO1	pleckstrin homology domain containing O1
27	6.27e-16	1.05e-17	0.0472	-8.5688268	-0.40438389	1880.16	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase
107986013	6.38e-16	1.07e-17	0.0812	-8.566433	-0.69523344	71.47	LOC107986013	
7805	6.45e-16	1.08e-17	0.1017	-8.5646606	-0.87117966	953.26	LAPTM5	lysosomal protein transmembrane 5
5414	6.45e-16	1.08e-17	0.0587	-8.5648849	-0.50247055	251.73	SEPTIN4	septin 4
3587	6.50e-16	1.10e-17	0.0944	-8.5634676	-0.80879457	529.1	IL10RA	interleukin 10 receptor subunit alpha
10044	6.53e-16	1.10e-17	0.0889	-8.5627698	-0.76134635	236.92	SH2D3C	SH2 domain containing 3C
100874012	6.67e-16	1.13e-17	0.1069	-8.5597867	-0.91493596	85.59	NAV2-AS5	NAV2 antisense RNA 5
23627	6.67e-16	1.13e-17	0.2692	-8.5599846	-2.30452321	48.49	PRND	prion like protein doppel
58484	6.69e-16	1.14e-17	0.0806	-8.5591047	-0.69020534	67.5	NLRC4	NLR family CARD domain containing 4
115004	6.78e-16	1.16e-17	0.0825	-8.5572396	-0.70610588	104.69	CGAS	cyclic GMP-AMP synthase
3595	6.85e-16	1.17e-17	0.0749	-8.5559318	-0.64057123	175.52	IL12RB2	interleukin 12 receptor subunit beta 2
4803	6.89e-16	1.18e-17	0.133	-8.5549403	-1.1379986	32.62	NGF	nerve growth factor
11185	7.20e-16	1.24e-17	0.1035	-8.5494986	-0.88509554	316.43	INMT	indolethylamine N-methyltransferase
168455	7.54e-16	1.30e-17	0.0714	-8.5439711	-0.60967179	356.28	CCDC71L	coiled-coil domain containing 71 like
3383	8.48e-16	1.46e-17	0.1038	-8.5300569	-0.88508485	519.02	ICAM1	intercellular adhesion molecule 1
729	9.22e-16	1.59e-17	0.2144	-8.5201497	-1.82655994	106.41	C6	complement C6
221303	9.25e-16	1.60e-17	0.0893	-8.519509	-0.76101486	51.1	FAM162B	family with sequence similarity 162 member B
101927096	9.28e-16	1.61e-17	0.1127	-8.5188759	-0.96004342	710.75	CLMAT3	colorectal liver metastasis associated transcript 3
114132	9.35e-16	1.63e-17	0.1572	-8.517767	-1.33932372	20.91	SIGLEC11	sialic acid binding Ig like lectin 11
100526836	9.36e-16	1.63e-17	0.0664	-8.5173026	-0.56590056	1160.49	BLOC1S5-TXNDC5	BLOC1S5-TXNDC5 readthrough (NMD candidate)
871	1.02e-15	1.79e-17	0.0867	-8.5065454	-0.73761569	1948.39	SERPINH1	serpin family H member 1
101927293	1.03e-15	1.80e-17	0.1395	-8.5058778	-1.18651857	39.39	LOC101927293	uncharacterized LOC101927293
28299	1.04e-15	1.83e-17	0.4621	-8.504202	-3.93000488	79.28	IGKV1-5	immunoglobulin kappa variable 1-5
55203	1.04e-15	1.83e-17	0.1145	-8.5040182	-0.97409389	88.14	LGI2	leucine rich repeat LGI family member 2
6039	1.04e-15	1.83e-17	0.0936	-8.5042004	-0.79572185	130.19	RNASE6	ribonuclease A family member k6
112267984	1.05e-15	1.85e-17	0.1311	-8.5027712	-1.1147381	38.66	LOC112267984	uncharacterized LOC112267984
23406	1.16e-15	2.05e-17	0.1116	-8.4908888	-0.94738375	386.63	COTL1	coactosin like F-actin binding protein 1
1535	1.19e-15	2.11e-17	0.0886	-8.4875992	-0.75178938	554.87	CYBA	cytochrome b-245 alpha chain
3394	1.26e-15	2.25e-17	0.1277	-8.4800868	-1.08325194	384.49	IRF8	interferon regulatory factor 8
3953	1.33e-15	2.37e-17	0.1203	8.4738839	1.01950756	818.09	LEPR	leptin receptor
1807	1.36e-15	2.43e-17	0.1922	-8.470929	-1.6280225	30.9	DPYS	dihydropyrimidinase
4478	1.38e-15	2.47e-17	0.0471	-8.469118	-0.39904941	4887.82	MSN	moesin
115908	1.53e-15	2.75e-17	0.152	-8.4568517	-1.28570345	1124.04	CTHRC1	collagen triple helix repeat containing 1
112267915	1.59e-15	2.86e-17	0.1065	-8.452345	-0.90012629	206.26	LOC112267915	uncharacterized LOC112267915
50810	1.62e-15	2.93e-17	0.0461	-8.449223	-0.38916112	770.88	HDGFL3	HDGF like 3
653567	1.74e-15	3.16e-17	0.1077	-8.4406728	-0.90918615	74.78	TMEM236	transmembrane protein 236
284611	1.78e-15	3.23e-17	0.0492	-8.4378621	-0.41548481	842.04	EEIG2	EEIG family member 2
2078	1.79e-15	3.25e-17	0.0656	-8.4373268	-0.55314255	422.7	ERG	ETS transcription factor ERG
1301	1.94e-15	3.54e-17	0.3166	-8.4272041	-2.66807047	1658.59	COL11A1	collagen type XI alpha 1 chain
29995	1.94e-15	3.53e-17	0.0707	-8.4274498	-0.59560612	900.59	LMCD1	LIM and cysteine rich domains 1
79172	2.26e-15	4.14e-17	0.0378	-8.408822	-0.31778708	484.3	CENPO	centromere protein O
105379170	2.56e-15	4.69e-17	0.0818	-8.3943041	-0.68674087	101.77	LOC105379170	
55803	2.62e-15	4.82e-17	0.0784	-8.3910213	-0.65817167	545.52	ADAP2	ArfGAP with dual PH domains 2
