gene,logFC,p_value,adj_p_value
NOC4L///NOC4L,0.5598623,7.46e-09,3.15e-08
SPTBN5,0.4070064,7.46e-09,3.15e-08
NPTXR,0.5009668,7.45e-09,3.15e-08
CHRNA2,0.5344123,7.47e-09,3.15e-08
ANP32C,-0.44886,7.48e-09,3.16e-08
RAB9A,0.4796855,7.49e-09,3.16e-08
RAP2A,-0.8632609,7.5e-09,3.17e-08
ACSM3,0.64528928,7.07e-09,3.17e-08
RELT,0.5304936,7.51e-09,3.17e-08
ZSCAN20,-0.5636595,7.52e-09,3.17e-08
KPRP,0.3704491,7.5e-09,3.17e-08
ELK1,0.5542086,7.61e-09,3.21e-08
PAQR4,0.4966755,7.61e-09,3.21e-08
ARHGAP29,0.50663163,7.15e-09,3.21e-08
AKR1C2,0.61115846,7.17e-09,3.22e-08
DICER1,-0.9746577,7.67e-09,3.23e-08
LARP6,0.8079795,7.74e-09,3.26e-08
ZNF730///ZNF728///ZNF676///ZNF430///ZNF208///ZNF99///ZNF85///ZNF43,-0.6668,7.76e-09,3.27e-08
SOWAHD,0.4874282,7.8e-09,3.28e-08
CAMKK2,0.5115327,7.8e-09,3.28e-08
PPP2R3A,-0.9031541,7.81e-09,3.29e-08
MMRN2,0.886555,7.82e-09,3.29e-08
PURB,-0.4754264,7.82e-09,3.29e-08
FAM189A1,0.5509259,7.86e-09,3.3e-08
SYNPO2L,0.6182059,7.85e-09,3.3e-08
DDX59,-0.5944955,7.85e-09,3.3e-08
MCEE,-0.6488259,7.86e-09,3.3e-08
ZNF358,0.7431232,7.88e-09,3.31e-08
DGCR6,0.7911109,7.88e-09,3.31e-08
TOMM40,0.29130069,7.41e-09,3.32e-08
HDX,-0.7391577,7.91e-09,3.32e-08
OR10G4,0.5556177,7.91e-09,3.32e-08
UBE3C,-0.4458891,7.94e-09,3.33e-08
SCGB2A1,-0.28473551,7.43e-09,3.33e-08
ROGDI,0.7241932,7.94e-09,3.33e-08
ARMT1,-0.91576,7.95e-09,3.34e-08
MGAT1,0.29458368,7.47e-09,3.34e-08
ABHD17C,0.5209982,8e-09,3.36e-08
ANO4,-0.28538377,7.52e-09,3.36e-08
RPS28,1.8041255,8.03e-09,3.37e-08
CCL28,1.0139791,8.05e-09,3.38e-08
PBK,-0.9074645,8.07e-09,3.39e-08
DUS3L,0.6020686,8.12e-09,3.41e-08
ZBTB45,0.5187564,8.15e-09,3.42e-08
NEK9,-0.6919468,8.22e-09,3.45e-08
DBNL,0.2577636,7.72e-09,3.45e-08
CCNT2,-0.7609623,8.26e-09,3.46e-08
FAM49B,-0.5773736,8.26e-09,3.46e-08
CARD11,-0.28639303,7.79e-09,3.48e-08
CFL2,0.28748347,7.83e-09,3.49e-08
CTDSPL,0.6930745,8.34e-09,3.49e-08
ALKBH7,0.6124686,8.32e-09,3.49e-08
KIAA1549,0.9801875,2.21e-10,3.52e-08
LOC100130744,0.4713455,8.41e-09,3.52e-08
AGA,-0.6374832,8.43e-09,3.53e-08
MSTN,-0.5752245,8.44e-09,3.54e-08
UNC5A,0.4993986,8.46e-09,3.54e-08
ZNF682,-1.0830109,8.45e-09,3.54e-08
IMP4,0.27732548,7.97e-09,3.56e-08
JMY,-0.7429805,8.5e-09,3.56e-08
EIF4H,0.5298786,8.53e-09,3.57e-08
ITGA2,-0.6731345,8.02e-09,3.58e-08
LCA5L,-0.50632557,8.06e-09,3.59e-08
ABCC6,0.5735259,8.57e-09,3.59e-08
PRDM11,0.472935,8.62e-09,3.6e-08
CIB2,0.7643173,8.6e-09,3.6e-08
ABI3BP,1.0745395,8.63e-09,3.61e-08
MIIP,0.5201336,8.64e-09,3.61e-08
CD3G,-0.56593517,8.11e-09,3.61e-08
METTL2A,-0.6211641,8.64e-09,3.61e-08
NLRC5,0.659805,8.62e-09,3.61e-08
TIMM10B,0.4380791,8.65e-09,3.61e-08
SLC46A1,0.5946627,8.62e-09,3.61e-08
QTRT2,-0.8192832,8.63e-09,3.61e-08
FAM161A,-0.40608172,8.14e-09,3.62e-08
GTF3A,-0.5482186,8.7e-09,3.63e-08
GOLGA8R///GOLGA8O///GOLGA8N,-0.9083045,8.72e-09,3.64e-08
ZNF570,-0.6251727,8.72e-09,3.64e-08
AIMP1,-0.6444127,8.75e-09,3.65e-08
MPV17L,0.6763423,8.73e-09,3.65e-08
PRDX1,0.7078423,8.78e-09,3.66e-08
NLRX1,0.4035173,8.77e-09,3.66e-08
FTHL17,0.6675982,8.77e-09,3.66e-08
TCAIM,-0.5640932,8.8e-09,3.67e-08
ZDHHC7,0.3901141,8.83e-09,3.68e-08
KIAA1161,-0.27135703,8.28e-09,3.68e-08
HIST1H3J,0.6711777,8.86e-09,3.69e-08
HSP90AB3P,-0.9351082,8.86e-09,3.69e-08
