gene,logFC,p_value,adj_p_value
FSCN1,2.7,1.46e-10,1.2e-06
SNORA75,-2.55,1.87e-10,1.2e-06
ACTN1,1.309376,9.46e-09,1.22e-06
EED,0.62270452,9.67e-09,1.23e-06
MS4A6A,2.0547753,9.74e-09,1.23e-06
IFNGR2,0.6626397,1.12e-08,1.39e-06
ZFAND5,-0.9816976,3.83e-09,1.4e-06
GADD45B,-1.7879739,4.08e-09,1.41e-06
CHODL,1.3067998,4.06e-09,1.41e-06
MS4A4A,2.03907211,1.15e-08,1.42e-06
PTPRE,1.1392457,1.19e-08,1.45e-06
LCP2,0.67912289,1.31e-08,1.58e-06
ZFP36,-1.2945608,4.97e-09,1.66e-06
GPR4,1.91,3.58e-10,1.66e-06
RPL13AP17,-1.73,5.18e-10,1.66e-06
UBE2M,-0.7324857,5.11e-09,1.66e-06
DDN,-0.8741931,5.23e-09,1.66e-06
APLNR,2.29,4.64e-10,1.66e-06
ITGA5,1.51,3.97e-10,1.66e-06
ENTPD7,0.5110026,5.39e-09,1.67e-06
FCER1A,1.9930836,5.61e-09,1.69e-06
SH2B3,0.95976624,1.44e-08,1.71e-06
PRKG1,-0.47231691,1.45e-08,1.71e-06
RAC2,1.43200873,1.53e-08,1.78e-06
TWF2,0.60862645,1.56e-08,1.78e-06
P2RY13,1.56084671,1.53e-08,1.78e-06
CCL5,1.28174734,1.58e-08,1.78e-06
KRT17,1.71618089,1.57e-08,1.78e-06
SPOCK2,-0.7881287,6.13e-09,1.81e-06
CORO1C,1.00606737,1.68e-08,1.88e-06
PLK2,1.69575943,1.74e-08,1.93e-06
SOX4,1.24547807,1.87e-08,2.05e-06
SNORA25,0.85883077,1.91e-08,2.08e-06
TYROBP,2.19115809,1.95e-08,2.09e-06
GFUS,0.77888453,1.94e-08,2.09e-06
S100A4,1.69753249,2e-08,2.12e-06
FPR3,1.31432081,2.02e-08,2.12e-06
CYP3A5,-2.59,7.5e-10,2.13e-06
LYZ,2.79007982,2.08e-08,2.16e-06
GLA,0.50904298,2.15e-08,2.22e-06
TNFRSF1B,1.27405175,2.18e-08,2.24e-06
TAC1,1.9795827,7.99e-09,2.3e-06
EZH2,0.86069249,2.39e-08,2.43e-06
PLPP2,0.96918372,2.52e-08,2.53e-06
TIGAR,1.11591891,2.59e-08,2.58e-06
CST7,0.91817352,2.6e-08,2.58e-06
RHOC,1.13031878,2.63e-08,2.59e-06
HCK,1.77563723,2.75e-08,2.61e-06
ITIH3,1.43711864,2.75e-08,2.61e-06
THBD,1.35907877,2.76e-08,2.61e-06
GPR65,1.23740577,2.71e-08,2.61e-06
TLR8,0.7785064,2.76e-08,2.61e-06
LILRB2,1.01563747,2.86e-08,2.66e-06
STK17A,0.69751854,2.86e-08,2.66e-06
ZAP70,0.50111103,2.92e-08,2.69e-06
SDF2L1,0.74486968,2.97e-08,2.72e-06
TNNT2,-1.005922,1.02e-08,2.8e-06
UTP11,0.56743434,3.14e-08,2.83e-06
PLVAP,1.21734338,3.13e-08,2.83e-06
PRSS23,1.40446827,3.42e-08,3.06e-06
JCAD,1.79,1.23e-09,3.15e-06
TNFAIP8,1.474314,1.18e-08,3.16e-06
CRIP1,1.61614936,3.58e-08,3.16e-06
NAGK,0.64605355,3.59e-08,3.16e-06
IFI30,1.26506832,3.63e-08,3.18e-06
PLEKHO2,0.66784752,3.77e-08,3.27e-06
CXCL1,1.93344287,3.96e-08,3.42e-06
ELK3,0.582841,1.33e-08,3.5e-06
RBM28,0.62119189,4.11e-08,3.52e-06
COXFA4L2,0.69856241,4.23e-08,3.6e-06
LPXN,0.79728755,4.36e-08,3.68e-06
SFT2D2,0.67602701,4.44e-08,3.72e-06
ARHGEF15,2.37,1.79e-09,3.83e-06
SERPINI2,-2.03,1.65e-09,3.83e-06
LRRC32,2.17,1.99e-09,3.91e-06
SLC52A2,0.61654545,4.72e-08,3.93e-06
EPB41L2,0.96568431,4.87e-08,4.03e-06
CDKN1C,-0.7804942,1.59e-08,4.07e-06
EDA,-0.3633561,5.1e-08,4.19e-06
PVALB,-1.8764509,1.8e-08,4.41e-06
RSAD1,-0.4194447,1.83e-08,4.41e-06
ETNK2,-1.2362501,1.81e-08,4.41e-06
NOP2,0.58023518,5.54e-08,4.46e-06
TNFRSF10B,0.67991464,5.48e-08,4.46e-06
PRELP,1.06774475,5.54e-08,4.46e-06
GZMK,1.59463905,5.59e-08,4.47e-06
CD53,1.74099014,5.92e-08,4.64e-06
ARHGEF26,-1.08998321,5.86e-08,4.64e-06
ADAP2,0.83969063,5.9e-08,4.64e-06
CDKN2B,0.46536255,6.19e-08,4.79e-06
PRR5L,0.74896789,6.17e-08,4.79e-06
GNA15,0.82285528,6.27e-08,4.82e-06
IGFBP4,-0.8778214,2.11e-08,4.99e-06
TWNK,0.62095547,6.56e-08,5.01e-06
ISG20,1.15212299,6.64e-08,5.04e-06
ELL2,-1.1828126,2.2e-08,5.12e-06
MLLT11,1.13062195,6.82e-08,5.14e-06
APOLD1,-1.3431353,2.28e-08,5.2e-06
PROM1,2.4432962,2.36e-08,5.28e-06
VEGFC,1.47030411,7.22e-08,5.41e-06
SERPINH1,0.94882229,7.33e-08,5.44e-06
C1QA,2.46920198,7.39e-08,5.44e-06
RASSF2,1.12589858,7.36e-08,5.44e-06
DEFB1,-1.0748386,2.6e-08,5.7e-06
GUCY1A1,0.9595072,2.65e-08,5.72e-06
IGFLR1,0.59031502,8.28e-08,6.06e-06
PTGER2,1.34303964,8.45e-08,6.14e-06
WWP1,-0.81580038,8.5e-08,6.14e-06
PILRA,0.66447889,8.62e-08,6.14e-06
LY96,1.34238051,8.58e-08,6.14e-06
C1QB,2.12340911,8.65e-08,6.14e-06
SCARA3,0.90754867,8.74e-08,6.17e-06
RORA-AS1,-2.64,3.41e-09,6.24e-06
FKBP5,-1.70325524,8.91e-08,6.25e-06
PRMT2IP,0.54556073,9.17e-08,6.4e-06
GM2A,0.37369541,9.39e-08,6.51e-06
HLX,1.39285614,9.44e-08,6.51e-06
LAPTM5,1.55462068,9.52e-08,6.53e-06
STAB1,0.66467923,9.77e-08,6.67e-06
PPP1CA,0.96104255,1.02e-07,6.86e-06
LGR4,-0.53514398,1.02e-07,6.86e-06
ARL4C,1.69583582,1.02e-07,6.86e-06
NOL11,0.4863204,3.38e-08,6.93e-06
BAIAP2,-0.755273,3.37e-08,6.93e-06
ACKR1,1.2531458,3.53e-08,7.1e-06
TCIM,1.34248677,1.08e-07,7.18e-06
BMAL2,0.47211787,1.08e-07,7.19e-06
CTSK,0.99559135,1.12e-07,7.35e-06
ERBIN,-0.75671935,1.12e-07,7.35e-06
SLC27A3,0.90187937,1.14e-07,7.44e-06
SOWAHC,-0.7216631,3.77e-08,7.46e-06
CPA3,2.2296477,3.87e-08,7.54e-06
G0S2,-1.5783705,4.11e-08,7.87e-06
CSK,0.57887381,1.24e-07,8.03e-06
DYRK2,0.85948378,1.24e-07,8.03e-06
ATG101,1.01286611,1.26e-07,8.11e-06
TXNDC9,0.4497095,4.3e-08,8.11e-06
SEPTIN8,0.49493124,1.27e-07,8.13e-06
PRKAR2B,-1.13928387,1.29e-07,8.23e-06
VSIG4,1.69633573,1.31e-07,8.29e-06
GADD45GIP1,-0.4860715,4.61e-08,8.56e-06
TGFBR3,-0.9083443,4.73e-08,8.66e-06
FAM89B,0.57813869,1.39e-07,8.67e-06
APPBP2,-0.59440781,1.38e-07,8.67e-06
SLC19A2,-0.9937086,1.42e-07,8.85e-06
ASGR1,0.56902741,1.43e-07,8.86e-06
UPF2,0.4438102,4.92e-08,8.87e-06
INPP5D,0.54531558,1.44e-07,8.9e-06
RBP1,0.82554508,1.45e-07,8.9e-06
MYLIP,0.738905,5.07e-08,9e-06
VAT1,0.4487022,1.49e-07,9.04e-06
ANXA6,0.76083616,1.49e-07,9.04e-06
VCAN,1.948057,5.18e-08,9.07e-06
RARRES1,1.52616776,1.54e-07,9.32e-06
GATA3,1.84,5.85e-09,9.35e-06
CASP4,0.69631888,1.59e-07,9.53e-06
FBN1,0.98766503,1.66e-07,9.93e-06
PTPN6,0.88615316,1.7e-07,1e-05
TMEM38B,-0.84060067,1.7e-07,1e-05
MMP2,1.37818446,1.73e-07,1.02e-05
ADGRF5-AS1,-2.75,7.39e-09,1.04e-05
STAT4,1.09813429,1.78e-07,1.04e-05
AASS,-1.63,7.61e-09,1.04e-05
HNRNPAB,0.51158673,1.81e-07,1.06e-05
CYTH2,0.53647563,1.87e-07,1.07e-05
ADGRE1,0.73222373,1.93e-07,1.1e-05
KCNJ2,1.025662,2e-07,1.13e-05
RHCG,-1.7312747,6.72e-08,1.14e-05
NSMF,-0.5867451,6.67e-08,1.14e-05
RGS4,1.39957888,2.07e-07,1.16e-05
PXDN,1.21319141,2.05e-07,1.16e-05
COL1A2,2.65687138,2.14e-07,1.2e-05
MICAL1,1.00294785,2.16e-07,1.2e-05
PAK1IP1,0.7496072,2.19e-07,1.21e-05
TES,0.87999096,2.22e-07,1.22e-05
CAVIN3,1.14812299,2.22e-07,1.22e-05
CCND2,0.82460786,2.24e-07,1.23e-05
CCNB1IP1,-0.524028,7.39e-08,1.24e-05
ADIPOR1,-0.5622863,7.67e-08,1.25e-05
PTGER3,-0.7740699,7.66e-08,1.25e-05
TNFRSF11B,1.1176865,7.84e-08,1.26e-05
CASP3,0.5831229,2.38e-07,1.29e-05
PTMS,-0.7228343,8.25e-08,1.31e-05
COLGALT1,0.38813525,2.57e-07,1.38e-05
RNASEH2A,0.44393922,2.55e-07,1.38e-05
CYP27B1,-2.39144833,2.68e-07,1.42e-05
CLTB,-0.5519997,9.26e-08,1.43e-05
ESM1,-1.95063763,2.72e-07,1.44e-05
EHBP1L1,0.46105026,2.74e-07,1.45e-05
FSIP2,-1.56,1.14e-08,1.46e-05
TWIST1,0.95348599,2.77e-07,1.46e-05
CCL2,2.17500819,2.81e-07,1.47e-05
VASH1,0.56053076,2.86e-07,1.49e-05
TMC6,0.42828009,2.95e-07,1.53e-05
C3AR1,1.31093116,3.02e-07,1.54e-05
PUS1,0.49912227,2.98e-07,1.54e-05
ZPR1,0.64706213,2.99e-07,1.54e-05
LYPD1,1.48747956,3.1e-07,1.58e-05
DPP6,-1.0494114,1.06e-07,1.6e-05
ENY2,-0.43114099,3.16e-07,1.6e-05
PSMD6-AS2,-2.47,1.38e-08,1.61e-05
RCN3,0.56441381,3.34e-07,1.68e-05
LHFPL2,0.62656739,3.36e-07,1.68e-05
SUSD5,0.54021955,3.32e-07,1.68e-05
COL1A1,1.75677827,3.37e-07,1.68e-05
SACS,0.7736677,1.13e-07,1.69e-05
KLK6,-0.9883483,1.18e-07,1.71e-05
DDB2,0.72981262,3.45e-07,1.71e-05
HPGDS,0.7608408,1.18e-07,1.71e-05
SLC26A4,-1.11944714,3.54e-07,1.74e-05
ENG,1.51,1.58e-08,1.76e-05
MANF,0.82865991,3.64e-07,1.78e-05
PPIC,0.84103006,3.64e-07,1.78e-05
ZBED5,0.5112548,1.25e-07,1.79e-05
MYH10,0.53181528,3.69e-07,1.8e-05
ENOX1,0.662493,1.27e-07,1.81e-05
MARCHF1,0.78981397,3.75e-07,1.81e-05
PYGL,1.03778956,3.73e-07,1.81e-05
QPCT,1.4944364,1.32e-07,1.85e-05
BAX,0.71336081,3.88e-07,1.87e-05
SMAGP,0.76161469,3.97e-07,1.89e-05
CTSV,-1.8258622,3.97e-07,1.89e-05
CYP4A11,-1.41701048,3.96e-07,1.89e-05
GSTA3,-0.92537006,4.02e-07,1.9e-05
NMI,0.91595761,4.08e-07,1.91e-05
BMP7,-0.397994,1.41e-07,1.92e-05
MAGI2,-0.5115951,1.39e-07,1.92e-05
PIK3R3,0.3899986,1.46e-07,1.95e-05
NEDD4L,-0.4955884,1.49e-07,1.95e-05
MEST,1.3350067,1.49e-07,1.95e-05
DLG2,-0.88089521,4.23e-07,1.97e-05
IL7,0.7046716,1.52e-07,1.97e-05
TESC,0.91309854,4.25e-07,1.97e-05
FBN2,0.93078961,4.23e-07,1.97e-05
COQ2,0.6701285,4.28e-07,1.98e-05
B4GALT5,0.7904506,1.57e-07,2.01e-05
EEIG1,-0.4827207,1.59e-07,2.03e-05
TPD52,-0.61668512,4.46e-07,2.05e-05
MYD88,0.60704275,4.66e-07,2.13e-05
PRKACB,0.5481344,1.71e-07,2.14e-05
FERMT2,-0.5852951,1.72e-07,2.14e-05
FJX1,0.4834559,1.74e-07,2.14e-05
TMPRSS2,-0.8266204,1.75e-07,2.14e-05
ENAH,0.79594815,4.73e-07,2.15e-05
CAV1,1.0112661,4.74e-07,2.15e-05
COMP,2.13341441,4.81e-07,2.18e-05
CD244,0.49880376,4.87e-07,2.2e-05
NKG7,1.03180338,4.92e-07,2.21e-05
ELOVL1,0.712634,4.98e-07,2.22e-05
LFNG,0.41634313,4.99e-07,2.22e-05
DOCK10,1.06401989,5.07e-07,2.25e-05
CALM1,-0.5665201,1.91e-07,2.28e-05
CCDC18-AS1,-3.08,2.15e-08,2.29e-05
STK16,-0.4947769,1.96e-07,2.32e-05
CAVIN1,0.5238362,5.26e-07,2.33e-05
TMEM39A,0.3933667,5.34e-07,2.35e-05
NPTXR,0.61520317,5.4e-07,2.37e-05
ANKAR,-1.31,2.34e-08,2.39e-05
MT1X,-1.5481657,2.14e-07,2.45e-05
WBP2,-0.4236128,2.15e-07,2.45e-05
TNNI1,-0.5878473,2.18e-07,2.46e-05
ARHGEF17,-0.4629356,2.24e-07,2.5e-05
GCNT3,0.9955319,2.27e-07,2.51e-05
RUNX3,0.62890692,5.74e-07,2.51e-05
GPD1L,-0.6007954,2.32e-07,2.52e-05
PRKCD,-0.641039,2.31e-07,2.52e-05
RALGDS,1.43,2.57e-08,2.53e-05
NDUFS8,-0.5238085,2.41e-07,2.58e-05
TASL,0.58660917,5.93e-07,2.58e-05
TTC39A,1.0704938,2.42e-07,2.58e-05
COX8A,-0.4151898,2.46e-07,2.6e-05
ATP10A,-0.5184996,2.49e-07,2.61e-05
FLRT3,1.0672082,2.54e-07,2.64e-05
RUSF1,-0.3742175,2.6e-07,2.66e-05
WNK1,-0.6141587,2.58e-07,2.66e-05
NDUFB8,-0.3177005,2.68e-07,2.67e-05
CHI3L1,-1.9005463,2.66e-07,2.67e-05
CLEC10A,1.19733571,6.34e-07,2.75e-05
TBX2,-0.4452344,2.81e-07,2.78e-05
RETREG1,-0.88739111,6.49e-07,2.79e-05
CYRIA,0.69594683,6.48e-07,2.79e-05
EEF1AKMT3,-0.5779444,6.48e-07,2.79e-05
GMPR,-0.4998088,2.89e-07,2.83e-05
PPP6R2,-0.3692609,2.94e-07,2.86e-05
PPP1R10,-0.4844271,2.96e-07,2.86e-05
NUDT1,0.62729349,6.71e-07,2.87e-05
DGKA,0.50585578,6.85e-07,2.92e-05
MYDGF,0.55831035,6.94e-07,2.95e-05
MARCO,0.67445687,7.03e-07,2.98e-05
ARHGEF16,-0.78473112,7.11e-07,2.98e-05
TUBB3,0.60394288,7.11e-07,2.98e-05
NEFL,1.2983535,7.06e-07,2.98e-05
LPCAT1,0.8754292,3.11e-07,2.98e-05
MTERF1,0.45078544,7.16e-07,2.99e-05
CDH6,1.0806218,3.15e-07,2.99e-05
CREB5,0.77170762,7.32e-07,3.02e-05
USP46,-1.12131426,7.36e-07,3.02e-05
DOK2,0.629041,7.31e-07,3.02e-05
BDNF,0.80398334,7.33e-07,3.02e-05
ACADM,-0.67585223,7.33e-07,3.02e-05
NES,-0.6090059,3.27e-07,3.09e-05
SCARB1,0.47005348,7.55e-07,3.09e-05
CSTF2T,0.57319864,7.59e-07,3.1e-05
FHL3,2.03,3.4e-08,3.1e-05
SCG5,1.77831694,7.7e-07,3.13e-05
CRY2,-0.5076008,3.38e-07,3.14e-05
MIF,-0.4092257,3.38e-07,3.14e-05
ADGRE2,0.78159159,7.81e-07,3.16e-05
HSPG2,0.48312141,7.86e-07,3.16e-05
ECM1,2.58382708,7.84e-07,3.16e-05
ALDH18A1,0.5202937,3.44e-07,3.17e-05
FADS3,0.64589134,7.92e-07,3.18e-05
MYBPC3,-0.35134069,8.22e-07,3.29e-05
RGS19,0.59057197,8.35e-07,3.3e-05
GHR,-1.14536313,8.32e-07,3.3e-05
CDKN2C,0.62321802,8.29e-07,3.3e-05
HK3,0.54593463,8.42e-07,3.32e-05
LDLRAP1,0.4743701,8.43e-07,3.32e-05
KANK1,-0.4011241,3.64e-07,3.33e-05
CCND1,1.68,3.89e-08,3.43e-05
ANGPTL2,0.51397732,8.85e-07,3.47e-05
PIK3C2G,-1.11,4.12e-08,3.51e-05
VWA5A,0.43594,3.87e-07,3.51e-05
PTPRC,1.07576425,9.31e-07,3.64e-05
LCK,0.9646788,9.37e-07,3.65e-05
SPON2,1.49480543,9.54e-07,3.7e-05
PDLIM2,-0.5249684,4.11e-07,3.7e-05
RHOG,0.53438733,9.59e-07,3.71e-05
NEFM,0.91799243,9.7e-07,3.74e-05
PINLYP,-0.4974124,4.26e-07,3.78e-05
AVPI1,-0.7085732,4.24e-07,3.78e-05
CYC1,-0.5021735,4.31e-07,3.8e-05
UQCRC1,-0.5431487,4.4e-07,3.85e-05
ENTREP1,0.78060022,1.01e-06,3.89e-05
ELOVL6,0.47313401,1.03e-06,3.93e-05
CD1D,0.69539812,1.03e-06,3.93e-05
PARP6,-0.2881693,4.57e-07,3.94e-05
MAP4K4,0.4587729,4.64e-07,3.94e-05
MAPT,-0.7388259,4.68e-07,3.94e-05
NUP107,0.4454693,4.7e-07,3.94e-05
PIKFYVE,-0.3705285,4.58e-07,3.94e-05
ITGB6,1.9789756,4.6e-07,3.94e-05
LYG2,-1.23,4.8e-08,3.96e-05
FOLR2,1.07780242,1.05e-06,4e-05
ADGRA2,0.52052418,1.05e-06,4e-05
BGN,1.3,5.18e-08,4.01e-05
SPN,1.81,5.17e-08,4.01e-05
DLST,-0.8099834,4.91e-07,4.09e-05
IRF8,1.48897325,1.09e-06,4.12e-05
ST3GAL2,1.81,5.55e-08,4.17e-05
HLA-DMB,0.90310336,1.12e-06,4.2e-05
TUBA1A,0.81683994,1.12e-06,4.2e-05
MYOZ1,-1.01987388,1.12e-06,4.21e-05
FARSA,0.64238478,1.13e-06,4.21e-05
TNFRSF12A,1.61957321,1.13e-06,4.21e-05
ECT2,0.75108741,1.14e-06,4.22e-05
NCF2,1.79625609,1.14e-06,4.22e-05
HCLS1,1.1488022,1.14e-06,4.22e-05
GLIPR1,1.09160917,1.16e-06,4.26e-05
LILRB1,0.64053491,1.17e-06,4.27e-05
CAVIN2,-1.09118925,1.17e-06,4.27e-05
GSTCD-AS1,-3.06,6.12e-08,4.31e-05
ABCA10,-1.12,6.31e-08,4.31e-05
SOX18,2.25,6.4e-08,4.31e-05
RYR3,-1.83,6.05e-08,4.31e-05
CEBPD,-0.8776304,5.28e-07,4.34e-05
RHOBTB3,-0.7447844,5.4e-07,4.37e-05
WFDC2,2.0162096,5.37e-07,4.37e-05
ZBTB33,0.3156708,5.46e-07,4.4e-05
PDLIM1,0.6679715,1.22e-06,4.46e-05
TENM4,0.86215309,1.23e-06,4.48e-05
PPP1R18,1.61,6.84e-08,4.48e-05
SLC1A4,0.45030888,1.24e-06,4.5e-05
RFTN1,0.82392947,1.26e-06,4.55e-05
KLF15,-0.5314704,5.7e-07,4.56e-05
ZNF204P,-0.52811388,1.28e-06,4.59e-05
ST8SIA1,0.47136227,1.27e-06,4.59e-05
DKK3,1.56145793,1.3e-06,4.66e-05
LPL,-1.3762234,5.96e-07,4.7e-05
TNFAIP2,0.5507788,1.34e-06,4.79e-05
THBS2,1.9947146,1.37e-06,4.82e-05
EPB41L5,-0.67551342,1.36e-06,4.82e-05
APOBEC3B,0.89838288,1.36e-06,4.82e-05
IFI16,0.76487047,1.36e-06,4.82e-05
ZBED8,0.6001692,6.16e-07,4.83e-05
THBS3,0.56202781,1.4e-06,4.91e-05
TACC3,0.55642356,1.39e-06,4.91e-05
PIK3CG,0.49055214,1.4e-06,4.91e-05
TMPRSS3,0.68076197,1.41e-06,4.93e-05
FIBP,0.4934621,1.44e-06,4.98e-05
CCN2,-1.665847,6.42e-07,5e-05
RNASEL,0.4480671,6.5e-07,5.03e-05
TLNRD1,1.13,8.54e-08,5.08e-05
TGFB1,1.94,8.31e-08,5.08e-05
GNRH1,-2.51,8.29e-08,5.08e-05
SLC25A27,-1.9,8.46e-08,5.08e-05
COL4A2,0.9661002,6.62e-07,5.09e-05
F3,-1.2706223,6.87e-07,5.12e-05
COL16A1,1.24539882,1.48e-06,5.12e-05
NEBL,-0.6928916,6.85e-07,5.12e-05
MNS1,1.0988309,6.85e-07,5.12e-05
VAMP2,-0.4275519,6.74e-07,5.12e-05
MSC,0.76981833,1.49e-06,5.15e-05
MID1,0.72395276,1.5e-06,5.16e-05
PTOV1,-0.4919778,7.11e-07,5.17e-05
KIAA0040,-0.4073158,7.06e-07,5.17e-05
COPS7A,-0.4135766,6.98e-07,5.17e-05
THTPA,-0.4179218,7.06e-07,5.17e-05
CCL8,1.40484141,1.53e-06,5.24e-05
CA2,-1.40948317,1.53e-06,5.24e-05
BAG2,1.27861232,1.55e-06,5.26e-05
UBXN8,0.49286894,1.56e-06,5.26e-05
GINS1,0.99351939,1.56e-06,5.26e-05
P2RX4,0.60288394,1.55e-06,5.26e-05
NNMT,2.07728112,1.56e-06,5.26e-05
SFXN3,0.71239111,1.57e-06,5.28e-05
