gene,logFC,p_value,adj_p_value
BEX4,-0.36441955,0.00172,0.00983
SLC13A3,-1.08243274,0.00172,0.00983
PFKFB2,-0.40389938,0.00173,0.00985
LINC00574,-0.28860032,0.00173,0.00986
SLC38A9,-0.837,0.000348,0.00986
MISP,-0.3960243,0.0014,0.00987
ASAP2,0.676,0.000349,0.00987
TTLL1,0.35257382,0.00174,0.00989
HLA-DPB1,0.854,0.00035,0.0099
LAMB3,0.64878277,0.00174,0.00991
MIR4451,-1.83,0.000351,0.00992
RORC,-0.49890265,0.00175,0.00993
GPR37,0.2492455,0.00141,0.00993
SNORA66,-1.41,0.000353,0.00995
CATSPERE,-0.779,0.000353,0.00996
ANGPT2,0.38032473,0.00176,0.00997
DKK2,0.40625913,0.00176,0.00997
MAP3K7CL,0.76821214,0.00176,0.00997
KCNMB4,-0.52048032,0.00176,0.00997
FOXO4,-0.3432015,0.00142,0.00998
PERP,0.53979,0.00143,0.00999
RB1,0.2802265,0.00142,0.00999
IKZF2,0.22483,0.00143,0.00999
PTHLH,-0.871,0.000357,0.00999
THAP7,-0.2264154,0.00143,0.00999
EPB41L4A-AS3,-1.24,0.000357,0.00999
RTL8B,1.08,0.000355,0.00999
USP9X,-0.2628375,0.00143,0.00999
WIPF2,0.819,0.000356,0.00999
ZDHHC24,-0.2741283,0.00144,0.01
FANCF,0.2882867,0.00144,0.01
GML,-0.39999869,0.00177,0.01
PRKD2,0.789,0.000359,0.01
GRB14,-1.93,0.000358,0.01
TMEM45A,0.85273199,0.00178,0.0101
TAF5L,0.22290435,0.0018,0.0101
CLCA1,-0.28918845,0.00179,0.0101
OSBPL5,0.772,0.000361,0.0101
AK5,0.4836933,0.00179,0.0101
CREB3,0.41978737,0.00178,0.0101
METTL1,-0.5359238,0.00145,0.0101
LRRN2,0.3635654,0.00179,0.0101
CYB5A,-0.841,0.000361,0.0101
PAGR1,-0.1754641,0.00144,0.0101
CHERP,0.1826857,0.00145,0.0101
LIMS2,0.741,0.000361,0.0101
PNPLA2,0.865,0.000365,0.0101
FRG1HP,-1.19,0.000363,0.0101
FUBP1,0.34202637,0.00178,0.0101
BLTP3B,-0.34914354,0.00179,0.0101
DDC,-1.85,0.000365,0.0101
TRIM25,0.746,0.000365,0.0101
AKR1C8,-0.753,0.000366,0.0101
PNMA3,-0.25789081,0.00181,0.0102
LIMA1,0.41508975,0.00182,0.0102
SIDT2,0.37309862,0.00182,0.0102
CCDC69,0.44955673,0.00181,0.0102
MSR1,0.20915874,0.00182,0.0102
FAM53C,0.30074568,0.00181,0.0102
ROGDI,-0.4822874,0.00148,0.0102
NQO2,-0.7038045,0.00147,0.0102
NOP10,0.46764818,0.0018,0.0102
STARD13,-0.42890584,0.00182,0.0102
CD33,0.3814053,0.00183,0.0102
PKDREJ,-0.25064733,0.00182,0.0102
IKBKB,0.170973,0.00147,0.0102
GOLGA2,-0.2384063,0.00149,0.0103
NUDT6,-0.4468906,0.00149,0.0103
HDDC2,-0.3404385,0.00148,0.0103
ZNF264,0.2885335,0.00149,0.0103
STK4,0.1903632,0.00149,0.0103
SUGCT,-0.5798394,0.00149,0.0103
NMU,0.4921809,0.00149,0.0103
SIGLEC9,1.39,0.000372,0.0103
CDK5RAP3,0.41511205,0.00183,0.0103
PSG11,-0.33335431,0.00184,0.0103
TSTD2,0.31270064,0.00183,0.0103
AP2B1,0.29997227,0.00185,0.0103
IVD,-0.4091843,0.00149,0.0103
FBXL7,-0.38661535,0.00185,0.0103
KBTBD11-AS1,-1.37,0.000375,0.0103
NLE1,0.21420944,0.00183,0.0103
POGK,0.36611875,0.00184,0.0103
PITX1-AS1,-0.27563753,0.00183,0.0103
MTMR6,-0.38482761,0.00185,0.0104
NHERF1,-0.4263021,0.00186,0.0104
CCL13,0.40314828,0.00186,0.0104
RBM22,0.223687,0.00152,0.0104
GPKOW,0.33211493,0.00185,0.0104
MBD2,-0.17022448,0.00187,0.0104
PHF1,-0.2461493,0.00151,0.0104
SLC40A1,0.728,0.000379,0.0104
CRYL1,-0.4979938,0.00151,0.0104
FNBP4,-0.969,0.000378,0.0104
AKAP8,-0.1967054,0.00152,0.0105
TPD52L2,0.64,0.000381,0.0105
TMEM161A,1.18,0.000381,0.0105
MASP2,-0.20182477,0.00189,0.0105
ANKZF1,0.42136684,0.00189,0.0105
CHI3L2,0.5223885,0.00153,0.0105
TYMP,0.606905,0.00153,0.0105
CYTH3,0.16465919,0.00188,0.0105
KCTD2,-0.47907897,0.0019,0.0105
INHBC,-0.2905267,0.00188,0.0105
P4HB,0.2807749,0.00153,0.0105
GABRP,1.00900544,0.00189,0.0105
SF3B2,0.561,0.000381,0.0105
RBM6,0.6507501,0.00189,0.0105
MBNL3,-0.38303915,0.00189,0.0105
SUCLG2,-0.4412206,0.00154,0.0105
EPHX1,-0.6784349,0.00154,0.0105
ST13,-0.3408678,0.00153,0.0105
GMFG,0.7687881,0.00153,0.0105
ALYREF,0.714,0.000381,0.0105
DGKQ,0.27936919,0.0019,0.0105
ID3,0.874,0.000389,0.0106
METTL3,0.44411931,0.00193,0.0106
KRT10,0.35462961,0.00191,0.0106
RNF6,0.1814396,0.00155,0.0106
LSR,0.4029898,0.00192,0.0106
TNFRSF8,-0.56458515,0.00191,0.0106
SEPTIN7P13,-1.35,0.000386,0.0106
PLAT,0.867,0.000391,0.0106
GNMT,-0.3346457,0.00191,0.0106
ANKRD50,0.839,0.000385,0.0106
PGF,0.7133619,0.00191,0.0106
PLEKHG2,1.1,0.000388,0.0106
AMBN,-0.34265003,0.00192,0.0106
SMR3A,-0.19176061,0.0019,0.0106
MAN2A2,-0.2113612,0.00156,0.0106
SIGMAR1,0.29387841,0.00192,0.0106
REG1CP,-0.28746101,0.00195,0.0107
ACSF2,-0.6400157,0.00158,0.0107
DDX60,0.6684354,0.00157,0.0107
NR2F2,0.624,0.000395,0.0107
UGT1A4,-1.36,0.000393,0.0107
PRLR,-0.4938436,0.00157,0.0107
ZNF267,0.4417795,0.00157,0.0107
ESCO1,-0.634,0.000393,0.0107
GEMIN6,0.33844899,0.00195,0.0107
GPR27,-0.23944505,0.00194,0.0107
GLDC,-1.88,0.000393,0.0107
MON1B,0.24286121,0.00195,0.0107
CELA3A,-0.22311983,0.00194,0.0107
TRIM37,0.34797954,0.00198,0.0108
PSIP1,-0.37980101,0.00198,0.0108
NUBP2,0.54435945,0.00198,0.0108
AMHR2,-0.32629221,0.00196,0.0108
EMC3,0.37762424,0.00196,0.0108
TTPAL,0.24519023,0.00196,0.0108
SMPDL3A,-0.50744366,0.00198,0.0108
CRELD1,0.63703084,0.00198,0.0108
PDXP-DT,-0.30197991,0.00198,0.0108
YPEL1,0.18016107,0.00196,0.0108
MYO19,-0.2318942,0.00159,0.0108
LIN37,0.5898429,0.00197,0.0108
SLC68A1,0.27799848,0.00197,0.0108
GALC,-0.48846232,0.00195,0.0108
TACO1,-0.3989857,0.00159,0.0108
PDLIM7,0.2572083,0.00196,0.0108
BHLHE40,-0.552633,0.0016,0.0108
TFEB,-0.2218318,0.0016,0.0108
RAI2,0.835,0.000398,0.0108
ATP6AP1L,-1.5,0.000398,0.0108
NF2,0.784,0.000401,0.0108
CENPM,0.32430363,0.00199,0.0108
CXXC4,-0.31143127,0.00197,0.0108
ZNF107,0.198096,0.0016,0.0108
AKIP1,0.607,0.000404,0.0109
SCGN,0.53673705,0.00199,0.0109
CDR2,0.53068477,0.00201,0.0109
ACVR2B-AS1,-0.3179502,0.00162,0.0109
RGSL1,-0.36577369,0.002,0.0109
SNED1,-0.34559242,0.002,0.0109
STXBP3,-0.43069275,0.00199,0.0109
TOR1B,0.889,0.000406,0.0109
SAP30BP,0.43745469,0.00201,0.0109
ALPP,-0.24227142,0.00203,0.011
TRAPPC2,0.35243362,0.00203,0.011
DPM2,-0.2793646,0.00163,0.011
SFRP1,0.90928927,0.00203,0.011
MON2,-0.8,0.000411,0.011
COTL1,0.93168753,0.00201,0.011
KLK12,-0.23519909,0.00202,0.011
HINFP,0.44104975,0.00202,0.011
EYA1,-0.32226266,0.00202,0.011
SLC6A8,-0.4389716,0.00163,0.011
SCN8A,-0.16010426,0.00203,0.011
SPATA2L,-0.4989394,0.00163,0.011
ANO10,0.35516044,0.00202,0.011
NET1,-0.5485069,0.00165,0.0111
ASCL3,-0.33498357,0.00206,0.0111
C2ORF42,0.34696296,0.00206,0.0111
GTF2A2,-0.47977442,0.00206,0.0111
SFXN5,-0.957,0.000417,0.0111
MYL12A,0.4982374,0.00166,0.0111
RCSD1,1.25,0.000412,0.0111
GATAD2A,0.767,0.000414,0.0111
CFAP74,-0.25369007,0.00206,0.0111
PRG4,0.20080183,0.00204,0.0111
TMEM186,0.33172295,0.00206,0.0111
TROAP,-0.20877678,0.00205,0.0111
SPC25,0.16892032,0.00205,0.0111
TAAR5,-0.23183024,0.00208,0.0112
CD226,0.20528031,0.00208,0.0112
ANKRD52,0.717,0.000422,0.0112
CLEC2D,0.20325979,0.00207,0.0112
APOOL,-0.30680714,0.00207,0.0112
TUBA1B,0.3999285,0.00207,0.0112
LGI2,0.33866046,0.00207,0.0112
GPX3,-0.3342172,0.00167,0.0112
TRAPPC8,-0.2941186,0.00168,0.0113
AATF,0.30815958,0.00211,0.0113
FAM215A,-0.35814281,0.0021,0.0113
KIF2A,0.2521059,0.00169,0.0113
RDX,-0.45388157,0.00211,0.0113
THAP1,0.429907,0.00169,0.0113
OR52N1,-1.12,0.000427,0.0113
MARCHF7,-0.618,0.000426,0.0113
CYFIP1,0.594,0.000426,0.0113
SEMA6A,1.08,0.000429,0.0113
RILPL2,0.94,0.000427,0.0113
HK1,0.75,0.000423,0.0113
LOC102724775,-1.03,0.000424,0.0113
NR3C1,0.3346408,0.0017,0.0113
COX11,-0.2412244,0.0017,0.0113
PIGH,-0.3444456,0.00169,0.0113
CLIC2,0.5451532,0.00169,0.0113
TGIF1,0.4298354,0.0017,0.0113
HNF4A,-0.3431739,0.0017,0.0113
MRPS34,-0.2785781,0.00169,0.0113
GLUL,-0.38637402,0.00213,0.0114
BIN2,0.36612278,0.00212,0.0114
ARL5A,-0.48602478,0.00213,0.0114
IRF2BP2,-0.774,0.000432,0.0114
FKBP1B,0.42341495,0.00211,0.0114
GOLGA8A,-2.26,0.000434,0.0114
SLCO2A1,0.3318069,0.00171,0.0114
CPNE7,-0.2963629,0.00172,0.0114
NR1H4,0.4200101,0.00172,0.0114
SLC35F2,0.2924469,0.00171,0.0114
SLC5A2,-0.7000051,0.00171,0.0114
IGKV4-1,1.0837395,0.00173,0.0115
MEX3C,0.2665695,0.00173,0.0115
TIMM23,0.34078928,0.00215,0.0115
PXMP2,-0.5669891,0.00173,0.0115
NSD3,0.1622283,0.00173,0.0115
ANKRD11,0.788,0.000438,0.0115
CREM,-0.3985872,0.00173,0.0115
PHIP,0.2673089,0.00174,0.0115
UTP20,-0.2846655,0.00173,0.0115
DLGAP2,-0.25893906,0.00216,0.0115
FIG4,0.35635179,0.00216,0.0115
DYRK4,0.43179475,0.00215,0.0115
SASH1,-0.66423364,0.00216,0.0115
BLOC1S1,-0.2431086,0.00174,0.0115
SEPTIN6,0.399491,0.00214,0.0115
SLC61A1,0.31949256,0.00216,0.0115
BAG4,0.25964583,0.00215,0.0115
SPINT3,-0.22608862,0.00215,0.0115
ADISSP,0.21554394,0.00216,0.0115
FNDC10,0.67,0.000443,0.0116
FGFR3,-0.313262,0.00176,0.0116
SDC1,-0.5338958,0.00177,0.0116
ATXN7,-0.35069587,0.00219,0.0116
FZD4,-0.38258676,0.00218,0.0116
TMTC1,0.754,0.00044,0.0116
MRPS35,-0.2381444,0.00176,0.0116
ACTL7A,-0.23511971,0.00218,0.0116
ACVR2B,-0.21435691,0.00218,0.0116
LINC01004,-1.52,0.000441,0.0116
APLP1,-0.3508381,0.00175,0.0116
RCC1,0.21139234,0.00219,0.0116
S100PBP,0.28964361,0.00219,0.0116
PRRG4,-0.3727674,0.00179,0.0117
KLF7,-0.3467981,0.00178,0.0117
MTMR14,-0.2239117,0.00178,0.0117
SH3GL2,-0.880225,0.00178,0.0117
INPP5E,0.28931932,0.00221,0.0117
ABHD14A,-0.6019667,0.00177,0.0117
ATP6V0A2,0.34353732,0.00222,0.0117
NQO1,-0.54633847,0.00222,0.0117
P2RX6,-0.37524464,0.0022,0.0117
GPR12,-0.29640955,0.0022,0.0117
SQOR,0.2164402,0.00179,0.0117
SLC18A2,0.2922134,0.00179,0.0117
CES1P1,-0.17674303,0.0022,0.0117
BCS1L,0.37153792,0.00221,0.0117
RARB,-0.40023139,0.00222,0.0118
F12,0.3758719,0.0018,0.0118
AHCYL2,-0.24508499,0.00224,0.0118
NADK,0.19848806,0.00224,0.0118
ZMYM4,0.271526,0.00181,0.0118
LCE3D,0.626,0.00045,0.0118
RNF40,-0.2184879,0.00179,0.0118
EIF2B4,0.35621691,0.00223,0.0118
ABCF2,0.18165155,0.00225,0.0118
MPG,0.43086511,0.00223,0.0118
ARPC4,0.28267879,0.00225,0.0118
NOS3,0.46883097,0.00222,0.0118
RXFP3,-0.23396363,0.00224,0.0118
SYNGR4,-0.32322604,0.00223,0.0118
METTL16,0.1765207,0.00183,0.0119
ARHGAP25,0.4448283,0.00183,0.0119
PLPBP,-0.3220228,0.00183,0.0119
PTPRCAP,0.3486929,0.00227,0.0119
RNF10,-0.1933194,0.00183,0.0119
LOXL1,0.8141423,0.00184,0.0119
RASSF8,-0.39136485,0.00227,0.0119
THOC5,0.44564197,0.00227,0.0119
DDX31,0.23719667,0.00226,0.0119
RPLP2,0.64327305,0.00226,0.0119
TGDS,0.27750233,0.00226,0.0119
BTBD18,-1.01,0.000457,0.0119
SLC1A5,-0.3695389,0.00228,0.0119
DPH2,0.23098444,0.00226,0.0119
STK33,-1.25,0.000455,0.0119
MCCC1,-0.4144488,0.00184,0.0119
CBLB,-0.49772434,0.00227,0.0119
TUBG1,-0.5057203,0.00185,0.012
ETFDH,-0.748,0.000463,0.012
TXNDC15,0.37419748,0.0023,0.012
DDX28,-0.1765534,0.00185,0.012
GAD2,-0.22044956,0.00229,0.012
CIB1,-0.292462,0.00185,0.012
SMAD4,-0.28305613,0.0023,0.012
PTPN23,0.956,0.000469,0.0121
SRSF11,-0.72,0.00047,0.0121
LRP5,-0.3983424,0.00186,0.0121
ABCB1,0.84194532,0.00231,0.0121
COMMD8,0.2918371,0.00187,0.0121
MPV17,0.31085724,0.00232,0.0121
ALDH1L1-AS1,-0.933,0.000465,0.0121
L3MBTL4,-0.871,0.000473,0.0122
MCU,-0.673,0.000472,0.0122
SFSWAP,-0.179835,0.0019,0.0122
DLAT,-0.4196509,0.00188,0.0122
TPBG,0.704346,0.00188,0.0122
FBXL6,-0.298074,0.00189,0.0122
PSORS1C2,-0.2965938,0.0019,0.0122
DHX35,-0.34532227,0.00234,0.0122
PTP4A1,-0.3611349,0.00189,0.0122
MPST,-0.3371239,0.0019,0.0122
TBCC,0.2844582,0.00192,0.0123
IRS4,-0.16991497,0.00236,0.0123
WLS,0.63538874,0.00237,0.0123
HTR1E,-0.2722089,0.00237,0.0123
SIX6,-0.19773312,0.00235,0.0123
SAMSN1,0.7454767,0.0019,0.0123
RB1CC1,-0.34729497,0.00237,0.0123
DLG5,-0.53438357,0.00236,0.0123
RPL11,0.53033432,0.00235,0.0123
PAX1,-0.20619755,0.00235,0.0123
ANKRD6,0.268258,0.00191,0.0123
ITPK1,-0.2192736,0.00192,0.0123
ACOT8,-0.2632796,0.00191,0.0123
PSMD4,0.36851958,0.00239,0.0124
LAT2,0.27929145,0.00239,0.0124
S1PR3,1.09,0.000485,0.0124
MTCL2,0.813,0.000485,0.0124
SLC9A2,-0.325772,0.00195,0.0124
SEZ6L,-0.21067196,0.0024,0.0124
SYNJ2,-0.31876893,0.00239,0.0124
CAMKK2,0.754,0.000482,0.0124
SMARCA5,0.2963592,0.00194,0.0124
CSTPP1,0.2070828,0.00194,0.0124
SS18,-0.2675664,0.00194,0.0124
TCF3,0.22064447,0.00239,0.0124
HS3ST2,0.64850567,0.00238,0.0124
VPS37C,0.1710058,0.00193,0.0124
SNORD17,-2.26,0.000493,0.0125
CPLANE1,-0.707,0.000491,0.0125
ANKMY2,0.3297994,0.00196,0.0125
MAGEF1,0.2278826,0.00196,0.0125
GATA6,-0.6148428,0.00197,0.0125
C19ORF18,-0.787,0.000493,0.0125
KHK,-0.5865016,0.00196,0.0125
ATP2B4,0.77,0.000493,0.0125
FAM167B,1.51,0.00049,0.0125
WDR72,-1.78,0.000488,0.0125
TRPV4,-0.4102728,0.00196,0.0125
NAA16,-0.968,0.000495,0.0125
SNORD114-11,-1.16,0.000495,0.0125
SARS2,-0.2472125,0.00196,0.0125
ZNF577,-0.852,0.000492,0.0125
SSNA1,0.42290592,0.00242,0.0125
DDX49,0.45523807,0.00242,0.0125
BRCC3,0.42838747,0.00241,0.0125
GUCA2B,-0.27179519,0.00241,0.0125
ADD2,-0.19744085,0.00241,0.0125
ADRB1,-0.34294072,0.00244,0.0126
MEIS2,0.995,0.000497,0.0126
RAB28,-0.28424496,0.00243,0.0126
CHRNA3,-0.17794714,0.00243,0.0126
PBRM1,0.148058,0.00198,0.0126
SPECC1L,0.2473347,0.00198,0.0126
NTM,0.3122904,0.00199,0.0126
ATP6V0D1,-0.3114418,0.002,0.0126
PFDN2,-0.216541,0.00199,0.0126
ALG6,0.3678236,0.00199,0.0126
PIK3C2A,-0.42035035,0.00245,0.0126
ATRNL1,0.45775917,0.00243,0.0126
GNRH2,-0.26466342,0.00245,0.0126
LOC254896,0.2399378,0.00199,0.0126
BTC,-0.29627209,0.00245,0.0126
GRK3,-0.25759556,0.00244,0.0126
TARDBP,-0.2549013,0.002,0.0126
RGS2,-0.9997757,0.00198,0.0126
BBS9,0.26865586,0.00246,0.0127
PLET1,-0.723,0.000505,0.0127
RREB1,-0.2876909,0.00202,0.0127
DSTYK,-0.3066115,0.00247,0.0127
SLC15A2,0.50805588,0.00247,0.0127
YDJC,0.625,0.000506,0.0127
MRPL23,0.7163976,0.00248,0.0127
ETV2,0.42144324,0.00248,0.0127
PSMC5,-0.2103468,0.002,0.0127
WBP11,-0.3022949,0.00201,0.0127
TBRG4,-0.2609134,0.00201,0.0127
DCPS,-0.38749,0.00201,0.0127
UNC93B1,1.15,0.000508,0.0128
C2ORF72,-0.3164133,0.00203,0.0128
AMFR,-0.5163664,0.00203,0.0128
RIOX1,0.3236969,0.00206,0.0129
SPAG5,-0.6297441,0.00206,0.0129
ZKSCAN4,0.2516615,0.00206,0.0129
HCP5,0.4803707,0.00205,0.0129
OR52A1,-0.23933828,0.00252,0.0129
RAD51C,0.26233096,0.00251,0.0129
ADCY6,-0.2268254,0.00205,0.0129
GALNT12,0.40469787,0.00252,0.0129
ERCC1,0.36013915,0.00252,0.0129
SLF2,-0.542,0.000516,0.0129
GSN,0.691,0.000516,0.0129
SEC31B,-0.609,0.000517,0.0129
MAGI2-AS2,-1.59,0.000513,0.0129
IL36A,-0.21066473,0.00252,0.0129
SGCB,-0.3655046,0.0025,0.0129
ACTG1P4,-0.56,0.000511,0.0129
GOLGA2P5,-1.08,0.000521,0.013
PAK3,0.48489578,0.00255,0.013
ZNF225,0.35023819,0.00253,0.013
TECPR2,0.185065,0.00208,0.013
MRPL58,-0.3973079,0.00207,0.013
GLS,-0.684,0.000523,0.013
FTSJ3,0.30717406,0.00253,0.013
ELOA-AS1,-0.3194573,0.00208,0.013
GOLGA8B,-2.71,0.000527,0.0131
H19,1.06,0.000526,0.0131
CDK10,-0.2040509,0.0021,0.0131
LTBP4,1.02,0.000532,0.0131
EFCAB13-DT,-1.41,0.000529,0.0131
HTR3A,-0.23095825,0.00255,0.0131
PPIH,0.45666095,0.00257,0.0131
FBLIM1,0.819,0.000529,0.0131
LINC02603,-1.11,0.000525,0.0131
CLCC1,0.2269541,0.00212,0.0132
LINC00339,-0.4470755,0.00211,0.0132
SLC12A6,-0.4954538,0.00212,0.0132
CCDC148,-1.4,0.000535,0.0132
PPP2R2B,-0.62465691,0.00258,0.0132
S100A12,-2.39,0.000537,0.0132
MS4A1,0.7138355,0.00213,0.0132
TBC1D12,0.26507722,0.00258,0.0132
LINC01237,-0.789,0.000539,0.0132
ANAPC4,-0.874,0.000537,0.0132
GADD45G,-0.6096765,0.00212,0.0132
MINDY3,-0.28636571,0.00262,0.0133
PC,-0.97997957,0.0026,0.0133
ALG5,0.2118899,0.00214,0.0133
ACSM1,0.26032385,0.00261,0.0133
EIF5A,0.50823367,0.0026,0.0133
BCL7B,-0.2322607,0.00213,0.0133
PFDN5,0.80004368,0.00261,0.0133
LAX1,0.3526443,0.00217,0.0134
PDGFRB,0.935,0.000547,0.0134
NDUFA1,-0.2390866,0.00216,0.0134
CYB5R3,0.668,0.000549,0.0134
KCNQ1OT1,-1.32,0.000546,0.0134
CNN2,0.741,0.00055,0.0134
COMETT,-2.3,0.000549,0.0134
PIPOX,-0.92784318,0.00267,0.0135
BCL2L1,-0.26742065,0.00264,0.0135
FKBP3,0.365163,0.00266,0.0135
ANK3,-1.02,0.00057,0.0136
RDH10,-1.44,0.000568,0.0136
RNF44,0.999,0.000559,0.0136
SLC45A2,-0.20176812,0.00269,0.0136
PCDHGA1,-0.30293335,0.00267,0.0136
HP,0.26499695,0.00268,0.0136
ZNF385D,-0.3020409,0.0022,0.0136
IPMK,0.804,0.000564,0.0136
LYPLAL1,-0.872,0.000569,0.0136
LIX1L,0.973,0.000568,0.0136
GALM,-1.45,0.000566,0.0136
MGAT4B,0.707,0.000558,0.0136
MEF2A,0.3593519,0.00269,0.0136
LMOD2,-0.801,0.00056,0.0136
SMOX,1.32,0.000569,0.0136
FKBP14,1.1,0.000564,0.0136
MIR99AHG,-0.731,0.00057,0.0136
SLC35E2A,1.16,0.000562,0.0136
CIAO2B,-0.2519397,0.00222,0.0137
DIP2C,-0.38394706,0.00271,0.0137
KCTD5,0.2834981,0.0027,0.0137
PRDX6,-0.1618944,0.00221,0.0137
MAP3K14,0.42687387,0.00271,0.0137
PAX4,-0.18275346,0.00271,0.0137
SMURF2,0.3534096,0.00223,0.0137
MAPK6,0.36668005,0.00272,0.0137
MXD4,0.918,0.000572,0.0137
UBA7,0.726,0.000582,0.0138
CFAP210,-0.9,0.000584,0.0138
ELMO3,-0.287035,0.00224,0.0138
ZDHHC5,0.716,0.000577,0.0138
ABCB4,0.53767025,0.00272,0.0138
BRF2,1.31,0.000578,0.0138
LY6G5C,0.35358712,0.00274,0.0138
COL13A1,0.22092458,0.00273,0.0138
WDR82,0.3127257,0.00226,0.0139
MYO16,-0.18976813,0.00277,0.0139
ALAD,-0.5494621,0.00226,0.0139
CTNNA3,-0.61010079,0.00276,0.0139
EMP1,0.90344761,0.00278,0.0139
RNF167,-0.2612496,0.00226,0.0139
RNPEP,0.35120133,0.00276,0.0139
SLC5A7,-0.23853592,0.00277,0.0139
CBX5,0.42720007,0.00277,0.0139
CDH2,0.44792247,0.00276,0.0139
USP25,-0.25135731,0.00275,0.0139
SLCO4C1,-1.63,0.000585,0.0139
SWAP70,0.4699426,0.00227,0.0139
CEBPA-DT,-0.3288917,0.00226,0.0139
LY6G6C,-0.24128974,0.00275,0.0139
TOB2,-0.3962893,0.00228,0.014
KIAA0825,-0.899,0.000592,0.014
ANKRD55,-0.36771174,0.00279,0.014
BORCS6,0.691,0.000594,0.014
RPS19,0.48985363,0.00278,0.014
USH1C,-0.4668546,0.00228,0.014
WFS1,1.18,0.00059,0.014
TBX21,0.31278085,0.0028,0.014
ZNF358,-0.2901084,0.00229,0.014
ACADS,-0.3087532,0.00229,0.014
CTDP1,-0.2505781,0.00231,0.0141
FLAD1,0.28772436,0.00281,0.0141
EIF4EBP2,-0.2720104,0.00232,0.0141
PCLAF,0.3385217,0.00232,0.0141
APOB,-0.1892213,0.00282,0.0141
DMPK,-0.3991845,0.00232,0.0141
CHN1,0.3503548,0.00231,0.0141
PAQR4,0.276086,0.00232,0.0141
HSF2,0.2477523,0.00232,0.0141
MYL9,-0.5248442,0.00231,0.0141
KLHL9,0.240523,0.00234,0.0142
TSLIG2,0.2263759,0.00234,0.0142
ZNF692,0.42143953,0.00283,0.0142
PIK3IP1,0.3518573,0.00233,0.0142
ZBP1,0.593,0.000603,0.0142
VPS51,-0.2001766,0.00236,0.0143
STXBP6,0.41145986,0.00286,0.0143
GTF2B,0.28587153,0.00285,0.0143
MAP4K5,0.228141,0.00235,0.0143
MYRF,0.1940929,0.00236,0.0143
CALB1,-0.9999625,0.00235,0.0143
GORASP2,0.29692911,0.00289,0.0144
PNN,0.34187322,0.0029,0.0144
IFIH1,0.55288453,0.00289,0.0144
SLC7A9,-1.12111722,0.0029,0.0144
CALB2,-0.23021028,0.00288,0.0144
GUCY1A2,0.30188792,0.00289,0.0144
MTREX,0.2664189,0.00237,0.0144
AMZ2,-0.2538386,0.00238,0.0144
BTG2-DT,-0.24667403,0.00293,0.0145
PTPN4,-0.723,0.000619,0.0145
WEE1,-0.2598132,0.00241,0.0145
NEAT1,-0.961,0.000618,0.0145
PRDM12,-0.27147028,0.00292,0.0145
CNR2,-0.28436145,0.00291,0.0145
APAF1,0.2017701,0.0024,0.0145
PTPRN,-0.219763,0.0024,0.0145
PICK1,1.08,0.00062,0.0145
LDHAL6B,-1.65,0.000622,0.0145
TRIM26,-0.2801865,0.00241,0.0145
IFI44,0.80166581,0.00292,0.0145
SNORA70C,-1.05,0.000617,0.0145
SPR,0.35329468,0.00291,0.0145
FAM133CP,-0.974,0.00062,0.0145
SNRNP70,0.36858451,0.00291,0.0145
PPL,0.71651592,0.00292,0.0145
SUN2,-0.2446806,0.00241,0.0146
ANK2,-0.9767521,0.00243,0.0146
DOLK,0.30963991,0.00295,0.0146
SGCE,0.281907,0.00243,0.0146
TMEM151B,-0.18739238,0.00295,0.0146
ITPRIPL2,0.74,0.000628,0.0146
UBA6,0.2342856,0.00244,0.0146
C1QBP,-0.2973415,0.00244,0.0146
KBTBD3,-0.821,0.000625,0.0146
ZBTB22,-0.273029,0.00242,0.0146
KYAT1,-0.2408812,0.00243,0.0146
DBN1,0.2808495,0.00244,0.0146
FRMD4A,0.2891229,0.00243,0.0146
FOLH1B,-1.54,0.000629,0.0146
SPA17,0.4174289,0.00242,0.0146
MLST8,-0.2695751,0.00242,0.0146
HEG1,0.931,0.000632,0.0147
LOC148696,-0.927,0.000636,0.0147
ARHGEF18,0.232737,0.00247,0.0147
ZXDC,-0.2131453,0.00246,0.0147
SENP7,-0.847,0.000632,0.0147
FLNC,0.694,0.000638,0.0147
GSTK1,-0.2973911,0.00245,0.0147
PLAGL2,-0.33590879,0.00295,0.0147
LENEP,-0.748,0.000632,0.0147
SLC23A3,-1.61,0.000633,0.0147
EPB41L4A,0.25198899,0.00296,0.0147
PPEF1,-0.2935589,0.00297,0.0147
FSCN3,-0.2483387,0.00297,0.0147
GHITM,-0.2705773,0.00244,0.0147
RPS3,0.49162892,0.00299,0.0148
IPO13,-0.2696652,0.00248,0.0148
SLC25A44,-0.3817541,0.00249,0.0148
LRP2,-1.44,0.000639,0.0148
AKAP12,0.794,0.000645,0.0148
ADGRL4,0.4581064,0.00248,0.0148
TTC27,0.4309989,0.00248,0.0148
GLP1R,-0.15171741,0.00299,0.0148
ZNF853,0.715,0.000642,0.0148
PRP4K,-0.685,0.000648,0.0149
PMVK,-0.2435294,0.00252,0.0149
GFPT1,0.3481357,0.0025,0.0149
EPHB2,0.28423001,0.00302,0.0149
PTPRN2,0.273382,0.00252,0.0149
FRMD1,-0.2616367,0.00252,0.0149
ZMYM6,0.18128,0.00253,0.015
ARF3,-0.2168303,0.00253,0.015
TICAM1,0.39169219,0.00303,0.015
ELOVL4,-0.73300927,0.00304,0.015
