gene,organ,instrument_source,n_instruments,IVW_beta,IVW_p,IVW_p_adj,Egger_p,Cochran_Q_p,F_statistic,verdict,IVW_p_adj_50gene
COL1A1,Liver,eQTLGen,1,1.20923551526779,0.0642751507877721,0.6223003235361572,,,64.60140625,Not Significant (IVW p>=0.05),0.49361184839091476
COL1A1,Lung,eQTLGen,1,-0.0971239848873182,0.916595923220454,0.983344746747594,,,64.60140625,Not Significant (IVW p>=0.05),0.9814731351245495
COL1A1,Skin,eQTLGen,1,0.449853143685509,0.783954242914085,0.980273981533108,,,64.60140625,Not Significant (IVW p>=0.05),0.9814731351245495
COL1A2,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
COL1A2,Liver,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
COL1A2,Lung,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
COL1A2,Skin,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
COL3A1,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
COL3A1,Liver,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
COL3A1,Lung,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
COL3A1,Skin,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
COL6A3,Kidney,eQTLGen,1,0.002183090877473,0.991451400406244,0.99612805795533,,,596.15570569,Not Significant (IVW p>=0.05),0.991451400406244
COL6A3,Liver,eQTLGen,1,-0.235335013500712,0.444383402686942,0.9177578274973504,,,596.15570569,Not Significant (IVW p>=0.05),0.8196188676954851
COL6A3,Lung,eQTLGen,1,0.474372549129618,0.279159358803259,0.9177578274973504,,,596.15570569,Not Significant (IVW p>=0.05),0.8196188676954851
COL6A3,Skin,eQTLGen,1,-1.37049351409041,0.0790796333190193,0.6238504406278189,,,596.15570569,Not Significant (IVW p>=0.05),0.5008376776871222
COLEC11,Kidney,eQTLGen,1,0.236612515780296,0.297566248363504,0.9177578274973504,,,330.46513369,Not Significant (IVW p>=0.05),0.8196188676954851
COLEC11,Liver,eQTLGen,1,0.392428482572063,0.237933362716093,0.9160524304972164,,,330.46513369,Not Significant (IVW p>=0.05),0.8113695395443072
COLEC11,Lung,eQTLGen,1,-0.320658227835521,0.496426877278384,0.9177578274973504,,,330.46513369,Not Significant (IVW p>=0.05),0.8324434679668369
COLEC11,Skin,eQTLGen,1,1.19763790987355,0.156339850335643,0.7568270027611808,,,330.46513369,Not Significant (IVW p>=0.05),0.6601015903060482
CTSS,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
CTSS,Liver,eQTLGen,1,0.00510599430121,0.955644894726535,0.983344746747594,,,1514.42392336,Not Significant (IVW p>=0.05),0.9814731351245495
CTSS,Lung,eQTLGen,1,-0.323746456223511,0.0128705671559159,0.4303512948566115,,,1514.42392336,Single instrument - Unable to assess pleiotropy,0.31027080526094425
CTSS,Skin,eQTLGen,1,-0.0434023736564081,0.85112230649095,0.983344746747594,,,1514.42392336,Not Significant (IVW p>=0.05),0.9814731351245495
F13A1,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
F13A1,Liver,eQTLGen,1,0.0992307988349828,0.314080577656283,0.9177578274973504,,,1771.88799844,Not Significant (IVW p>=0.05),0.8196188676954851
F13A1,Lung,eQTLGen,1,0.0880616622875578,0.528289559680248,0.9281919674912172,,,1771.88799844,Not Significant (IVW p>=0.05),0.8324434679668369
F13A1,Skin,eQTLGen,1,-0.155592377024645,0.53274899899028,0.9281919674912172,,,1771.88799844,Not Significant (IVW p>=0.05),0.8324434679668369
FBN1,Kidney,eQTLGen,1,-0.0189424614023849,0.895317338291782,0.983344746747594,,,543.10438116,Not Significant (IVW p>=0.05),0.9814731351245495
FBN1,Liver,eQTLGen,1,-0.111602163296747,0.540144485896421,0.9281919674912172,,,543.10438116,Not Significant (IVW p>=0.05),0.8324434679668369
FBN1,Lung,eQTLGen,1,-0.134858959708139,0.601556849958094,0.9421441841255442,,,543.10438116,Not Significant (IVW p>=0.05),0.8791984730156758
FBN1,Skin,eQTLGen,1,0.0454335694434659,0.921392872598044,0.983344746747594,,,543.10438116,Not Significant (IVW p>=0.05),0.9814731351245495
FMOD,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
FMOD,Liver,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
FMOD,Lung,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
FMOD,Skin,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
GDF15,Kidney,eQTLGen,1,0.232664604129218,0.102768216190316,0.7296543349512435,,,430.03975876,Not Significant (IVW p>=0.05),0.616609297141896
GDF15,Liver,eQTLGen,1,0.200192881233571,0.250765460429236,0.9160524304972164,,,430.03975876,Not Significant (IVW p>=0.05),0.8113695395443072
