gene,logFC,p_value,adj_p_value
MFAP4,2.22,5.79e-22,9.63e-20
SNORD61,3.857359,1.7199999999999998e-23,1.01e-19
RBP1,1.89,6.99e-22,1.15e-19
LHFP,2.18,9.01e-22,1.48e-19
ENPP2,2.54,1.19e-21,1.9e-19
APOLD1,2.72,1.29e-21,2.05e-19
ANXA1,2.95,1.3900000000000001e-21,2.2e-19
RGS10,1.73,1.6e-21,2.49e-19
LOC101928361///ARHGAP15,1.77,1.75e-21,2.68e-19
GYG2,-1.45,1.7700000000000003e-21,2.7e-19
CLDN10,2.41,1.79e-21,2.71e-19
IGHA2///IGHA1///IGH,4.44,1.97e-21,2.96e-19
MXRA7,1.73,2.35e-21,3.52e-19
CCL21,2.51,2.5600000000000003e-21,3.78e-19
COL16A1,1.25,2.7200000000000002e-21,3.99e-19
ADD3,1.52,2.9000000000000004e-21,4.23e-19
CRYAB,1.76,3.0000000000000003e-21,4.34e-19
VAMP3,1.02,3.2100000000000004e-21,4.62e-19
KCTD12,2.21,3.410000000000001e-21,4.83e-19
CD53,1.78,3.39e-21,4.83e-19
SOX9,2.5,3.8000000000000005e-21,5.36e-19
CAPN2,1.42,4.0000000000000004e-21,5.61e-19
ID4,3.15,4.670000000000001e-21,6.46e-19
METTL9,1.1,5.050000000000001e-21,6.9e-19
COL4A2,2.47,5.5000000000000005e-21,7.47e-19
HLA-B,1.26,5.5600000000000006e-21,7.5e-19
SH3BP5,1.35,7.04e-21,9.39e-19
NEDD9,2.28,8.56e-21,1.13e-18
CYTH2,0.907,1.05e-20,1.39e-18
IGKV1OR2-118,2.63,1.16e-20,1.52e-18
AXL,1.64,1.18e-20,1.54e-18
IGLJ3///IGLV@///IGLC1,3.16,1.2e-20,1.56e-18
HYOU1,-1.67,1.21e-20,1.56e-18
FZD1,1.49,1.26e-20,1.61e-18
CXCL6,3.57,1.29e-20,1.65e-18
LCP2,2.08,1.32e-20,1.67e-18
ST3GAL6,-2.03,1.38e-20,1.73e-18
CCL5,2.29,1.5e-20,1.88e-18
BGN,1.73,1.53e-20,1.9e-18
KIAA0100,-1.51,1.78e-20,2.18e-18
FZD7,2.62,1.82e-20,2.22e-18
TREM2,-2.91,2.22e-22,2.46e-18
UBE2D4,-1.04,2.24e-20,2.7e-18
HLA-A,1.11,2.75e-20,3.3e-18
SNORD15B,3.049275,7.54e-22,3.69e-18
SNURF///SNRPN,1.25,3.26e-20,3.87e-18
LGALS3BP,2.48,3.73e-20,4.38e-18
IDH2,-1.56,3.81e-20,4.42e-18
SNORD76,3.717917,1.0600000000000001e-21,4.43e-18
SNORD28,3.248956,1.27e-21,4.66e-18
GJA1,2.79,4.06e-20,4.69e-18
SOX4,3.02,4.34e-20,4.99e-18
CRAT,-1.41,4.72e-20,5.39e-18
LOC101930591///FAM21C,1.01,4.79e-20,5.42e-18
PCOLCE2,-1.64,4.79e-20,5.42e-18
STX7,0.924,4.85e-20,5.46e-18
ACVR2B,-1.11,5.97e-20,6.61e-18
MLEC,-1.58,5.99e-20,6.61e-18
TRAC,1.46,6e-20,6.61e-18
TNXB///TNXA,1.11,6.28e-20,6.9e-18
COX7A1,1.38,6.53e-20,7.13e-18
APOBEC3G,1.75,6.64e-20,7.22e-18
SNORD43,4.5716,2.29e-21,7.47e-18
CYP2C19,4.422454,2.6800000000000003e-21,7.88e-18
KRT23,3.37,7.32e-20,7.91e-18
CACFD1,-0.932,9.94e-20,1.06e-17
SRGN,2.62,9.98e-20,1.06e-17
ANXA3,2.64,1.03e-19,1.1e-17
ITM2A,2.19,1.11e-19,1.17e-17
PPT1,1.4,1.15e-19,1.21e-17
TM4SF4,1.46,1.17e-19,1.22e-17
EVI2A,2.21,1.2e-19,1.24e-17
PMP22,1.65,1.38e-19,1.42e-17
GPRC5B,1.64,1.41e-19,1.45e-17
F3,2.48,1.56e-19,1.58e-17
SNORD45A,4.0176,6.46e-21,1.72e-17
SUSD6,1.05,1.79e-19,1.8e-17
SNORD80,3.452149,8.580000000000001e-21,1.94e-17
PHYH,5.235596,8.220000000000001e-21,1.94e-17
CDC42EP3,2.18,1.96e-19,1.95e-17
PLA2G4C,1.43,1.98e-19,1.96e-17
BLVRA,1.34,2.18e-19,2.15e-17
SNORD41,4.282606,1.23e-20,2.59e-17
MYH10,1.2,2.68e-19,2.61e-17
PDIA4,-1.67,2.73e-19,2.65e-17
IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,2.64,2.75e-19,2.67e-17
SH3YL1,2.48,2.78e-19,2.68e-17
WIPF1,1.78,2.85e-19,2.73e-17
FXYD2,1.8,2.95e-19,2.8e-17
SPARCL1,2.47,3.05e-19,2.87e-17
PPIE,4.330947,1.48e-20,2.89e-17
FOXA1,-1.04,3.28e-19,3.07e-17
FGL2,2.07,3.35e-19,3.12e-17
TNFAIP8,1.71,3.65e-19,3.39e-17
SNORD1C,3.56886,2.31e-20,4.01e-17
SNORD36C,4.694404,2.32e-20,4.01e-17
SNORA16A,3.329133,2.56e-20,4.18e-17
OLFML3,1.74,4.55e-19,4.19e-17
SNORD100,4.616129,2.73e-20,4.21e-17
TBC1D9,1.69,4.63e-19,4.22e-17
GPR183,2.69,4.62e-19,4.22e-17
PTGER4,2.46,4.71e-19,4.29e-17
UGDH,-1.42,5.09e-19,4.59e-17
AMIGO3///GMPPB,-1.25,5.12e-19,4.6e-17
CHST4,2.22,5.2e-19,4.65e-17
RIMOC1,2.953518,3.43e-20,5.04e-17
VWF,2.25,5.93e-19,5.24e-17
GPR171,2.6,6.1e-19,5.37e-17
SNORD16,4.372242,3.87e-20,5.42e-17
IFITM1,1.46,6.23e-19,5.47e-17
LYZ,2.48,6.48e-19,5.66e-17
GEM,2.94,6.5e-19,5.66e-17
COL4A1,2.24,6.68e-19,5.79e-17
LPAR6,1.6,6.75e-19,5.83e-17
PNN,1.43,6.83e-19,5.88e-17
EXPH5,-1.18,6.9e-19,5.92e-17
RNY4,5.380567,4.44e-20,5.93e-17
SNORD15A,3.355119,4.84e-20,6.19e-17
MYO10,1.36,7.98e-19,6.81e-17
DYNLRB1,1.05,8.11e-19,6.87e-17
AVPR1A,-0.851,8.12e-19,6.87e-17
MMP2,1.9,8.42e-19,7.1e-17
AHNAK,1.21,8.68e-19,7.29e-17
MYL9,1.98,8.7e-19,7.29e-17
NDUFS1,3.226769,6.29e-20,7.69e-17
SNORD91B,4.922242,6.67e-20,7.84e-17
RNF103-CHMP3///CHMP3,1.23,1.05e-18,8.73e-17
ADAMTS17,4.084489,8.27e-20,9.35e-17
HLA-DQB1,1.97,1.23e-18,1.01e-16
MITF,1.09,1.24e-18,1.02e-16
STK24,0.986,1.28e-18,1.04e-16
LINC02532,3.081192,9.91e-20,1.08e-16
SNORD94,5.481625,1.04e-19,1.09e-16
COL1A1,-2.25,1.55e-20,1.15e-16
RMRP,3.25853,1.21e-19,1.22e-16
MYOF,1.98,1.64e-18,1.33e-16
EIF5,4.405715,1.44e-19,1.41e-16
FRZB,1.2,1.74e-18,1.41e-16
PECAM1,1.32,1.83e-18,1.47e-16
GGA2,-0.782,1.84e-18,1.48e-16
SNORD103C,5.487815,1.58e-19,1.5e-16
TMEM35B///ZMYM6,1.22,2.07e-18,1.65e-16
PLAT,2.28,2.1e-18,1.66e-16
IL17RC,5.354169,1.93e-19,1.77e-16
SNORD104,4.143596,1.98e-19,1.77e-16
ANXA2,1.41,2.4e-18,1.89e-16
RXRA,-1.06,2.47e-18,1.93e-16
SERPINA3,-0.883,2.61e-18,2.03e-16
SEPT2,0.966,2.7e-18,2.09e-16
H4C5,3.805743,2.54e-19,2.19e-16
SNORD2,4.173598,2.83e-19,2.31e-16
CD302,3.578818,2.81e-19,2.31e-16
TUSC3,1.82,3.09e-18,2.38e-16
CLIC1,1.05,3.25e-18,2.5e-16
PRKCH,1.51,3.29e-18,2.52e-16
CFTR,1.95,3.34e-18,2.54e-16
SNORD84,4.923027,3.29e-19,2.61e-16
ISG15,2.86,3.45e-18,2.62e-16
SNAI2,2.5,3.62e-18,2.74e-16
ATP6V0A1,-0.819,3.65e-18,2.76e-16
DPT,2.83,3.71e-18,2.78e-16
CNBP,3.190051,3.77e-19,2.91e-16
DYNC1I2,0.803,3.9e-18,2.91e-16
NACC2,-1.52,4.01e-18,2.99e-16
ALPL,-1.78,4.04e-18,3e-16
EMILIN1,1.21,4.43e-18,3.28e-16
PAM,1.46,4.46e-18,3.29e-16
SNORD90,4.182611,4.41e-19,3.32e-16
HLA-E,1.03,4.52e-18,3.32e-16
LAPTM5,1.55,4.6e-18,3.37e-16
FBLN1,1.45,4.63e-18,3.38e-16
BAMBI,1.27,4.68e-18,3.39e-16
RNY5,4.982895,4.87e-19,3.58e-16
PDXK,-1.26,5.46e-18,3.92e-16
AVPR1B,-0.928,6e-18,4.28e-16
PCBD1,3.073627,6.18e-19,4.43e-16
GYPC,0.913,6.46e-18,4.6e-16
CRISPLD2,2.28,6.51e-18,4.62e-16
BEX3,1.25,6.55e-18,4.64e-16
EVI2B,1.67,6.69e-18,4.71e-16
ICAM2,1.07,6.7e-18,4.71e-16
GSTP1,1.37,6.85e-18,4.78e-16
PTGIS,1.67,7.01e-18,4.87e-16
MTHFD2,2.63,7.02e-18,4.87e-16
FANCC,-1.19,7.09e-18,4.9e-16
PEA15,1.28,7.38e-18,5.09e-16
RAC2,1.24,7.4e-18,5.09e-16
CTPS2,3.530084,7.54e-19,5.21e-16
ACOX1,3.405828,7.63e-19,5.21e-16
SPARC,1.61,8.04e-18,5.5e-16
NAP1L1,1.05,8.28e-18,5.64e-16
CD59,0.899,8.56e-18,5.81e-16
RPL27,2.753971,9.06e-19,6.05e-16
LOC101929500///CRIM1,1.57,9.37e-18,6.3e-16
TNFAIP3,1.71,9.43e-18,6.33e-16
BCLAF1,3.904556,1.01e-18,6.56e-16
NKTR,5.095553,1.05e-18,6.56e-16
SNORA31,3.626822,1.03e-18,6.56e-16
CD44,2.09,9.93e-18,6.62e-16
TSC22D3,2.26,1.04e-17,6.88e-16
CXCL12,2.05,1.07e-17,7.07e-16
COL6A1,1.47,1.1e-17,7.23e-16
PRKCB,4.344342,1.22e-18,7.47e-16
TXNIP,1.92,1.17e-17,7.61e-16
ERLIN2,3.515063,1.31e-18,7.7e-16
SNORD58A,3.495664,1.31e-18,7.7e-16
BEX4,1.56,1.2e-17,7.77e-16
BNIP3L,1.36,1.2e-17,7.77e-16
SHMT2,-0.796,1.21e-17,7.8e-16
IQGAP1,1.5,1.22e-17,7.9e-16
SNORD34,4.806021,1.4e-18,8.07e-16
AKAP13,1.18,1.31e-17,8.44e-16
MARCKS,1.92,1.33e-17,8.51e-16
SNORD36A,4.430092,1.55e-18,8.77e-16
SNORD18A,3.407651,1.64e-18,9.09e-16
CXCL9,2.72,1.45e-17,9.27e-16
VCAN,2.1,1.46e-17,9.29e-16
SNORD83A,3.847635,1.77e-18,9.61e-16
SNTB1,-1.31,1.54e-17,9.77e-16
HSD17B6,2.73445,1.85e-18,9.87e-16
SYVN1,3.686662,1.88e-18,9.87e-16
BACE2,1.8,1.65e-17,1.04e-15
HLA-C,0.887,1.68e-17,1.05e-15
RPE,3.080813,2.08e-18,1.07e-15
CTSK,1.47,1.72e-17,1.08e-15
MIR612,4.28903,2.19e-18,1.1e-15
ST6GAL1,2.64978,2.21e-18,1.1e-15
RNY3,3.853599,2.29e-18,1.12e-15
IGLJ3,2.42,1.82e-17,1.14e-15
S100A10,1.31,1.99e-17,1.24e-15
FAM129A,1.95,2.09e-17,1.3e-15
SLC25A6,0.929,2.16e-17,1.34e-15
SEC61B,-0.868,2.21e-17,1.35e-15
PIK3IP1,1.29,2.27e-17,1.38e-15
CXCL10,3.35,2.28e-17,1.39e-15
PLVAP,1.36,2.41e-17,1.45e-15
GRB10,3.261959,3.13e-18,1.51e-15
TSPAN4,0.783,2.52e-17,1.52e-15
KCNJ5,-1.77,3.63e-19,1.61e-15
ITGAX,-1.18,3.59e-19,1.61e-15
MZB1,1.75,2.78e-17,1.66e-15
ITGA4,1.87,2.78e-17,1.66e-15
SNORA71B,3.282277,3.73e-18,1.77e-15
SNORD87,2.876057,3.84e-18,1.79e-15
LAMC1,1.15,3.47e-17,2.06e-15
SLC25A11,-1.15,3.8e-17,2.25e-15
P4HB,-1.27,3.9e-17,2.3e-15
FXYD6,0.909,4.09e-17,2.4e-15
SFRP5,1.07,4.14e-17,2.43e-15
SNORD65,4.608668,5.4e-18,2.48e-15
SNORD26,2.982422,5.57e-18,2.51e-15
ANKRD1,-5.770892,5.73e-18,2.51e-15
SNORD101,3.430312,5.73e-18,2.51e-15
THPO,-0.89,4.38e-17,2.55e-15
CD48,1.39,4.37e-17,2.55e-15
CHST15,1.22,4.58e-17,2.67e-15
SDCCAG3,-0.931,4.68e-17,2.72e-15
COQ8A,-0.979,4.7e-17,2.72e-15
SH3BP2,-0.695,4.74e-17,2.74e-15
IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHA2///IGHA1,2.22,4.79e-17,2.76e-15
PHF11,1.11,4.89e-17,2.81e-15
C14ORF159,1.24,4.94e-17,2.83e-15
SEL1L,-1.33,4.97e-17,2.84e-15
ZFPM2,1.5,5.27e-17,3e-15
SPR,-0.823,5.31e-17,3.02e-15
ADD1,0.839,5.46e-17,3.09e-15
ABCA9,3.041562,7.28e-18,3.15e-15
S100A11,1.67,5.57e-17,3.15e-15
SNORD49A,4.458312,7.42e-18,3.16e-15
PLS3,2.730972,7.64e-18,3.21e-15
FAM111A,1.05,5.93e-17,3.34e-15
POMGNT1,-1.01,6.06e-17,3.41e-15
CYBA,1.32,6.17e-17,3.46e-15
UGCG,1.5,6.24e-17,3.49e-15
FUS,1.09,6.26e-17,3.5e-15
HIPK2,-0.876,6.35e-17,3.53e-15
SNORD63,4.425157,9.07e-18,3.71e-15
WDR26,2.758558,9.09e-18,3.71e-15
SLC35B1,-1.1,7.03e-17,3.91e-15
PTGR1,3.959174,9.79e-18,3.94e-15
DCK,1.54,7.23e-17,4e-15
MID1,1.67,7.36e-17,4.07e-15
KLRC4-KLRK1///KLRK1,1.24,7.45e-17,4.11e-15
ARHGAP25,0.896,7.48e-17,4.11e-15
TMEM204,1.31,7.51e-17,4.12e-15
SNORA6,3.382287,1.08e-17,4.29e-15
GMFG,1.17,8.06e-17,4.4e-15
NCLN,-0.838,8.18e-17,4.45e-15
SLC71A2,3.502626,1.24e-17,4.79e-15
ORM2///ORM1,-0.84,9.01e-17,4.88e-15
RAI2,1.16,9.1e-17,4.92e-15
CDKN1C,1.75,9.16e-17,4.94e-15
SP3,3.002879,1.35e-17,5.14e-15
KDELR2,-1.02,9.59e-17,5.16e-15
NUP98,2.674939,1.39e-17,5.22e-15
LXN,2.62,9.87e-17,5.3e-15
TMED2,-0.918,1e-16,5.36e-15
CXCR1,-0.604,1.03e-16,5.49e-15
SNORD60,5.595399,1.48e-17,5.5e-15
LBH,1.42,1.06e-16,5.64e-15
ENG,1.26,1.08e-16,5.75e-15
CPT1A,1.52,1.1e-16,5.8e-15
STT3A,-1.39,1.16e-16,6.12e-15
PFDN5,0.903,1.18e-16,6.21e-15
FOXO3,1.38,1.2e-16,6.31e-15
SNORD10,4.48829,1.74e-17,6.39e-15
SLC25A36,1.57,1.23e-16,6.47e-15
NDN,1.06,1.24e-16,6.49e-15
SNORD83B,4.030023,1.85e-17,6.71e-15
STK11,-0.775,1.29e-16,6.72e-15
RNASE4,2.842026,1.89e-17,6.76e-15
PRAMEF10,-3.8,1.84e-18,6.79e-15
SNORD38A,4.3133,1.99e-17,7.05e-15
RHOD,-1.03,1.37e-16,7.09e-15
TM4SF1,2.08,1.37e-16,7.09e-15
TMEM222,-0.659,1.39e-16,7.17e-15
SNORA32,3.659216,2.13e-17,7.43e-15
NFASC,1.71,1.45e-16,7.46e-15
MAS1,-0.91,1.46e-16,7.51e-15
ARL6IP5,1.02,1.52e-16,7.79e-15
H6PD,-1.47,1.57e-16,8.06e-15
CTBP2,1.73,1.61e-16,8.23e-15
STAG2,2.865994,2.45e-17,8.45e-15
DIEXF,-0.839,1.71e-16,8.72e-15
EXOSC4,-0.617,1.74e-16,8.86e-15
RBPJ,1.01,1.75e-16,8.88e-15
RAB31,1.55,1.78e-16,8.99e-15
TADA1,2.794739,2.63e-17,9e-15
PRELP,1.25,1.81e-16,9.12e-15
ENDOD1,1.5,1.82e-16,9.18e-15
GZMA,1.85,1.84e-16,9.23e-15
RFX5,1.15,1.9e-16,9.52e-15
SNORA77,3.418771,2.83e-17,9.56e-15
GNAS,0.815,1.91e-16,9.56e-15
AKR1B1,1.24,1.93e-16,9.63e-15
MVK,-0.728,1.94e-16,9.66e-15
TJP2,3.646729,3.1e-17,1.03e-14
F11,3.261669,3.11e-17,1.03e-14
METTL13,-0.759,2.13e-16,1.06e-14
ALDH5A1,3.229488,3.25e-17,1.06e-14
YWHAZ,0.88,2.19e-16,1.08e-14
FTH1P7,2.495699,3.42e-17,1.1e-14
HAGH,3.677425,3.59e-17,1.13e-14
SRSF5,1.838697,3.62e-17,1.13e-14
GALR3,-0.775,2.29e-16,1.13e-14
SNORD37,2.993099,3.56e-17,1.13e-14
SNORA3A,3.470641,3.68e-17,1.14e-14
HLA-F,1.17,2.33e-16,1.15e-14
EPB41L2,1.17,2.36e-16,1.16e-14
SNORA72,3.860286,3.82e-17,1.17e-14
LTB,0.799,2.44e-16,1.2e-14
MRPS18A,-0.733,2.47e-16,1.2e-14
GATA6,1.49,2.46e-16,1.2e-14
FAXDC2,-0.867,2.49e-16,1.21e-14
DDX17,0.806,2.5e-16,1.21e-14
OGFOD2,-0.818,2.51e-16,1.22e-14
SEC63,-1.05,2.55e-16,1.23e-14
IGBP1,0.752,2.55e-16,1.23e-14
EIF2A,2.148475,4.18e-17,1.27e-14
RWDD2B,-0.941,2.72e-16,1.31e-14
GLIPR1,1.65,2.85e-16,1.36e-14
MYH9,0.896,2.87e-16,1.37e-14
IGHM,2.88,2.93e-16,1.4e-14
IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHD///IGHA2///IGHA1///IGH,1.75,2.99e-16,1.42e-14
SGK2,-0.992,3e-16,1.42e-14
CAV1,1.72,2.99e-16,1.42e-14
NPIPB12,3.218398,4.77e-17,1.43e-14
EIF4G1,-0.924,3.14e-16,1.48e-14
SERP1,-1.17,3.17e-16,1.49e-14
PAWR,0.956,3.16e-16,1.49e-14
POLD2,3.644782,5.17e-17,1.53e-14
PROM1,2.11,3.44e-16,1.61e-14
SCARNA11,4.348612,5.52e-17,1.62e-14
FABP5,2.04,3.62e-16,1.69e-14
CMTM6,2.764682,5.9e-17,1.7e-14
ANPEP,2.757438,5.86e-17,1.7e-14
ROBO1,1.61,3.8e-16,1.77e-14
SLITRK3,-1.1,3.8e-16,1.77e-14
DTX4,-1.44,3.89e-16,1.8e-14
ZFAND5,1.34,3.87e-16,1.8e-14
GSPT2,-0.943,3.93e-16,1.81e-14
SURF2,2.9836,6.4e-17,1.82e-14
SNORA49,3.968912,6.46e-17,1.82e-14
TSHZ1,2.73355,6.6e-17,1.85e-14
EIF1,0.908,4.24e-16,1.95e-14
YPEL5,0.939,4.3e-16,1.97e-14
FTL,3.403631,7.16e-17,1.98e-14
SWAP70,1.41,4.35e-16,1.99e-14
SPRY1,1.96,4.45e-16,2.03e-14
RNF128,3.174619,7.92e-17,2.14e-14
HLA-G,1.03,4.8e-16,2.18e-14
FILIP1L,1.99,4.78e-16,2.18e-14
SLC33A1,-1.47,4.91e-16,2.22e-14
TIMP3,1.55,5.08e-16,2.29e-14
TRAPPC9,-0.704,5.22e-16,2.34e-14
CALR,-2.01,5.19e-16,2.34e-14
DSCR8,-5.351857,9e-17,2.38e-14
SNORD9,3.836578,9.13e-17,2.39e-14
SLC4A2,-1.02,5.46e-16,2.45e-14
SDF2L1,-1.52,5.73e-16,2.55e-14
HSPA2,1.75,5.71e-16,2.55e-14
TNFRSF12A,-3.68,8.23e-18,2.6e-14
SNORA64,4.056122,1.03e-16,2.68e-14
SLC8B1,-0.624,6.03e-16,2.68e-14
IL18,1.5,6.11e-16,2.7e-14
ADM,1.62,6.3e-16,2.79e-14
ANXA11,0.974,6.44e-16,2.84e-14
ATP6V0E1,2.972245,1.13e-16,2.91e-14
GAS6,0.924,6.64e-16,2.91e-14
SGCB,0.979,6.64e-16,2.91e-14
PC,-1.56,6.63e-16,2.91e-14
GSN,1.77,6.69e-16,2.93e-14
SLC5A5,-0.813,6.85e-16,2.99e-14
SNORD27,3.231391,1.18e-16,3.02e-14
PDLIM3,1.46,6.97e-16,3.04e-14
SNORD46,2.752091,1.23e-16,3.1e-14
MIR4738///H3F3B///H3F3A,0.997,7.18e-16,3.12e-14
CPVL,1.67,7.23e-16,3.13e-14
SNORA18,2.82385,1.25e-16,3.14e-14
FMOD,1.31,7.5e-16,3.25e-14
SNORD93,4.514131,1.32e-16,3.29e-14
IGF2,2.786229,1.34e-16,3.3e-14
ACSM2B,4.09261,1.38e-16,3.39e-14
