gene,logFC,p_value,adj_p_value
GIMAP1-GIMAP5,-0.664,6.58e-06,6.5e-05
MTA1,1.179326,1.57e-05,6.5e-05
LOC102723996,-0.696,6.6e-06,6.51e-05
PRXL2B,-0.824,6.61e-06,6.51e-05
CENPE,-1.740401,1.57e-05,6.52e-05
HECTD2-AS1,-1.273219,1.58e-05,6.53e-05
ZNF695,-2.6021,1.57e-05,6.53e-05
CENPU,0.657,1.67e-05,6.55e-05
PRINS,1.035347,1.58e-05,6.56e-05
FAM91A1,0.820667,1.59e-05,6.57e-05
LILRB4,-0.796,6.67e-06,6.57e-05
SPRING1,-0.354,6.67e-06,6.57e-05
KCTD16,-1.252688,1.59e-05,6.58e-05
RASSF9,0.228,1.68e-05,6.58e-05
TAFAZZIN,-0.495,6.69e-06,6.58e-05
C1ORF56,0.79,1.69e-05,6.59e-05
DIP2C,-0.294,1.68e-05,6.59e-05
SPECC1L-ADORA2A///ADORA2A,-0.262,1.69e-05,6.59e-05
TBCEL,-0.274,1.68e-05,6.59e-05
SHISAL2A,-2.800909,1.59e-05,6.6e-05
DDX25,-1.699995,1.59e-05,6.6e-05
PRKAG3,-1.63907,1.6e-05,6.6e-05
IVL,0.88341,1.59e-05,6.6e-05
C14ORF119,-1.726132,1.6e-05,6.61e-05
STIM2,1.315158,1.6e-05,6.61e-05
NCR3,-0.983,6.72e-06,6.62e-05
NEIL1,0.827244,1.6e-05,6.62e-05
MIP,1.065231,1.6e-05,6.62e-05
AHRR,-2.381857,1.6e-05,6.63e-05
CSNK2A1,0.325,1.7e-05,6.63e-05
PCGF2,-1.730192,1.61e-05,6.65e-05
KNOP1,1.053041,1.61e-05,6.65e-05
ALX1,-2.164412,1.61e-05,6.66e-05
CLSTN3,2.605686,1.61e-05,6.66e-05
CHKA,0.482,1.71e-05,6.66e-05
LOC101060581///AGAP5///AGAP9///AGAP12P///BMS1P5///AGAP11///AGAP4,0.423,1.71e-05,6.67e-05
ABCB7,0.244,6.79e-06,6.67e-05
MC2R,-0.156,1.71e-05,6.67e-05
GOLGA3,-0.376,1.71e-05,6.68e-05
ZNF607,-1.821858,1.62e-05,6.68e-05
RSPH14,-0.297,1.72e-05,6.69e-05
TAS2R3,-0.311,1.72e-05,6.7e-05
EEIG2,-0.612,6.84e-06,6.71e-05
GPR156,0.960152,1.63e-05,6.71e-05
ALX4,-2.63736,1.62e-05,6.71e-05
MIR651,0.887179,1.63e-05,6.72e-05
RAG1,1.001771,1.63e-05,6.72e-05
OR10G8,-4.031841,1.63e-05,6.72e-05
TTLL6,-1.703983,1.63e-05,6.72e-05
SEPT9,0.363,1.73e-05,6.73e-05
ZNF835,-0.277,1.73e-05,6.73e-05
IL17REL,-2.045653,1.63e-05,6.73e-05
LYPD6,-1.171155,1.63e-05,6.73e-05
RFTN1,0.71,1.73e-05,6.74e-05
IRF3,-0.58,6.87e-06,6.74e-05
COMMD9,-1.682915,1.63e-05,6.74e-05
MIR1468,-1.298209,1.63e-05,6.74e-05
FOXJ2,-1.879053,1.64e-05,6.74e-05
PMCHL2,0.967803,1.64e-05,6.74e-05
AP5B1,-0.383,6.88e-06,6.74e-05
EEA1,-0.21,1.73e-05,6.74e-05
ALDH3A2,0.374,6.89e-06,6.75e-05
LOC107985862,0.92,6.91e-06,6.76e-05
NINJ2,-1.910157,1.64e-05,6.76e-05
HCCAT5,-3.35652,1.64e-05,6.77e-05
RPL7A,1.224445,1.64e-05,6.77e-05
ATG4B,0.964685,1.64e-05,6.77e-05
NCOA2,1.662675,1.64e-05,6.77e-05
ZNF213,-2.443951,1.64e-05,6.77e-05
UPK1B,-0.239,1.74e-05,6.78e-05
HSD17B2,0.692,1.74e-05,6.79e-05
IGHG1,-1.17,6.95e-06,6.8e-05
ARHGEF26,1.30084,1.65e-05,6.8e-05
FBXW10B,1.049102,1.65e-05,6.8e-05
FBXL7,0.951893,1.65e-05,6.8e-05
RAPGEF2,0.477,1.75e-05,6.81e-05
MRPL28,1.58031,1.66e-05,6.81e-05
BRAP,-0.335,1.75e-05,6.82e-05
SNU13,1.774996,1.66e-05,6.82e-05
MAD2L2,-0.695,6.99e-06,6.83e-05
APOA2,-0.258,1.76e-05,6.83e-05
SLC2A12,0.576,7e-06,6.83e-05
CNTNAP4,-1.081769,1.66e-05,6.83e-05
SLC35C1,-0.555,1.76e-05,6.84e-05
C8ORF4,0.785,1.76e-05,6.86e-05
CKS1B,-2.547248,1.67e-05,6.86e-05
GCK,-2.407173,1.67e-05,6.86e-05
ABCC10,-0.484,7.04e-06,6.87e-05
TNFRSF11A,-0.621,7.07e-06,6.88e-05
METTL25,0.324,7.05e-06,6.88e-05
MXD4,-0.778,7.05e-06,6.88e-05
MROH9,-0.802523,1.67e-05,6.88e-05
FGF8,-1.865019,1.67e-05,6.88e-05
CCDC197,0.808769,1.67e-05,6.88e-05
CHTF18,-1.19,7.05e-06,6.88e-05
POLR2C,1.110223,1.68e-05,6.89e-05
FAM110B,0.283,7.1e-06,6.9e-05
KIDINS220,0.154,7.11e-06,6.9e-05
CTRL,-1.471312,1.68e-05,6.9e-05
POP7,-0.488,1.78e-05,6.9e-05
SMARCB1,-0.42,7.1e-06,6.9e-05
CTC1,-0.313,1.78e-05,6.9e-05
LOC107985524,0.537,7.11e-06,6.9e-05
UPF3A,1.229905,1.68e-05,6.91e-05
TMEM206,-0.229,1.78e-05,6.91e-05
SPMIP8,0.938298,1.68e-05,6.91e-05
FCAMR,-1.898987,1.69e-05,6.93e-05
CCDC180,-2.306997,1.69e-05,6.93e-05
OR5T3,-1.098818,1.69e-05,6.93e-05
PRR34,-0.334,1.79e-05,6.94e-05
IGKV2D-28,-1.02,7.16e-06,6.95e-05
AP1B1,1.960847,1.7e-05,6.95e-05
USP47,0.216,7.17e-06,6.96e-05
MRPL3,0.955027,1.7e-05,6.96e-05
METRNL,-0.998,7.2e-06,6.97e-05
GFM2,0.28,7.21e-06,6.98e-05
SRRT,-2.682062,1.7e-05,6.99e-05
COL13A1,-1.39755,1.71e-05,7e-05
INTS9,-0.981161,1.71e-05,7e-05
ACTR1A,-0.388,7.24e-06,7.01e-05
LOC101060747///PDPK1,-0.306,1.81e-05,7.02e-05
PXN,0.929468,1.71e-05,7.02e-05
PTRH2,1.09581,1.72e-05,7.03e-05
MIR660,-1.532274,1.72e-05,7.04e-05
PRH1-PRR4,0.337,7.29e-06,7.05e-05
ASH1L,0.195,7.29e-06,7.05e-05
ZNF76,-0.248,1.82e-05,7.05e-05
TANC1,-0.357,7.29e-06,7.05e-05
OR8D4,-1.15735,1.72e-05,7.05e-05
MYL6B,-0.569,7.29e-06,7.05e-05
NKG7,-0.86,7.31e-06,7.06e-05
RAP1BL,0.993568,1.73e-05,7.06e-05
OR5M11,-1.392798,1.72e-05,7.06e-05
ELOC,2.158898,1.73e-05,7.06e-05
NRL,-1.56856,1.73e-05,7.06e-05
TUBB4B,1.056449,1.73e-05,7.07e-05
MAEL,1.15,7.33e-06,7.07e-05
STAT2,-1.457072,1.73e-05,7.08e-05
RPRD2,0.176,7.34e-06,7.08e-05
IFITM5,-2.142126,1.73e-05,7.08e-05
B3GAT3,-0.366,1.83e-05,7.1e-05
PSMB8-AS1,-0.436,7.36e-06,7.1e-05
LOC105375434,0.627,7.39e-06,7.11e-05
GHITM,-0.33,1.84e-05,7.12e-05
C10ORF126,1.29,7.39e-06,7.12e-05
MIOX,-3.159496,1.75e-05,7.14e-05
MIR596,-3.10777,1.75e-05,7.15e-05
LOC105378748,0.65,7.43e-06,7.15e-05
KCND3,0.32,7.43e-06,7.15e-05
LOC100505585///ARHGEF1,0.329,1.85e-05,7.15e-05
VIP,-2.075911,1.75e-05,7.16e-05
MAP7,0.214,7.45e-06,7.16e-05
NRGN,-0.298,1.85e-05,7.16e-05
HIPK4,-1.829232,1.76e-05,7.18e-05
PRTG,-1.405005,1.76e-05,7.19e-05
C1ORF122,1.793534,1.77e-05,7.21e-05
SNX25,1.169758,1.77e-05,7.21e-05
ANKRD13A,-1.757936,1.77e-05,7.21e-05
KRT72,-2.577909,1.77e-05,7.23e-05
SSNA1,-1.0,7.55e-06,7.24e-05
SUSD1,-0.482,7.54e-06,7.24e-05
NELL2,-0.884,7.56e-06,7.25e-05
MTMR12,1.062256,1.78e-05,7.26e-05
GH1///CSHL1///CSH2///CSH1,-0.218,1.88e-05,7.26e-05
SPATA7,0.3,1.88e-05,7.26e-05
FAM76B,1.021943,1.79e-05,7.27e-05
TIGD6,0.266,7.58e-06,7.27e-05
CLIC6,-1.08,7.59e-06,7.27e-05
PPP2R2A,0.422,1.88e-05,7.27e-05
IL16,-1.575638,1.78e-05,7.27e-05
SNORD45C,0.974648,1.79e-05,7.29e-05
NOPCHAP1,1.037457,1.79e-05,7.29e-05
TTLL11,0.926877,1.79e-05,7.29e-05
C3ORF22,-1.578472,1.79e-05,7.29e-05
WDR93,-1.227933,1.79e-05,7.29e-05
RGMB,1.124931,1.79e-05,7.29e-05
NRIP1,0.966641,1.79e-05,7.29e-05
PDCD10,1.021343,1.79e-05,7.3e-05
ACTR2P2,0.816246,1.8e-05,7.31e-05
MIR130A,-1.680877,1.8e-05,7.31e-05
YRDC,-0.354,1.9e-05,7.32e-05
SNORA70C,0.862409,1.8e-05,7.33e-05
LSM14B,2.654705,1.8e-05,7.33e-05
PI4K2A,-0.444,1.9e-05,7.33e-05
CATSPER1,-1.241802,1.8e-05,7.33e-05
LHX8,-1.75077,1.8e-05,7.33e-05
SETMAR,0.359,1.9e-05,7.34e-05
DIO2,-2.621167,1.81e-05,7.35e-05
PSMD10,1.253799,1.81e-05,7.35e-05
RNF5,-0.344,1.91e-05,7.36e-05
RNF167,0.393,1.91e-05,7.36e-05
CCL24,-1.46,7.69e-06,7.37e-05
RBMXP3,1.057554,1.82e-05,7.38e-05
ANXA10,0.488,7.72e-06,7.38e-05
RAB4B,-0.67,7.71e-06,7.38e-05
CABP7,-2.253957,1.82e-05,7.38e-05
HORMAD2-AS1,0.726,7.75e-06,7.4e-05
ERN1,-0.404,1.92e-05,7.4e-05
CHCT1,-1.800785,1.83e-05,7.42e-05
CARINH,1.20631,1.83e-05,7.42e-05
RS1,-1.449222,1.83e-05,7.42e-05
OR2H1,-0.285,1.93e-05,7.42e-05
KIR3DL1,-0.235,1.93e-05,7.43e-05
DPRXP4,1.019714,1.83e-05,7.43e-05
TDP2,1.043297,1.83e-05,7.43e-05
TSGA10,-3.243027,1.83e-05,7.43e-05
RWDD1,-1.41247,1.83e-05,7.43e-05
C6ORF136,-2.052254,1.84e-05,7.44e-05
FAM47E,0.980881,1.84e-05,7.45e-05
F10,0.57,1.94e-05,7.46e-05
ABI3,-0.634,7.83e-06,7.46e-05
CARD19,-0.828,7.82e-06,7.46e-05
SLC6A2,-0.227,1.95e-05,7.49e-05
ACVR2A,-0.416,1.95e-05,7.49e-05
RPS13,1.899392,1.85e-05,7.49e-05
ABCG4,-1.478006,1.85e-05,7.49e-05
GPM6B,0.51,7.86e-06,7.49e-05
SYBU,0.681,1.95e-05,7.49e-05
NGFR,-0.539,7.89e-06,7.5e-05
RNF157,-0.777,7.88e-06,7.5e-05
LINC00597,0.5,1.95e-05,7.5e-05
IGLC2,-1.14,7.87e-06,7.5e-05
TMEM74B,-2.509669,1.85e-05,7.51e-05
FHOD3,-2.052702,1.85e-05,7.51e-05
WASHC4,1.233979,1.86e-05,7.52e-05
DDX20,1.4229,1.86e-05,7.52e-05
MYO15B,-0.635,7.93e-06,7.53e-05
KMT2E,0.888929,1.86e-05,7.54e-05
ENKUR,-1.828495,1.86e-05,7.54e-05
SLURP1,-2.933244,1.86e-05,7.55e-05
GAGE10,-2.710785,1.87e-05,7.56e-05
GCSH,0.427,7.98e-06,7.58e-05
RALGPS2,0.394,8e-06,7.59e-05
PMPCA,-1.519186,1.88e-05,7.59e-05
RPS28,-0.865,8e-06,7.59e-05
ETS1,-0.365,8.01e-06,7.59e-05
DPEP2,0.332,1.98e-05,7.6e-05
PIK3R6,-2.320834,1.88e-05,7.61e-05
RIPPLY1,-2.181566,1.88e-05,7.61e-05
SLC16A1,0.931848,1.89e-05,7.62e-05
MAIP1,1.317118,1.88e-05,7.62e-05
TMEM30A-DT,0.572,8.04e-06,7.62e-05
NECTIN2,1.217441,1.89e-05,7.64e-05
CLUAP1,0.273,1.99e-05,7.65e-05
UNC5A,-2.427165,1.9e-05,7.67e-05
KLHL7,1.222234,1.9e-05,7.67e-05
TMPRSS15,0.987842,1.9e-05,7.67e-05
BMP8B,-1.418198,1.9e-05,7.67e-05
GC,-0.318,2e-05,7.68e-05
PAGE5,-2.132904,1.9e-05,7.68e-05
MOB3C,0.853932,1.9e-05,7.68e-05
GNA11,-0.334,2e-05,7.68e-05
PMS2,-2.318347,1.9e-05,7.68e-05
HSP90AA1,-0.452,2e-05,7.68e-05
SYTL1,-1.02,8.12e-06,7.69e-05
APOE,2.025319,1.91e-05,7.69e-05
GALNTL6,-3.127665,1.91e-05,7.7e-05
CCDC9,0.996357,1.91e-05,7.7e-05
SERPINB9-AS1,-0.608,8.14e-06,7.7e-05
CYLC2,-0.15,2.01e-05,7.71e-05
B3GNTL1,-0.483,8.18e-06,7.73e-05
POTEKP,-2.819609,1.92e-05,7.73e-05
NAT2,0.505,8.2e-06,7.74e-05
OR4F15,-1.961066,1.93e-05,7.77e-05
IL18RAP,0.487,2.03e-05,7.77e-05
LMO1,-0.208,2.03e-05,7.77e-05
NEB,-0.844143,1.94e-05,7.79e-05
KNCN,0.959605,1.94e-05,7.79e-05
ORC6,-0.696696,1.94e-05,7.8e-05
ZNF689,-1.342331,1.94e-05,7.8e-05
CYP4X1,1.105311,1.94e-05,7.81e-05
MBLAC1,-1.475366,1.95e-05,7.83e-05
CYP4Z1,-2.169393,1.95e-05,7.83e-05
TIPRL,1.607253,1.96e-05,7.86e-05
TAS2R39,0.866305,1.96e-05,7.87e-05
SNX22,-1.553489,1.96e-05,7.88e-05
SLC38A4,0.476,8.39e-06,7.88e-05
SLC10A4,-2.046617,1.97e-05,7.89e-05
PTOV1-AS2,-0.645,8.39e-06,7.89e-05
PPP2R3B,-0.7,8.42e-06,7.9e-05
FRMD8,-0.53,8.43e-06,7.91e-05
ATP23,0.472,8.44e-06,7.91e-05
MTF2,0.539,2.07e-05,7.92e-05
ARHGEF17,-0.579,8.45e-06,7.92e-05
RAN,0.466,2.07e-05,7.92e-05
OR1E2///OR1E1,-0.25,2.07e-05,7.93e-05
TERT,-1.565584,1.98e-05,7.93e-05
PJA1,0.41,2.07e-05,7.94e-05
B3GALT5,-2.546301,1.98e-05,7.94e-05
TREX1,1.01243,1.98e-05,7.94e-05
TES,1.152932,1.98e-05,7.94e-05
SCGB1A1,-0.205,2.08e-05,7.95e-05
TP73-AS1,0.427,2.08e-05,7.95e-05
ZNF514,-0.309636,2.42e-08,7.95e-05
YAF2,0.43505624,2.7e-08,7.95e-05
CXCR3,-0.4427559,2.63e-08,7.95e-05
FMO4,0.414,8.49e-06,7.95e-05
SGK3,0.72121765,2.01e-08,7.95e-05
HMGN1,-0.73747604,1.75e-08,7.95e-05
TEX29,-2.677797,1.99e-05,7.98e-05
DMAC2L,0.252,8.52e-06,7.98e-05
MMD,-0.622,8.53e-06,7.98e-05
AKR1C3,-0.65,2.09e-05,7.99e-05
JMJD7,1.803108,1.99e-05,7.99e-05
ANO9,-0.682,8.57e-06,8.01e-05
NCRNA00250,0.994,8.58e-06,8.01e-05
ZSWIM5,0.599,8.57e-06,8.01e-05
CD7,-1.13,8.58e-06,8.01e-05
MIR1295A,-0.992523,2e-05,8.02e-05
TTC39B,-1.714904,2.01e-05,8.05e-05
POLR3G,0.441,8.63e-06,8.05e-05
LAMP3,0.918,2.11e-05,8.06e-05
MIR331,-0.820055,2.01e-05,8.06e-05
RUMY1,0.853121,2.02e-05,8.07e-05
SERBP1,-0.39,2.11e-05,8.07e-05
ZNF568,0.842119,2.02e-05,8.07e-05
MYCBPAP,-1.006837,2.02e-05,8.08e-05
MTX3,0.216,8.67e-06,8.08e-05
RGL3,-0.528,8.68e-06,8.08e-05
APIP,0.890104,2.02e-05,8.09e-05
ADORA1,1.142755,2.02e-05,8.09e-05
RBM42,-0.729,8.69e-06,8.09e-05
HIST1H1E,-0.198,2.12e-05,8.1e-05
ADGRL2,0.48,2.12e-05,8.11e-05
SAAL1,-1.484334,2.03e-05,8.12e-05
ANKRD36BP2,0.145,2.13e-05,8.13e-05
HSP90AB2P,-1.553433,2.03e-05,8.14e-05
ITGA2B,-0.2,2.13e-05,8.14e-05
ADAMTSL5,1.350801,2.04e-05,8.14e-05
NDUFB7,2.691574,2.04e-05,8.16e-05
ZSCAN16,-2.151669,2.04e-05,8.16e-05
DSCR10,-2.733666,2.05e-05,8.17e-05
EPHA1,-0.432,2.14e-05,8.17e-05
SUOX,1.54033,2.05e-05,8.18e-05
ZNF474,-1.296895,2.05e-05,8.18e-05
LRRTM3,0.943,8.8e-06,8.18e-05
CRACR2A,-0.406,8.79e-06,8.18e-05
ZBTB37,1.469372,2.05e-05,8.18e-05
LOC105370756,0.609,8.81e-06,8.19e-05
ZNRF4,-1.981772,2.05e-05,8.19e-05
UGT2B4,-0.697,2.15e-05,8.2e-05
FAR1,-0.475,8.83e-06,8.2e-05
IGKV1-39,-1.12,8.86e-06,8.22e-05
MFNG,-0.788,8.85e-06,8.22e-05
MIR1908///FADS1,-0.863,2.15e-05,8.22e-05
LINC00273,-2.52654,2.06e-05,8.23e-05
DCLRE1B,-0.823744,2.07e-05,8.24e-05
SCML1,1.294266,2.06e-05,8.24e-05
GNL1,-0.324,8.89e-06,8.24e-05
TNC,1.090925,2.07e-05,8.25e-05
XPO6,1.095729,2.07e-05,8.26e-05
RAPGEF1,-4.00189,2.07e-05,8.27e-05
TG,-0.316,2.18e-05,8.28e-05
APMAP,-0.572,2.17e-05,8.28e-05
EXD2,-0.389,2.18e-05,8.3e-05
IGKJ2,-1.19,8.96e-06,8.3e-05
MTIF3,0.17,8.96e-06,8.3e-05
LOC107987281,-1.38,8.98e-06,8.31e-05
BCL2L10,1.228558,2.08e-05,8.31e-05
ALDH16A1,1.981757,2.09e-05,8.32e-05
SCAND3,0.700719,2.09e-05,8.32e-05
ZNF510,-0.237,2.19e-05,8.32e-05
IAPP,-0.223,2.19e-05,8.33e-05
IGF2BP1,1.015421,2.09e-05,8.34e-05
CST6,-3.048312,2.09e-05,8.34e-05
ZKSCAN3,-1.328505,2.1e-05,8.35e-05
RCN2,1.010261,2.1e-05,8.35e-05
CROCC,-0.708,9.03e-06,8.35e-05
FKTN,0.233,9.06e-06,8.36e-05
CCDC80,-1.08,9.04e-06,8.36e-05
CASKIN2,-0.357,2.2e-05,8.37e-05
CARHSP1,-0.401,2.2e-05,8.38e-05
TCTN1,0.376,2.2e-05,8.38e-05
SHOC1,-1.047111,2.11e-05,8.38e-05
ID1,-1.06,9.08e-06,8.38e-05
LINC02606,-0.783,9.1e-06,8.39e-05
PPP2R5B,-0.438,9.12e-06,8.41e-05
ERICH2,0.489,9.14e-06,8.42e-05
AANAT,-0.232,2.22e-05,8.44e-05
RPGR,0.632,2.23e-05,8.45e-05
H4C4,-0.843,9.18e-06,8.46e-05
IL20RB,0.910058,2.13e-05,8.46e-05
C10ORF76,-0.406,2.23e-05,8.47e-05
INTS6L,0.897022,2.14e-05,8.48e-05
SLC29A4,-1.16,9.21e-06,8.48e-05
TXNL4A,-0.392,2.23e-05,8.48e-05
SLC28A2,-0.326,2.24e-05,8.49e-05
KCNG1,-1.899056,2.14e-05,8.49e-05
PRRT3,-0.707,9.23e-06,8.49e-05
MAGEC2,-0.232,2.24e-05,8.5e-05
KIAA0485,0.846,2.24e-05,8.5e-05
PSME3IP1P1,-3.67792,2.15e-05,8.51e-05
MIR29A,0.928986,2.15e-05,8.51e-05
CCDC81,-1.46565,2.15e-05,8.51e-05
CRMP1,-1.310292,2.15e-05,8.51e-05
SLC26A9-AS1,-0.95,9.27e-06,8.52e-05
MIR708,1.013519,2.15e-05,8.52e-05
DIRAS3,0.549,9.28e-06,8.52e-05
SLC46A3,1.997216,2.15e-05,8.53e-05
RNVU1-7,1.086348,2.15e-05,8.53e-05
KCNK12,-1.734286,2.15e-05,8.53e-05
GABRA3,-2.31983,2.15e-05,8.53e-05
MIR450A2,1.028047,2.15e-05,8.54e-05
ZNF470,0.337,9.31e-06,8.55e-05
ZNF239,-1.677496,2.16e-05,8.55e-05
OR2A5,-1.770068,2.16e-05,8.55e-05
TTTY2B,0.975475,2.17e-05,8.6e-05
SEC16B,0.979059,2.17e-05,8.61e-05
MIA,-1.199608,2.17e-05,8.61e-05
PIK3C3,0.192,9.38e-06,8.61e-05
SDHAP2///SDHAP1,0.393,2.27e-05,8.61e-05
WWP1-AS1,0.452,9.39e-06,8.62e-05
IMPAD1,-0.412,2.28e-05,8.63e-05
FAM35A,-0.515,2.28e-05,8.65e-05
SERPINB3,-2.143565,2.19e-05,8.65e-05
TECPR2,-0.217,2.28e-05,8.66e-05
POLE3,-0.553,2.29e-05,8.66e-05
SRCAP,0.920371,2.19e-05,8.66e-05
H4C14,-1.17,9.45e-06,8.67e-05
LUZP1,-0.302,9.46e-06,8.67e-05
HMX2,-1.049765,2.19e-05,8.67e-05
RNA18SN5,2.283745,2.19e-05,8.67e-05
MCM10,-1.0,9.47e-06,8.68e-05
LOC105369355,0.57,9.47e-06,8.68e-05
LOC112268426,-1.19,9.49e-06,8.69e-05
TSSK3,-2.073375,2.2e-05,8.71e-05
CKAP2,0.56,2.3e-05,8.72e-05
DUSP14,1.036323,2.21e-05,8.72e-05
LRRC73,-1.48919,2.21e-05,8.72e-05
RTL3,-1.805761,2.21e-05,8.73e-05
LOC105369908,1.19,9.56e-06,8.74e-05
KRT15,-2.555687,2.21e-05,8.74e-05
LAT,-0.734,9.57e-06,8.75e-05
PMFBP1,-0.288,2.31e-05,8.76e-05
SESN3,1.260995,2.22e-05,8.77e-05
RBMY1J,-2.645703,2.22e-05,8.77e-05
GNAI3,0.375,2.32e-05,8.78e-05
RETREG1,1.383535,2.23e-05,8.79e-05
LINC02902,1.067768,2.23e-05,8.79e-05
RNF7,1.323638,2.23e-05,8.79e-05
RPL18A,-0.722,9.64e-06,8.8e-05
TRIB2,-0.398,9.64e-06,8.8e-05
MIR654,-1.831464,2.24e-05,8.81e-05
AQP11,0.393,9.68e-06,8.83e-05
PSME4,0.54195482,3.44e-08,8.83e-05
HOMER3,-0.744,9.67e-06,8.83e-05
P2RY13,0.854185,2.24e-05,8.83e-05
PDZRN4,0.302,2.34e-05,8.84e-05
KLK8,-3.702828,2.25e-05,8.85e-05
TSFM,-0.395,2.35e-05,8.88e-05
CACUL1,1.719904,2.25e-05,8.88e-05
KCNN4,-1.06,9.77e-06,8.9e-05
DNMBP-AS1,-1.745668,2.26e-05,8.9e-05
ANKRD42,-1.886729,2.26e-05,8.9e-05
STAG1,1.078146,2.26e-05,8.91e-05
KRTAP6-1,-2.112647,2.27e-05,8.92e-05
MCRIP1,-1.07,9.81e-06,8.93e-05
IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA2///IGHA1///IGH,0.412,2.37e-05,8.96e-05
ARHGAP11A,-2.621855,2.28e-05,8.96e-05
FBXW12,-1.145485,2.28e-05,8.96e-05
OCIAD1-AS1,0.401,9.85e-06,8.96e-05
MARCH6,0.377,2.37e-05,8.96e-05
PPP1R8,-3.106032,2.28e-05,8.97e-05
LGI2,-1.112302,2.28e-05,8.97e-05
MYADML,0.967556,2.29e-05,8.99e-05
FZD9,-0.318,2.39e-05,9.01e-05
COG5,-0.38086929,4.8e-08,9.01e-05
MTX2,-0.33444218,4.55e-08,9.01e-05
PAPOLG,0.504,2.39e-05,9.01e-05
PIN1,0.322,2.39e-05,9.02e-05
TRNP1,-0.999,9.93e-06,9.03e-05
GPR158,1.0,9.95e-06,9.04e-05
ZNF321P,0.829199,2.31e-05,9.07e-05
SNHG3,-1.013743,2.31e-05,9.07e-05
TECPR1,-0.615,1e-05,9.08e-05
REC8,-0.505,1e-05,9.09e-05
PEAK1,-0.461,2.41e-05,9.09e-05
DNAJB8,1.021319,2.32e-05,9.1e-05
OR5A1,-1.57389,2.32e-05,9.12e-05
SPACA5,-2.108491,2.33e-05,9.14e-05
ZNF678,0.747905,2.33e-05,9.14e-05
DEFB110,0.917948,2.34e-05,9.16e-05
MASTL,0.273,1.01e-05,9.17e-05
LOC100505985,0.742,1.01e-05,9.17e-05
KCNK4,-1.9447,2.34e-05,9.17e-05
MIRLET7G,0.659522,2.34e-05,9.18e-05
ZNF106,1.092035,2.34e-05,9.18e-05
KLHL38,0.766828,2.35e-05,9.2e-05
GABRA5,-1.951816,2.35e-05,9.21e-05
HYCC1,0.225,1.02e-05,9.23e-05
GUCA2B,-2.183267,2.37e-05,9.26e-05
TMPRSS4,1.010533,2.37e-05,9.27e-05
SRPRA,-0.416,2.47e-05,9.28e-05
POC1A,-1.330659,2.37e-05,9.28e-05
ARNTL2,-0.655,2.46e-05,9.28e-05
CCDC177,1.069846,2.37e-05,9.28e-05
ZNF407,0.227,1.03e-05,9.28e-05
ZNF268,0.239,1.03e-05,9.3e-05
UGT2A1,1.35,1.03e-05,9.3e-05
SACK1A,-1.692821,2.38e-05,9.31e-05
NYX,-1.32359,2.38e-05,9.31e-05
TMEM208,-0.313,2.48e-05,9.32e-05
PDHX,-0.517,2.48e-05,9.32e-05
ACTRT1,0.47456992,5.32e-08,9.33e-05
RELL1,1.159312,2.39e-05,9.33e-05
OR4X1,-1.874221,2.39e-05,9.33e-05
GYG1,0.549,2.48e-05,9.34e-05
GPRASP2,0.229,1.04e-05,9.35e-05
CYP20A1,-0.372,2.49e-05,9.36e-05
SIGLEC14,-1.793614,2.4e-05,9.37e-05
LOC107985977,0.533,1.04e-05,9.39e-05
AQP8,-0.243,2.5e-05,9.4e-05
MIR1915,1.253177,2.42e-05,9.43e-05
CHM,1.599536,2.42e-05,9.43e-05
RLN1,-1.68585,2.42e-05,9.44e-05
TSKS,-1.53062,2.42e-05,9.44e-05
SCN1A-AS1,0.543,1.05e-05,9.45e-05
LIMS1,1.605631,2.43e-05,9.48e-05
GPR63,-3.305817,2.44e-05,9.49e-05
GRB7,1.809046,2.44e-05,9.49e-05
CFL1,-0.598,1.05e-05,9.49e-05
AKAP3,-0.29,2.53e-05,9.5e-05
CDK5RAP2,-1.560364,2.44e-05,9.5e-05
KLRK1,1.029062,2.44e-05,9.5e-05
UNC119,-0.774,1.06e-05,9.51e-05
LOC100505918,0.7,1.06e-05,9.51e-05
CRBN,0.379,2.54e-05,9.52e-05
TUBGCP6,-0.598,1.06e-05,9.52e-05
EXD3,-0.817,1.06e-05,9.52e-05
VSTM2A,-1.553706,2.45e-05,9.53e-05
CLEC12A,1.001166,2.45e-05,9.54e-05
MIR769,-2.997526,2.45e-05,9.54e-05
SNORA69,0.929911,2.46e-05,9.56e-05
CHMP1A,-0.67,1.06e-05,9.57e-05
MFN2,-0.341,2.55e-05,9.57e-05
ATP5PB,0.895415,2.46e-05,9.58e-05
CCNDBP1,1.694066,2.46e-05,9.59e-05
RPS15A,0.368,2.56e-05,9.59e-05
CA3,0.339,2.56e-05,9.59e-05
UGT1A9,2.066226,2.47e-05,9.6e-05
TCEAL2,-1.975859,2.47e-05,9.62e-05
CLEC10A,0.495,2.57e-05,9.64e-05
VPREB3,-1.293089,2.49e-05,9.67e-05
GPS2,0.354,2.58e-05,9.67e-05
TP53INP2,1.730214,2.5e-05,9.69e-05
GPR52,1.014513,2.5e-05,9.69e-05
FAM174A,1.974735,2.5e-05,9.69e-05
ACSF2,1.978706,2.5e-05,9.7e-05
ST7L,0.85317,2.5e-05,9.71e-05
