gene,tissue,logFC,adj_p_value
ARHGAP42,Lungs,-1.5922045,5.3e-15
ARHGAP44-AS1,Lungs,0.8968583,0.0366
ARHGEF17,Lungs,0.7191109,1.48e-11
ARHGEF17-AS1,Lungs,-0.7733986,0.00825
ARHGEF33,Lungs,1.3647349,0.000221
ARHGEF34P,Lungs,-0.6080821,0.0302
ARHGEF34P///OR2A7///OR2A25///OR2A4,Lungs,0.6629223,0.00313
ARHGEF35,Lungs,-0.7513023,0.00268
ARHGEF35-AS1,Lungs,-1.0454236,0.000704
ARHGEF37,Lungs,0.6657005,3.28e-07
ARHGEF38,Lungs,-0.7263132,0.00179
ARHGEF40,Lungs,1.03734542,0.000339
ARL17B///ARL17A///NBR2///NBR2,Lungs,0.8642345,1.71e-06
ARL2-SNX15,Lungs,-0.7848581,0.000211
ARL2-SNX15///ARL2,Lungs,1.7556773,2.64e-14
ARL2-SNX15///SNX15,Lungs,0.7826141,4.67e-11
ARMC7,Lungs,1.0610518,1.85e-12
ARMCX5-GPRASP2///GPRASP2,Lungs,-0.6513082,5.95e-09
ARMH1,Lungs,1.2953457,0.0251
ARMH4,Lungs,0.6302604,0.00527
ARPC4-TTLL3///ARPC4,Lungs,0.8813223,3.16e-11
ARRDC1-AS1,Lungs,1.2356345,3.58e-15
ARSE,Lungs,0.6485482,0.000429
ASAH2B,Lungs,0.656569,0.0139
ASB14///LOC105377102,Lungs,-0.68926651,3.85e-09
ASB6,Lungs,1.0716268,1.94e-15
ASNA1,Lungs,0.7805614,4.07e-10
ASNSD1,Lungs,-1.1023141,7.05e-14
ASPHD2,Lungs,-0.610035,4.01e-05
ASRGL1///ASRGL1,Lungs,0.81229635,1.56e-22
ASXL3,Lungs,0.8451434,0.00299
ATG9A,Lungs,0.69403,4.74e-13
ATP10B,Lungs,1.4262954,0.00191
ATP12A,Lungs,-0.73368312,7.19e-09
ATP2B1,Lungs,-1.6071905,9.88e-16
ATP5A1,Lungs,-1.2759936,1.89e-14
ATP5EP2,Lungs,1.5332705,4.73e-14
ATP5G1,Lungs,3.0938286,4.4e-24
ATP5G2,Lungs,1.0570064,2.12e-12
ATP5L2,Lungs,0.7509982,1.93e-09
ATP5ME,Lungs,-0.6847169,0.0221
ATP6V0C,Lungs,-0.9601867,3.68e-15
ATP6V0D1,Lungs,1.0635341,3.47e-10
ATP7A,Lungs,-0.7785264,2.91e-08
ATPAF2,Lungs,0.8871964,1.33e-12
ATRAID,Lungs,1.8765264,4.87e-19
ATXN3///ATXN8///ATXN3,Lungs,-0.7789532,7.53e-10
ATXN7L3B,Lungs,-0.9255423,6.66e-15
AURKAIP1,Lungs,-0.8690395,0.000668
AXIN1,Lungs,0.614895,3.85e-11
B3GAT1-DT,Lungs,1.7202975,0.0398
B3GAT3,Lungs,0.7501332,4.62e-06
B3GNT2,Lungs,-1.1871714,1.04e-15
B3GNTL1,Lungs,0.8521687,0.000245
B4GALT1-AS1,Lungs,-0.7367507,0.0288
B4GALT3,Lungs,0.6561268,2.03e-07
B4GALT7,Lungs,1.2386232,2.77e-16
B4GAT1,Lungs,0.7055468,1e-06
B4GAT1-DT,Lungs,-0.6806529,0.0398
BACE1,Lungs,0.7182059,1.04e-08
BACH1-IT3,Lungs,1.3339194,0.00645
BAG1,Lungs,-0.796954,0.000111
BAGE4,Lungs,-0.9783923,1.85e-11
BAIAP2-DT,Lungs,-1.0910825,8.6e-06
BAP1,Lungs,0.6644105,1e-11
BAZ1A-AS1,Lungs,-0.8144445,0.0012
BBS1,Lungs,1.0188273,1.08e-14
