gene,logFC,p_value,adj_p_value
U2AF2,0.9976218,3.21e-16,6.06e-15
SCG5,-0.43687491,4.54e-16,6.07e-15
DPP7,1.4467273,3.23e-16,6.09e-15
CEBPB,1.5658609,3.24e-16,6.1e-15
RAP1B,-1.1069491,3.25e-16,6.12e-15
PLA2G4F,1.19664395,4.7e-16,6.29e-15
SHROOM2,0.9135918,3.34e-16,6.29e-15
ATP5SL,0.39677411,4.78e-16,6.37e-15
GABPA,-1.7841273,3.41e-16,6.41e-15
DENND4B,0.7837968,3.41e-16,6.41e-15
HPN,1.1515382,3.49e-16,6.54e-15
CNP,0.8890991,3.51e-16,6.57e-15
SRSF1,-0.9908636,3.51e-16,6.57e-15
CAPZA2,-1.21921,3.52e-16,6.58e-15
SMCR8,0.8828218,3.56e-16,6.66e-15
ATXN7L3B,-0.9255423,3.56e-16,6.66e-15
PTPN11,-1.3674391,3.57e-16,6.66e-15
TMEM147,2.4508032,3.58e-16,6.67e-15
DMWD,0.8169786,3.6e-16,6.72e-15
HNRNPH3,-1.3444614,3.6e-16,6.72e-15
VCAM1,-1.47585872,5.1e-16,6.78e-15
TPM4,-1.17527,3.67e-16,6.83e-15
SIRPB2,0.56802668,5.18e-16,6.87e-15
ZFP62,-1.6208309,3.7e-16,6.88e-15
PTBP2,-1.2017986,3.75e-16,6.97e-15
GPR157,1.0980686,3.81e-16,7.07e-15
AASDH,-1.1913973,3.82e-16,7.09e-15
HIPK2,0.44135186,5.36e-16,7.11e-15
GNL2,-1.7173823,3.88e-16,7.2e-15
RPL41,1.6530132,3.91e-16,7.24e-15
ZGRF1,-1.1094095,3.94e-16,7.29e-15
PPP1R13L,0.9979536,4.04e-16,7.46e-15
MYO1E,-1.2711105,4.09e-16,7.55e-15
TNPO2,0.8483836,4.15e-16,7.65e-15
WIZ,0.8373027,4.16e-16,7.67e-15
EVI5,-1.3073705,4.18e-16,7.69e-15
SLC43A1,0.41597802,5.82e-16,7.7e-15
CD274,1.1730069,5.84e-16,7.71e-15
MAFK,0.36595183,5.86e-16,7.73e-15
ZNF267,-1.8240745,4.2e-16,7.73e-15
ACADL,1.16754789,5.87e-16,7.74e-15
NAP1L4,-0.8949082,4.29e-16,7.89e-15
PGP,1.2378523,4.3e-16,7.89e-15
RNF149,0.54800672,6.02e-16,7.92e-15
ZNF780A,-1.6316214,4.32e-16,7.94e-15
PLPP2,-1.01014593,6.1e-16,8.02e-15
DHX57,-1.2619373,4.4e-16,8.05e-15
SLC39A13,1.3998391,4.42e-16,8.07e-15
CCT8,-1.1688491,4.41e-16,8.07e-15
VKORC1,1.2469159,4.43e-16,8.09e-15
SACS,-1.5962945,4.46e-16,8.14e-15
ALOX5AP,2.1277095,4.5e-16,8.21e-15
SNORD82,1.8266595,4.51e-16,8.21e-15
PABPC4,-0.7723345,4.52e-16,8.22e-15
EDNRB,0.87290825,6.26e-16,8.22e-15
PCNP,-1.0994291,4.54e-16,8.26e-15
NUPR1,1.3726755,4.58e-16,8.33e-15
CLN6,1.3949914,4.58e-16,8.33e-15
SRPK2,-1.4350164,4.61e-16,8.37e-15
PDLIM1,0.9988959,4.63e-16,8.42e-15
NUTF2,0.9637677,4.7e-16,8.53e-15
ZNF273,-0.70526463,6.51e-16,8.54e-15
SLC8A1,-1.3993691,4.78e-16,8.66e-15
PPP1CB,-1.1361864,4.8e-16,8.69e-15
NACC1,1.0126955,4.81e-16,8.7e-15
FAM213A,-1.4618736,4.8e-16,8.7e-15
ZNF512,-1.2246759,4.81e-16,8.7e-15
POLDIP2,1.0158345,4.8e-16,8.7e-15
PUM3,-2.0981795,4.9e-16,8.85e-15
GLS,-1.3178891,4.93e-16,8.91e-15
MDN1,-1.3120432,4.93e-16,8.91e-15
CLDN16,-0.91545576,6.87e-16,8.99e-15
TMEM41B,0.47535431,6.88e-16,9e-15
MTSS1L,1.2685105,5.02e-16,9.04e-15
STARD10,1.5232714,5.02e-16,9.04e-15
DST,-1.8689409,5.02e-16,9.04e-15
MIF4GD,0.9500555,5.05e-16,9.09e-15
DDX6,-0.9741364,5.05e-16,9.09e-15
CRBN,-1.2654141,5.05e-16,9.09e-15
SHISA5,0.9566991,5.07e-16,9.12e-15
PNISR,-1.8093691,5.1e-16,9.16e-15
ZNF384,0.7607277,5.11e-16,9.17e-15
PWP1,-1.4201545,5.12e-16,9.18e-15
PIGQ,1.3103268,5.12e-16,9.18e-15
H3F3B,0.37149228,7.08e-16,9.24e-15
WDR89,-1.0257332,5.27e-16,9.43e-15
PIM3,0.45403549,7.26e-16,9.47e-15
CHUK,-1.4302577,5.3e-16,9.47e-15
S100A13,0.9705505,5.39e-16,9.62e-15
FAM102A,1.0849868,5.41e-16,9.66e-15
CHD8,-1.3141541,5.42e-16,9.67e-15
ILK,0.9972282,5.44e-16,9.69e-15
C19ORF66,1.0383591,5.44e-16,9.69e-15
GBP4,-2.1687206,6.28e-17,9.73e-15
OLFM2,1.6944355,5.5e-16,9.79e-15
TAOK1,-1.5328695,5.53e-16,9.84e-15
CYB5R2,1.2480614,5.53e-16,9.84e-15
GPSM2,-1.7381905,5.55e-16,9.86e-15
JAK2,-1.5839723,5.55e-16,9.87e-15
GBGT1///GBGT1,0.44844466,7.59e-16,9.89e-15
DOCK7,-1.212205,5.59e-16,9.92e-15
PALM2AKAP2,-1.8657083,6.46e-17,9.94e-15
ZNF667-AS1,1.6189227,5.61e-16,9.95e-15
SUCO,-1.2031691,5.63e-16,9.98e-15
DMTF1,-1.4870436,5.72e-16,1.01e-14
MDH1,-1.3032295,5.73e-16,1.01e-14
UCHL3,-1.0546305,5.69e-16,1.01e-14
MYL12B///MYL12A,0.9223686,5.81e-16,1.02e-14
CHD1,-2.0622082,5.76e-16,1.02e-14
ADAMTSL1,-0.77142484,7.94e-16,1.03e-14
TBK1,-1.3176618,5.87e-16,1.03e-14
ACSL3,-1.5306255,5.86e-16,1.03e-14
ARHGEF26,0.81989301,7.91e-16,1.03e-14
NCBP3,-1.0416059,5.82e-16,1.03e-14
SCN7A,0.96347855,7.97e-16,1.03e-14
UXT,1.9756536,5.9e-16,1.04e-14
SERPINA3,1.23286375,8.2e-16,1.06e-14
TMEM67,-1.18111056,8.32e-16,1.07e-14
CERS5,1.0558468,6.11e-16,1.07e-14
ARHGEF1,0.37658468,8.27e-16,1.07e-14
BBS1,1.0188273,6.17e-16,1.08e-14
CNN1,-0.85892712,8.34e-16,1.08e-14
ALDH1L1,0.3793088,8.57e-16,1.1e-14
HTR2A,-0.61240527,8.64e-16,1.11e-14
BLVRA,-1.2777591,6.32e-16,1.11e-14
KIF5B///KIF5B,-1.4940373,6.35e-16,1.11e-14
LOC389765///KIF27,-1.9401432,6.38e-16,1.11e-14
TRIM59,-0.4801949,8.63e-16,1.11e-14
XRN2,-1.4555155,6.5e-16,1.13e-14
LOC101927834,-2.5864514,7.42e-17,1.13e-14
KLF9,0.76367588,8.9e-16,1.14e-14
HHIP,1.38139442,8.86e-16,1.14e-14
GPR135,1.2200834,7.55e-17,1.14e-14
NDUFA12,1.139385,6.61e-16,1.15e-14
RMI1,-1.3325036,6.74e-16,1.18e-14
SMARCE1,-1.0826073,6.76e-16,1.18e-14
PKD1P6-NPIPP1///NPIPA8///NPIPA7///NPIPA5///NPIPB5///NPIPB6///NPIPA2///NPIPA3///NPIPB4///PKD1P1///PDXDC2P///PKD1P2///NPIPB3///NPIPA1///PKD1///NPIPB5///NPIPB4///NPIPB3,0.8225505,6.81e-16,1.19e-14
ARHGAP11A,-2.0436873,6.84e-16,1.19e-14
ANGPTL4,2.3235682,6.93e-16,1.2e-14
UTP3,-1.6629405,6.97e-16,1.21e-14
PKD1P6-NPIPP1///NPIPA8///NPIPA7///NPIPB9///NPIPA5///NPIPB5///NPIPB6///NPIPA2///NPIPA3///NPIPB4///PKD1P1///PDXDC2P///NPIPB3///NPIPA1///NPIPB5///NPIPB4///NPIPB3,0.8939273,7.01e-16,1.22e-14
CARD19,1.2051323,7.01e-16,1.22e-14
PMP22,1.0379091,7e-16,1.22e-14
MRPS15,0.49577244,9.56e-16,1.23e-14
USP28,-0.45539609,9.68e-16,1.24e-14
TUFT1,-1.5086341,8.39e-17,1.25e-14
SPRING1,-1.5929196,8.35e-17,1.25e-14
TLN1,0.37858023,9.8e-16,1.25e-14
ERICH3,-1.7224139,9.99e-16,1.27e-14
PAM,-0.38330172,9.94e-16,1.27e-14
RAPGEF5,0.90323761,9.95e-16,1.27e-14
CNOT6,-0.9928559,7.42e-16,1.28e-14
CAMK2N1,1.5121245,7.51e-16,1.3e-14
NIPSNAP3B,-0.49887191,1.03e-15,1.3e-14
TMEM38A,0.41977659,1.03e-15,1.31e-14
INTS6L,-0.41494661,1.03e-15,1.31e-14
HNRNPDL,-0.998,7.66e-16,1.32e-14
CD163L1,-0.70593971,1.04e-15,1.32e-14
DUSP10,-0.53245892,1.05e-15,1.33e-14
RNVU1-15,1.5166277,7.81e-16,1.34e-14
HMGN4,0.8831723,7.75e-16,1.34e-14
MEN1,0.8111132,7.76e-16,1.34e-14
CDC5L,-1.4265145,7.82e-16,1.35e-14
PRUNE1,1.1476882,7.91e-16,1.36e-14
ZBTB6,-0.9651241,7.95e-16,1.37e-14
C1QB,1.8793668,8.06e-16,1.38e-14
MIOS,-1.2805745,8.14e-16,1.39e-14
CLK1,-1.3180845,8.11e-16,1.39e-14
HECTD3,0.8926064,8.07e-16,1.39e-14
FAM227A,-1.2952945,1.11e-15,1.4e-14
HTRA2,1.1406532,8.2e-16,1.4e-14
PPP2CA,-0.9894873,8.19e-16,1.4e-14
LMF1,1.1645995,8.26e-16,1.41e-14
SLC45A3///SLC45A3,-0.36382182,1.14e-15,1.44e-14
RNF144B,0.53441249,1.14e-15,1.44e-14
HIST2H4A,1.9626109,8.5e-16,1.45e-14
HIST2H4B,1.9626109,8.5e-16,1.45e-14
MAP6,-0.7428793,1.15e-15,1.45e-14
SPTLC1,-1.3208573,8.45e-16,1.45e-14
CLN8,1.2297286,8.6e-16,1.47e-14
TMEM104,1.1085586,8.62e-16,1.47e-14
NRDC,-1.3096405,8.7e-16,1.48e-14
LOC100996333///ADGRA3,-1.1151832,8.78e-16,1.49e-14
CACNA1H,0.40024909,1.18e-15,1.49e-14
MRPS14,0.7966786,8.75e-16,1.49e-14
MED15,0.8588009,8.78e-16,1.49e-14
ZW10,-1.2082245,8.78e-16,1.49e-14
SDHAF3,0.8667868,8.83e-16,1.5e-14
BPIFB1,-3.36174815,1.19e-15,1.5e-14
PCGF6,0.8836595,8.93e-16,1.51e-14
POLM,0.8359423,8.94e-16,1.52e-14
CHST9,-1.45305389,1.21e-15,1.52e-14
MDM2,-1.2493418,9e-16,1.52e-14
NSRP1,-1.7207009,9.03e-16,1.53e-14
SNORD14C,2.0397109,9.03e-16,1.53e-14
MARK3,-0.8591714,9.14e-16,1.55e-14
HSPB1,1.6029045,9.18e-16,1.55e-14
NDUFS7,1.2998859,9.21e-16,1.55e-14
HIST1H4E,1.7302777,9.21e-16,1.55e-14
MON2,-1.2157795,9.18e-16,1.55e-14
UGGT1,-1.3460141,9.27e-16,1.56e-14
NSMCE2,-1.0887027,9.22e-16,1.56e-14
HECW2,-2.7662814,1.07e-16,1.57e-14
SHPRH,-1.5043945,9.37e-16,1.58e-14
ARFGEF2,-1.4002668,9.4e-16,1.58e-14
ELF4,0.9484723,9.44e-16,1.59e-14
PAK1,-1.1797855,9.45e-16,1.59e-14
TRMT11,-1.0650023,9.5e-16,1.6e-14
LAMC1,0.51001546,1.28e-15,1.6e-14
STXBP4,-1.1861455,9.56e-16,1.6e-14
SEMA3D,-1.05243823,1.28e-15,1.6e-14
YTHDC2,-1.0501127,9.67e-16,1.62e-14
TLNRD1,-1.2779299,1.12e-16,1.63e-14
ANGEL2,-1.1218941,9.75e-16,1.63e-14
JKAMP,-1.00541,9.75e-16,1.63e-14
UNC5B,1.1529159,9.78e-16,1.64e-14
HYDIN,-1.51243761,1.31e-15,1.64e-14
MCOLN1,1.1805155,9.89e-16,1.65e-14
BCL2L15,-1.4147745,9.84e-16,1.65e-14
PFKFB2,0.71840408,1.32e-15,1.65e-14
IL2RB,1.6904532,9.92e-16,1.66e-14
DDR2,-2.0202773,9.96e-16,1.66e-14
NDUFS5///SNORA70///RPL10///DNASE1L1,1.2523941,9.91e-16,1.66e-14
SOX5,-0.47782024,1.34e-15,1.68e-14
RPAP3,-1.5683877,1.01e-15,1.68e-14
MMS22L,-1.2993823,1.01e-15,1.68e-14
FOCAD,-1.2651327,1.01e-15,1.68e-14
THRA,1.2801691,1.01e-15,1.68e-14
RCN2,-1.2474409,1.02e-15,1.7e-14
SYTL4,0.46119339,1.38e-15,1.71e-14
ACTN4,-1.2039151,1.18e-16,1.71e-14
LOC100129434,0.48259002,1.38e-15,1.71e-14
KLHL2,0.43193354,1.38e-15,1.71e-14
FBL,1.1784827,1.05e-15,1.74e-14
NUTF2///MT1L,0.6827261,1.41e-15,1.75e-14
ZDHHC24,1.1022609,1.06e-15,1.76e-14
EFEMP2,1.6068914,1.06e-15,1.76e-14
KIAA0040,0.5176587,1.42e-15,1.77e-14
LTBP4,-1.9109743,1.24e-16,1.78e-14
PWAR6,-2.0863073,1.08e-15,1.79e-14
PTPN23,0.6899832,1.08e-15,1.79e-14
HIST2H3D///HIST2H3A///HIST2H3C,1.2748445,1.08e-15,1.79e-14
DAP3,-0.7784432,1.1e-15,1.82e-14
ZNF646,0.5993777,1.1e-15,1.83e-14
PRSS8,2.1391477,1.11e-15,1.84e-14
BCL3,1.8884009,1.12e-15,1.85e-14
SBDS,0.45500542,1.51e-15,1.87e-14
TYROBP,1.9170427,1.13e-15,1.87e-14
CENPF,-0.61552493,1.52e-15,1.89e-14
PLAGL2,1.0257173,1.15e-15,1.89e-14
ATP5A1,-1.2759936,1.15e-15,1.89e-14
ZNF160,-1.3277568,1.15e-15,1.89e-14
IER3,1.9981968,1.15e-15,1.9e-14
KCNRG///TRIM13,-1.14079041,1.53e-15,1.9e-14
SCFD1,-1.1398068,1.17e-15,1.91e-14
MAP3K5,-1.0504041,1.16e-15,1.91e-14
DOC2B,1.2948464,1.16e-15,1.91e-14
PER1,0.93515647,1.54e-15,1.91e-14
SLC7A7,0.70961434,1.54e-15,1.91e-14
CEP350,-1.4192559,1.16e-15,1.91e-14
CNNM4,1.0797714,1.17e-15,1.92e-14
ATG5,-0.8135523,1.18e-15,1.94e-14
GPAA1,1.5488709,1.18e-15,1.94e-14
PSIP1,-1.2767882,1.2e-15,1.96e-14
PIN1,1.0601045,1.2e-15,1.96e-14
RIOK3,-1.3314664,1.21e-15,1.97e-14
LOC642947,1.2289545,1.21e-15,1.97e-14
BBS5,-0.68848126,1.61e-15,1.98e-14
PSMA4,-1.0910677,1.21e-15,1.98e-14
NDRG2,1.5468091,1.22e-15,1.99e-14
PHTF2,-0.42635156,1.62e-15,2e-14
SLC25A5,0.38021059,1.62e-15,2e-14
OSBPL2,-0.7249277,1.23e-15,2.01e-14
EPN2,0.9096409,1.24e-15,2.02e-14
ATN1,1.1409055,1.24e-15,2.02e-14
ARID4B,-1.2470532,1.25e-15,2.04e-14
PQLC3,0.8734482,1.26e-15,2.05e-14
KIF13B,-1.0766641,1.26e-15,2.05e-14
ZNF33A,-1.3743468,1.27e-15,2.06e-14
NSF,-1.7133086,1.28e-15,2.07e-14
CCDC125,-0.63043964,1.69e-15,2.08e-14
ZDHHC13,-0.69257537,1.69e-15,2.08e-14
NAA60,0.8545314,1.29e-15,2.09e-14
COL5A2,-1.8825305,1.3e-15,2.1e-14
DOK4,1.5562932,1.3e-15,2.1e-14
KIFAP3,-1.04049,1.3e-15,2.1e-14
RFX1,0.6818823,1.31e-15,2.11e-14
USP30,0.9232341,1.3e-15,2.11e-14
HLA-DMA,1.6573577,1.33e-15,2.14e-14
RSRC2,-1.1480627,1.33e-15,2.15e-14
CDC37L1,-1.4212659,1.34e-15,2.16e-14
SPI1,1.4228086,1.35e-15,2.17e-14
PALD1,0.48664032,1.8e-15,2.21e-14
TRAPPC11,-1.3088586,1.38e-15,2.22e-14
ANAPC4,-1.183565,1.39e-15,2.24e-14
ADGRD1,0.69948349,1.82e-15,2.24e-14
GGA3,0.7780814,1.39e-15,2.24e-14
EPHX1,1.2349791,1.4e-15,2.25e-14
CISH,1.27298,1.41e-15,2.26e-14
VPS33A,-0.8547882,1.42e-15,2.27e-14
DNAJC21,-1.6228327,1.42e-15,2.27e-14
ITPRIP,0.51617009,1.87e-15,2.29e-14
ZRANB1,-1.2368359,1.44e-15,2.31e-14
ADRA1D,0.8859205,1.44e-15,2.31e-14
MKLN1,-1.5246782,1.44e-15,2.31e-14
UFC1,1.7693841,1.46e-15,2.33e-14
NBN,-1.4249182,1.46e-15,2.33e-14
CAMK1,0.9596918,1.46e-15,2.33e-14
SNRPG,-1.2287132,1.46e-15,2.33e-14
TIMM21,-1.1704264,1.46e-15,2.33e-14
STT3B,-1.2949945,1.47e-15,2.35e-14
ZNRF2,-0.8563259,1.49e-15,2.37e-14
PIEZO1,1.0427832,1.49e-15,2.37e-14
ZNF559-ZNF177///ZNF559,-1.4125282,1.49e-15,2.37e-14
TRIOBP,0.7022741,1.5e-15,2.38e-14
PRKCDBP,1.1985245,1.51e-15,2.39e-14
MPHOSPH9,-1.2733445,1.51e-15,2.39e-14
RNASEK-C17ORF49///RNASEK,1.1365545,1.5e-15,2.39e-14
ZNF146,-1.4520641,1.52e-15,2.41e-14
FLCN,0.8809891,1.52e-15,2.42e-14
FUOM,1.0386286,1.53e-15,2.43e-14
MTDH,-0.8679382,1.54e-15,2.44e-14
ALG8,0.8604659,1.55e-15,2.45e-14
GRIA3,-0.38005713,2.01e-15,2.45e-14
MGAT3,1.2697777,1.55e-15,2.46e-14
LMNB1,-1.3337191,1.56e-15,2.47e-14
LILRB2,0.67781082,2.03e-15,2.48e-14
LINC00473,3.8799259,1.76e-16,2.5e-14
RIOK2,-1.5438686,1.58e-15,2.51e-14
IFT81,-0.77442956,2.07e-15,2.52e-14
OXR1,-1.612665,1.6e-15,2.53e-14
NFKBIA,0.74339707,2.1e-15,2.55e-14
CCDC25,-1.3656964,1.62e-15,2.55e-14
ACOX2,-0.3590212,2.09e-15,2.55e-14
BGN,1.6897859,1.64e-15,2.59e-14
TPRA1,1.18799,1.66e-15,2.61e-14
TRPM7,-1.1381514,1.67e-15,2.62e-14
ARL2-SNX15///ARL2,1.7556773,1.68e-15,2.64e-14
ZNF350,-1.3736373,1.68e-15,2.64e-14
RPS13,2.4922714,1.68e-15,2.64e-14
ELK3,-0.37096842,2.18e-15,2.64e-14
PRKD1,0.51426325,2.17e-15,2.64e-14
DZIP1L,-0.62468497,2.18e-15,2.64e-14
MGC24103,-1.5698609,1.7e-15,2.67e-14
HIVEP1,-0.50202747,2.21e-15,2.68e-14
MPDZ,-1.76151,1.72e-15,2.69e-14
PTMA///PTMA,0.7377773,1.72e-15,2.69e-14
BIRC3,-2.5476009,1.72e-15,2.7e-14
SUCLG2,-1.2243618,1.72e-15,2.7e-14
KIAA0556,-0.46620692,2.23e-15,2.7e-14
WTH3DI///RAB6C///RAB6A,0.6516095,1.76e-15,2.74e-14
PPIC,-0.51213004,2.28e-15,2.75e-14
CSDE1,-1.4320091,1.78e-15,2.78e-14
PDGFB,-1.8029755,2e-16,2.82e-14
ATG4A,-1.3369586,1.81e-15,2.82e-14
HIBADH,-0.37093408,2.35e-15,2.84e-14
DOK5,-0.53853235,2.36e-15,2.85e-14
HOOK1,-2.08037,1.83e-15,2.86e-14
CTCFL,-1.0690445,1.84e-15,2.87e-14
FBXO7,0.8776109,1.85e-15,2.88e-14
SLC25A38,1.0455459,1.87e-15,2.91e-14
CYC1,0.3899253,2.42e-15,2.91e-14
SLC9A1,1.2900045,1.89e-15,2.94e-14
MIEN1,1.21843,1.89e-15,2.94e-14
TMEM91,1.0385018,1.91e-15,2.98e-14
PFKFB4,0.37226585,2.49e-15,3e-14
RNF126,1.1598418,1.95e-15,3.03e-14
METTL26,0.9082627,1.95e-15,3.03e-14
SPAG17,-1.66616369,2.52e-15,3.03e-14
F3,0.6730621,2.54e-15,3.04e-14
RASSF5,0.9985805,1.97e-15,3.05e-14
AAR2,0.9010995,1.97e-15,3.05e-14
SORCS2,-0.50278019,2.55e-15,3.06e-14
PCNA,-1.1428477,1.98e-15,3.06e-14
CCDC159,1.0131255,1.97e-15,3.06e-14
NUP133,-1.1163786,1.99e-15,3.08e-14
AARS,0.39365667,2.58e-15,3.09e-14
SF3B2,-0.8277045,2.01e-15,3.1e-14
ZBTB38,-1.743605,2.01e-15,3.11e-14
TTC39A,0.49781721,2.62e-15,3.13e-14
EEA1,-1.7429859,2.03e-15,3.14e-14
ZNF573,-1.1443295,2.03e-15,3.14e-14
ZNF81,-0.9371823,2.07e-15,3.2e-14
ZFP92,1.0905341,2.07e-15,3.2e-14
RIOK1,-1.6164245,2.08e-15,3.2e-14
CLDN2,-0.63579055,2.7e-15,3.22e-14
TRIM14,0.9225695,2.1e-15,3.24e-14
ZNF706,-1.0612259,2.1e-15,3.24e-14
CFAP126,-1.60682361,2.73e-15,3.25e-14
TRPS1,-0.43996654,2.75e-15,3.27e-14
NOL8,-1.4840791,2.13e-15,3.28e-14
CCDC30,-0.99168198,2.77e-15,3.3e-14
SAMD4B,0.7819836,2.16e-15,3.32e-14
ST8SIA6,1.9460186,2.16e-15,3.33e-14
F10,1.1777045,2.19e-15,3.36e-14
HMGN5,-1.46098,2.19e-15,3.37e-14
POLR2K,1.0781741,2.23e-15,3.41e-14
KIF2A,-1.2765277,2.22e-15,3.41e-14
SSRP1,-0.9162382,2.23e-15,3.41e-14
C6ORF132,1.3776373,2.26e-15,3.46e-14
DNAJB4,-1.6591145,2.28e-15,3.48e-14
CD1E,-0.83053502,2.93e-15,3.49e-14
ALG11///UTP14C,-1.6108705,2.29e-15,3.5e-14
MTMR11,-0.35712517,2.96e-15,3.52e-14
ADAMTS6,-1.3304945,2.31e-15,3.53e-14
PCNX4,-1.2311082,2.33e-15,3.55e-14
NXPE3,-1.6383736,2.34e-15,3.56e-14
ASUN,-1.3886559,2.34e-15,3.56e-14
MTHFD1,-1.2419573,2.34e-15,3.56e-14
YWHAQP8,0.8264055,2.35e-15,3.57e-14
NASP,-1.1892032,2.34e-15,3.57e-14
AFTPH,-1.1078136,2.34e-15,3.57e-14
UBL7,0.916935,2.35e-15,3.58e-14
PLEKHA3,-1.0478336,2.39e-15,3.63e-14
NAP1L2,-1.8812359,2.39e-15,3.63e-14
SNORD116-25,1.9695068,2.42e-15,3.66e-14
LRRC75A,0.911115,2.42e-15,3.66e-14
FBN1,-2.3309555,2.41e-15,3.66e-14
JMJD8,1.4393359,2.42e-15,3.67e-14
PIK3CB,-1.2600127,2.43e-15,3.68e-14
ATP1B2,-0.51101789,3.11e-15,3.69e-14
ANKRD13C,-1.0101995,2.45e-15,3.7e-14
KANK3,1.0268668,2.46e-15,3.71e-14
FAM63A,0.9827686,2.45e-15,3.71e-14
CEP120,-1.1947864,2.47e-15,3.73e-14
TIE1,1.3725845,2.47e-15,3.73e-14
SECTM1,1.5044705,2.48e-15,3.74e-14
FAM81B,-1.47641071,3.16e-15,3.74e-14
WBP4,-1.3802427,2.48e-15,3.74e-14
SIGLEC9,0.64950286,3.17e-15,3.75e-14
SUZ12P1,0.8781727,2.49e-15,3.75e-14
CEP89,-0.37495639,3.17e-15,3.75e-14
LRRC75B,0.9262723,2.49e-15,3.75e-14
CASP3,-1.4550191,2.49e-15,3.75e-14
LAMA2,-2.0530327,2.52e-15,3.79e-14
PHKB,-1.2565236,2.53e-15,3.8e-14
GAK,0.6530859,2.55e-15,3.82e-14
BAAT,-0.73780561,3.26e-15,3.84e-14
ZNF415,-0.41058713,3.26e-15,3.84e-14
FAM177A1,-1.6409964,2.56e-15,3.84e-14
CDK7,-0.9427482,2.57e-15,3.85e-14
CASD1,-1.2811532,2.58e-15,3.86e-14
BRD7,-1.0803855,2.6e-15,3.89e-14
KIF11,-1.5472436,2.61e-15,3.9e-14
EFR3A,-0.9798445,2.61e-15,3.9e-14
ABCA5,-1.7611559,2.61e-15,3.9e-14
CDC42SE2,-1.0593573,2.61e-15,3.9e-14
FAN1,-1.1452886,2.63e-15,3.92e-14
MRPL21,1.5433482,2.63e-15,3.92e-14
DDTL///LOC391322///DDT,1.3508891,2.64e-15,3.93e-14
LGI2,-0.67476181,3.34e-15,3.93e-14
TNS1,1.2151709,2.63e-15,3.93e-14
SPRY2,0.48169878,3.34e-15,3.93e-14
SYNCRIP,-1.0056709,2.65e-15,3.94e-14
MAST3,0.8922045,2.67e-15,3.96e-14
SPTY2D1,-1.190635,2.66e-15,3.96e-14
TMEM258,2.3315645,2.69e-15,3.99e-14
SYNE2,-1.9482832,2.71e-15,4.01e-14
CCNG1,0.965575,2.7e-15,4.01e-14
DDX55,-1.0801982,2.72e-15,4.03e-14
FBXO16,-0.49390678,3.43e-15,4.03e-14
UBLCP1,-1.2152368,2.72e-15,4.03e-14
TSPAN6,-0.786927,3.44e-15,4.04e-14
C1ORF194,-2.06959196,3.46e-15,4.05e-14
RCL1,0.34763934,3.46e-15,4.05e-14
HAUS6,-1.5973777,2.75e-15,4.08e-14
ZFP30,-1.0446923,2.78e-15,4.12e-14
ZNF137P,-1.5571277,2.79e-15,4.13e-14
ARL2BP,1.0290323,2.8e-15,4.13e-14
CCT4,-1.0977073,2.79e-15,4.13e-14
APOBEC3B,-0.63615141,3.54e-15,4.14e-14
ATP8B5P,0.43496236,3.55e-15,4.15e-14
R3HCC1,0.9748855,2.81e-15,4.16e-14
GATM,-0.71863404,3.57e-15,4.16e-14
MTRF1L,-0.979815,2.83e-15,4.17e-14
TFEB,0.8664682,2.83e-15,4.17e-14
CARNMT1,-0.9731032,2.84e-15,4.18e-14
PTCD3,-1.1385523,2.86e-15,4.21e-14
NPHP1,-0.95043021,3.61e-15,4.21e-14
MTBP,-1.2105227,2.87e-15,4.22e-14
BCL7B,1.1052759,2.87e-15,4.22e-14
UEVLD,-1.1643209,2.88e-15,4.24e-14
MBOAT1,-0.51209905,3.65e-15,4.25e-14
CENPV,1.0315932,2.9e-15,4.25e-14
BMPR1A,-1.3007986,2.94e-15,4.31e-14
FRS3,1.0164409,2.93e-15,4.31e-14
PADI2,0.43106331,3.7e-15,4.31e-14
EFCAB1,-2.06369175,3.75e-15,4.35e-14
CNTN1,-0.80794902,3.75e-15,4.36e-14
NUDCD1,-1.5366636,2.98e-15,4.37e-14
ZC3H8,-1.1782055,3e-15,4.39e-14
LOC100288778///WASH1///WASH7P///WASH2P///WASH3P,1.1440818,3e-15,4.39e-14
KIAA0825,-1.5994995,3.03e-15,4.44e-14
KIAA1524,-1.4076659,3.04e-15,4.44e-14
VEGFA,1.5194682,3.04e-15,4.45e-14
AMBRA1,0.6564364,3.05e-15,4.46e-14
CPNE2,1.4073627,3.05e-15,4.46e-14
CMPK2,1.1241414,3.07e-15,4.48e-14
P2RX2,0.8170391,3.09e-15,4.5e-14
EMD,1.5633945,3.11e-15,4.54e-14
GTPBP2,0.7137827,3.12e-15,4.55e-14
TAOK2,0.8120445,3.13e-15,4.56e-14
ARRDC2,0.7718601,3.96e-15,4.59e-14
TMEM110-MUSTN1///TMEM110,0.7921886,3.22e-15,4.68e-14
LINC00472,1.783505,3.24e-15,4.71e-14
ATP5EP2,1.5332705,3.25e-15,4.73e-14
CDH19,0.52168446,4.09e-15,4.73e-14
NIN,-1.268585,3.26e-15,4.73e-14
PDLIM3,-0.80334789,4.09e-15,4.74e-14
PCDH12,-1.6154628,3.58e-16,4.86e-14
TUBA4A,1.0138923,3.36e-15,4.87e-14
BVES,1.4189009,3.36e-15,4.87e-14
