gene,logFC,p_value,adj_p_value
EPHA3,-1.31473586,1.31e-29,1.7300000000000003e-27
ACSL1,1.17478056,1.41e-29,1.83e-27
LOC107984234,2.2940713,1.69e-30,1.85e-27
KLHL4,-0.97085131,1.64e-29,2.0900000000000003e-27
STARD8,0.89579525,1.63e-29,2.0900000000000003e-27
ID1,1.21092787,1.9300000000000002e-29,2.43e-27
STXBP6,-3.1227505,2.53e-30,2.6500000000000004e-27
HSPA4L,-1.67233845,2.6e-29,3.2300000000000003e-27
CNOT8,0.59802697,3.41e-29,4.17e-27
ARG1,0.98179487,3.4200000000000003e-29,4.17e-27
TSPAN2,-0.90002684,4.05e-29,4.880000000000001e-27
SNORA71D,4.2414495,3.1100000000000003e-31,5.1800000000000005e-27
MYO10,-1.4303376,5.43e-30,5.4300000000000006e-27
PLLP,1.09448403,5.110000000000001e-29,6.11e-27
LDLRAD4,-0.5794284,5.8e-29,6.860000000000001e-27
CHRM3,0.7647431,6e-29,7.030000000000001e-27
LAMP5,-1.07885151,6.47e-29,7.51e-27
PROK2,1.2924102,6.66e-29,7.650000000000001e-27
PAPSS2,1.12496487,7.160000000000001e-29,8.150000000000001e-27
COL1A1,-1.77332415,7.3e-29,8.23e-27
FGF14,-1.51832835,7.85e-29,8.77e-27
SEMA3G,-3.5315807,9.51e-30,9.1e-27
PNMT,0.83069392,1.11e-28,1.22e-26
SCARA3,-0.74492931,1.4e-28,1.54e-26
MMP16,-0.94133386,1.48e-28,1.6e-26
BTNL9,1.71953186,1.57e-28,1.69e-26
TM7SF3,-0.58788072,1.59e-28,1.7e-26
ENAH,-0.79818041,1.63e-28,1.72e-26
OLAH,0.91125619,1.83e-28,1.92e-26
C1ORF198,-2.0091622,2.66e-29,2.43e-26
NREP,-0.73438885,2.59e-28,2.67e-26
FGR,0.91302931,2.58e-28,2.67e-26
SPOCK2,-2.8873578,3.24e-29,2.85e-26
FMO5,1.58493273,2.83e-28,2.89e-26
GPR4,1.18569767,3.41e-28,3.46e-26
LRRN1,-1.37045432,3.98e-28,4e-26
SNX22,0.63889403,4.04e-28,4.02e-26
HIF3A,1.01198763,4.1e-28,4.05e-26
VSIG10,0.62964105,4.5e-28,4.4e-26
MMP25,0.71409981,4.58e-28,4.45e-26
PCYT2,0.66037076,4.6699999999999995e-28,4.5000000000000005e-26
RASIP1,0.79646308,5.1e-28,4.87e-26
MCCC1,0.78634766,5.82e-28,5.48e-26
TTC3,-0.67399037,7.2e-28,6.72e-26
SNORD116-24,3.0607486,8.839999999999999e-30,7.36e-26
SEC14L1,0.6774348,8.07e-28,7.470000000000001e-26
MAN2A2,0.59342633,8.75e-28,8.04e-26
HYAL1,0.78917886,9.74e-28,8.88e-26
PRSS12,-1.68967793,1.1300000000000002e-27,1.02e-25
MFSD2A///MFSD2A,1.4049761,1.18e-27,1.05e-25
TRIM2,-1.05884092,1.2400000000000001e-27,1.09e-25
CSRNP3,-0.75137169,1.2900000000000002e-27,1.14e-25
PDGFRA,1.10916159,1.32e-27,1.15e-25
IP6K3,0.56552968,1.3700000000000001e-27,1.19e-25
SNORD41,4.3335705,1.8600000000000002e-29,1.24e-25
SCARNA4,4.1306173,2.66e-29,1.2599999999999999e-25
MGAM2,0.4643689,1.6900000000000003e-27,1.44e-25
VSNL1,-0.95343261,2.0900000000000003e-27,1.76e-25
S1PR1,1.00537244,2.14e-27,1.79e-25
HPCAL1,0.80130996,2.5200000000000003e-27,2.09e-25
SNORA23,3.4479291,6.28e-29,2.17e-25
GOLM1,-1.16006006,2.6600000000000003e-27,2.1899999999999998e-25
EDA2R,-0.66767063,2.8300000000000004e-27,2.31e-25
TSPAN14,0.54815709,3.0900000000000003e-27,2.5199999999999998e-25
CHPT1,0.72466729,3.2000000000000003e-27,2.58e-25
SEMA6A,-1.6325365,3.15e-28,2.66e-25
NUDT16,0.62348804,3.44e-27,2.76e-25
CDH2,-1.27819726,3.47e-27,2.77e-25
LTBP1,-1.04178811,3.78e-27,2.99e-25
COL17A1,-1.23274177,4.0700000000000005e-27,3.2e-25
RHOBTB2,0.88216618,4.11e-27,3.21e-25
BMP2,-2.8422677,4.18e-28,3.4e-25
HPSE2,-1.22753715,4.5700000000000005e-27,3.55e-25
PISD,0.47944065,4.7e-27,3.6e-25
DSEL,0.80306338,4.6800000000000005e-27,3.6e-25
FAH,0.6253303,5.7900000000000005e-27,4.41e-25
EBF3-AS1,4.0451531,6.9e-28,5.23e-25
VEGFD,-3.077093,6.89e-28,5.23e-25
CRTAC1,1.36154435,7.430000000000001e-27,5.62e-25
CCDC85A,0.74411076,7.55e-27,5.6799999999999995e-25
AASS,0.96279774,7.83e-27,5.85e-25
SNORD116-20,2.78791,2.12e-28,5.88e-25
CP,-2.75203735,7.980000000000001e-27,5.93e-25
SULF1,-1.41883411,8.800000000000001e-27,6.49e-25
CDCA7,-0.66510506,9.590000000000001e-27,7.03e-25
CA4,0.91861245,9.700000000000001e-27,7.07e-25
COL3A1,-1.61665883,1.1300000000000001e-26,8.19e-25
ITGA2B,0.7848969,1.21e-26,8.74e-25
CLEC4E,1.78165531,1.32e-26,9.48e-25
ENTPD1,-0.7102071,1.5500000000000002e-26,1.1e-24
OGN,-1.32181833,1.58e-26,1.12e-24
C10ORF54,0.55513284,1.72e-26,1.2099999999999999e-24
SULT1B1,1.24675164,1.7600000000000002e-26,1.23e-24
FAM105A,0.97680571,1.9500000000000002e-26,1.3499999999999999e-24
LEO1,-2.0823659,6.74e-28,1.5e-24
FAM3C,-2.2138968,6.45e-28,1.5e-24
IL13RA2,-1.54234253,2.2600000000000002e-26,1.56e-24
SPATA18,-2.08388772,2.4600000000000002e-26,1.69e-24
AFF3,1.29649956,2.59e-26,1.7699999999999998e-24
ZNF711,-0.70404121,2.8e-26,1.8999999999999998e-24
ITIH5,-0.87124582,3.24e-26,2.18e-24
CTH,0.91835629,3.3000000000000004e-26,2.21e-24
HNRNPH1,-2.1854836,1.3700000000000001e-27,2.39e-24
SBNO1,-2.4178873,1.2900000000000002e-27,2.39e-24
FLT1,1.07055679,3.7400000000000003e-26,2.5e-24
COMP,-1.11978804,3.86e-26,2.5599999999999997e-24
APOBEC3C,-0.64456448,4.08e-26,2.6899999999999997e-24
CTHRC1,-0.93218224,4.25e-26,2.7899999999999998e-24
SNORD116-14,2.6813959,1.7000000000000002e-27,2.8299999999999997e-24
CADPS,-0.5606956,4.79e-26,3.13e-24
WWC2,-1.6620365,4.3200000000000005e-27,3.17e-24
TXNRD1,0.69579296,5.04e-26,3.25e-24
ANKRD36BP2///ANKRD36C///ANKRD36///ANKRD36B,-1.0068693,5.01e-26,3.25e-24
ENC1,-0.69927608,5.21e-26,3.34e-24
CLEC3B,-2.7347007,4.880000000000001e-27,3.46e-24
DUOX1,1.17806645,5.450000000000001e-26,3.48e-24
GLT8D2,-1.01716966,5.59e-26,3.5599999999999995e-24
IL4R,0.71009999,5.79e-26,3.66e-24
SNORD45A,2.5127891,2.7700000000000003e-27,4.01e-24
FAM167A,-2.866723,6.2000000000000004e-27,4.26e-24
STX3,0.51635427,6.77e-26,4.26e-24
ATP5G1,3.0938286,3.1700000000000002e-27,4.4e-24
SLC27A3,0.83933204,7.21e-26,4.51e-24
PAMR1,-1.19549635,7.26e-26,4.52e-24
SNTG2,2.5802219,8.420000000000001e-27,5.61e-24
FAT1,-0.86800111,1e-25,6.21e-24
ARHGAP6,0.83043089,1.03e-25,6.35e-24
ZNF521,-1.01909139,1.14e-25,6.97e-24
UHMK1,-1.8478541,5.86e-27,7.5e-24
CRISPLD1,-1.25498863,1.27e-25,7.74e-24
AIG1,-0.55683074,1.3399999999999999e-25,8.119999999999999e-24
SLITRK6,-1.61416619,1.58e-25,9.509999999999999e-24
MFAP2,-0.79302904,1.6699999999999999e-25,1e-23
BLVRB,0.5145974,1.69e-25,1.0099999999999999e-23
C14ORF37,-0.51768365,1.77e-25,1.0499999999999999e-23
TACC2,0.92232451,1.86e-25,1.1e-23
PLCB4,-0.91887251,1.89e-25,1.1099999999999999e-23
TMEM120A,0.47634487,2.04e-25,1.19e-23
RNASE2,1.1424973,2.15e-25,1.2499999999999999e-23
PLXDC1,-0.70622824,2.21e-25,1.2799999999999999e-23
ANKRD1,-6.1306074,2.09e-26,1.35e-23
HHAT,-0.70290261,2.6e-25,1.4999999999999997e-23
SOX4,-0.61417865,2.61e-25,1.4999999999999997e-23
FADS1,0.95038871,2.98e-25,1.7099999999999998e-23
PYGL,0.62096898,3.11e-25,1.7699999999999998e-23
VTRNA1-1,5.6305359,1.9500000000000002e-26,1.9699999999999998e-23
PGS1,0.56569167,3.58e-25,2.0299999999999998e-23
HRH2,0.67177889,3.6499999999999998e-25,2.06e-23
EID1,-1.7205427,2.1600000000000002e-26,2.0999999999999998e-23
RNU4ATAC,3.6947536,2.23e-26,2.0999999999999998e-23
ARMCX3,-2.2778814,2.2700000000000002e-26,2.0999999999999998e-23
RASSF9,-1.13743867,4.01e-25,2.25e-23
WFDC12,0.72599289,4.33e-25,2.4199999999999998e-23
SERTM1,-5.0537556,3.86e-26,2.4199999999999998e-23
PDCD4,-2.8147645,2.69e-26,2.4199999999999998e-23
PDIA3P1///PDIA3,-1.9769364,2.9100000000000004e-26,2.5499999999999998e-23
FAM13C,-1.03870803,5.3699999999999995e-25,2.97e-23
HLA-E,-1.9121878,5.28e-26,3.23e-23
TMEM248,1.460025,3.79e-26,3.24e-23
TCEA1,-1.7875364,3.9100000000000004e-26,3.2599999999999994e-23
HHLA2,-1.72697384,6.09e-25,3.35e-23
DDX50,-1.736665,4.61e-26,3.4099999999999995e-23
CERS2,0.49046531,6.6599999999999995e-25,3.6499999999999994e-23
CEP126,-1.43049982,9.46e-25,5.1399999999999997e-23
SNORD116-15,2.3323136,8.240000000000001e-26,5.49e-23
SLC1A5,0.55323616,1.04e-24,5.64e-23
TBXAS1,0.7161411,1.11e-24,5.969999999999999e-23
DUSP8,-2.3212601,1.02e-25,6.079999999999999e-23
CXCR1,0.93686128,1.1399999999999999e-24,6.11e-23
GALNT13,0.89893692,1.16e-24,6.18e-23
GABARAP,1.7416636,9.62e-26,6.209999999999999e-23
PPP4R2,-2.1989227,1.05e-25,6.599999999999999e-23
BCL11A,-0.75553695,1.31e-24,6.969999999999999e-23
RAB1A,-1.7846664,1.27e-25,7.68e-23
PNN,-2.6092245,1.38e-25,8.079999999999999e-23
SNORA60,3.6232832,1.41e-25,8.099999999999999e-23
VGLL3,0.86167297,1.58e-24,8.35e-23
CNTROB,0.58592041,1.63e-24,8.569999999999999e-23
TNS3,-1.3147826,1.53e-25,8.839999999999999e-23
DUOXA1,0.78970051,1.71e-24,8.989999999999999e-23
MAGED4///MAGED4B,-0.52359185,1.75e-24,9.079999999999999e-23
CFHR1,-0.7545573,1.7599999999999998e-24,9.079999999999999e-23
CACNA2D3,0.61025947,1.7699999999999998e-24,9.099999999999999e-23
RNU4-1,3.5938341,1.89e-25,1.07e-22
B3GALNT2,-1.7233195,1.97e-25,1.1e-22
ITGB8,-1.15209376,2.2e-24,1.1200000000000001e-22
SLC18A2,-1.1217679,2.19e-24,1.1200000000000001e-22
CAP2,-1.00960313,2.21e-24,1.1200000000000001e-22
SNORD116-23,2.8536518,2.14e-25,1.17e-22
ASPA,-1.00047614,2.33e-24,1.18e-22
CEBPD,2.3537236,2.2e-25,1.18e-22
ENPP3,-0.80223984,2.5e-24,1.2500000000000001e-22
TSPAN11,-0.99057263,2.5499999999999998e-24,1.2800000000000001e-22
MS4A2,-1.44708414,2.77e-24,1.3800000000000001e-22
EWSR1,-1.5769755,2.61e-25,1.3800000000000001e-22
SNX4,-1.8407764,2.78e-25,1.42e-22
SNORA20,3.1439809,2.74e-25,1.42e-22
COL24A1,-0.50787189,2.88e-24,1.43e-22
FURIN,0.63097305,3.01e-24,1.49e-22
ASRGL1///ASRGL1,0.81229635,3.17e-24,1.56e-22
SREK1,-2.2826286,3.47e-25,1.75e-22
CAPN5,-0.46220901,3.6499999999999996e-24,1.79e-22
SNORD116-1,2.7629655,3.6499999999999998e-25,1.81e-22
HNRNPM,-1.68434,3.74e-25,1.83e-22
SLC22A15,0.73152251,4.27e-24,2.08e-22
GAB2,0.65776482,4.44e-24,2.16e-22
ZNF180,-1.4678614,4.57e-25,2.2e-22
SCARNA17,-1.9474773,4.7199999999999995e-25,2.25e-22
NEBL,-1.6422502,4.19e-25,2.3e-22
CCND2,-0.62307501,5.05e-24,2.44e-22
PXN,1.668315,5.24e-25,2.46e-22
VWA5A,-0.70535797,5.18e-24,2.5000000000000002e-22
CROT,-0.79595545,5.3399999999999996e-24,2.5600000000000003e-22
SASH1,0.84411733,5.42e-24,2.59e-22
PTPRB,1.22822038,5.54e-24,2.64e-22
DIRC2,1.6831023,6.13e-25,2.8e-22
FAM208A,-1.6803659,6.58e-25,2.92e-22
RAB11FIP1,-1.9198083,6.17e-25,3.3100000000000003e-22
TTC39C,1.1728655,6.47e-25,3.39e-22
LOC100421561///FAM133CP///FAM133DP///FAM133B,-2.1088773,8.1e-25,3.5e-22
DZIP3,-1.38064903,7.899999999999999e-24,3.75e-22
FANCE,0.44099925,8.01e-24,3.79e-22
AGPS,-2.1076191,8.98e-25,3.8300000000000002e-22
TP63,-1.44721369,8.46e-24,3.98e-22
SLC35D1,-1.91738,1.06e-24,4.4e-22
PGM5P2///PGM5,-1.09040221,1.03e-23,4.83e-22
SHMT1,0.58753443,1.1199999999999999e-23,5.23e-22
HNRNPA3///HNRNPA3P1,-2.3865273,1.3399999999999999e-24,5.43e-22
LILRA5,0.75109732,1.1699999999999998e-23,5.46e-22
TP53INP1,-0.73432802,1.19e-23,5.53e-22
EPRS,-2.5943518,1.39e-24,5.59e-22
DNAJA2///DNAJA2,-1.932,1.51e-24,5.91e-22
GGNBP2,-1.7949818,1.56e-24,6.0400000000000005e-22
CASKIN2,0.75638001,1.4599999999999998e-23,6.72e-22
CCL13,-1.0705127,1.4599999999999998e-23,6.72e-22
CLDN5,0.57955638,1.48e-23,6.79e-22
MRPS18A,2.104705,1.92e-24,6.95e-22
SORT1,0.66340185,1.56e-23,7.06e-22
EBP,0.58730172,1.55e-23,7.06e-22
SEL1L3,-0.77425812,1.56e-23,7.06e-22
PMEPA1,-0.51166342,1.5899999999999998e-23,7.19e-22
ITLN2,1.02581152,1.7099999999999998e-23,7.68e-22
FRK,-0.83476735,1.81e-23,8.1e-22
DNAJC10,-2.38344,2.36e-24,8.37e-22
PANK2,-2.6305045,2.36e-24,8.37e-22
APLNR,-1.01217284,1.8999999999999998e-23,8.45e-22
KLF12,-0.57510804,1.93e-23,8.52e-22
AFF2,0.75077897,1.92e-23,8.52e-22
MFSD13A,0.58876364,1.9699999999999998e-23,8.7e-22
PDIA6,-2.2652482,2.58e-24,9.04e-22
B3GALNT1,-1.8004836,1.81e-24,9.06e-22
TMF1,-2.8655714,2.64e-24,9.15e-22
HSD17B4,0.58201892,2.12e-23,9.31e-22
SH3BP5,0.58760253,2.13e-23,9.33e-22
DZIP1,-0.56178157,2.1799999999999999e-23,9.52e-22
NMNAT2,-0.60130698,2.3299999999999996e-23,1.0100000000000002e-21
DLL4,2.4536023,3.0799999999999997e-24,1.0300000000000001e-21
USP33,-1.7837273,3.28e-24,1.07e-21
RNMT,-2.075665,3.42e-24,1.1e-21
