gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category,matrisome_division
ISLR,1.03459811,0.000824,-0.84942901,0.0062026,1.32894,8.3e-10,-1.3685904,5.55e-05,False,Non-ECM,Non-ECM
ITGBL1,-1.7311766,0.002,-1.5065576,0.00933,-0.58827031,5.69e-08,-0.81327219,2.18e-10,False,Non-ECM,Non-ECM
JCHAIN,1.66909789,0.0202,-1.40032795,0.0065752,-1.34238042,7.8e-19,-2.45752384,4.43e-11,False,Non-ECM,Non-ECM
JUND,-1.2899497,3.29e-08,0.62826967,0.0063576,1.5740859,5.09e-15,-1.1586799,5.94e-05,False,Non-ECM,Non-ECM
KRT7,1.71869423,0.0011,-0.96424177,0.0238475,0.985805,2.61e-06,-0.7478173,0.0397,False,Non-ECM,Non-ECM
LAMC3,0.62190975,0.000713,-1.31088742,0.0100478,0.73075977,9.65e-16,0.68068461,5.98e-08,True,ECM Glycoproteins,Core matrisome
LGALS3BP,0.626326,0.0163,-1.1465941,0.0002646,0.6717586,0.000106,-0.99722869,8.5e-19,False,Non-ECM,Non-ECM
LRRN1,-1.9474775,8.25e-06,-0.8134659,0.04266,-1.37045432,3.9999999999999996e-26,-0.88909483,8.49e-12,False,Non-ECM,Non-ECM
LTBP2,1.3045644,0.00093,-2.0340644,0.01959,-0.72371299,4.52e-13,-1.22845963,1.63e-17,True,ECM Glycoproteins,Core matrisome
LYVE1,1.03768844,0.000281,0.74569738,0.0016664,0.78192501,4.68e-07,-1.5256661,7.77e-05,False,Non-ECM,Non-ECM
LYZ,2.79007982,2.16e-06,-0.6877495,0.0259385,0.6459636,0.000109,-0.98360315,1.28e-09,False,Non-ECM,Non-ECM
MARCO,0.67445687,2.98e-05,1.05994335,0.0076723,-1.0528055,3.62e-05,-2.0073232,0.000584,False,Non-ECM,Non-ECM
MDK,-1.9247646,1.75e-06,-0.97178003,0.0096649,-0.87458787,1.83e-34,-0.97964026,5.12e-13,True,Secreted Factors,Matrisome-associated
MFAP4,0.69586103,0.0288,-1.21039013,0.0081603,1.1601555,2.23e-09,-1.5803459,2.43e-05,True,ECM Glycoproteins,Core matrisome
MME,-0.9866764,0.00189,1.2883051,0.00933,1.04253776,1.34e-13,-1.503449,8.53e-28,False,Non-ECM,Non-ECM
MRC1,0.92370756,0.0369,1.017157,0.00269,-1.6863309,3.59e-09,-0.97485672,1.65e-20,False,Non-ECM,Non-ECM
MT1G,-1.16720705,0.00147,1.26153823,0.0204199,0.74154441,2.24e-08,0.7902255,0.000716,False,Non-ECM,Non-ECM
