cell_type_marker,hub_gene,spearman_rho,p_value,n_samples,p_adj
M2 Macrophage (CD163),COL15A1,0.146,0.10558140723673472,124,0.11476239917036382
M2 Macrophage (CD163),COL1A1,0.5944,3.385227109861419e-13,124,1.3020104268697766e-12
M2 Macrophage (CD163),COL3A1,0.6618,5.831644385345824e-17,124,4.165460275247017e-16
M2 Macrophage (CD163),SERPINE2,0.5248,3.9201895891079165e-10,124,1.1529969379729166e-09
M2 Macrophage (CD163),SERPINF2,-0.4701,3.6217287028761144e-08,124,9.054321757190287e-08
Total Macrophage (CD68),COL15A1,-0.1823,0.042731426900274795,124,0.050870746309850945
Total Macrophage (CD68),COL1A1,-0.1583,0.07902848360860787,124,0.08980509500978168
Total Macrophage (CD68),COL3A1,-0.0585,0.5188220248702893,124,0.5519383243300949
Total Macrophage (CD68),SERPINE2,-0.1883,0.03624188439606764,124,0.044197419995204434
Total Macrophage (CD68),SERPINF2,0.0003,0.9973982139949243,124,0.9973982139949243
Activated Myofibroblast (ACTA2),COL15A1,0.317,0.0003349751991208349,124,0.0005775434467600601
Activated Myofibroblast (ACTA2),COL1A1,0.4733,2.8324258224187332e-08,124,7.453752164259825e-08
Activated Myofibroblast (ACTA2),COL3A1,0.4622,6.49907759915938e-08,124,1.547399428371281e-07
Activated Myofibroblast (ACTA2),SERPINE2,0.5214,5.334044984836629e-10,124,1.4816791624546192e-09
Activated Myofibroblast (ACTA2),SERPINF2,-0.3076,0.0005112203179713685,124,0.00082454889995382
Activated Fibroblast (FAP),COL15A1,0.2191,0.014512256244439588,124,0.018605456723640498
Activated Fibroblast (FAP),COL1A1,0.3376,0.00012591206968227576,124,0.00022484298157549244
Activated Fibroblast (FAP),COL3A1,0.4349,4.495312183296946e-07,124,9.77241778977597e-07
Activated Fibroblast (FAP),SERPINE2,0.3846,1.03060376282762e-05,124,2.1470911725575417e-05
Activated Fibroblast (FAP),SERPINF2,-0.2717,0.002267814557125516,124,0.003149742440452105
Matrix Stroma (POSTN),COL15A1,0.6094,5.868844362207313e-14,124,2.6676565282760514e-13
Matrix Stroma (POSTN),COL1A1,0.7364,1.9060297825619487e-22,124,3.176716304269915e-21
Matrix Stroma (POSTN),COL3A1,0.7888,1.4997427365861295e-27,124,3.7493568414653237e-26
Matrix Stroma (POSTN),SERPINE2,0.8345,2.281395041994348e-33,124,1.140697520997174e-31
Matrix Stroma (POSTN),SERPINF2,-0.5461,5.381967957541611e-11,124,1.6818649867317535e-10
Endothelial Cell (PECAM1),COL15A1,0.3707,2.2490432383108257e-05,124,4.3250831505977415e-05
Endothelial Cell (PECAM1),COL1A1,0.6361,2.036550736833013e-15,124,1.0182753684165066e-14
Endothelial Cell (PECAM1),COL3A1,0.6914,6.213327315598115e-19,124,6.2133273155981146e-18
Endothelial Cell (PECAM1),SERPINE2,0.6541,1.7665293776559187e-16,124,1.1040808610349492e-15
Endothelial Cell (PECAM1),SERPINF2,-0.5601,1.3410574950356807e-11,124,4.470191650118936e-11
Cytotoxic T Cell (CD8A),COL15A1,0.2949,0.0008846481552409086,124,0.0013403759927892555
Cytotoxic T Cell (CD8A),COL1A1,0.6412,1.045412339147912e-15,124,5.807846328599511e-15
Cytotoxic T Cell (CD8A),COL3A1,0.7091,3.0808932623209546e-20,124,3.8511165779011934e-19
Cytotoxic T Cell (CD8A),SERPINE2,0.69,7.765604693498251e-19,124,6.471337244581876e-18
Cytotoxic T Cell (CD8A),SERPINF2,-0.5951,3.139006550080823e-13,124,1.3020104268697766e-12
Helper T Cell (CD4),COL15A1,-0.2935,0.0009389184101475107,124,0.0013807623678639865
Helper T Cell (CD4),COL1A1,-0.3425,9.876453190839997e-05,124,0.0001828972813118518
Helper T Cell (CD4),COL3A1,-0.4364,4.0426255672703136e-07,124,9.187785380159804e-07
Helper T Cell (CD4),SERPINE2,-0.3827,1.1532484154920007e-05,124,2.3064968309840013e-05
Helper T Cell (CD4),SERPINF2,0.5922,4.3286622171948756e-13,124,1.5459507918553129e-12
Regulatory T Cell (Treg) (FOXP3),COL15A1,-0.248,0.0054748538308395595,124,0.007203755040578368
Regulatory T Cell (Treg) (FOXP3),COL1A1,-0.1572,0.08121185588377021,124,0.09023539542641135
Regulatory T Cell (Treg) (FOXP3),COL3A1,-0.1669,0.06396594215905707,124,0.07437900251053148
Regulatory T Cell (Treg) (FOXP3),SERPINE2,-0.3151,0.0003638938347781054,124,0.0006064897246301757
Regulatory T Cell (Treg) (FOXP3),SERPINF2,0.271,0.002331329361225352,124,0.0031504450827369622
M1 Macrophage (NOS2),COL15A1,-0.025,0.7832654503632245,124,0.7992504595543107
M1 Macrophage (NOS2),COL1A1,-0.1999,0.02600696900565375,124,0.03250871125706719
M1 Macrophage (NOS2),COL3A1,-0.2876,0.0011981737444656528,124,0.0017116767778080754
M1 Macrophage (NOS2),SERPINE2,-0.3032,0.0006202193481716776,124,0.0009690927315182462
M1 Macrophage (NOS2),SERPINF2,0.0323,0.7215184807157188,124,0.7515817507455405
