gene,coefficient_beta,odds_ratio,std_err,z_statistic,p_value,range_min,range_max,points_at_min,points_at_max
COL15A1,1.6243,5.0749,0.3096,5.2467,1.54823057798381e-07,5.579,9.175,0,100
COL1A1,0.4139,1.5127,0.1083,3.8216,0.00013258393434410342,6.674,13.636,0,100
SERPINE2,0.2624,1.3001,0.0846,3.1018,0.0019231804725878216,3.191,12.645,0,100
SERPINF2,-0.4046,0.6673,0.0521,-7.7665,8.071228993341123e-15,1.171,14.429,100,0
