gene,matrisome_division,matrisome_category,logFC_skin,adj_p_skin,logFC_kidney,adj_p_kidney,logFC_liver,adj_p_liver,logFC_lungs,adj_p_lungs
INHBA,Matrisome-associated,Secreted Factors,-1.35361254,3.54e-14,0.6379461,0.0027,0.713726,0.0408,-1.7472706,0.00365
LAMC3,Core matrisome,ECM Glycoproteins,0.68068461,5.98e-08,0.62190975,0.000713,-2.03,3.11e-13,-3.5391988,7.66e-32
LEFTY2,Matrisome-associated,Secreted Factors,-0.95914512,3.65e-05,-1.2283014,0.005,-1.313127,2.23e-08,0.8394305,1.69e-11
LEP,Matrisome-associated,Secreted Factors,-2.0997349,1.21e-06,-1.8284949,0.000177,-1.567028,3.5e-05,-1.8829131,0.044974
LTB,Matrisome-associated,Secreted Factors,-0.78494861,9.99e-07,1.2828954,0.000313,-1.52,5.14e-09,-2.3211425,1.73e-08
LTBP2,Core matrisome,ECM Glycoproteins,-1.22845963,1.63e-17,1.3045644,0.00093,-1.24,1.27e-08,-0.72371299,4.52e-13
LUM,Core matrisome,Proteoglycans,-1.81325366,1.98e-22,1.3170638,0.00778,-1.21,2.85e-06,-0.94466129,4.8800000000000004e-21
MATN3,Core matrisome,ECM Glycoproteins,-1.68168351,9.04e-13,1.3794816,0.00308,1.131826,1.28e-06,-3.6327869,1.4200000000000003e-21
MDK,Matrisome-associated,Secreted Factors,-0.97964026,5.12e-13,-1.9247646,1.75e-06,-1.2634938,7.88e-06,-0.87458787,1.83e-34
MFAP4,Core matrisome,ECM Glycoproteins,-1.5803459,2.43e-05,0.69586103,0.0288,-2.247558,4.21e-06,1.1601555,2.23e-09
MMP11,Matrisome-associated,ECM Regulators,-2.31103903,2.3700000000000007e-21,1.6170838,0.000109,-2.40212,3.02e-07,-2.436065,5.22e-05
MMP12,Matrisome-associated,ECM Regulators,-1.21737546,0.00102,-0.908,0.0323,1.214646,2.04e-05,-0.81697733,5.34e-09
MUC4,Matrisome-associated,ECM-affiliated Proteins,-1.0167894,0.037,-1.2051299,0.00936,1.552223,1.35e-07,-1.12091664,7.09e-10
NID1,Core matrisome,ECM Glycoproteins,-0.78306398,2.4700000000000002e-21,1.26,6.96e-05,1.687747,4.02e-07,0.72361725,2.48e-12
PDGFD,Matrisome-associated,Secreted Factors,-0.8761549,2.33e-05,-0.8901066,0.0146,-0.743,0.000269,-1.3643127,4.45e-07
PLOD2,Matrisome-associated,ECM Regulators,-0.6193502,3.61e-09,-0.8099028,0.0131,2.152636,8.4e-10,-2.1282464,3.29e-19
PLXNA3,Matrisome-associated,ECM-affiliated Proteins,-0.8750376,1.89e-05,0.818,0.0406,-1.0312493,1.07e-07,0.6305082,6.92e-11
PLXND1,Matrisome-associated,ECM-affiliated Proteins,-0.6868433,3.78e-12,1.8457999,9.66e-06,-0.7177362,9.19e-06,1.1103905,8.11e-12
POSTN,Core matrisome,ECM Glycoproteins,-1.03992482,3.9e-15,1.64720178,8.47e-05,1.557838,1.17e-06,-1.57060251,1.77e-17
PRELP,Core matrisome,Proteoglycans,-0.72140205,1.72e-06,1.06774475,4.46e-06,-2.31835,4.08e-07,0.70281907,1.43e-12
PRG4,Core matrisome,Proteoglycans,-1.2754332,0.000257,-1.7329349,0.00169,3.321871,4.97e-14,0.8255777,0.0216
PRSS12,Matrisome-associated,ECM Regulators,-1.1414552,5.16e-05,1.237632,0.0105,1.080889,9.67e-06,-1.68967793,1.02e-25
SDC3,Matrisome-associated,ECM-affiliated Proteins,-0.84848048,4.82e-16,1.93,7.01e-05,2.287192,7.35e-10,1.1137945,1.33e-13
SEMA3E,Matrisome-associated,ECM-affiliated Proteins,-0.904209,0.00247,-1.4696809,0.00379,-1.252744,1.19e-05,-1.9523073,0.000935
SEMA6A,Matrisome-associated,ECM-affiliated Proteins,-1.6958419,0.00586,1.08,0.0113,-0.999784,0.0253,-1.6325365,2.66e-25
SEMA7A,Matrisome-associated,ECM-affiliated Proteins,-1.4722485,0.04,1.49,0.00033,-1.14,2.47e-05,0.7084395,7.85e-07
SERPINE1,Matrisome-associated,ECM Regulators,-3.42970049,4.41e-38,-0.97152753,0.000633,-1.52,2.43e-05,-3.5822256,1.49e-06
SERPINF2,Matrisome-associated,ECM Regulators,-0.59567572,1.22e-08,-2.7390396,0.000802,1.3225455,0.043,0.63997202,3.11e-20
SERPINH1,Matrisome-associated,ECM Regulators,-0.73761569,1.02e-15,0.94882229,5.44e-06,-0.7564018,1.98e-06,0.7277705,7.93e-06
SFRP4,Matrisome-associated,Secreted Factors,-4.73806111,1.08e-74,0.78663094,0.00323,0.934905,1.28e-05,-1.42136303,3.15e-19
SPARCL1,Core matrisome,ECM Glycoproteins,-0.60177431,3.08e-18,1.41812269,0.0054,0.965534,0.000764,-1.7856164,7.63e-14
