AEBP1,BMP1,CCL19,CCL2,CCL21,CCL5,CLEC2D,COL15A1,COL1A1,COL1A2,COL3A1,COLEC11,FGF14,LAMC3,LTBP2,MDK,MFAP4,PDGFD,SERPINE2,SERPINF2,SERPINH1,SPARCL1,SVEP1,VWF,GSM,study,organ,label
7.800169103312517,12.091111358844202,5.928726754295293,8.030751994716901,6.756685340600602,6.555002942259059,13.030158354701914,5.642898239558507,7.8966187434518496,7.085290925827373,9.441580453525871,4.9460732297306,8.415537184053834,15.700711191772815,7.325226185776461,5.704538888117221,9.60266322444093,6.697274971645773,5.454918260517151,5.202914101620458,10.89412761796271,9.514230831458269,13.189696642468933,13.982502191024922,GSM1623299,GSE66494,Kidney,1
10.557535475006683,12.029055670981931,5.928726754295293,7.888054315454793,6.739634838968789,6.516682630324999,16.68429922542608,6.6988040908440105,8.769988392761498,7.783135261006403,9.12117182562464,5.1112045978928595,8.246233873942847,22.097628352892283,7.057092414409839,5.862908690376727,9.079309060104158,6.774076948927925,6.550410703831325,5.154318427633546,12.14866947218486,10.406598269940496,12.126225793008865,16.12009501008973,GSM1623300,GSE66494,Kidney,1
6.078229386962905,12.046015262438987,7.975360673966494,7.565749135168213,6.92075490699287,6.488757769120152,18.78006450881918,5.948568291657791,7.787175944535428,6.8771371321497,8.185589012539854,7.08180499128226,8.164203042985855,9.86534765085882,7.5185774662201235,6.8712364121478,7.659607098581578,6.3255173902382,8.076923861066476,6.243112126234596,12.478052235919451,9.159893071051098,10.147467975249926,14.14567082119596,GSM1623301,GSE66494,Kidney,1
10.637961643451288,12.00255568919514,10.2440728101188,8.569628410972902,6.915097204121946,7.787774159099192,10.24031045632577,6.545083585514534,8.722977063246413,8.588581735884121,9.172818381558105,6.570510131649552,8.141567258310596,11.958437099684724,7.647496005779132,6.016954832063714,9.610111248484818,6.603829886031134,5.875659019354568,5.9039922939964775,12.286561759796081,9.607999680416452,13.833670397943814,16.921258273112578,GSM1623302,GSE66494,Kidney,1
6.6119551840540165,12.03566417350558,7.472948743172169,8.342850762840378,6.5175983387573355,6.671654967530891,8.430473578847558,5.295876963222932,7.822473037909763,6.631702551133102,9.148254557539742,5.28267274842068,8.250731946415028,8.697045142367708,7.2861937702304855,14.411881316548989,8.391766646494194,7.0670945541684205,6.382647176427306,5.153982497190102,11.877127150316172,9.515898348554163,9.863378416861407,15.469391433927843,GSM1623303,GSE66494,Kidney,1
7.3571684694592046,12.028168569353953,6.067011890476318,8.203118277107643,6.739621014862812,6.5416125116679495,7.102494776673348,6.417655191442724,8.785761689951569,8.043042456480798,8.978790011981244,6.898171940931642,8.258091188210022,11.728951932440221,7.217610060879862,7.443608492483323,8.221717764261362,7.595328817680557,7.036043095372719,5.929412890705617,13.338918243576677,8.913806939538965,10.891055765503603,19.564445928325565,GSM1623304,GSE66494,Kidney,1
19.57333830176771,12.521068009251412,5.928726754295293,7.976222276822149,6.372883891066219,6.738215706758312,14.333364004234596,6.678774765084587,9.133044884503787,10.054349829781197,10.181794512787697,5.413388784364257,8.282491061191498,19.469598321855205,7.261533183695053,6.642216160400876,9.429891643685758,6.735751673117491,5.213843018612027,5.353231200592424,13.887225425870364,9.776939008299665,13.106706224595406,12.957387898298254,GSM1623305,GSE66494,Kidney,1
6.757875536398894,12.188953101312379,9.417051649812601,8.375855554356566,7.914731266874992,7.227197046395769,15.008500865370074,5.447637491265732,7.673496540508814,6.88738419900153,8.311141378655675,7.167144032396484,8.172097295013698,7.7375610704131805,6.667040425735979,6.515149543160327,8.041084883766114,6.61166928565115,7.913617932246595,6.112966439766544,13.193730166205585,8.488693231623522,10.33996434599915,11.202550879158586,GSM1623306,GSE66494,Kidney,1
6.945501750629732,12.075858892266456,6.19838028881834,5.960586704544974,6.524153614890041,6.635868647273096,14.720991300742536,6.278502762514806,7.591194348291293,6.838263425921989,8.287617929648336,6.923156950084051,8.151078694726827,9.37034505977461,6.9954731150029055,5.171175005207909,7.805274304085294,6.792766164800365,8.219638424196589,6.5966263759475146,11.77821734213985,9.537419511011379,10.17574119301223,16.739920141978523,GSM1623307,GSE66494,Kidney,1
6.282454224103371,12.184896311514297,8.839146760781128,7.489902690696682,6.930628324791965,6.814415126768248,15.106106557908445,5.445390296738046,7.790227749561272,6.738989542046516,8.259855851724998,7.057407755253561,8.126684680039569,8.1984931469428,6.888748146976793,6.114265091717677,8.572759191303483,6.459320057538428,8.713811307942226,7.149728186995459,13.301981402002122,8.829412415727585,10.060563304080706,11.425260533261383,GSM1623308,GSE66494,Kidney,1
9.286233473288142,12.319188709171087,7.39018442995778,7.471671495646168,6.860941940810053,6.901222776328348,14.355090777267735,6.040801714317372,7.598687527020871,7.062681294124932,8.618052064018071,6.966521379388414,8.137826192497448,9.670477003522926,6.811180536598037,5.091160807618461,8.489607179698707,6.513362753012578,6.982864631514781,6.017504142682953,13.590061502736603,8.968283472677813,10.904016177143864,11.890133350677248,GSM1623309,GSE66494,Kidney,1
12.691525704036005,12.097627064214645,5.928726754295293,10.05874004873441,6.208595065495114,9.171626492955479,15.779138052431872,6.55305795563816,10.284666890552932,10.194458137868203,13.284016429678733,5.298394050365356,8.131682601626034,22.797258791147748,6.513777894506626,12.814340265234225,9.274209562664783,6.247620571831439,5.865567594131474,5.182384945919262,13.035731319212257,9.478166401359552,11.635397768644674,16.389777262804174,GSM1623310,GSE66494,Kidney,1
