gene,tissue,logFC,adj_p_value
CCSER2,Liver,1.871225,1.96e-09
CCT6A2P,Liver,0.679921,0.00318
CCT7,Liver,1.583413,2.68e-07
CCT8L1P,Liver,-3.218534,3.15e-07
CCZ1,Liver,-1.253828,0.0327
CD164L2,Liver,-0.846222,0.0257
CD200,Liver,0.741365,0.000379
CD27-AS1,Liver,-0.996846,0.0153
CD72,Liver,-1.04,5.37e-10
CD8B,Liver,-1.393738,0.00011
CD97,Liver,-1.0815312,0.04978
CDAN1,Liver,-0.953222,3.29e-05
CDC123,Liver,4.460197,2.74e-06
CDC16,Liver,-1.913798,5.02e-07
CDC37P1,Liver,-2.489633,3.94e-06
CDC42EP2,Liver,-0.6164609,0.00427
CDC50A,Liver,0.971756,0.00527
CDH12P2,Liver,-1.72203,0.000637
CDH16,Liver,-3.369237,1.19e-07
CDHR2,Liver,-1.1587085,1.2e-09
CDK20,Liver,-1.20051,0.000147
CDK5R1,Liver,-1.35976,0.00239
CDK9,Liver,2.090571,2.31e-05
CDKL1,Liver,1.295133,1.1e-05
CDKL4,Liver,-1.115135,1.27e-05
CDKL5,Liver,0.904414,0.00357
CDNF,Liver,0.707,2.38e-09
CDX1,Liver,-1.710626,0.00492
CDY1,Liver,-1.475007,0.000905
CDY2A,Liver,-2.960776,0.000502
CEACAM16,Liver,-0.606781,0.00713
CEACAM18,Liver,-3.234687,3.33e-05
CEACAM20,Liver,-0.616,0.0156
CELF2-AS1,Liver,-2.22767,6.01e-05
CELSR1,Liver,-1.560568,0.011
CELSR2,Liver,-1.210927,0.000221
CEMP1,Liver,-0.6629113,0.000912
CENPM,Liver,-2.426387,5.3e-05
CENPO,Liver,-2.033123,0.00174
CENPX,Liver,-1.323845,0.000947
CEP15,Liver,1.912687,0.000285
CEP72,Liver,0.799548,0.000834
CEP76,Liver,0.913352,2.28e-05
CEP85L,Liver,-0.710218,0.00522
CEPT1,Liver,2.791438,1.88e-13
CERCAM,Liver,-0.9919133,6.37e-06
CERK,Liver,1.637025,1.75e-07
CERS2,Liver,1.125495,0.00196
CETN4P,Liver,1.388652,1.25e-06
CETP,Liver,1.33979333,0.0001914
CFAP100,Liver,-2.775195,1.49e-06
CFAP107,Liver,-2.642595,1.38e-06
CFAP119,Liver,-1.991093,7.67e-06
CFAP141,Liver,-1.195766,2.05e-06
CFAP144P1,Liver,-2.94259,3.72e-06
CFAP263,Liver,1.01937,2.43e-05
CFAP298,Liver,0.742389,0.00229
CFAP418,Liver,-1.01671,3.95e-05
CFAP77,Liver,-1.328056,0.000257
CFAP96,Liver,0.731415,0.000386
CFC1,Liver,0.650446,0.00226
CFHR3,Liver,3.29036,1.47e-13
CFHR3 /// CFHR4,Liver,3.1425008,0.01959
CGB1,Liver,0.736558,0.0309
CGB3,Liver,-1.47146,0.00211
CGB5,Liver,-3.373657,0.000218
CHAT,Liver,-3.353922,2.35e-06
CHCHD3,Liver,1.592449,6.38e-10
CHCHD4,Liver,-1.75329,1.01e-08
CHCT1,Liver,-1.800785,7.42e-05
CHIC1,Liver,-1.66875,4.71e-05
CHKB-DT,Liver,-1.253599,0.00129
CHLSN,Liver,-1.319099,9.84e-05
CHN2,Liver,3.058419,2.52e-12
CHRFAM7A,Liver,-1.296287,0.000531
CHRM3-AS2,Liver,0.593,0.0124
CHRM5,Liver,-0.949716,0.000153
CHRNA3,Liver,0.885828,0.000354
CHRNA5,Liver,-1.376314,1.53e-05
CHRNA6,Liver,0.877457,4.93e-05
CHRNB4,Liver,-1.571173,3.57e-05
CHRND,Liver,-0.864302,0.0151
CHST13,Liver,-0.637593,0.00496
CHST3,Liver,-2.168677,2.99e-05
CHST4,Liver,-0.827,0.000307
CHST5,Liver,0.628549,0.0236
CHTF18,Liver,-1.4083232,3.96e-06
CHTOP,Liver,1.309829,0.000463
CIAO2A,Liver,1.678964,1.97e-06
CIB3,Liver,-3.503172,3.97e-06
CIB4,Liver,-0.915486,0.0448
CIC,Liver,-0.9117674,3.89e-06
CIMAP1A,Liver,-4.163555,3.78e-08
CIMAP1B,Liver,3.760963,1.78e-08
CIMAP1C,Liver,-1.914901,8.79e-07
CIMAP2,Liver,-1.140078,0.00286
CIMAP3,Liver,1.08555,1.64e-05
CIMIP1,Liver,-2.588743,0.000111
CIMIP2C,Liver,-1.68092,0.000457
CIP2A,Liver,0.815402,0.000399
CIRBP-AS1,Liver,-2.315792,0.000352
CIROZ,Liver,-0.975893,0.0012
CIRSR,Liver,0.665669,0.0335
CITED1,Liver,-1.665198,0.000583
CLCA1,Liver,1.511053,0.0288
CLCN6,Liver,1.165723,4.27e-07
CLDN17,Liver,-2.506904,1.65e-06
CLDN19,Liver,-1.672647,0.000649
CLDN5,Liver,-1.4054854,2.32e-06
CLDN6,Liver,-2.168647,0.0022
CLDN9,Liver,-0.9290885,0.000303
