gene,coefficient_beta,odds_ratio,std_err,z_statistic,p_value,range_min,range_max,points_at_min,points_at_max
COL15A1,1.5035,4.4973,0.3521,4.2698,1.9567409992101895e-05,5.579,9.175,0.0,94.8
COL1A1,0.343,1.4092,0.1922,1.7849,0.07428071756962033,6.674,13.636,0.0,41.9
COL3A1,0.0843,1.088,0.2224,0.3792,0.7045332069169981,6.848,12.7,0.0,8.7
SERPINE2,0.2164,1.2416,0.1007,2.1477,0.03174056574129067,3.191,12.645,0.0,35.9
SERPINF2,-0.4301,0.6504,0.0591,-7.2733,3.509362026353004e-13,1.171,14.429,100.0,0.0
LAMC3,-0.1926,0.8248,0.0439,-4.3887,1.1401496042762148e-05,2.814,18.656,53.5,0.0
LTBP2,0.3602,1.4336,0.2135,1.6871,0.09158461721097466,5.145,8.489,0.0,21.1
MDK,0.1095,1.1157,0.0692,1.5812,0.1138431571428826,1.992,14.54,0.0,24.1
SVEP1,-0.295,0.7445,0.0851,-3.4658,0.0005286104225751112,6.188,14.405,42.5,0.0
