gene,logFC,p_value,adj_p_value
IGHV3-23,-4.41702879,8.650000000000001e-27,1.99e-24
ADAMDEC1,-2.9091147,9.920000000000001e-27,2.24e-24
LOC101927283,-1.32826654,9.89e-27,2.24e-24
COL5A2,-1.36821426,1.21e-26,2.6899999999999997e-24
COL15A1,-1.08431296,1.21e-26,2.6899999999999997e-24
LOC101929398,-1.74462745,1.7500000000000002e-26,3.84e-24
IFNAR2,-0.58368765,1.7700000000000002e-26,3.86e-24
FCGR3A,-2.48743374,2.0500000000000002e-26,4.4299999999999996e-24
LINC02456,-1.16362638,2.3600000000000002e-26,5.0599999999999996e-24
IL1R1,-0.56093793,2.59e-26,5.5e-24
NID2,-0.90915472,2.82e-26,5.94e-24
MS4A4A,-1.3269594,3.26e-26,6.8e-24
SRPX,-1.01576367,3.46e-26,7.15e-24
TLR7,-1.49013104,3.5000000000000004e-26,7.18e-24
THEMIS2,-1.03942566,3.56e-26,7.24e-24
NRP2,-0.84054523,3.65e-26,7.36e-24
RASSF4,-0.93076,4.57e-26,9.14e-24
JAK3,-1.44575376,5.58e-26,1.1099999999999999e-23
PLEKHO2,-0.7918792,5.840000000000001e-26,1.1499999999999999e-23
VSIG4,-1.42827665,6.4e-26,1.2499999999999999e-23
STAB1,-1.12134197,6.670000000000001e-26,1.29e-23
SERPINB9,-0.77616487,8.46e-26,1.6299999999999997e-23
DRAM1,-1.09999163,1.1e-25,2.0999999999999998e-23
INS-IGF2,-1.7789545,1.2599999999999999e-25,2.39e-23
MSR1,-1.65817634,1.3e-25,2.4299999999999998e-23
CXCL9,-3.66221403,1.29e-25,2.4299999999999998e-23
ADAMTS2,-1.35420337,1.43e-25,2.64e-23
IGKV3-20,-4.30753161,1.7e-25,3.1299999999999994e-23
EPHB2,-1.29866429,1.79e-25,3.2599999999999994e-23
IGF2,-1.77954505,1.88e-25,3.4099999999999995e-23
DGKI,-1.48849596,1.93e-25,3.48e-23
LINC01140,-1.17856977,2.03e-25,3.63e-23
TNC,-1.65298949,2.13e-25,3.7799999999999994e-23
MAP4K4,-0.42945909,2.8e-25,4.89e-23
LOC105375243,-1.59055376,2.78e-25,4.89e-23
DYSF,-0.98820143,4.44e-25,7.7e-23
SMOC2,-1.23071243,5.0499999999999995e-25,8.699999999999999e-23
LAMC1,-0.55422771,5.47e-25,9.359999999999999e-23
IGHG3,-4.35022573,5.67e-25,9.629999999999999e-23
RARRES2,-1.11778032,6.56e-25,1.11e-22
LOC112268086,-1.17651077,6.77e-25,1.14e-22
PALM2AKAP2,-0.55382415,7.5e-25,1.2500000000000001e-22
BASP1,-0.97972444,8.11e-25,1.34e-22
COL4A2-AS2,-1.04212348,9.12e-25,1.5e-22
SEPTIN11,-0.8086569,1.0099999999999999e-24,1.65e-22
PAPPA-AS1,-1.04782512,1.07e-24,1.73e-22
CD180,-1.48769859,1.07e-24,1.73e-22
ARPC1B,-0.76150055,1.1e-24,1.76e-22
GDF6,-2.40781084,1.1399999999999999e-24,1.81e-22
IGHG1,-4.24693034,1.1399999999999999e-24,1.81e-22
MS4A6A,-1.14297384,1.17e-24,1.84e-22
VMP1,-0.8809947,1.19e-24,1.85e-22
MCOLN3,1.09214102,1.2199999999999999e-24,1.89e-22
IGHV3-30,-4.49178821,1.2699999999999999e-24,1.95e-22
OR7E2P,-1.49187553,1.3e-24,1.98e-22
LUM,-1.81325366,1.3e-24,1.98e-22
GRB10,-0.6043779,1.37e-24,2.07e-22
LINC02773,-1.22248178,1.74e-24,2.62e-22
FCGR2A,-1.21298586,2.12e-24,3.17e-22
RUNX1,-1.00050376,2.25e-24,3.3400000000000003e-22
KERA,-3.20825858,2.31e-24,3.42e-22
LILRB1,-1.71630024,2.74e-24,4.03e-22
PENK,-1.83255582,2.86e-24,4.1800000000000003e-22
CYBB,-1.3484662,3.36e-24,4.88e-22
SP5,1.41967283,3.97e-24,5.73e-22
CPXM2,-1.08540996,4.44e-24,6.37e-22
CDYL2,-0.7004309,4.61e-24,6.58e-22
SPON1,-1.04379658,4.7299999999999995e-24,6.69e-22
FCGR1A,-2.13759375,4.7499999999999994e-24,6.69e-22
ADGRL4,-0.75139336,5.22e-24,7.32e-22
ADGRF5,-0.65881752,5.5e-24,7.67e-22
CCDC170,-0.97971321,6.04e-24,8.38e-22
PLEK,-1.20765588,6.17e-24,8.51e-22
CD14,-1.22577292,7.01e-24,9.61e-22
DYRK3,-0.64786461,7.59e-24,1.0300000000000001e-21
LINC01943,-1.26042694,7.76e-24,1.05e-21
TGFB3,-1.04914499,1.0399999999999998e-23,1.4000000000000002e-21
IGHV3-33,-4.21811931,1.26e-23,1.6900000000000001e-21
IGLV2-11,-5.06228554,1.3799999999999998e-23,1.8300000000000003e-21
NEK6,-0.68564718,1.3799999999999998e-23,1.8300000000000003e-21
DAB2,-0.89621588,1.5099999999999998e-23,1.9900000000000003e-21
IGHG2,-4.21822775,1.6999999999999997e-23,2.2100000000000003e-21
FGF13,-0.85872581,1.6999999999999997e-23,2.2100000000000003e-21
CD163L1,-1.03194995,1.6999999999999997e-23,2.2100000000000003e-21
IGHJ4,-4.3451742,1.79e-23,2.32e-21
RAB42,-0.99629604,1.8299999999999997e-23,2.36e-21
MMP11,-2.31103903,1.8499999999999998e-23,2.3700000000000003e-21
CD68,-0.97327443,1.8899999999999997e-23,2.41e-21
LOC107985134,-0.9707384,1.93e-23,2.45e-21
NID1,-0.78306398,1.9599999999999997e-23,2.4700000000000002e-21
TBXAS1,-0.97541253,2.2199999999999997e-23,2.7800000000000003e-21
C3AR1,-1.35762506,2.25e-23,2.8100000000000003e-21
LOC105377291,-0.71210121,2.3399999999999997e-23,2.9100000000000002e-21
DEPTOR,-0.51540787,2.67e-23,3.2900000000000002e-21
ANGPT2,-0.58659011,2.68e-23,3.2900000000000002e-21
CNN3,-0.67221026,2.81e-23,3.4300000000000004e-21
CD163,-1.30632322,3.0199999999999995e-23,3.6700000000000006e-21
STMN2,-1.71816409,3.0499999999999997e-23,3.7e-21
LOC105378281,-0.91651544,3.1699999999999996e-23,3.83e-21
EBF2,-1.02276414,4.1499999999999993e-23,4.980000000000001e-21
ADPRH,-0.70271834,6.519999999999999e-23,7.790000000000001e-21
LOC105375244,-1.33277925,6.859999999999999e-23,8.14e-21
CYP4A11,1.46397491,6.969999999999999e-23,8.240000000000001e-21
FAP,-1.48895248,7.18e-23,8.45e-21
CD28,-1.34557433,7.5e-23,8.78e-21
PCSK5,-1.05578165,7.72e-23,8.95e-21
TMEM176B,-1.18864193,7.709999999999999e-23,8.95e-21
LOC101929532,-1.51605438,7.87e-23,9.080000000000001e-21
TIMD4,-2.7095674,8.069999999999999e-23,9.270000000000001e-21
DIPK2B,-0.71672747,8.959999999999999e-23,1.02e-20
AKAP12,-0.86989675,9.43e-23,1.07e-20
STEAP4,-0.92616758,9.849999999999999e-23,1.12e-20
LAMP5,-2.22014945,9.969999999999999e-23,1.13e-20
VPS35L,-0.19585116,1.13e-22,1.26e-20
LRFN5,1.41320705,1.16e-22,1.29e-20
KCNJ6-AS1,-2.59527186,1.33e-22,1.48e-20
MRC1,-0.97485672,1.49e-22,1.65e-20
DOK5,-1.5744493,1.89e-22,2.08e-20
COL4A2,-1.10593268,2.04e-22,2.25e-20
HEG1,-0.78916742,3.21e-22,3.51e-20
IGHGP,-4.04081089,3.26e-22,3.55e-20
HK3,-1.32649206,3.73e-22,4.04e-20
SUGCT-AS1,-1.32271181,3.79e-22,4.09e-20
ST8SIA4,-0.91262771,3.87e-22,4.16e-20
E2F3,-0.48512803,3.97e-22,4.25e-20
CTSC,-0.85517546,4.27e-22,4.55e-20
SORCS2,-1.09158197,4.34e-22,4.61e-20
ARSB,-0.80203921,5.59e-22,5.91e-20
GJA5,-1.5525562,5.93e-22,6.24e-20
SELP,-0.99794465,5.97e-22,6.26e-20
CTSZ,-0.85617934,6.61e-22,6.89e-20
CCDC102B,-0.80780846,6.85e-22,7.11e-20
LOC105375249,-2.12959544,7.61e-22,7.87e-20
EPS8,-0.4511297,7.76e-22,8e-20
CFAP54,-1.0186362,8.46e-22,8.68e-20
CCN4,-1.49365527,8.7e-22,8.89e-20
ITGB2,-1.07171241,8.9e-22,9.06e-20
RASGRF2,-0.82948805,9.83e-22,9.96e-20
CD38,-1.70108904,1.0100000000000002e-21,1.01e-19
ALPL,-1.24260641,1.05e-21,1.06e-19
LOC105374545,-2.29813621,1.1100000000000001e-21,1.11e-19
SEMA6B,-1.29839748,1.3400000000000002e-21,1.33e-19
MFNG,-0.69515325,1.35e-21,1.34e-19
CCL19,-1.50947281,1.76e-21,1.74e-19
