gene,logFC_skin,adj_p_skin,logFC_kidney,adj_p_kidney,logFC_liver,adj_p_liver,logFC_lungs,adj_p_lungs
HMGA2,-0.61814986,0.00249,-1.0684253,0.0185,-3.107658,8.61e-07,1.2800092,0.0204
HMGCS1,-0.9770369,0.015,-0.919525,7.33e-05,-0.632,0.00856,1.17417226,1.01e-20
HMGCS2,-0.7579463,0.00777,1.6654396,0.00173,1.59813,0.00519,1.9180636,8.46e-11
HNRNPH1,-1.7448374,6.52e-06,-0.8685021,0.0238,0.828,5.85e-11,-2.1854836,2.39e-24
HRH2,-0.84349613,2.66e-14,-0.6478009,0.0382,-1.816681,7.98e-08,0.67177889,2.06e-23
HS3ST2,-0.6992861,0.00157,-1.2145932,0.0108,-1.53,3.08e-07,-1.9559329,0.005876
HS6ST3,1.13995617,1.88e-07,-1.3356097,0.0394,-3.047002,4.16e-06,1.4885006,0.00791
HSF4,-1.5820537,0.0144,1.3455184,4.16e-07,-0.92,3.33e-05,0.6177023,1.48e-10
HSPB6,-0.93117698,3.43e-05,-0.6023615,0.01213988,-1.28,5.21e-06,1.1857723,1.74e-08
ICAM1,-0.88508485,8.48e-16,-1.2103748,0.00165,-0.987,1.84e-05,-1.767074,1.28e-08
ICAM2,-0.6529464,4.76e-15,-0.9121515,0.000828,1.07,4.71e-16,2.8470523,7.360000000000001e-21
IDO1,-1.5865343,5e-11,0.771435,0.01438113,-0.725,0.000635,-2.1178367,8e-05
IDUA,-1.6838367,0.000365,0.883868,9.51e-05,-0.825,0.000219,1.04418,2.54e-13
IFI27,-1.51266565,2.41e-10,-0.9135402,0.0153,4.21,7.910000000000001e-21,-2.1611503,1.61e-19
IFI44,-0.87341244,3.1e-05,1.843701,0.00012725,2.24,2.95e-12,-1.1181194,0.0227
IFI6,-1.29114416,2.78e-06,-1.3488052,0.00281,1.46,2.39e-06,2.4094205,1.01e-12
IFIT3,-0.69312532,0.000204,0.7929085,0.00232,1.346683,1.09e-05,-1.6689154,4.65e-13
IFITM1,-0.72637156,4.9e-09,0.77549777,0.00327,1.46,5.47e-17,1.9680064,1.09e-11
IFITM2,-0.59047873,1.41e-12,-0.9590982,0.00123,-0.659,0.00463,0.8450005,4.18e-08
IGF1,-1.46347599,1.9700000000000002e-33,-1.67020229,0.00024,3.817279,4.93e-13,-1.9659032,1.39e-11
IGFBP5,-0.9269239,5.01e-05,0.873,0.000473,1.04,0.000209,-1.0213727,6.59e-10
IGHM,-4.97355453,6.25e-32,1.4485453,0.00856,2.88,1.4e-14,-1.3059125,1.85e-06
IGKC,-3.00104428,4.28e-13,2.7150727,0.00037223,3.34,7.9e-25,-1.18760196,1.3e-17
IGKV4-1,-5.19644659,9.100000000000001e-26,1.0837395,0.0115,-0.823,0.00191,2.130358,0.0162
IGLC1,-3.94139206,2.78e-18,4.3503322,0.00010849,4.32,1.6e-28,1.6542855,0.00528
IGLV1-40,1.3329172,0.0383,0.6720724,0.0181,-1.1,0.000588,2.0761418,0.000711
IGLV1-44,-3.65364167,5.47e-13,3.4385508,0.00015286,4.2,1.11e-28,-2.4208525,2.06e-07
IGSF3,0.6123282,3.27e-05,-0.7879292,0.00143,0.731,2.45e-12,0.7797305,1.14e-10
IKZF3,-1.02561332,5.42e-10,-1.5833846,0.000997,-0.691,3e-07,1.1318337,6.13e-10
IL17RC,-2.4572967,2.96e-06,0.599484,0.0304,5.354169,1.77e-16,0.6325318,9.45e-10
IL1A,-0.6449409,0.0301,-1.421551,0.00135,-1.309257,3.35e-07,0.8150736,0.00485
IL32,-0.85490311,1.06e-09,1.05169189,9.67e-05,-1.69,4.21e-13,2.0251741,2.66e-16
IL4I1,-0.60597105,4.13e-07,-2.632224,1.21e-05,-1.45,2.4e-06,-2.2198325,6.22e-05
INAFM1,2.08,0.041367,-0.7517115,0.022,-0.701,0.00218,-0.76531,0.0274
INMT,-0.88509554,7.2e-16,1.55,0.000723,-1.1,3.1e-07,-2.4017778,5.14e-13
IREB2,-1.039072,0.000893,-0.7882487,4.72e-05,2.453917,8.68e-09,-1.5373555,1.27e-15
IRX1,0.6149112,1.53e-07,1.5543073,0.000581,1.111022,2.05e-05,0.6853023,2.45e-09
ISG15,-1.20903102,2.61e-07,0.865,0.0246,2.86,2.62e-16,-1.6860536,7.08e-07
ISLR,-1.3685904,5.55e-05,1.03459811,0.000824,0.785,1.06e-09,1.32894,8.3e-10
ITGA4,-0.9709649,3.33e-17,0.81919033,0.000136,1.87,1.66e-15,-1.9289191,2.43e-13
ITGBL1,-0.81327219,2.18e-10,-1.7311766,0.002,3.44,9.72e-25,-0.58827031,5.69e-08
JCHAIN,-2.45752384,4.43e-11,3.8647362,6.626e-05,3.95,2.94e-22,-1.34238042,7.8e-19
JUND,-1.1586799,5.94e-05,-1.2899497,3.29e-08,-1.02,5.06e-08,1.5740859,5.09e-15
KCNK2,-0.80347968,5.27e-08,-1.6098056,0.00102,-2.190347,0.000188,4.8598326,9.82e-10
KIAA1755,-0.66736421,1.86e-08,1.0905873,0.033,-1.105379,2.5e-05,1.3845389,3.21e-05
KLF16,1.63,0.048807,-1.4074071,9.35e-06,-1.25,2.73e-08,0.9557514,2.6e-12
KLHL6,-0.8935411,4.17e-17,-1.7286268,0.00347,-0.79,8.97e-09,-0.9598745,1.35e-07
KMT2D,-1.5206881,0.00181,1.12,0.00101,-0.608,6.02e-13,0.6504618,5.8e-12
KRT7,-0.7478173,0.0397,1.71869423,0.0011,2.19,4.74e-20,-1.3559749,2.26e-06
KYNU,-0.63234547,3.43e-08,-1.7565031,0.00193,-0.701,7.47e-11,-1.0765405,2.12e-08
L3MBTL1,-0.7363429,0.000896,1.6436041,3.54e-05,-2.78724,3.16e-05,-1.35159807,2.4e-05
LAMC3,0.68068461,5.98e-08,0.62190975,0.000713,-2.03,3.11e-13,-3.5391988,7.66e-32
LCN2,-1.0299168,0.00872,1.0420901,0.00746,-0.918,0.00443,-0.86473163,2.42e-07
LEFTY2,-0.95914512,3.65e-05,-1.2283014,0.005,-1.313127,2.23e-08,0.8394305,1.69e-11
LEP,-2.0997349,1.21e-06,1.8284949,0.000177,-1.567028,3.5e-05,-1.8829131,0.044974
LGALS3BP,-0.99722869,8.5e-19,0.626326,0.0163,2.48,4.38e-18,0.6717586,0.000106
LILRB2,-1.01724562,4.71e-12,1.01563747,2.66e-06,-0.776,2.16e-05,0.67781082,2.48e-14
LIMCH1,-0.58808514,1.26e-14,-0.9895028,3.64e-05,0.664,0.000182,-1.5020613,5.99e-09
LMCD1,-0.59560612,1.94e-15,-1.2453015,3.43e-06,0.694,4.77e-07,-1.7022312,1.62e-18
LMNB2,0.6735984,8.23e-06,-1.1608742,1.19e-05,-0.754,1.25e-05,0.8736336,1.02e-13
LPL,-1.93654267,1.56e-14,-1.3762234,4.7e-05,-2.35,1.25e-11,0.7899801,3.36e-10
LRFN5,1.41320705,1.29e-20,-1.4337368,0.00194,1.91,0.000192,0.9108906,0.000101
LRRC32,-1.410507,6.09e-26,2.17,3.91e-06,-0.925,6.1e-07,1.0055108,1.65e-21
LRRN1,-0.88909483,8.49e-12,-1.9474775,8.25e-06,0.887243,0.000315,-1.37045432,4e-26
LTB,-0.78494861,9.99e-07,1.2828954,0.000313,0.799,1.2e-14,-2.3211425,1.73e-08
LTBP2,-1.22845963,1.63e-17,1.3045644,0.00093,0.994,1.45e-10,-0.72371299,4.52e-13
LTF,-2.54049199,1.12e-11,3.285713,3.1e-07,-0.788,0.00219,-2.0040382,0.000195
LUM,-1.81325366,1.98e-22,2.4169471,0.00242541,3.94,7.9e-28,-0.94466129,4.8800000000000004e-21
LVRN,0.92789839,2.65e-07,0.9628798,0.0172,-3.597449,1.8e-08,1.4351575,0.0137
LY96,-0.75886169,1.14e-13,1.34238051,6.14e-06,1.64,6.46e-11,2.2425795,3.89e-15
LYVE1,-1.5256661,7.77e-05,1.03768844,0.000281,3.265328,9.85e-14,0.78192501,4.68e-07
LYZ,-0.98360315,1.28e-09,2.79007982,2.16e-06,2.48,5.66e-17,0.6459636,0.000109
MAN1A1,-1.047086,0.000301,-1.3745569,1.06e-05,-1.1,7.38e-14,-0.7794614,1.3e-08
MAPK6,0.7282313,0.000169,-1.3658902,0.000449,1.012413,0.00118,-1.727915,1.58e-17
MARCO,-2.0073232,0.000584,0.67445687,2.98e-05,1.778563,5.52e-06,-2.4738393,2.25e-05
MATN3,-1.68168351,9.04e-13,-1.3794816,0.00308,1.131826,1.28e-06,-3.6327869,1.4200000000000002e-21
MBNL2,-0.8477692,0.00873,-1.6611258,0.000822,1.358597,0.00262,-0.6793936,1.47e-07
MDK,-0.97964026,5.12e-13,-1.9247646,1.75e-06,-1.3,1.14e-05,-0.87458787,1.83e-34
MERTK,-0.7171278,0.00241,-0.7095519,0.000456,1.21,9.21e-10,-1.6261832,2.74e-13
MFAP4,-1.5803459,2.43e-05,0.69586103,0.0288,2.22,9.63e-20,1.1601555,2.23e-09
MFRP,-1.82587508,2.65e-37,-0.7985046,0.0301,-1.24,3.4e-08,-1.73395,1.16e-09
MGAT4B,-1.0015644,1.13e-05,0.7554631,0.00181,4.690539,1.89e-06,0.6961664,6.46e-09
MINK1,-0.6159473,4.03e-05,-0.7219158,0.0031583,1.84566,4.13e-09,0.7462009,1.52e-11
MIR4435-2HG,-1.42292832,3.57e-34,-1.2482602,0.00036,-1.06,3.86e-09,-0.8743225,0.00441
MME,-1.503449,8.53e-28,-0.9866764,0.00189,-1.26,1.06e-12,1.04253776,1.34e-13
MMP11,-2.31103903,2.3700000000000003e-21,-1.6170838,0.000109,-2.40212,3.02e-07,-2.436065,5.22e-05
MMP12,-1.21737546,0.00102,-0.908,0.0323,1.214646,2.04e-05,-0.81697733,5.34e-09
MOSPD3,-0.6627231,0.000413,0.6211536,0.00533,1.371474,4.04e-05,0.5937927,9.07e-08
MRC1,-0.97485672,1.65e-20,1.7159549,0.00304145,0.976,1.39e-07,-1.6863309,3.59e-09
MROH9,-0.66037849,1.38e-10,-1.5628045,0.000855,-0.802523,6.88e-05,-1.23780215,2.5e-12
MS4A1,-2.58916823,3.05e-11,0.7138355,0.0132,1.053194,1.05e-05,-0.8574173,1.69e-06
MSR1,-1.65817634,2.4299999999999998e-23,-1.4380563,0.000944,-1.32,5.23e-11,-1.642482,0.00458
MT1G,0.7902255,0.000716,-1.16720705,0.00147,-1.33,3.1e-11,0.74154441,2.24e-08
MT2A,0.9661975,1.28e-05,-1.2756941,0.0169,2.993807,6.53e-11,0.95170441,2.07e-11
MUC4,-1.0167894,0.037,-1.2051299,0.00936,1.552223,1.35e-07,-1.12091664,7.09e-10
MX1,-0.59108923,0.00106,1.1756965,0.0152061,2.62,5.67e-13,-1.2490904,8.04e-09
MYO15B,-0.6767884,0.000408,2.298183,2.39e-05,-0.635,7.53e-05,1.19939,6.1e-14
MYO1F,-0.61570539,1.17e-09,1.1261208,0.000167,-0.873,8.13e-10,0.67442659,5.51e-17
NCAM1,-0.7729172,0.0019,-1.3452457,0.00537,1.065219,3.11e-05,-0.60145342,1.91e-16
NCF4,-0.76583219,8.97e-13,0.88533208,0.000765,-1.09,3.61e-09,0.68016625,1.75e-18
NCOA2,-0.9039145,0.000222,-1.7133285,0.000117,1.662675,6.77e-05,-0.6053091,1.69e-07
NCR1,-1.0067093,0.0101,-1.1137577,0.0146,-2.601154,1.28e-05,0.8648759,5.8e-09
NDRG2,-1.3576871,3.02e-06,2.0428146,0.000863,1.34,2.06e-08,1.5468091,1.99e-14
NEDD9,-0.7314623,8.21e-32,-0.8368033,8.86e-09,2.28,1.13e-18,0.82461892,2.94e-20
NFIL3,0.752,0.046392,-1.36,0.019,1.097235,0.00257,0.59022305,2.19e-07
NID1,-0.78306398,2.4700000000000002e-21,1.26,6.96e-05,1.687747,4.02e-07,0.72361725,2.48e-12
NKG7,-1.47820075,2.43e-14,1.03180338,2.21e-05,-0.86,7.06e-05,1.0950668,4.73e-06
NKX2-1,-1.3746755,0.00279,-1.5051323,0.00132,-0.966595,0.00663,0.8606632,3.43e-06
NMD3,-0.7163906,9.66e-06,-1.310702,1.78e-05,2.006271,9.42e-12,-2.2471727,6.74e-20
NMUR1,-0.9626452,1.08e-08,0.846,0.0184,-1.393879,0.00383,-2.2177455,8.76e-19
NOL8,1.3,0.041367,-1.1649479,6.93e-07,1.132654,0.000237,-1.4840791,3.28e-14
NONO,-1.1854371,0.000914,-0.8203486,0.000371,3.122329,5.79e-08,-0.9282545,1.7e-16
NPY1R,-0.6162024,0.0122,1.3552998,0.00303,0.971387,5.38e-05,0.9909415,0.0176
NR2F1,-1.04855373,5.31e-15,0.6246599,0.0127,1.08,9.47e-12,-0.8472217,7.48e-09
NREP,-0.6021584,2.35e-12,-0.7458017,0.00596834,1.84823,9.6e-08,-0.73438885,2.67e-26
NRP1,-0.6380458,1.46e-28,-1.1506103,0.000398,1.818709,2.47e-05,-0.6837232,2e-05
NT5DC2,-1.1566014,9.68e-06,1.05377842,5.07e-07,-0.619,3.52e-06,0.9496932,1.81e-10
OAS1,-0.64406034,0.00117,1.27027007,0.00386,1.67,5.39e-09,0.6916259,3.9e-05
OAS2,-1.40081611,1.5e-09,0.957,0.0296,1.7,5.97e-08,-0.8110388,4.05e-05
OGT,-0.6734333,4.4e-05,-1.42,0.00022,2.106693,2.09e-09,-0.7369718,2.44e-06
OLFML3,-1.1788003,3.9e-06,1.6984416,0.000116,1.74,4.19e-17,0.9260436,2.26e-09
P2RX5,1.281842,0.0273,0.91330028,0.00195,1.125644,5.45e-07,2.1625935,8.33e-08
PAPSS2,-0.87452252,4.74e-28,-0.8833912,0.00473,-0.818,6.91e-08,1.12496487,8.150000000000001e-27
PARP9,-0.74043093,5.86e-08,-0.8619952,0.0124,0.955076,0.00116,-1.5702223,2.64e-11
PATZ1,-0.5858119,0.000131,0.8275864,0.0134,5.048696,2.45e-11,0.6871127,6.39e-10
PCDH17,0.6750719,0.00477,1.08670216,0.000375,-1.622917,1.58e-05,-0.7261654,0.0109
PCOLCE2,-1.5147315,8.34e-06,-2.6784836,5.77e-12,-1.64,5.42e-18,-2.1875755,0.000226
PDE1A,-1.27251132,9.690000000000001e-27,1.02516096,0.00278,1.21,7.21e-13,-0.68857936,1.05e-13
PDGFD,-0.8761549,2.33e-05,-0.8901066,0.0146,2.93,1.15e-20,-1.3643127,4.45e-07
PDGFRL,0.5864278,7.15e-06,1.4199925,0.000964,-3.136277,1.4e-06,-0.75002652,1.77e-10
PDLIM5,-0.6479908,0.000238,1.660978,6.36e-05,2.997773,2.67e-10,-1.45127,5.19e-16
PECAM1,-0.70512418,3.14e-25,0.589418,0.00132,1.32,1.47e-16,1.20104958,6.18e-17
PEX10,-0.9033128,1.79e-06,0.593,0.0406,1.20764,2.57e-06,1.2202473,8.9e-17
PGD,-0.9687158,0.000507,0.745245,0.03787465,1.028589,0.0321,0.70516679,1.31e-19
PGGT1B,-0.9087962,0.00272,-1.0400452,1.8e-05,1.484382,3.54e-07,-1.5706886,2.47e-15
PLA1A,-1.57901186,1.9e-18,-1.2276116,0.000231,-1.048211,0.0164,0.88810846,8.99e-12
PLA2R1,-1.7305971,2.15e-06,-0.826323,0.000114,-2.122344,1.19e-05,-0.6410115,3.45e-18
PLAC8,-1.74168358,5.17e-17,1.86483713,2.53e-07,0.647,0.000355,1.0129941,4.39e-05
PLCB4,-0.6499599,0.0115,-1.0855535,0.000299,1.412013,7.34e-08,-0.91887251,1.1099999999999999e-23
PLCG2,0.8096519,2.18e-05,-1.97585937,6.49e-05,0.95,4.86e-12,0.84475,1.79e-11
PLD3,-1.451022,7.69e-06,-1.8064148,0.000187,1.257137,1.02e-06,0.8896391,2.3e-10
PLEKHG2,-0.70172354,1.35e-10,1.1,0.0106,-0.73,1.58e-06,0.6894005,1.46e-07
PLEKHO1,-0.62784032,5.07e-16,1.38,0.000766,-0.899,1.69e-09,0.5853173,3.29e-07
PLIN1,-1.97405988,1.23e-09,3.2968999,1.29e-09,2.500012,5.61e-11,1.1807761,0.0114
PLN,-0.6900283,0.0446,0.76185055,0.000899,0.612,5.74e-06,-1.13134159,1.41e-16
PLOD2,-0.6193502,3.61e-09,-0.8099028,0.0131,2.152636,8.4e-10,-2.1282464,3.29e-19
PLXNA3,-0.8750376,1.89e-05,0.818,0.0406,-1.06,1.29e-07,0.6305082,6.92e-11
PLXND1,-0.6868433,3.78e-12,1.8457999,9.66e-06,0.605,9.07e-08,1.1103905,8.11e-12
PNPLA2,-0.8991372,8.71e-05,-0.5869768,0.00671519,0.732,1.27e-07,1.3315277,5.63e-17
POLM,-0.7568683,0.00314,1.6712609,0.000609,1.48623,0.00451,0.8359423,1.52e-14
PORCN,-0.760934,5.01e-05,-0.8386748,0.000265,1.318775,6.87e-06,1.1490895,5.63e-15
POSTN,-1.03992482,3.9e-15,1.64720178,8.47e-05,1.557838,1.17e-06,-1.57060251,1.77e-17
POU2AF1,-1.92000533,9.22e-11,2.7536515,0.01580339,2.18,1.25e-11,2.903905,4.03e-12
PPP1R37,-1.1097796,0.0289,1.474341,0.00138,-0.736,0.000236,0.7720218,8.36e-13
PRELP,-0.72140205,1.72e-06,1.06774475,4.46e-06,1.25,9.12e-15,0.70281907,1.43e-12
PRF1,-0.8592985,2.72e-08,0.67432813,0.00102,0.773,2.37e-09,-1.6046705,1.86e-09
PRG4,-1.2754332,0.000257,1.7329349,0.00169,-2.13,4.72e-14,0.8255777,0.0216
PRKAR1A,-0.6451509,0.000251,-1.2546691,0.00542,1.44361,1.8e-05,-1.0905182,1.79e-18
PRKAR2B,-0.79631362,2.68e-08,-1.13928387,8.23e-06,1.12,4.42e-07,-1.2039864,4.01e-07
PRLR,-0.7959984,0.00479,-0.5864186,0.00169062,1.666922,7.8e-07,-1.9075578,2.39e-09
PRPF31,-0.6230693,0.000222,0.6503371,0.00127,-2.737386,2.54e-05,0.7713691,7.81e-14
PRR15,-0.61803509,0.000487,-1.0199224,1.54e-05,1.128909,4.4e-06,-0.59269786,1.23e-09
PRSS12,-1.1414552,5.16e-05,-1.237632,0.0105,1.080889,9.67e-06,-1.68967793,1.02e-25
PRSS23,-1.68417851,3.21e-37,1.40446827,3.06e-06,0.623,0.0002,-0.6828568,0.000921
PTGFR,0.61004891,3.39e-05,0.8207055,0.0342,1.578985,3.11e-07,-0.6419818,8.19e-05
PTGIS,-1.4051363,5.71e-05,2.07,0.0174,1.67,4.87e-16,0.6540736,0.000323
PTGS2,0.9591721,0.00117,2.4868461,1.14e-06,-1.3,1.01e-06,-1.9160533,0.000156
PTMS,-0.6993049,0.0077,-0.7228343,1.31e-05,2.098048,5.54e-06,0.7391518,5.78e-09
PTPRC,-0.73388952,5.96e-09,1.07576425,3.64e-05,2.46,6.29e-23,-1.402425,1.78e-09
PTX3,-1.64037852,4.35e-18,1.72272168,0.000118,1.24,0.000113,1.19632782,2.88e-08
PVR,-0.6363853,0.000163,1.5489821,0.00105,3.062394,2.45e-12,0.61169568,2.94e-20
RAB11B,-0.6378023,0.00228,0.7125672,0.00157,3.073468,8.76e-08,0.7826327,6.55e-12
RAB1B,-1.040836,0.000696,1.09,0.00234,-0.729,1.35e-11,1.3483414,7.49e-18
RAB20,-0.8896299,3.46e-19,0.9941633,0.00578,-0.82,3.83e-06,1.2732645,2e-15
RAB33B,-0.6243882,0.00012,-0.7505418,0.00457,-0.736,2.82e-05,1.7701811,0.036526
RAC2,-0.67340593,5.99e-11,1.43200873,1.78e-06,1.24,5.09e-16,1.0923759,3.68e-10
RBP4,-1.97235718,2.04e-09,-1.9159613,0.00348898,1.574042,0.000139,2.4391223,6.43e-12
RECK,-0.999153,1.18e-05,-1.4079074,3.83e-07,1.48,7.57e-11,-0.9412428,3.88e-06
RELB,-0.62909029,3.12e-09,-1.6247895,5.97e-07,-1.29,5.23e-11,-1.35869,8.18e-06
RGCC,-0.60801287,1.35e-09,-1.1123707,0.00419,3.6,8.37e-21,1.05597234,6.960000000000001e-21
RGS1,-0.6381429,0.002,3.6619782,1.69e-05,4.73,2.6e-29,-1.3353814,6.51e-06
RHOB,-0.882396,0.00169,-1.0674375,0.000265,2.333187,4.17e-05,-1.5104171,1.67e-08
RIOK3,-0.6073274,0.00144,-0.9293826,0.000894,1.445985,5.08e-07,-1.3314664,1.97e-14
RNASE1,-0.73231377,1.46e-09,-1.5686847,0.000765,1.54,5.89e-14,0.8163227,2.08e-09
RNASE6,-0.79572185,1.04e-15,1.69936691,0.000131,2.35,9.56e-20,-0.6375855,4.05e-06
RNF126,-1.1351071,1.05e-05,-0.7262374,0.0041,1.976222,4.94e-05,1.1598418,3.03e-14
ROBO4,-0.73154399,1.11e-11,-0.6814201,0.00167,-0.659,0.000509,-1.9818133,1.02e-19
RPS28,1.21,0.036802,-0.8501158,0.00192,-0.865,7.59e-05,1.8041255,3.37e-08
RSAD2,-0.85459067,0.00125,-0.80576022,0.0455,0.908,0.00166,-1.5283144,4.62e-07
RUNX1,-1.00050376,3.3400000000000003e-22,1.49,0.00403,-0.648,6.39e-07,-1.0281375,2.07e-10
RXFP1,0.65186664,0.000186,-1.1820728,0.0112,-1.171327,0.0003,1.08553459,5.34e-15
S100A6,0.98,0.029796,-1.0186825,0.00215,2.23,3.7e-20,-1.0353264,0.00295
S1PR4,-0.63965702,4.9e-05,-1.0165535,0.0332,-1.852931,0.00775,0.7108986,1.58e-10
SAA1,-2.40489092,1.43e-13,3.9084205,4.16e-05,-1.19,0.00125,0.59353849,2.52e-05
SAA2,-2.02702146,8.99e-09,2.1527218,0.000349,-1.830211,0.000884,-2.2770886,6.24e-05
SAMSN1,-0.88047928,9.9e-11,0.7454767,0.0123,1.91,5.47e-09,-1.207255,2.81e-06
SASH3,-0.9589265,1.57e-16,-0.8471291,0.000231,-0.957,2e-11,0.6036623,7.68e-08
SCARA3,-0.6522509,0.00152,0.90754867,6.17e-06,-1.070491,8.39e-07,-0.74492931,1.54e-26
SCARF2,-0.92811582,1.99e-09,-1.1837521,5.83e-07,-1.33,4.45e-06,0.9095859,4.55e-13
SCN1A,1.12649444,0.00204,-1.6845415,0.000697,-1.157815,0.000381,1.13260766,6.41e-21
SDC3,-0.84848048,4.82e-16,1.93,7.01e-05,2.287192,7.35e-10,1.1137945,1.33e-13
SECTM1,-0.61807253,4.89e-07,-2.1731031,2.54e-05,0.71,2.1e-08,1.5044705,3.74e-14
SELENBP1,-1.02349,2.34e-05,-0.7570189,0.000922,2.084045,2.84e-05,1.4434609,1.4e-10
SEMA3E,-0.904209,0.00247,-1.4696809,0.00379,-1.252744,1.19e-05,-1.9523073,0.000935
SEMA6A,-1.6958419,0.00586,-0.8886993,0.0009484,-0.999784,0.0253,-1.6325365,2.66e-25
SEMA7A,-1.4722485,0.04,1.49,0.00033,-1.14,2.47e-05,0.7084395,7.85e-07
SENP7,-1.7431592,1.7e-06,-0.847,0.0147,0.95255,0.000405,-1.3955905,6.36e-14
SERPINE1,-3.42970049,4.41e-38,-0.97152753,0.000633,1.66,9.79e-06,-3.5822256,1.49e-06
SERPINE2,-1.9706074,1.45e-32,1.0038187,0.000792,1.38,7.46e-08,-1.3449823,2.74e-08
SERPINF2,-0.59567572,1.22e-08,2.7390396,0.000802,-0.941,2.4e-08,0.63997202,3.11e-20
SERPINH1,-0.73761569,1.02e-15,0.94882229,5.44e-06,1.465287,3.37e-06,0.7277705,7.93e-06
SFRP4,-4.73806111,1.08e-74,0.78663094,0.00323,0.934905,1.28e-05,-1.42136303,3.15e-19
SGCG,1.14767209,1.46e-16,-1.5935595,0.00147,-2.192426,2.36e-05,-2.7283034,2.05e-10
SH2D3C,-0.76134635,6.53e-16,-1.2340142,0.00797,-0.979,1.16e-07,1.8527873,1.5e-17
SH3GL2,-1.5743692,0.0171,-0.880225,0.0117,-2.742042,7.67e-07,0.7039191,1.07e-11
SHARPIN,-1.0503913,0.0019,0.848801,0.0287,1.889954,1.32e-10,0.7490573,4.18e-10
SHMT1,-1.0938273,0.00421,1.6386015,0.000566,3.059622,7.53e-12,0.58753443,5.23e-22
SIGLEC9,-1.14703805,8.7e-15,1.39,0.0103,-0.786,9.41e-09,0.64950286,3.75e-14
SIPA1L3,-0.6939843,8.49e-06,-1.0903787,0.000703,1.616044,4.82e-08,1.2941668,9.47e-17
SIX4,-0.92548401,3.46e-12,-1.1696166,0.0141,-1.313204,2.01e-07,-1.11329934,6e-19
SLAMF6,-0.72057942,4.98e-05,-0.9105966,0.0378,-0.686,6.13e-06,0.8129446,0.00649
SLC11A1,-0.83976014,7.92e-06,-0.6144145,0.00954,-0.746,0.000533,1.10728537,2.7500000000000003e-21
SLC14A1,-2.1302073,0.000383,3.4853313,2.34e-07,-1.772178,0.000363,-1.911517,1.63e-07
SLC15A3,-0.77954717,9.15e-14,1.26,0.000361,0.661,1.29e-07,-1.2963999,6.15e-08
SLC1A3,-1.04662845,1.15e-38,-1.2401386,0.0112,-1.41,5.35e-11,-1.5909318,3.42e-11
SLC25A1,-1.0144944,0.000128,-0.6330819,0.000292,1.903547,3.05e-06,1.1630186,2.52e-13
SLC2A4,-2.1061939,0.000794,1.4717735,0.000304,1.346748,1.15e-06,0.873873,0.0122
SLC34A2,-0.88150548,0.000151,-2.1924125,0.000963,-0.759,0.001,-0.8166715,0.0495
SLC39A8,-0.8579001,9.32e-05,-0.7986108,0.00155965,2.42042,4.75e-10,1.31767847,2.07e-17
SLC39A9,-0.8924727,0.00202,-1.1919335,9.72e-08,1.733399,2.23e-10,-0.7516441,1.59e-07
SLC40A1,-0.59569289,6.73e-10,-0.9139876,0.0012,1.170953,0.00214,-1.0323864,1.82e-09
SLCO4C1,-1.7116801,0.0206,-1.0514967,0.0025,-1.74,1.04e-10,1.31083376,6.27e-14
SNX10,-0.82152819,2.25e-13,-1.5221407,1.14e-07,1.447038,1.31e-05,-0.7549609,0.000146
SOCS1,-0.9473628,0.0123,-1.3518526,7.97e-06,-0.641,2.72e-10,0.8281864,2.26e-08
SOCS3,-1.41106255,4.17e-16,-1.8006761,0.000592,-2.39,8.67e-09,0.70154823,1.91e-06
SOD3,-0.8855633,8.38e-06,-0.9383911,0.00363,0.595,2.15e-07,1.1088709,1.16e-12
SORT1,-0.6307995,0.000171,-0.5957617,0.0239,0.780949,0.00443,0.66340185,7.06e-22
SOX9,-0.9864962,0.00138,-2.1509363,1.12e-06,2.5,5.36e-19,0.7877342,0.0466
SPARCL1,-0.60177431,3.08e-18,1.41812269,0.0054,2.47,2.87e-17,-1.7856164,7.63e-14
SPOCD1,-1.22987792,3.98e-09,1.4054801,0.0141,-0.682764,0.00692,-1.1482825,0.000638
SPP1,-3.11337489,4.25e-15,-1.5815458,0.00152,2.55,9.06e-12,-3.9608964,1.92e-11
SPRR2G,-0.70259385,0.0154,-0.9736229,0.044,-0.918759,0.00304,0.7058145,1.8e-09
SPRY4,-0.78792165,3.4e-17,1.4434786,8.21e-07,1.326628,0.00216,1.05826267,2.89e-17
SPX,-1.5782488,0.0025,-1.2507441,3.66e-06,0.589,1e-06,0.8360955,1.56e-07
SRC,-1.2616061,0.000525,0.7519966,0.0011,-0.935,2.88e-08,0.5851355,3.47e-12
SRPX,-1.01576367,7.15e-24,1.2589273,0.00981441,1.52,7.02e-13,0.72868256,1.31e-13
SS18,-0.6595781,5.81e-05,-0.9309705,0.00128,1.298059,7.21e-06,-0.794495,2.36e-12
STAT1,-0.75356189,1.16e-07,-1.7880455,0.000102,1.4,9.32e-12,-1.0810745,3.29e-07
STMN2,-1.71816409,3.7e-21,-0.8154227,0.00285,-3.24,2e-11,-0.5877525,0.00262
STRN4,-0.5992691,7.55e-05,1.11,0.000409,-0.587,0.000161,1.0880627,3.5e-15
SULT1B1,-0.98476487,1.24e-13,-1.2248249,0.0351,-0.989,2.49e-10,1.24675164,1.23e-24
