gene,logFC_skin,adj_p_skin,logFC_kidney,adj_p_kidney,logFC_liver,adj_p_liver,logFC_lungs,adj_p_lungs
C14ORF39,-1.06488796,2.6e-05,-1.4850319,0.00105,1.221265,3.29e-07,-0.7691695,0.000106
C16ORF54,-0.6374466,3.08e-06,-0.9882828,0.0319,-0.868,2.47e-06,0.6573855,1.72e-07
C1QB,-2.04480275,1.59e-34,2.12340911,6.14e-06,1.58,2.27e-10,1.8793668,1.38e-14
C1QC,-1.60745222,6.22e-32,1.7838783,0.0134,1.755158,3.85e-06,1.8560909,7.26e-16
C1S,-0.73473999,8.43e-14,2.4653468,0.00040655,2.902838,5.86e-08,-1.48105,1.44e-17
C3,-1.19235715,1.39e-18,2.2810746,9.86e-05,2.278777,4.81e-10,-0.63655,0.00122
C5AR1,-1.12105938,1.64e-16,1.55,0.0267,1.62,2.13e-11,0.9132486,9.07e-09
C7,-1.28433885,2.67e-16,1.5584159,0.01369579,2.29,8.31e-28,-0.8031445,7.41e-05
C8ORF4,0.847,0.048674,-1.1104614,0.00511,0.785,6.86e-05,-1.1269355,6.27e-09
CAB39L,-1.9461268,2.49e-06,-0.7973355,0.0123,0.964257,1.51e-05,0.594005,0.00135
CACNA1I,-1.5441471,0.0016,-1.5375512,0.000955,-1.097029,0.00581,1.630716,0.00152
CADM1,0.6546524,7.76e-05,-1.4580052,0.000702,0.734,2.33e-09,-1.8186193,4.42e-08
CAPN7,-0.5920808,7.97e-06,-0.821,0.00043,1.11839,1.71e-05,-1.28656,2.27e-13
CAPRIN1,-0.6629172,0.000491,-0.9423324,2.78e-05,2.637132,3.64e-11,-0.9282027,5.42e-12
CASP5,-0.60208555,0.000181,-1.163642,3.24e-06,-1.983434,5.67e-08,0.69261365,5.74e-11
CCL18,-2.32784977,6.09e-08,1.03172662,0.000464,0.731,6.23e-05,-1.20803147,1.39e-13
CCL19,-1.50947281,1.74e-19,1.6645841,0.00232,3.78,3.61e-20,-3.520365,1.89e-13
CCL2,-1.43692,1e-17,2.17500819,1.47e-05,-2.27,2.98e-09,-2.5212675,8.69e-05
CCL21,-1.1466899,0.00107,0.9320614,0.0033,2.51,3.78e-19,2.1132709,3.16e-13
CCL4,-1.82764786,1.41e-13,1.18102508,0.000309,1.45,3.83e-10,0.7543223,0.000357
CCL5,-1.28732668,1.17e-10,1.28174734,1.78e-06,2.29,1.88e-18,1.6986755,6.65e-11
CCN2,-2.18803938,1.52e-32,-1.665847,5e-05,-1.89,3.05e-07,-1.7984968,1.89e-07
CCNT2,-0.617269,0.000253,1.0636903,0.00379,1.477703,4.85e-07,-0.7609623,3.46e-08
CCR2,-0.65369345,1.06e-05,0.9626897,0.000298,-2.071054,1.58e-07,-0.8641423,2.91e-05
CCR5,-1.12583403,3.16e-10,0.8822004,0.000184,-0.857,3.84e-09,-1.5909175,5.82e-05
CCR7,-0.85279009,6.91e-10,0.6600067,0.02548805,-3.928148,6.57e-10,-2.9389025,4.24e-09
CCRL2,-0.94279193,1.62e-11,-0.8611073,0.00264,1.366167,1.35e-05,-1.7557286,8.97e-07
CD163,-1.30632322,3.6700000000000006e-21,1.26051508,0.000647,2.730449,3.59e-07,1.34539428,4.100000000000001e-21
CD180,-1.48769859,1.73e-22,-1.4131903,0.0015,1.325927,0.00489,1.8677694,1.06e-07
CD247,-0.70627438,4.97e-07,1.22435107,5.27e-10,0.656,4.67e-08,0.9009555,1.75e-09
CD300LF,-1.22202034,2.77e-09,-1.35319,0.00213,-0.867,2.67e-07,0.9699686,1.68e-10
CD36,-1.08927813,8.18e-12,2.12668809,2.7e-08,-4.031705,1.58e-07,-1.9581634,2.14e-08
CD3D,-0.63981003,0.00206,0.9263287,0.000181,0.748,1.22e-08,1.386985,1.14e-10
CD48,-0.77635953,4.65e-09,2.14640028,3.9e-08,1.39,2.55e-15,-1.189135,0.0002
CD68,-0.97327443,2.41e-21,0.80270187,0.00127,2.190439,5.18e-07,1.2655705,1.9e-11
CD74,-0.71399872,1.88e-10,0.738,0.000421,2.95,7.7199999999999995e-28,-1.0155976,0.000902
CD79B,-0.66351847,5.67e-07,1.01,0.028,-0.869,0.000224,1.6180082,4.41e-05
CD93,-1.22708091,3.87e-39,-0.9771425,0.000789,1.12,5.03e-08,1.1271095,1.75e-12
CD99,-0.9996861,5.68e-05,0.9319437,0.000765,1.649913,1.6e-06,-0.7900605,9.5e-05
CDA,-2.2399704,0.00094,-0.6878377,0.000132,0.690798,0.032,0.6771564,2.54e-06
CDK2AP2,-0.6866309,0.0061,1.21,0.000899,-0.885,7.35e-10,1.0186027,2.54e-11
CDO1,-1.04578274,1.09e-09,0.9994537,0.000898,2.211366,3.96e-11,-1.5879919,1.11e-07
CFB,-0.62863209,3.86e-10,1.2222763,0.000486,2.451579,0.000242,-1.7995491,6.15e-10
CFD,-1.1978868,4.04e-05,1.67408066,5.34e-07,0.73,5.52e-07,1.197715,4.82e-08
CFI,-0.99330127,1.72e-30,-1.02339,0.0184,-0.603,4.4e-06,-1.9813777,4.95e-21
