gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category,kidney_val_logFC,kidney_val_adj_p_value,kidney_validated,kidney_validated_sig,liver_val_logFC,liver_val_adj_p_value,liver_validated,liver_validated_sig,lung_val_logFC,lung_val_adj_p_value,lung_validated,lung_validated_sig,skin_val_logFC,skin_val_adj_p_value,skin_validated,skin_validated_sig,n_organs_validated,n_organs_validated_sig
EPHA3,-1.7243304,0.00203,-0.89003115,0.000439,-1.31473586,1.7300000000000003e-27,-1.13130232,6.3e-25,False,,0.0394034,0.926,False,False,-1.0,2.83e-07,True,True,-2.37645241,0.000164,True,True,-0.18212389,0.9997,True,False,3,2
FABP4,1.1770375,0.00812,-1.29313192,0.0047279,3.2476127,1.11e-07,-1.6617342,1.04e-11,False,,0.3459229,0.774,True,False,-2.56,2.48e-12,True,True,-1.10322978,0.103,False,False,-1.17877003,0.9997,True,False,3,1
FGF14,-1.1344432,0.0089,-1.2627107,0.01518,-1.51832835,8.77e-27,-0.69128514,3.28e-09,False,,-0.029196,0.96,True,False,-0.578,0.00667,True,True,-1.47469349,0.0144,True,True,0.24908906,0.9997,False,False,3,2
GEM,2.2,0.000964,-2.8216037,0.02528,-1.23767686,5.45e-20,-1.21508463,3.98e-35,False,,-0.5446034,0.389,False,False,-2.33,5.36e-11,True,True,-0.58275216,0.171,True,False,-0.25251183,0.9997,True,False,3,1
GFRA1,0.64427413,0.0197,0.89876625,0.024132,-0.81832284,4.74e-13,-0.9718428,0.00388,False,,0.3316022,0.598,True,False,0.294,0.0337,True,True,-0.37836138,0.339,True,False,0.15691864,0.9997,False,False,3,1
HDAC7,1.06,0.00142,-1.2680699,0.04609,0.8662077,2.03e-16,-0.6370295,0.00232,False,,0.3061373,0.485,True,False,-0.728,3.18e-07,True,True,0.05139399,0.735,True,False,-0.12372678,0.9997,True,False,4,1
HLA-DPA1,0.66929765,0.000447,-2.7462923,0.01044,0.8431909,1.26e-10,-0.6557647,3.25e-07,False,,0.7056355,0.299,True,False,-1.09,2.4e-08,True,True,-0.90689705,0.00729,False,False,0.22940819,0.9997,False,False,2,1
HSPB6,1.33,0.0203,-0.7717858,0.03126,1.1857723,1.74e-08,-0.93117698,3.43e-05,False,,1.2668446,0.0449,True,True,-1.28,5.21e-06,True,True,-0.71843479,0.238,False,False,-0.63888039,0.9997,True,False,3,2
IFI6,-1.3488052,0.00281,-0.98430381,0.0479936,2.4094205,1.01e-12,-1.29114416,2.78e-06,False,,1.0901606,0.233,False,False,-0.338,0.198,True,False,-0.25843514,0.725,False,False,-0.18481164,0.9997,True,False,2,0
IGHM,1.4485453,0.00856,-2.0887353,0.03835,-1.3059125,1.85e-06,-4.97355453,6.25e-32,False,,1.9361088,0.164,True,False,-0.86,0.00908,True,True,-1.31321225,0.118,True,False,,,,,3,1
INMT,1.55,0.000723,-0.92946818,0.034647,1.4261375,1.43e-06,-0.88509554,7.2e-16,False,,1.3046187,0.0354,True,True,-1.1,3.1e-07,True,True,0.9717123,0.0502,True,False,-0.90061367,0.2093,True,False,4,2
ISLR,1.03459811,0.000824,-0.84942901,0.0062026,1.32894,8.3e-10,-1.3685904,5.55e-05,False,,0.2362215,0.652,True,False,-1.09,4.12e-07,True,True,-1.06088042,0.0248,False,False,0.35421175,0.9997,False,False,2,1
ITGBL1,-1.7311766,0.002,-1.5065576,0.00933,-0.58827031,5.69e-08,-0.81327219,2.18e-10,False,,1.045268,0.05,False,False,-1.71,3.03e-11,True,True,-2.14031648,0.000741,True,True,-0.06960711,0.9997,True,False,3,2
