gene,organ,instrument_source,n_instruments,IVW_beta,IVW_p,IVW_p_adj,Egger_p,Cochran_Q_p,F_statistic,verdict
CCL2,Skin,eQTLGen,1,4.86346166570867,0.149114886525454,0.7562254959505167,,,43.401744,Not Significant (IVW p>=0.05)
CCL21,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
CCL21,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
CCL21,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
CCL21,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
CCL4,Kidney,eQTLGen,1,-0.208521352668888,0.0054732035724882,0.43035129485661155,,,819.66544804,Single instrument - Unable to assess pleiotropy
CCL4,Liver,eQTLGen,1,0.078990807689912,0.513070848305872,0.9281919674912172,,,819.66544804,Not Significant (IVW p>=0.05)
CCL4,Lung,eQTLGen,1,0.0385591846757432,0.822915259509433,0.983344746747594,,,819.66544804,Not Significant (IVW p>=0.05)
CCL4,Skin,eQTLGen,1,0.717263408056333,0.0181838575291526,0.43035129485661155,,,819.66544804,Single instrument - Unable to assess pleiotropy
CCL5,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
CCL5,Liver,eQTLGen,1,-0.474318372485291,0.129814158540327,0.7562254959505167,,,267.02501281,Not Significant (IVW p>=0.05)
CCL5,Lung,eQTLGen,1,0.404073905265687,0.362408447384829,0.9177578274973505,,,267.02501281,Not Significant (IVW p>=0.05)
CCL5,Skin,eQTLGen,1,-0.0878792102033383,0.911662284757785,0.983344746747594,,,267.02501281,Not Significant (IVW p>=0.05)
CCN2,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
CCN2,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
CCN2,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
CCN2,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
COL15A1,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
COL15A1,Liver,eQTLGen,1,0.525142122698581,0.447193073288399,0.9177578274973505,,,106.47763344,Not Significant (IVW p>=0.05)
COL15A1,Lung,eQTLGen,1,-0.89815283453499,0.358362038814089,0.9177578274973505,,,106.47763344,Not Significant (IVW p>=0.05)
COL15A1,Skin,eQTLGen,1,2.57124621350168,0.137325774579982,0.7562254959505167,,,106.47763344,Not Significant (IVW p>=0.05)
COL1A1,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
COL1A1,Liver,eQTLGen,1,1.20923551526779,0.0642751507877721,0.6223003235361572,,,64.60140625,Not Significant (IVW p>=0.05)
COL1A1,Lung,eQTLGen,1,-0.0971239848873182,0.916595923220454,0.983344746747594,,,64.60140625,Not Significant (IVW p>=0.05)
COL1A1,Skin,eQTLGen,1,0.449853143685509,0.783954242914085,0.9802739815331081,,,64.60140625,Not Significant (IVW p>=0.05)
COL1A2,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
COL1A2,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
COL1A2,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
COL1A2,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
COL3A1,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
COL3A1,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
