gene,organ,instrument_source,n_instruments,IVW_beta,IVW_p,IVW_p_adj,Egger_p,Cochran_Q_p,F_statistic,verdict
MMP12,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
MMP12,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
MUC4,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
MUC4,Liver,eQTLGen,1,0.0176575423949199,0.947250115348433,0.983344746747594,,,386.36226721,Not Significant (IVW p>=0.05)
MUC4,Lung,eQTLGen,1,-0.274798709410453,0.468824916714201,0.9177578274973505,,,386.36226721,Not Significant (IVW p>=0.05)
MUC4,Skin,eQTLGen,1,0.0635577685606286,0.925061325262784,0.983344746747594,,,386.36226721,Not Significant (IVW p>=0.05)
NID1,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
NID1,Liver,eQTLGen,1,0.513175336444583,0.094955661119837,0.7020237954558298,,,204.461401,Not Significant (IVW p>=0.05)
NID1,Lung,eQTLGen,1,0.0019261695446139,0.996466619160353,0.996466619160353,,,204.461401,Not Significant (IVW p>=0.05)
NID1,Skin,eQTLGen,1,0.25713749630411,0.73955892963672,0.9801320586038292,,,204.461401,Not Significant (IVW p>=0.05)
PCOLCE2,Kidney,eQTLGen,1,0.109667928229244,0.759414305518866,0.9802739815331081,,,63.25179961,Not Significant (IVW p>=0.05)
PCOLCE2,Liver,eQTLGen,1,-1.18543196992368,0.0172207694817643,0.43035129485661155,,,63.25179961,Single instrument - Unable to assess pleiotropy
PCOLCE2,Lung,eQTLGen,1,0.0513615194075267,0.941910149398803,0.983344746747594,,,63.25179961,Not Significant (IVW p>=0.05)
PCOLCE2,Skin,eQTLGen,1,0.867943317700018,0.488471187840428,0.9177578274973505,,,63.25179961,Not Significant (IVW p>=0.05)
PDGFD,Kidney,eQTLGen,1,0.294904333267664,0.123154616073819,0.7494838063920984,,,496.93772241,Not Significant (IVW p>=0.05)
PDGFD,Liver,eQTLGen,1,-0.0852329315855248,0.729268258555084,0.9801320586038292,,,496.93772241,Not Significant (IVW p>=0.05)
PDGFD,Lung,eQTLGen,1,0.107423287105809,0.756807561161861,0.9802739815331081,,,496.93772241,Not Significant (IVW p>=0.05)
PDGFD,Skin,eQTLGen,1,-1.26847121164546,0.0404756354494245,0.5157773983701662,,,496.93772241,Single instrument - Unable to assess pleiotropy
PLOD2,Kidney,eQTLGen,1,0.182101600765627,0.617075077451974,0.9430263539445146,,,115.60335361,Not Significant (IVW p>=0.05)
PLOD2,Liver,eQTLGen,1,0.421237422891048,0.429325538371025,0.9177578274973505,,,115.60335361,Not Significant (IVW p>=0.05)
PLOD2,Lung,eQTLGen,1,0.640413254103459,0.396819259409183,0.9177578274973505,,,115.60335361,Not Significant (IVW p>=0.05)
PLOD2,Skin,eQTLGen,1,-0.729446037655969,0.586340260951234,0.9421441841255442,,,115.60335361,Not Significant (IVW p>=0.05)
PLXNA3,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
PLXNA3,Liver,GTEx,1,0.0372733765590091,0.4572677967038741,0.9177578274973505,,,58.78097648938919,Not Significant (IVW p>=0.05)
PLXNA3,Lung,GTEx,1,-0.2152040393816709,0.0433127731631994,0.5157773983701662,,,126.69945391018967,Single instrument - Unable to assess pleiotropy
PLXNA3,Skin,GTEx,1,0.0137380454691115,0.9374722721443975,0.983344746747594,,,176.56038829082382,Not Significant (IVW p>=0.05)
PLXND1,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
PLXND1,Liver,eQTLGen,1,0.49132866571295,0.14307766084737,0.7562254959505167,,,199.79539801,Not Significant (IVW p>=0.05)
PLXND1,Lung,eQTLGen,1,-0.290490831763704,0.540358040610052,0.9281919674912172,,,199.79539801,Not Significant (IVW p>=0.05)
PLXND1,Skin,eQTLGen,1,0.972931458629616,0.250794329350819,0.9160524304972164,,,199.79539801,Not Significant (IVW p>=0.05)
POSTN,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
POSTN,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
POSTN,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
POSTN,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
PRELP,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
PRELP,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
PRELP,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
PRELP,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
PRG4,Kidney,eQTLGen,1,-0.0767084310292946,0.649436283726755,0.9606245030124918,,,533.379025,Not Significant (IVW p>=0.05)
PRG4,Liver,eQTLGen,1,-0.129054264363685,0.54471359594555,0.9281919674912172,,,533.379025,Not Significant (IVW p>=0.05)
PRG4,Lung,eQTLGen,1,-0.536581611724398,0.0762402054199716,0.6238504406278189,,,533.379025,Not Significant (IVW p>=0.05)
PRG4,Skin,eQTLGen,1,0.229737915511186,0.669948419823547,0.9637087074635701,,,533.379025,Not Significant (IVW p>=0.05)
PRSS12,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
PRSS12,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
PRSS12,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
PRSS12,Skin,GTEx,1,-0.5345735365725172,0.0460083125306721,0.5157773983701662,,,52.40811086187588,Single instrument - Unable to assess pleiotropy
S100A6,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
S100A6,Liver,eQTLGen,1,-0.172839532279975,0.793914016575594,0.9802739815331081,,,116.69184576,Not Significant (IVW p>=0.05)
S100A6,Lung,eQTLGen,1,0.89928342109947,0.337906793824248,0.9177578274973505,,,116.69184576,Not Significant (IVW p>=0.05)
S100A6,Skin,eQTLGen,1,-0.405782106034016,0.806955906680719,0.9802739815331081,,,116.69184576,Not Significant (IVW p>=0.05)
SDC3,Kidney,eQTLGen,1,-0.187620625967367,0.404656761927286,0.9177578274973505,,,199.78126336,Not Significant (IVW p>=0.05)
SDC3,Liver,eQTLGen,1,-0.343467073525074,0.227841238628631,0.8987071079240445,,,199.78126336,Not Significant (IVW p>=0.05)
SDC3,Lung,eQTLGen,1,-0.34757221282124,0.387423732645626,0.9177578274973505,,,199.78126336,Not Significant (IVW p>=0.05)
SDC3,Skin,eQTLGen,1,0.98891579856549,0.167638602306292,0.7657871362011471,,,199.78126336,Not Significant (IVW p>=0.05)
SEMA3E,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
SEMA3E,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
SEMA3E,Lung,GTEx,1,0.0342638743077148,0.7723104279344357,0.9802739815331081,,,92.51583619533882,Not Significant (IVW p>=0.05)
SEMA3E,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
SEMA6A,Kidney,eQTLGen,1,-0.0034710228093598,0.986702539612635,0.9960551703198638,,,236.38447504,Not Significant (IVW p>=0.05)
SEMA6A,Liver,eQTLGen,1,0.276832581168094,0.316901768476875,0.9177578274973505,,,236.38447504,Not Significant (IVW p>=0.05)
SEMA6A,Lung,eQTLGen,1,0.268482457296377,0.494276837170481,0.9177578274973505,,,236.38447504,Not Significant (IVW p>=0.05)
SEMA6A,Skin,eQTLGen,1,0.586114597573289,0.400759153857625,0.9177578274973505,,,236.38447504,Not Significant (IVW p>=0.05)
SEMA7A,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
SEMA7A,Liver,eQTLGen,1,-0.253042496767606,0.639033058773617,0.9518464441872757,,,51.10677121,Not Significant (IVW p>=0.05)
SEMA7A,Lung,eQTLGen,1,-0.950497464507288,0.213312069181146,0.8805722875725781,,,51.10677121,Not Significant (IVW p>=0.05)
SEMA7A,Skin,eQTLGen,1,0.57031239633993,0.674143649821934,0.9637087074635701,,,51.10677121,Not Significant (IVW p>=0.05)
SERPINE1,Kidney,eQTLGen,1,-0.322289493653961,0.395325086245385,0.9177578274973505,,,87.23933604,Not Significant (IVW p>=0.05)
SERPINE1,Liver,eQTLGen,1,0.482078728787044,0.36719380798672,0.9177578274973505,,,87.23933604,Not Significant (IVW p>=0.05)
SERPINE1,Lung,eQTLGen,1,0.792714613514589,0.294482905458477,0.9177578274973505,,,87.23933604,Not Significant (IVW p>=0.05)
SERPINE1,Skin,eQTLGen,1,-3.32106052466551,0.0136083686517958,0.43035129485661155,,,87.23933604,Single instrument - Unable to assess pleiotropy
SERPINE2,Kidney,eQTLGen,1,-0.0415140417443551,0.142466754827972,0.7562254959505167,,,8687.71262241,Not Significant (IVW p>=0.05)
SERPINE2,Liver,eQTLGen,1,-0.102684416154093,0.0133074744940167,0.43035129485661155,,,8687.71262241,Single instrument - Unable to assess pleiotropy
SERPINE2,Lung,eQTLGen,1,-0.110272428184202,0.0601221790056352,0.6098106727714427,,,8687.71262241,Not Significant (IVW p>=0.05)
SERPINE2,Skin,eQTLGen,1,0.0359438008432114,0.73114598176547,0.9801320586038292,,,8687.71262241,Not Significant (IVW p>=0.05)
SERPINF2,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
SERPINF2,Liver,eQTLGen,1,0.121053555459901,0.153067341770052,0.7568270027611808,,,1785.83998464,Not Significant (IVW p>=0.05)
SERPINF2,Lung,eQTLGen,1,0.0608685034517524,0.612042148807838,0.9430263539445146,,,1785.83998464,Not Significant (IVW p>=0.05)
SERPINF2,Skin,eQTLGen,1,0.383829509571853,0.0736087844091715,0.6238504406278189,,,1785.83998464,Not Significant (IVW p>=0.05)
SERPINH1,Kidney,eQTLGen,1,0.0593825292906955,0.463355149269596,0.9177578274973505,,,1071.65224321,Not Significant (IVW p>=0.05)
SERPINH1,Liver,eQTLGen,1,-0.084182293046016,0.471766537338698,0.9177578274973505,,,1071.65224321,Not Significant (IVW p>=0.05)
SERPINH1,Lung,eQTLGen,1,0.102632444896635,0.535739596887416,0.9281919674912172,,,1071.65224321,Not Significant (IVW p>=0.05)
SERPINH1,Skin,eQTLGen,1,0.171627386155968,0.560920409166701,0.9407562767913963,,,1071.65224321,Not Significant (IVW p>=0.05)
SFRP4,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
SFRP4,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
SFRP4,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
SFRP4,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
SPARCL1,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
SPARCL1,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
SPARCL1,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
SPARCL1,Skin,GTEx,1,-0.096757070581405,0.7865720334485852,0.9802739815331081,,,67.85210880686802,Not Significant (IVW p>=0.05)
SPP1,Kidney,eQTLGen,1,0.0964451353273689,0.0682232466455102,0.6238504406278189,,,3230.03535556,Not Significant (IVW p>=0.05)
SPP1,Liver,eQTLGen,1,0.0111517643298998,0.873004514746868,0.983344746747594,,,3230.03535556,Not Significant (IVW p>=0.05)
SPP1,Lung,eQTLGen,1,0.0666404773778142,0.499811774599496,0.9177578274973505,,,3230.03535556,Not Significant (IVW p>=0.05)
SPP1,Skin,eQTLGen,1,-0.0204525909561975,0.907518005987888,0.983344746747594,,,3230.03535556,Not Significant (IVW p>=0.05)
SRPX,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
SRPX,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
SRPX,Lung,GTEx,1,0.2254698013236938,0.1204544743448532,0.7494838063920984,,,49.40709544718403,Not Significant (IVW p>=0.05)
SRPX,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
SVEP1,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
SVEP1,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
SVEP1,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
SVEP1,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
TGFB2,Kidney,eQTLGen,1,-0.788495462647519,0.214975394149174,0.8805722875725781,,,47.55343681,Not Significant (IVW p>=0.05)
TGFB2,Liver,eQTLGen,1,0.413163991826048,0.594991671744471,0.9421441841255442,,,47.55343681,Not Significant (IVW p>=0.05)
TGFB2,Lung,eQTLGen,1,0.44032384521363,0.689025420529046,0.9662589102375996,,,47.55343681,Not Significant (IVW p>=0.05)
TGFB2,Skin,eQTLGen,1,0.349054223645304,0.858811894959516,0.983344746747594,,,47.55343681,Not Significant (IVW p>=0.05)
TGFB3,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
TGFB3,Liver,eQTLGen,1,0.799264966471217,0.0725264934449954,0.6238504406278189,,,895.05680625,Not Significant (IVW p>=0.05)
TGFB3,Lung,eQTLGen,1,0.721836279624832,0.256221959856097,0.9160524304972164,,,895.05680625,Not Significant (IVW p>=0.05)
TGFB3,Skin,eQTLGen,1,-0.219859086608034,0.842965338992037,0.983344746747594,,,895.05680625,Not Significant (IVW p>=0.05)
TGM2,Kidney,eQTLGen,1,0.246765974331069,0.467058901715173,0.9177578274973505,,,118.42010041,Not Significant (IVW p>=0.05)
TGM2,Liver,eQTLGen,1,0.555436277897767,0.195404013190061,0.8494092818261836,,,118.42010041,Not Significant (IVW p>=0.05)
TGM2,Lung,eQTLGen,1,0.620010306518189,0.307057227321703,0.9177578274973505,,,118.42010041,Not Significant (IVW p>=0.05)
TGM2,Skin,eQTLGen,1,0.475530370834687,0.658839317063112,0.9637087074635701,,,118.42010041,Not Significant (IVW p>=0.05)
THBS1,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
THBS1,Liver,eQTLGen,1,0.0405315523921372,0.581715822324267,0.9421441841255442,,,2768.48554896,Not Significant (IVW p>=0.05)
THBS1,Lung,eQTLGen,1,-0.0089422376269198,0.931653943559793,0.983344746747594,,,2768.48554896,Not Significant (IVW p>=0.05)
THBS1,Skin,eQTLGen,1,0.0736674628254044,0.691825411617901,0.9662589102375996,,,2768.48554896,Not Significant (IVW p>=0.05)
TIMP1,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
TIMP1,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
TIMP1,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
TIMP1,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
TIMP4,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
TIMP4,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
TIMP4,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
TIMP4,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
TNC,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
TNC,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
TNC,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
TNC,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
TNFAIP6,Kidney,eQTLGen,1,-0.0185639898132494,0.738882680363527,0.9801320586038292,,,2282.93795601,Not Significant (IVW p>=0.05)
TNFAIP6,Liver,eQTLGen,1,0.0307805431015729,0.710785048791506,0.9767562283392953,,,2282.93795601,Not Significant (IVW p>=0.05)
TNFAIP6,Lung,eQTLGen,1,-0.223108341332168,0.0573794366542861,0.6098106727714427,,,2282.93795601,Not Significant (IVW p>=0.05)
TNFAIP6,Skin,eQTLGen,1,0.175942441133849,0.401134521748939,0.9177578274973505,,,2282.93795601,Not Significant (IVW p>=0.05)
VCAN,Kidney,eQTLGen,1,0.401370469619503,0.317310507862914,0.9177578274973505,,,50.16605584,Not Significant (IVW p>=0.05)
VCAN,Liver,eQTLGen,1,-0.406284749306906,0.453983186656151,0.9177578274973505,,,50.16605584,Not Significant (IVW p>=0.05)
VCAN,Lung,eQTLGen,1,-0.27825509519459,0.717435554535871,0.9795754686932086,,,50.16605584,Not Significant (IVW p>=0.05)
VCAN,Skin,eQTLGen,1,-0.126432952212861,0.926430814328925,0.983344746747594,,,50.16605584,Not Significant (IVW p>=0.05)
VWF,Kidney,eQTLGen,1,0.0488100008132486,0.463355149269597,0.9177578274973505,,,1589.68866681,Not Significant (IVW p>=0.05)
VWF,Liver,eQTLGen,1,0.0065849572097153,0.94557103908388,0.983344746747594,,,1589.68866681,Not Significant (IVW p>=0.05)
VWF,Lung,eQTLGen,1,0.123365945873646,0.366908566281316,0.9177578274973505,,,1589.68866681,Not Significant (IVW p>=0.05)
VWF,Skin,eQTLGen,1,0.005478478864007,0.982018467085213,0.9960551703198638,,,1589.68866681,Not Significant (IVW p>=0.05)
WIF1,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
WIF1,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
WIF1,Lung,GTEx,1,-0.066482422300957,0.5990391765954608,0.9421441841255442,,,56.17068409017143,Not Significant (IVW p>=0.05)
WIF1,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
WNT10B,Kidney,eQTLGen,1,-0.072403973031509,0.694073301719966,0.9662589102375996,,,210.38052025,Not Significant (IVW p>=0.05)
WNT10B,Liver,eQTLGen,1,0.150729118433815,0.572048340967768,0.9421441841255442,,,210.38052025,Not Significant (IVW p>=0.05)
WNT10B,Lung,eQTLGen,1,-0.106855624178876,0.77730091919897,0.9802739815331081,,,210.38052025,Not Significant (IVW p>=0.05)
WNT10B,Skin,eQTLGen,1,-0.0148086987011157,0.982398703437311,0.9960551703198638,,,210.38052025,Not Significant (IVW p>=0.05)
WNT2,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
WNT2,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
WNT2,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
WNT2,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
