"gene","organ","n_instruments","IVW_beta","IVW_p","Egger_beta","Egger_p","WeightedMedian_beta","WeightedMedian_p","Egger_intercept_p","Cochran_Q_p","F_statistic","verdict"
"CCL18","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CCL18","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CCL18","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CCL19","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CCL19","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CCL19","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CCL19","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CCL2","Liver",1,-0.964474912496152,0.46536626486062,NA,NA,NA,NA,NA,NA,43.401744,"Not Significant (IVW p>=0.05)"
"CCL2","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CCL2","Lung",1,-1.79065875316294,0.341503436052545,NA,NA,NA,NA,NA,NA,43.401744,"Not Significant (IVW p>=0.05)"
"CCL2","Skin",1,4.86346166570867,0.149114886525454,NA,NA,NA,NA,NA,NA,43.401744,"Not Significant (IVW p>=0.05)"
"CCL21","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CCL21","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CCL21","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CCL21","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CCL4","Liver",1,0.078990807689912,0.513070848305872,NA,NA,NA,NA,NA,NA,819.66544804,"Not Significant (IVW p>=0.05)"
"CCL4","Kidney",1,-0.208521352668888,0.00547320357248826,NA,NA,NA,NA,NA,NA,819.66544804,"Pass (Single instrument - Clean Wald Ratio)"
"CCL4","Lung",1,0.0385591846757432,0.822915259509433,NA,NA,NA,NA,NA,NA,819.66544804,"Not Significant (IVW p>=0.05)"
"CCL4","Skin",1,0.717263408056333,0.0181838575291526,NA,NA,NA,NA,NA,NA,819.66544804,"Pass (Single instrument - Clean Wald Ratio)"
"CCL5","Liver",1,-0.474318372485291,0.129814158540327,NA,NA,NA,NA,NA,NA,267.02501281,"Not Significant (IVW p>=0.05)"
"CCL5","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CCL5","Lung",1,0.404073905265687,0.362408447384829,NA,NA,NA,NA,NA,NA,267.02501281,"Not Significant (IVW p>=0.05)"
"CCL5","Skin",1,-0.0878792102033383,0.911662284757785,NA,NA,NA,NA,NA,NA,267.02501281,"Not Significant (IVW p>=0.05)"
"CCN2","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CCN2","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CCN2","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"CCN2","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"COL15A1","Liver",1,0.525142122698581,0.447193073288399,NA,NA,NA,NA,NA,NA,106.47763344,"Not Significant (IVW p>=0.05)"
"COL15A1","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
