gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category
COL6A3,2.0573452,0.000224,-0.679,3.42e-06,-1.0107487,8.26e-17,-1.51928913,5.23e-41,True,Collagens
COLEC11,-0.6936599,0.0157,-0.695,2.22e-05,-2.0706525,2.9e-06,-0.86930272,0.000534,True,ECM-affiliated Proteins
CORO1A,1.21135591,8.47e-05,-1.36,1.38e-08,1.4075773,4.64e-11,-0.64369084,1.73e-08,False,
CPE,1.21484343,5.71e-05,-0.73739111,0.0014804,-0.72755826,3.39e-10,-0.7246665,0.000152,False,
CREB3L1,-0.8561084,0.000737,-1.07,0.00124,0.994345,4.27e-10,-0.62762303,0.000251,False,
CRYAB,-1.3301873,0.000272,-0.95991144,0.00497,0.63765321,6.81e-13,-0.7104442,0.0013,False,
CSF2RB,0.8523944,0.00266,-0.954,1.71e-07,0.8760205,5.3e-08,-0.59754227,3.09e-09,False,
CTSS,1.4322483,4.94e-07,-0.691,3.92e-07,-1.2954109,1.21e-11,-0.76136234,9.54e-12,True,ECM Regulators
CYBB,1.5594541,1.92e-07,-0.85,3.45e-06,-1.0912355,2.85e-08,-1.3484662,4.88e-22,False,
CYP3A7,-1.10357721,0.000812,-2.27076228,0.0001936,2.2403525,5.54e-06,-1.5246944,0.0235,False,
DAGLA,-0.6356504,0.0188,-1.51,1.34e-08,0.7628932,4.47e-10,-1.3112055,0.0107,False,
DAPK3,0.843,0.0217,-1.03,1.94e-06,0.9033582,5.04e-13,-1.81076,9.41e-06,False,
DOC2B,1.32,0.0466,-0.605,0.0177,1.2948464,1.91e-14,-0.64089482,4.4e-11,False,
DOCK2,1.45701592,3.17e-07,-0.625,1.48e-08,-0.7252423,5.35e-05,-0.70275829,2.59e-13,False,
DOK1,-0.7981041,0.0021,-1.03,2.95e-07,0.7678195,4.42e-11,-0.68026619,2.17e-12,False,
DOK2,0.629041,3.02e-05,-1.07,5.48e-07,0.8270873,1.28e-06,-0.75055613,1.27e-10,False,
DUSP1,-1.9691702,2.51e-09,-1.53,5.72e-06,0.82535854,3.54e-09,-0.7249346,0.01,False,
EMP3,1.19751633,1.79e-08,-1.03,1.08e-09,1.6205327,9e-13,-1.2672662,0.00011,False,
ENG,1.51,1.76e-05,-0.977,1.29e-06,1.6983564,8.18e-16,-0.77605075,5.47e-11,False,
EPHA3,-1.7243304,0.00203,-1.0,2.83e-07,-1.31473586,1.7300000000000003e-27,-1.13130232,6.3e-25,False,
F13A1,1.29036425,0.00659,-1.05,3.15e-05,-1.1844791,1.55e-06,-0.75520201,2.76e-12,True,ECM Regulators
FABP4,1.1770375,0.00812,-2.56,2.48e-12,3.2476127,1.11e-07,-1.6617342,1.04e-11,False,
FAM167B,1.51,0.0125,-0.787,0.0188,1.2400618,1.12e-10,-0.59994405,8.99e-05,False,
FASN,1.7055599,5.05e-05,-0.974,0.000146,1.61349847,1.8599999999999997e-30,1.2587847,0.027,False,
FBN1,0.98766503,9.93e-06,-0.744,2.32e-06,-2.3309555,3.66e-14,-0.73902208,8.59e-09,True,ECM Glycoproteins
FCER1G,1.55608599,1.09e-07,-0.701,0.000413,1.3679036,1.15e-10,-0.81640598,1.04e-11,False,
FGR,0.84842273,0.00121,-0.852,2.34e-09,0.91302931,2.67e-26,-0.65685187,5.11e-15,False,
FMOD,1.07161347,5.67e-05,-0.866,4.94e-06,1.1440941,6.13e-11,-0.66194003,5.7e-14,True,Proteoglycans
FXYD5,1.14398213,2.54e-10,-1.03,8.13e-07,0.6980845,8.22e-09,-1.0619305,0.000213,False,
GDF15,-1.2276365,0.000169,-2.36,1.13e-07,-0.73598573,1.75e-09,-1.17041898,1.61e-10,True,Secreted Factors
GEM,2.2,0.000964,-2.33,5.36e-11,-1.23767686,5.45e-20,-1.21508463,3.98e-35,False,
GFRA1,0.64427413,0.0197,0.89876625,0.024132,-0.81832284,4.74e-13,-0.9718428,0.00388,False,
GGT5,0.83980963,0.00185,-1.13,3.17e-08,-0.7086182,5.82e-05,-0.97769839,4.81e-15,False,
GJA5,1.7874265,3.54e-05,-1.13,0.000103,0.6335336,0.00562,-1.5525562,6.24e-20,False,
GLIS2,1.03,0.000708,-1.16,6.48e-07,0.7355264,6.08e-11,-0.81001225,5.36e-08,False,
GPR174,-1.5598181,0.00174,-0.727,1.24e-05,-0.84277597,2.76e-10,-0.81381261,1.42e-05,False,
GPR4,1.91,1.66e-06,-0.823,0.000172,1.18569767,3.46e-26,-1.07927336,4e-12,False,
GPR65,1.23740577,2.61e-06,-0.644,1.43e-06,0.6485091,0.000125,-1.00170384,5.82e-15,False,
GPX1,-0.9683895,0.000158,-0.927,6.95e-05,1.1772818,8.35e-08,-0.68771296,6.13e-25,False,
GXYLT2,1.54,0.0222,-0.734,0.00793,-1.28159566,5.12e-31,-0.95552695,6.15e-11,False,
GZMA,1.94342639,6.14e-08,-0.834,8.37e-07,0.87682,4.3e-05,-1.5315411,2.64e-12,False,
GZMH,0.76971507,0.000864,-0.896,6.77e-06,0.7092845,3.56e-07,-1.16875464,3.98e-07,False,
GZMK,1.59463905,4.47e-06,-0.979,5.11e-07,-0.78549422,1.19e-07,-1.61032198,4.92e-12,False,
HBA2,2.6383888,9.93e-09,-2.28,2.09e-09,-1.326445,0.0373,0.94620137,0.00621,False,
HBB,3.6413911,1.51e-08,-1.54,1.02e-06,2.3823018,4.36e-06,1.07045724,0.00311,False,
HCK,1.77563723,2.61e-06,-0.953,3.3e-08,0.59490073,3.89e-08,-0.82657298,1.6e-14,False,
HCLS1,1.1488022,4.22e-05,-0.798,7.91e-12,0.7483149,8.57e-18,-0.78830078,2.23e-17,False,
HDAC7,1.06,0.00142,-0.728,3.18e-07,0.8662077,2.03e-16,-0.6370295,0.00232,False,
HIP1R,0.6348035,0.0216,-0.692,2.31e-05,0.6164025,0.000228,-1.8475861,6.52e-05,False,
HLA-DMA,0.62704507,0.00107,-0.882,1.7e-08,1.6573577,2.14e-14,-0.66956515,7.73e-11,False,
HLA-DMB,0.90310336,4.2e-05,-1.05,6.84e-10,0.6591555,1.08e-05,-0.69818661,1.56e-10,False,
HLA-DPA1,0.66929765,0.000447,-1.09,2.4e-08,0.8431909,1.26e-10,-0.6557647,3.25e-07,False,
HS3ST2,-1.2145932,0.0108,-1.53,3.08e-07,-1.9559329,0.005876,-0.6992861,0.00157,False,
HSF4,1.3455184,4.16e-07,-0.92,3.33e-05,0.6177023,1.48e-10,-1.5820537,0.0144,False,
HSPB6,1.33,0.0203,-1.28,5.21e-06,1.1857723,1.74e-08,-0.93117698,3.43e-05,False,
ICAM1,-1.2103748,0.00165,-0.987,1.84e-05,1.6422855,1.34e-08,-0.88508485,8.48e-16,False,
ICAM2,-0.9121515,0.000828,-0.8,4.17e-05,2.8470523,7.360000000000001e-21,-0.6529464,4.76e-15,False,
IDUA,0.883868,9.51e-05,-0.825,0.000219,1.04418,2.54e-13,-1.6838367,0.000365,False,
IFI27,-0.9135402,0.0153,-1.06,2.68e-05,2.0639623,1.04e-13,-1.51266565,2.41e-10,False,
IFI6,-1.3488052,0.00281,-0.98430381,0.0479936,2.4094205,1.01e-12,-1.29114416,2.78e-06,False,
IFITM2,-0.9590982,0.00123,-0.659,0.00463,0.8450005,4.18e-08,-0.59047873,1.41e-12,False,
IGF1,-1.67020229,0.00024,0.595,0.00366,-1.9659032,1.39e-11,-1.46347599,1.9700000000000002e-33,True,Secreted Factors
IGHM,1.4485453,0.00856,-0.86,0.00908,-1.3059125,1.85e-06,-4.97355453,6.25e-32,False,
IGKC,2.2697963,0.00859,-0.966,0.000128,-1.18760196,1.3e-17,-3.00104428,4.28e-13,False,
IGSF3,-0.7879292,0.00143,-1.05,5.11e-07,0.7797305,1.14e-10,0.6123282,3.27e-05,False,
IL32,1.05169189,9.67e-05,-1.69,4.21e-13,2.0251741,2.66e-16,-0.85490311,1.06e-09,False,
IL4I1,-2.632224,1.21e-05,-1.45,2.4e-06,-2.2198325,6.22e-05,-0.60597105,4.13e-07,False,
INMT,1.55,0.000723,-1.1,3.1e-07,1.4261375,1.43e-06,-0.88509554,7.2e-16,False,
ISLR,1.03459811,0.000824,-1.09,4.12e-07,1.32894,8.3e-10,-1.3685904,5.55e-05,False,
ITGB4,0.6613426,0.0344,-0.898,0.00137,-0.88878708,2.13e-17,-1.1008732,2.09e-05,False,
ITGBL1,-1.7311766,0.002,-1.71,3.03e-11,-0.58827031,5.69e-08,-0.81327219,2.18e-10,False,
JAK3,0.676,0.0241,-1.02,4.82e-09,-0.8322825,0.00382,-1.44575376,1.1099999999999999e-23,False,
JCHAIN,1.66909789,0.0202,-1.40032795,0.0065752,-1.34238042,7.8e-19,-2.45752384,4.43e-11,False,
JUND,-1.2899497,3.29e-08,-1.02,5.06e-08,1.5740859,5.09e-15,-1.1586799,5.94e-05,False,
KLHL6,-1.7286268,0.00347,-0.79,8.97e-09,-0.9598745,1.35e-07,-0.8935411,4.17e-17,False,
KRT7,1.71869423,0.0011,-1.34,4.52e-07,0.985805,2.61e-06,-0.7478173,0.0397,False,
LAMC3,0.62190975,0.000713,-2.03,3.11e-13,0.73075977,9.65e-16,0.68068461,5.98e-08,True,ECM Glycoproteins
