gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category
TRPC4,-0.9913405,0.0186,-0.753,0.0216,-0.6410986,0.00232,-0.59678183,5.09e-08,False,
TSPAN4,0.6749037,0.0281,-1.32,1.85e-06,1.3682809,4.61e-12,-0.634387,0.00041,False,
TSPAN8,1.2662383,0.00199,-1.58159211,0.0015202,-0.68302285,4.98e-05,0.68722888,1.78e-05,False,
TYMP,0.606905,0.0105,-1.04,5.26e-06,0.6333091,3.21e-06,-0.82404501,2.21e-09,False,
TYROBP,2.19115809,2.09e-06,-1.26,1.67e-06,1.9170427,1.87e-14,-0.9602053,4.27e-18,False,
UBD,1.1838776,0.000421,-1.9,1.99e-13,-0.84538503,1.4e-13,-1.38863339,2.73e-08,False,
UCP2,1.43459347,6.62e-07,-0.722,4.37e-06,1.2627091,1.67e-11,-0.86300336,2.26e-12,False,
VCAM1,-2.1179811,0.000217,-0.685,0.000225,-1.47585872,6.78e-15,-1.27270789,6.53e-25,False,
VCAN,1.948057,9.07e-06,-1.43,3.31e-09,-2.1909255,1.03e-13,-0.71024619,4.47e-09,True,Proteoglycans
VMP1,-1.2061432,5.1e-05,-0.721,0.000969,-1.4779875,9.34e-06,-0.8809947,1.85e-22,False,
VNN2,-0.9286412,0.00598,-0.607,0.00228,1.20592438,8.46e-17,-0.99633475,1.52e-06,False,
VSIG4,1.69633573,8.29e-06,-0.728,0.00322,0.89669186,9.32e-13,-1.42827665,1.2499999999999999e-23,False,
VWF,0.6088809,0.000127,-1.6,3.64e-08,0.80510831,2.46e-17,-0.97442246,2.94e-25,True,ECM Glycoproteins
YIPF2,0.6179508,0.00607,-0.623,0.00223,0.8809832,2.75e-11,-0.7361244,2.77e-05,False,
ZBED2,1.19251075,0.000798,-0.719,0.00139,0.8178973,1.6e-07,-0.73010451,2.95e-06,False,
