gene,matrisome_division,matrisome_category,logFC_skin,adj_p_skin,logFC_kidney,adj_p_kidney,logFC_liver,adj_p_liver,logFC_lungs,adj_p_lungs,ensembl_id,eqtl_dataset_id
CTSS,Matrisome-associated,ECM Regulators,-0.76136234,9.54e-12,1.4322483,4.94e-07,1.47,4.43e-11,-1.2954109,1.21e-11,ENSG00000163131,eqtl-a-ENSG00000163131
CTSZ,Matrisome-associated,ECM Regulators,-0.85617934,6.89e-20,0.87819534,7.6e-05,1.420935,0.000334,-1.0109394,0.0001,ENSG00000101160,eqtl-a-ENSG00000101160
CXCL3,Matrisome-associated,Secreted Factors,0.8908316,0.0318,0.62126687,0.0018,1.340044,3.9e-05,-2.9587018,1.39e-06,ENSG00000163734,eqtl-a-ENSG00000163734
CXCL9,Matrisome-associated,Secreted Factors,-3.66221403,2.4299999999999998e-23,1.7675739,0.04962269,2.72,9.27e-16,1.3432164,3.39e-05,ENSG00000138755,eqtl-a-ENSG00000138755
DCN,Core matrisome,Proteoglycans,-0.8126547,1.34e-06,1.847616,0.01326669,2.1,5.7399999999999995e-30,-0.7994909,1.32e-08,ENSG00000011465,eqtl-a-ENSG00000011465
EFEMP1,Core matrisome,ECM Glycoproteins,-0.92062399,1.41e-32,0.9620293,0.02170639,3.73,8.800000000000001e-27,-0.8718927,0.000113,ENSG00000115380,eqtl-a-ENSG00000115380
F13A1,Matrisome-associated,ECM Regulators,-0.75520201,2.76e-12,1.29036425,0.00659,1.45,2.59e-07,-1.1844791,1.55e-06,ENSG00000124491,eqtl-a-ENSG00000124491
FBN1,Core matrisome,ECM Glycoproteins,-0.73902208,8.59e-09,0.98766503,9.93e-06,1.52,7.85e-12,-2.3309555,3.66e-14,ENSG00000166147,eqtl-a-ENSG00000166147
FGF10,Matrisome-associated,Secreted Factors,-0.76485796,3.29e-07,-1.2935121,0.00675,-0.713038,0.00242,-0.7133455,0.000697,ENSG00000070193,eqtl-a-ENSG00000070193
FGF14,Matrisome-associated,Secreted Factors,-0.69128514,3.28e-09,-1.1344432,0.0089,-2.281995,1.27e-07,-1.51832835,8.77e-27,ENSG00000102466,eqtl-a-ENSG00000102466
FGF7,Matrisome-associated,Secreted Factors,-0.73457257,6.32e-13,-1.9377163,4.44e-09,-1.490063,1.73e-05,-2.4301355,4.52e-13,ENSG00000140285,eqtl-a-ENSG00000140285
FGFBP2,Matrisome-associated,Secreted Factors,1.415623,1.76e-14,-0.8801838,0.026,-1.171262,0.00549,1.376365,7.34e-09,ENSG00000137441,eqtl-a-ENSG00000137441
FMOD,Core matrisome,Proteoglycans,-0.66194003,5.7e-14,1.07161347,5.67e-05,1.31,3.25e-14,1.1440941,6.13e-11,ENSG00000122176,eqtl-a-ENSG00000122176
FSTL1,Matrisome-associated,Secreted Factors,-0.72272083,2.12e-11,1.7369572,0.00028855,1.43,8.81e-14,-1.2793627,1.09e-11,ENSG00000163430,eqtl-a-ENSG00000163430
GDF15,Matrisome-associated,Secreted Factors,-1.17041898,1.61e-10,-1.2276365,0.000169,2.14,4.59e-08,-0.73598573,1.75e-09,ENSG00000130513,eqtl-a-ENSG00000130513
IGF1,Matrisome-associated,Secreted Factors,-1.46347599,1.9700000000000002e-33,-1.67020229,0.00024,3.817279,4.93e-13,-1.9659032,1.39e-11,ENSG00000017427,eqtl-a-ENSG00000017427
IGFBP5,Core matrisome,ECM Glycoproteins,-0.9269239,5.01e-05,0.873,0.000473,1.04,0.000209,-1.0213727,6.59e-10,ENSG00000115461,eqtl-a-ENSG00000115461
IL1A,Matrisome-associated,Secreted Factors,-0.6449409,0.0301,-1.421551,0.00135,-1.309257,3.35e-07,0.8150736,0.00485,ENSG00000115008,eqtl-a-ENSG00000115008
LAMC3,Core matrisome,ECM Glycoproteins,0.68068461,5.98e-08,0.62190975,0.000713,-2.03,3.11e-13,-3.5391988,7.66e-32,ENSG00000050555,eqtl-a-ENSG00000050555
LEFTY2,Matrisome-associated,Secreted Factors,-0.95914512,3.65e-05,-1.2283014,0.005,-1.313127,2.23e-08,0.8394305,1.69e-11,ENSG00000143768,eqtl-a-ENSG00000143768
LEP,Matrisome-associated,Secreted Factors,-2.0997349,1.21e-06,1.8284949,0.000177,-1.567028,3.5e-05,-1.8829131,0.044974,ENSG00000174697,eqtl-a-ENSG00000174697
LTB,Matrisome-associated,Secreted Factors,-0.78494861,9.99e-07,1.2828954,0.000313,0.799,1.2e-14,-2.3211425,1.73e-08,ENSG00000227507,eqtl-a-ENSG00000227507
LTBP2,Core matrisome,ECM Glycoproteins,-1.22845963,1.63e-17,1.3045644,0.00093,0.994,1.45e-10,-0.72371299,4.52e-13,ENSG00000119681,eqtl-a-ENSG00000119681
LUM,Core matrisome,Proteoglycans,-1.81325366,1.98e-22,2.4169471,0.00242541,3.94,7.900000000000001e-28,-0.94466129,4.8800000000000004e-21,ENSG00000139329,eqtl-a-ENSG00000139329
MATN3,Core matrisome,ECM Glycoproteins,-1.68168351,9.04e-13,-1.3794816,0.00308,1.131826,1.28e-06,-3.6327869,1.4200000000000005e-21,ENSG00000132031,eqtl-a-ENSG00000132031
MDK,Matrisome-associated,Secreted Factors,-0.97964026,5.12e-13,-1.9247646,1.75e-06,-1.3,1.14e-05,-0.87458787,1.83e-34,ENSG00000110492,eqtl-a-ENSG00000110492
MFAP4,Core matrisome,ECM Glycoproteins,-1.5803459,2.43e-05,0.69586103,0.0288,2.22,9.63e-20,1.1601555,2.23e-09,ENSG00000166482,eqtl-a-ENSG00000166482
MMP11,Matrisome-associated,ECM Regulators,-2.31103903,2.370000000000001e-21,-1.6170838,0.000109,-2.40212,3.02e-07,-2.436065,5.22e-05,ENSG00000099953,eqtl-a-ENSG00000099953
MMP12,Matrisome-associated,ECM Regulators,-1.21737546,0.00102,-0.908,0.0323,1.214646,2.04e-05,-0.81697733,5.34e-09,ENSG00000262406,eqtl-a-ENSG00000262406
MUC4,Matrisome-associated,ECM-affiliated Proteins,-1.0167894,0.037,-1.2051299,0.00936,1.552223,1.35e-07,-1.12091664,7.09e-10,ENSG00000145113,eqtl-a-ENSG00000145113
