gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category,kidney_val_logFC,kidney_val_adj_p_value,kidney_validated,kidney_validated_sig,liver_val_logFC,liver_val_adj_p_value,liver_validated,liver_validated_sig,lung_val_logFC,lung_val_adj_p_value,lung_validated,lung_validated_sig,skin_val_logFC,skin_val_adj_p_value,skin_validated,skin_validated_sig,n_organs_validated,n_organs_validated_sig,n_organs_found_in_val
C5AR1,1.55,0.0267,-1.2330424,8.88e-07,0.9132486,9.07e-09,-1.12105938,1.64e-16,False,,-0.0410416,0.967,False,False,-1.2330424,8.88e-07,True,True,0.59235715,0.142,True,False,-0.07779111,0.9997,True,False,3,1,4
CCL18,1.03172662,0.000464,-0.6288626,0.00338,-1.20803147,1.39e-13,-2.32784977,6.09e-08,True,Secreted Factors,0.1550465,0.917,True,False,-0.6288626,0.00338,True,True,-1.66946705,0.00794,True,True,-0.62000533,0.9997,True,False,4,2,4
CCL19,1.6645841,0.00232,-1.2630981,0.000138,-3.520365,1.89e-13,-1.50947281,1.74e-19,True,Secreted Factors,1.5382663,0.161,True,False,-1.2630981,0.000138,True,True,-1.22533087,0.119,True,False,-0.19554547,0.9997,True,False,4,1,4
CCL2,2.17500819,1.47e-05,-1.2947622,1.2e-05,-2.5212675,8.69e-05,-1.43692,1e-17,True,Secreted Factors,0.5352137,0.587,True,False,-1.2947622,1.2e-05,True,True,1.05721416,0.0581,False,False,-0.17503975,0.9997,True,False,3,1,4
CCL21,0.9320614,0.0033,-1.4308414,9.03e-07,2.1132709,3.16e-13,-1.1466899,0.00107,True,Secreted Factors,1.3885867,0.248,True,False,-1.4308414,9.03e-07,True,True,-0.80594647,0.0727,False,False,0.21410825,0.9997,False,False,2,1,4
CCL4,1.18102508,0.000309,-1.0843025,5.07e-06,0.7543223,0.000357,-1.82764786,1.41e-13,True,Secreted Factors,-0.2167254,0.823,False,False,-1.0843025,5.07e-06,True,True,0.25716873,0.661,True,False,-0.18636683,0.9997,True,False,3,1,4
CCL5,1.28174734,1.78e-06,-0.9109705,1e-06,1.6986755,6.65e-11,-1.28732668,1.17e-10,True,Secreted Factors,1.614213,0.0387,True,True,-0.9109705,1e-06,True,True,-1.59088876,0.0035,False,False,0.27183131,0.9997,False,False,2,2,4
CCR5,0.8822004,0.000184,-0.6990972,2.46e-06,-1.5909175,5.82e-05,-1.12583403,3.16e-10,False,,0.0991459,0.807,True,False,-0.6990972,2.46e-06,True,True,-0.67532012,0.0478,True,True,-0.19570972,0.9997,True,False,4,2,4
CD3D,0.9263287,0.000181,-0.7874338,7.2e-05,1.386985,1.14e-10,-0.63981003,0.00206,False,,0.8242736,0.395,True,False,-0.7874338,7.2e-05,True,True,-0.61885849,0.0166,False,False,0.21867028,0.9997,False,False,2,1,4
CD48,2.14640028,3.9e-08,-0.7340383,5.33e-06,-1.189135,0.0002,-0.77635953,4.65e-09,False,,0.927603,0.329,True,False,-0.7340383,5.33e-06,True,True,-0.17792527,0.499,True,False,0.14188989,0.9997,False,False,3,1,4
CD68,0.80270187,0.00127,-0.8077054,0.000916,1.2655705,1.9e-11,-0.97327443,2.41e-21,False,,0.4084819,0.328,True,False,-0.8077054,0.000916,True,True,,,,,-0.20096586,0.9997,True,False,3,1,3
CD79B,1.01,0.028,-0.8936724,7.13e-05,-0.7056625,0.00295,-0.66351847,5.67e-07,False,,0.3203776,0.368,True,False,-0.8936724,7.13e-05,True,True,0.20536826,0.0392,False,False,0.15588136,0.9997,False,False,2,1,4
CD93,0.60098119,0.00314,-0.7650483,1.84e-05,1.1271095,1.75e-12,-1.22708091,3.87e-39,False,,0.2084869,0.615,True,False,-0.7650483,1.84e-05,True,True,0.34368,0.296,True,False,-0.25394261,0.9997,True,False,4,1,4
CH25H,0.92065484,0.000692,-1.8860427,7.72e-07,0.9650686,0.00051,-0.95198533,1.02e-13,False,,0.4843595,0.362,True,False,-1.8860427,7.72e-07,True,True,1.26315068,0.0565,True,False,0.17022231,0.9997,False,False,3,1,4
CHI3L1,-1.9005463,2.67e-05,-2.3970925,1.23e-08,-1.57505,1.47e-06,-1.5186154,0.000555,False,,-1.126654,0.0266,True,True,-2.3970925,1.23e-08,True,True,-1.00481964,0.188,True,False,0.64125967,0.9997,False,False,3,2,4
CMTM3,0.9619815,0.0191,-0.8072148,3.63e-08,1.5596841,8.56e-16,-0.61355463,1.41e-12,False,,0.9619815,0.0191,True,True,-0.8072148,3.63e-08,True,True,-0.3671296,0.189,False,False,-0.23487142,0.9997,True,False,3,2,4
COL15A1,2.19890718,6.62e-07,-0.9013491,0.00534,-1.3335039,6.28e-29,-1.08431296,2.6899999999999997e-24,True,Collagens,0.4035553,0.261,True,False,-0.9013491,0.00534,True,True,-2.50898132,3.59e-05,True,True,-0.45565111,0.9997,True,False,4,2,4
COL1A1,1.75677827,1.68e-05,-2.106509,5.94e-14,-1.77332415,8.23e-27,-1.39555934,1.02e-11,True,Collagens,0.6781739,0.242,True,False,-2.106509,5.94e-14,True,True,-2.97815507,9.09e-05,True,True,-0.60954833,0.9997,True,False,4,2,4
COL1A2,2.65687138,1.2e-05,-1.2015118,2.41e-09,-1.05881,0.00561,-0.92280591,8.31e-09,True,Collagens,0.6281435,0.238,True,False,-1.2015118,2.41e-09,True,True,-2.07443711,9.32e-05,True,True,-0.58273053,0.9997,True,False,4,2,4
COL3A1,1.45801204,0.00078,-0.9811758,1.17e-09,-1.61665883,8.19e-25,-0.81357764,1.33e-07,True,Collagens,1.5780112,0.00236,True,True,-0.9811758,1.17e-09,True,True,-2.03371458,0.000146,True,True,-0.22449897,0.9997,True,False,4,3,4
COL6A3,2.0573452,0.000224,-0.6273797,8.54e-06,-1.0107487,8.26e-17,-1.51928913,5.23e-41,True,Collagens,1.3252779,0.0336,True,True,-0.6273797,8.54e-06,True,True,-0.798875,0.0316,True,True,-0.73765658,0.9982,True,False,4,3,4
COLEC11,-0.6936599,0.0157,-0.709783,1.3e-05,-2.0706525,2.9e-06,-0.86930272,0.000534,True,ECM-affiliated Proteins,0.0304824,0.971,False,False,-0.709783,1.3e-05,True,True,-0.61791356,0.0129,True,True,-0.51168378,0.4785,True,False,3,2,4
CORO1A,1.21135591,8.47e-05,-1.3407594,2.71e-08,1.4075773,4.64e-11,-0.64369084,1.73e-08,False,,-0.1393096,0.893,False,False,-1.3407594,2.71e-08,True,True,0.57281323,0.234,True,False,0.21691728,0.9997,False,False,2,1,4
CPE,1.21484343,5.71e-05,-0.73739111,0.0014804,-0.72755826,3.39e-10,-0.7246665,0.000152,False,,0.5877473,0.523,True,False,-0.2680059,0.252,True,False,-1.05112867,0.000965,True,True,-0.28667753,0.9997,True,False,4,1,4
CSF2RB,0.8523944,0.00266,-0.8664777,2.03e-06,0.8760205,5.3e-08,-0.59754227,3.09e-09,False,,0.2208145,0.636,True,False,-0.8664777,2.03e-06,True,True,0.29727565,0.46,True,False,-0.03275553,0.9997,True,False,4,1,4
CYBB,1.5594541,1.92e-07,-0.7134118,0.000177,-1.0912355,2.85e-08,-1.3484662,4.88e-22,False,,1.3380133,0.0834,True,False,-0.7134118,0.000177,True,True,0.19057753,0.157,False,False,-0.04565822,0.9997,True,False,3,1,4
CYP3A7,-1.10357721,0.000812,-2.27076228,0.0001936,2.2403525,5.54e-06,-1.5246944,0.0235,False,,,,,,-0.0472244,0.89,True,False,,,,,0.05834797,0.9997,False,False,1,0,2
DAPK3,0.843,0.0217,-1.0268603,1e-06,0.9033582,5.04e-13,-1.81076,9.41e-06,False,,0.3291533,0.329,True,False,-1.0268603,1e-06,True,True,0.18344181,0.0593,True,False,0.02644311,0.9997,False,False,3,1,4
DOC2B,1.32,0.0466,-0.5865065,0.0134,1.2948464,1.91e-14,-0.64089482,4.4e-11,False,,0.2862367,0.767,True,False,-0.5865065,0.0134,True,True,-0.11262352,0.5,False,False,-0.02603992,0.9997,True,False,3,1,4
DOK2,0.629041,3.02e-05,-1.0916422,6.26e-07,0.8270873,1.28e-06,-0.75055613,1.27e-10,False,,0.3620747,0.304,True,False,-1.0916422,6.26e-07,True,True,-0.34790236,0.333,False,False,0.11579681,0.9997,False,False,2,1,4
DUSP1,-1.9691702,2.51e-09,-1.283514,5.17e-05,0.82535854,3.54e-09,-0.7249346,0.01,False,,-1.8335536,5.91e-07,True,True,-1.283514,5.17e-05,True,True,2.20805813,0.00609,True,True,0.03639614,0.9997,False,False,3,3,4
DYRK1B,0.7078553,0.00237,-0.6494766,1.17e-05,0.6484986,2.96e-10,-1.1071988,0.0475,False,,0.7078553,0.00237,True,True,-0.6494766,1.17e-05,True,True,-0.24996726,0.181,False,False,0.05189664,0.9997,False,False,2,2,4
EMP3,1.19751633,1.79e-08,-0.9605345,1.13e-08,1.6205327,9e-13,-1.2672662,0.00011,False,,1.4218936,0.00905,True,True,-0.9605345,1.13e-08,True,True,-0.39234267,0.205,False,False,-0.07453806,0.9997,True,False,3,2,4
