gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category,kidney_val_logFC,kidney_val_adj_p_value,kidney_validated,kidney_validated_sig,liver_val_logFC,liver_val_adj_p_value,liver_validated,liver_validated_sig,lung_val_logFC,lung_val_adj_p_value,lung_validated,lung_validated_sig,skin_val_logFC,skin_val_adj_p_value,skin_validated,skin_validated_sig,n_organs_validated,n_organs_validated_sig,n_organs_found_in_val
TNFRSF21,-0.7112826,9.77e-05,-0.7442402,1.26e-07,-0.72223197,2.02e-20,-0.61979715,2.31e-13,False,,-0.1513743,0.734,True,False,-0.7442402,1.26e-07,True,True,-1.23969128,0.0037,True,True,-0.21799472,0.9997,True,False,4,2,4
TGM2,1.54,0.000382,-0.8157574,0.000356,1.3318364,7.98e-13,-2.41498901,2.2e-25,True,ECM Regulators,1.6019056,0.0114,True,True,-0.8157574,0.000356,True,True,0.24041962,0.0923,True,False,-0.66880461,0.9845,True,False,4,2,4
LRRC32,2.17,3.91e-06,-0.8327578,3.28e-06,1.0055108,1.65e-21,-1.410507,6.09e-26,False,,0.9257575,0.0543,True,False,-0.8327578,3.28e-06,True,True,1.3479099,0.00333,True,True,-0.94743131,0.9997,True,False,4,2,4
LYZ,2.79007982,2.16e-06,-1.3546337,9.44e-10,0.6459636,0.000109,-0.98360315,1.28e-09,False,,2.4693027,0.0179,True,True,-1.3546337,9.44e-10,True,True,0.28046044,0.787,True,False,-0.37295683,0.9997,True,False,4,2,4
GPR4,1.91,1.66e-06,-0.6799518,0.000995,1.18569767,3.46e-26,-1.07927336,4e-12,False,,0.413955,0.385,True,False,-0.6799518,0.000995,True,True,1.4517414,0.000223,True,True,-0.25357322,0.9997,True,False,4,2,4
GGT5,0.83980963,0.00185,-1.1650169,2.81e-08,-0.7086182,5.82e-05,-0.97769839,4.81e-15,False,,0.5276891,0.165,True,False,-1.1650169,2.81e-08,True,True,-0.00463567,0.992,True,False,-0.18325822,0.9997,True,False,4,1,4
ACVRL1,1.11,0.00238,-0.6962237,0.000663,1.08757686,4.87e-26,-0.8758795,2.86e-05,False,,0.2303202,0.57,True,False,-0.6962237,0.000663,True,True,0.80811233,0.18,True,False,-0.62945217,0.9997,True,False,4,1,4
FBN1,0.98766503,9.93e-06,-0.6351137,5.07e-05,-2.3309555,3.66e-14,-0.73902208,8.59e-09,True,ECM Glycoproteins,0.5982605,0.375,True,False,-0.6351137,5.07e-05,True,True,-0.29129461,0.339,True,False,-0.35676811,0.9997,True,False,4,1,4
FASN,0.82,0.0179,-1.0255399,6.37e-05,1.61349847,1.8599999999999997e-30,1.2587847,0.027,False,,0.1958615,0.618,True,False,-1.0255399,6.37e-05,True,True,0.9097373,0.0675,True,False,0.01486042,0.9997,True,False,4,1,4
CSF2RB,0.8523944,0.00266,-0.8664777,2.03e-06,0.8760205,5.3e-08,-0.59754227,3.09e-09,False,,0.2208145,0.636,True,False,-0.8664777,2.03e-06,True,True,0.29727565,0.46,True,False,-0.03275553,0.9997,True,False,4,1,4
CPE,1.21484343,5.71e-05,-0.73739111,0.0014804,-0.72755826,3.39e-10,-0.7246665,0.000152,False,,0.5877473,0.523,True,False,-0.2680059,0.252,True,False,-1.05112867,0.000965,True,True,-0.28667753,0.9997,True,False,4,1,4
ALOX5AP,0.7558053,0.00954,-0.8548185,1.25e-05,2.1277095,8.21e-15,-0.71136016,2.93e-08,False,,0.6550931,0.336,True,False,-0.8548185,1.25e-05,True,True,0.12905164,0.83,True,False,-0.00367622,0.9997,True,False,4,1,4
CCL19,1.6645841,0.00232,-1.2630981,0.000138,-3.520365,1.89e-13,-1.50947281,1.74e-19,True,Secreted Factors,1.5382663,0.161,True,False,-1.2630981,0.000138,True,True,-1.22533087,0.119,True,False,-0.19554547,0.9997,True,False,4,1,4
CD93,0.60098119,0.00314,-0.7650483,1.84e-05,1.1271095,1.75e-12,-1.22708091,3.87e-39,False,,0.2084869,0.615,True,False,-0.7650483,1.84e-05,True,True,0.34368,0.296,True,False,-0.25394261,0.9997,True,False,4,1,4
NCF4,0.88533208,0.000765,-1.0160246,7.78e-08,0.68016625,1.75e-18,-0.76583219,8.97e-13,False,,0.4239961,0.431,True,False,-1.0160246,7.78e-08,True,True,0.41181813,0.314,True,False,-0.16055678,0.9997,True,False,4,1,4
LUM,1.3170638,0.00778,-0.993668,0.00011,-0.94466129,4.8800000000000004e-21,-1.81325366,1.98e-22,True,Proteoglycans,0.3419248,0.674,True,False,-0.993668,0.00011,True,True,-0.32397874,0.143,True,False,-1.13995322,0.9997,True,False,4,1,4
LPL,-1.3762234,4.7e-05,-1.9647618,1.12e-07,0.7899801,3.36e-10,-1.93654267,1.56e-14,False,,-0.7188251,0.197,True,False,-1.9647618,1.12e-07,True,True,0.08732246,0.896,True,False,-0.76332244,0.9997,True,False,4,1,4
LTF,3.285713,3.1e-07,-0.6727907,0.0103,-2.0040382,0.000195,-2.54049199,1.12e-11,False,,1.1043741,0.496,True,False,-0.6727907,0.0103,True,True,-0.49378841,0.563,True,False,-0.30222261,0.9997,True,False,4,1,4
LILRB2,1.01563747,2.66e-06,-0.7082261,6.95e-05,0.67781082,2.48e-14,-1.01724562,4.71e-12,False,,0.4138943,0.474,True,False,-0.7082261,6.95e-05,True,True,0.40403661,0.165,True,False,-0.39620483,0.7081,True,False,4,1,4
HDAC7,1.06,0.00142,-0.7521225,8.27e-08,0.8662077,2.03e-16,-0.6370295,0.00232,False,,0.3061373,0.485,True,False,-0.7521225,8.27e-08,True,True,0.05139399,0.735,True,False,-0.12372678,0.9997,True,False,4,1,4
HS3ST2,0.64850567,0.0124,-1.2305094,5.78e-05,-1.9559329,0.005876,-0.6992861,0.00157,False,,0.0715588,0.933,True,False,-1.2305094,5.78e-05,True,True,-0.40566352,0.383,True,False,-0.19569853,0.9997,True,False,4,1,4
LCN2,1.0420901,0.00746,-0.9750636,0.00277,-0.86473163,2.42e-07,-1.0299168,0.00872,False,,1.9468512,0.137,True,False,-0.9750636,0.00277,True,True,-1.35787365,0.127,True,False,-0.29652761,0.9997,True,False,4,1,4
SIGLEC9,1.39,0.0103,-0.7431776,4.5e-08,0.64950286,3.75e-14,-1.14703805,8.7e-15,False,,0.178584,0.767,True,False,-0.7431776,4.5e-08,True,True,0.15550758,0.662,True,False,-0.17793714,0.9997,True,False,4,1,4
ROBO4,1.17,0.00257,-0.6791721,0.000215,0.73041358,3.98e-13,-0.73154399,1.11e-11,False,,0.5872858,0.154,True,False,-0.6791721,0.000215,True,True,0.43324583,0.402,True,False,-0.20657,0.9997,True,False,4,1,4
PLXND1,1.37,0.00199,-0.7177362,9.19e-06,1.1103905,8.11e-12,-0.6868433,3.78e-12,True,ECM-affiliated Proteins,0.1940437,0.719,True,False,-0.7177362,9.19e-06,True,True,0.13920303,0.292,True,False,-0.29450506,0.9997,True,False,4,1,4
PRELP,1.06774475,4.46e-06,-0.6161803,0.000706,0.70281907,1.43e-12,-0.72140205,1.72e-06,True,Proteoglycans,0.9666445,0.0623,True,False,-0.6161803,0.000706,True,True,1.02292522,0.0694,True,False,-0.35397486,0.9997,True,False,4,1,4
PLEKHG2,1.1,0.0106,-0.6704431,3.67e-06,0.6894005,1.46e-07,-0.70172354,1.35e-10,False,,0.0390888,0.943,True,False,-0.6704431,3.67e-06,True,True,0.14226047,0.299,True,False,-0.06373664,0.9997,True,False,4,1,4
TMEM200A,0.809,0.0492,-1.1824613,0.000159,-0.83668,0.000809,-0.61569894,1.16e-12,False,,0.2317135,0.567,True,False,-1.1824613,0.000159,True,True,-0.30088734,0.489,True,False,-0.01679261,0.9997,True,False,4,1,4
TNFRSF1B,1.27405175,2.24e-06,-0.7801961,3.6e-07,0.9285105,1.76e-10,-0.76753364,6.44e-17,False,,0.4719963,0.183,True,False,-0.7801961,3.6e-07,True,True,0.3119874,0.16,True,False,-0.00333717,0.9997,True,False,4,1,4
VSIG4,1.69633573,8.29e-06,-0.6950719,0.00427,0.89669186,9.32e-13,-1.42827665,1.2499999999999999e-23,False,,0.383826,0.646,True,False,-0.6950719,0.00427,True,True,0.16570397,0.797,True,False,-0.49315236,0.9997,True,False,4,1,4
