ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1659800	0.9997	0.90337394	0.122107	-5.075	0.02365906	148539885	BCL11A	B-cell CLL/lymphoma 11A
ILMN_3230962	0.9997	0.90354251	0.1218929	-5.075	0.01686464	NA		
ILMN_1653319	0.9997	0.90356044	-0.1218701	-5.075	-0.02283814	193083133	MC1R	melanocortin 1 receptor
ILMN_1813427	0.9997	0.90357492	-0.1218517	-5.075	-0.01774589	NA		
ILMN_2273595	0.9997	0.90357759	0.1218484	-5.075	0.01581303	51477720	TEX11	testis expressed 11
ILMN_1717485	0.9997	0.90358422	0.1218399	-5.075	0.01448622	NA		
ILMN_3296994	0.9997	0.90361633	0.1217991	-5.075	0.04597525	NA		
ILMN_1776105	0.9997	0.90362486	0.1217883	-5.075	0.02155856	46249387	PSPH	phosphoserine phosphatase
ILMN_1732187	0.9997	0.90367165	-0.1217289	-5.075	-0.01486581	746816029	TMEM143	transmembrane protein 143
ILMN_1791766	0.9997	0.903686	-0.1217107	-5.075	-0.01456889	NA		
ILMN_1761797	0.9997	0.90369083	0.1217045	-5.075	0.02629028	371502129	CSTB	cystatin B
ILMN_1803507	0.9997	0.90370675	-0.1216843	-5.075	-0.0151435	NA		
ILMN_3279979	0.9997	0.90374802	-0.1216319	-5.075	-0.01815572	NA		
ILMN_1655195	0.9997	0.90375539	0.1216225	-5.075	0.03493175	NA		
ILMN_1667686	0.9997	0.90376422	0.1216113	-5.075	0.01717106	984290534	EXOC6	exocyst complex component 6
ILMN_1664608	0.9997	0.90376619	0.1216088	-5.075	0.01616792	NA		
ILMN_2395506	0.9997	0.90377672	0.1215954	-5.075	0.02205397	224967048	SOX6	SRY-box 6
ILMN_1745119	0.9997	0.9038268	0.1215318	-5.075	0.02104247	289063427	MPLKIP	M-phase specific PLK1 interacting protein
ILMN_1716676	0.9997	0.9038278	0.1215306	-5.075	0.01408269	NA		
ILMN_3267523	0.9997	0.9038331	0.1215238	-5.075	0.01328319	NA		
ILMN_3194118	0.9997	0.90384422	-0.1215097	-5.075	-0.01512808	937500779	ANKUB1	ankyrin repeat and ubiquitin domain containing 1
ILMN_1670093	0.9997	0.90386639	0.1214816	-5.075	0.01621778	440546417	HIST2H2BF	histone cluster 2, H2bf
ILMN_1705034	0.9997	0.90388319	-0.1214602	-5.075	-0.01804414	383792188	ATXN2L	ataxin 2 like
ILMN_3247983	0.9997	0.90389351	-0.1214471	-5.075	-0.02090328	NA		
ILMN_1660775	0.9997	0.90389522	-0.1214449	-5.075	-0.01254814	NA		
ILMN_1808457	0.9997	0.90391088	-0.121425	-5.075	-0.01686369	410651497	TBX18	T-box 18
ILMN_2085362	0.9997	0.90392445	-0.1214078	-5.075	-0.01749592	304361738	FUCA2	fucosidase, alpha-L- 2, plasma
ILMN_2305116	0.9997	0.90394381	-0.1213832	-5.075	-0.01340036	299473760	CTH	cystathionine gamma-lyase
ILMN_1682491	0.9997	0.90398104	0.1213359	-5.075	0.0167735	544710959	PRDM15	PR/SET domain 15
ILMN_1692433	0.9997	0.90398601	0.1213296	-5.075	0.01414864	341604755	RECQL5	RecQ like helicase 5
ILMN_1882764	0.9997	0.90401649	0.1212909	-5.075	0.01353742	NA		
ILMN_1811560	0.9997	0.90402191	0.121284	-5.075	0.01665947	NA		
ILMN_1873562	0.9997	0.90402578	0.1212791	-5.075	0.01192356	27833281		
ILMN_1842533	0.9997	0.90402641	-0.1212783	-5.075	-0.0161475	5912132	LOC105373460	uncharacterized LOC105373460
