GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
27106	1.94e-07	2.80e-09	0.145	-5.942946	-0.8615476	185.84	ARRDC2	arrestin domain containing 2
8555	1.94e-07	2.82e-09	0.0657	5.941824	0.390413	1976.1	CDC14B	cell division cycle 14B
343521	1.94e-07	2.86e-09	0.1538	-5.939681	-0.9134022	30.13	DYNLT4	dynein light chain Tctex-type 4
107984264	1.94e-07	2.83e-09	0.2467	5.940994	1.4656841	28.2	LOC107984264	
83706	1.94e-07	2.85e-09	0.1696	-5.940079	-1.0073332	87.62	FERMT3	FERM domain containing kindlin 3
55559	1.94e-07	2.85e-09	0.1394	-5.939979	-0.8280104	64.73	HAUS7	HAUS augmin like complex subunit 7
3339	1.97e-07	2.90e-09	0.198	-5.936899	-1.1756323	1142.54	HSPG2	heparan sulfate proteoglycan 2
3055	2.02e-07	2.98e-09	0.1504	-5.932719	-0.8922231	149.35	HCK	HCK proto-oncogene, Src family tyrosine kinase
2995	2.02e-07	2.99e-09	0.1367	-5.932006	-0.8107224	123.72	GYPC	glycophorin C (Gerbich blood group)
633	2.03e-07	3.01e-09	0.1558	-5.93092	-0.9240678	2038.6	BGN	biglycan
100506356	2.03e-07	3.03e-09	0.0895	5.930032	0.5308537	336.19	ARSD-AS1	ARSD antisense RNA 1
55743	2.06e-07	3.08e-09	0.0733	-5.92749	-0.4344139	246.97	CHFR	checkpoint with forkhead and ring finger domains
2539	2.12e-07	3.17e-09	0.1504	-5.922489	-0.8907333	49.54	G6PD	glucose-6-phosphate dehydrogenase
10158	2.12e-07	3.18e-09	0.3728	-5.921789	-2.2073846	14.57	PDZK1IP1	PDZK1 interacting protein 1
440712	2.12e-07	3.19e-09	0.2083	-5.921506	-1.2331941	21.69	RHEX	regulator of hemoglobinization and erythroid cell expansion
4174	2.14e-07	3.23e-09	0.1334	-5.919261	-0.7897036	146.47	MCM5	minichromosome maintenance complex component 5
7456	2.16e-07	3.27e-09	0.1108	-5.917253	-0.6553546	512.91	WIPF1	WAS/WASL interacting protein family member 1
79974	2.21e-07	3.36e-09	0.06	5.912826	0.3549244	3353.17	CPED1	cadherin like and PC-esterase domain containing 1
5724	2.21e-07	3.39e-09	0.152	-5.911614	-0.8986984	104.19	PTAFR	platelet activating factor receptor
5167	2.21e-07	3.39e-09	0.0772	5.911599	0.4561647	5833.44	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1
286336	2.24e-07	3.44e-09	0.1375	-5.909241	-0.8122774	63.03	FAM78A	family with sequence similarity 78 member A
6693	2.26e-07	3.47e-09	0.1115	-5.90748	-0.6586082	139.65	SPN	sialophorin
285550	2.29e-07	3.53e-09	0.0635	5.904885	0.3750118	548.87	FAM200B	family with sequence similarity 200 member B
81606	2.32e-07	3.60e-09	0.1643	-5.901806	-0.969586	293.73	LBH	LBH regulator of WNT signaling pathway
3689	2.35e-07	3.64e-09	0.1885	-5.899701	-1.1120434	255.4	ITGB2	integrin subunit beta 2
9051	2.38e-07	3.71e-09	0.1776	-5.896775	-1.0474134	41.56	PSTPIP1	proline-serine-threonine phosphatase interacting protein 1
3576	2.39e-07	3.72e-09	0.39	-5.89597	-2.2996323	33.79	CXCL8	C-X-C motif chemokine ligand 8
2934	2.44e-07	3.82e-09	0.1701	-5.891727	-1.0023009	699.9	GSN	gelsolin
64429	2.44e-07	3.82e-09	0.0433	5.891907	0.2550387	924.32	ZDHHC6	zinc finger DHHC-type palmitoyltransferase 6
54795	2.45e-07	3.86e-09	0.1667	-5.890248	-0.9821922	77.76	TRPM4	transient receptor potential cation channel subfamily M member 4
3725	2.46e-07	3.88e-09	0.2795	-5.88913	-1.6458671	274.81	JUN	Jun proto-oncogene, AP-1 transcription factor subunit
7461	2.47e-07	3.91e-09	0.1858	-5.888013	-1.0942266	104.32	CLIP2	CAP-Gly domain containing linker protein 2
5154	2.51e-07	3.98e-09	0.2125	-5.884961	-1.2505209	75.66	PDGFA	platelet derived growth factor subunit A
55132	2.51e-07	4.01e-09	0.0705	5.883877	0.4148516	3065.25	LARP1B	La ribonucleoprotein 1B
3875	2.51e-07	4.02e-09	0.1491	-5.883474	-0.8773545	1952.37	KRT18	keratin 18
11314	2.51e-07	4.02e-09	0.1349	-5.883469	-0.7935227	133.73	CD300A	CD300a molecule
706	2.64e-07	4.23e-09	0.2533	-5.874773	-1.4878807	32.9	TSPO	translocator protein
4053	2.67e-07	4.30e-09	0.1888	-5.872373	-1.1084143	347.77	LTBP2	latent transforming growth factor beta binding protein 2
84433	2.69e-07	4.34e-09	0.1422	-5.870696	-0.8345705	59.62	CARD11	caspase recruitment domain family member 11
100500842	2.70e-07	4.37e-09	0.2829	-5.869594	-1.6605289	31.93	MIR3652	microRNA 3652
5330	2.73e-07	4.42e-09	0.1085	-5.867477	-0.6367385	316.05	PLCB2	phospholipase C beta 2
117247	2.76e-07	4.50e-09	0.1195	5.864855	0.700658	850.18	SLC16A10	solute carrier family 16 member 10
126308	2.77e-07	4.51e-09	0.1204	-5.864209	-0.7057846	144.07	MOB3A	MOB kinase activator 3A
6252	2.82e-07	4.60e-09	0.1167	-5.860961	-0.6840555	65.64	RTN1	reticulon 1
127435	2.87e-07	4.70e-09	0.2183	-5.857612	-1.2787394	146.7	PODN	podocan
2681	2.88e-07	4.72e-09	0.137	-5.856581	-0.8022011	103.86	GGTA1	glycoprotein alpha-galactosyltransferase 1 (inactive)
5269	2.88e-07	4.74e-09	0.0431	-5.855957	-0.2526823	638.7	SERPINB6	serpin family B member 6
339483	2.93e-07	4.84e-09	0.1261	-5.85262	-0.7380115	74.87	MTMR9LP	myotubularin related protein 9 like, pseudogene
30817	3.07e-07	5.08e-09	0.1061	-5.844613	-0.6202068	117.76	ADGRE2	adhesion G protein-coupled receptor E2
7450	3.08e-07	5.14e-09	0.2391	-5.842637	-1.3967071	431.91	VWF	von Willebrand factor
3503	3.08e-07	5.14e-09	0.2723	-5.842478	-1.590828	255.78	IGHG4	immunoglobulin heavy constant gamma 4 (G4m marker)
84557	3.08e-07	5.14e-09	0.2155	-5.842479	-1.259012	85.08	MAP1LC3A	microtubule associated protein 1 light chain 3 alpha
36	3.14e-07	5.26e-09	0.1117	5.838609	0.652362	17036.8	ACADSB	acyl-CoA dehydrogenase short/branched chain
10287	3.14e-07	5.26e-09	0.1624	-5.83875	-0.9483013	48.88	RGS19	regulator of G protein signaling 19
4774	3.37e-07	5.66e-09	0.0572	5.82642	0.3335609	6688.4	NFIA	nuclear factor I A
23078	3.40e-07	5.74e-09	0.0595	5.824213	0.3466846	3057.97	VWA8	von Willebrand factor A domain containing 8
9755	3.41e-07	5.76e-09	0.1549	-5.823485	-0.9018342	38.01	TBKBP1	TBK1 binding protein 1
89846	3.44e-07	5.84e-09	0.1466	-5.821352	-0.8533	81.45	FGD3	FYVE, RhoGEF and PH domain containing 3
3108	3.45e-07	5.87e-09	0.1367	-5.82037	-0.7958664	371.53	HLA-DMA	major histocompatibility complex, class II, DM alpha
9969	3.47e-07	5.91e-09	0.0668	5.819394	0.3888311	5968.68	MED13	mediator complex subunit 13
255130	3.50e-07	5.98e-09	0.2602	-5.817211	-1.5139001	16.33	IGFBP7-AS1	IGFBP7 antisense RNA 1
4289	3.53e-07	6.05e-09	0.0562	5.815391	0.3269724	4352.63	MKLN1	muskelin 1
10057	3.55e-07	6.09e-09	0.0666	-5.814204	-0.3874248	576.65	ABCC5	ATP binding cassette subfamily C member 5
64926	3.55e-07	6.12e-09	0.1641	-5.813541	-0.9537649	67.78	RASAL3	RAS protein activator like 3
1454	3.57e-07	6.16e-09	0.1063	-5.812233	-0.6178997	126.85	CSNK1E	casein kinase 1 epsilon
51542	3.58e-07	6.20e-09	0.0665	5.81138	0.3866838	1515.98	VPS54	VPS54 subunit of GARP complex
7133	3.60e-07	6.26e-09	0.1343	-5.809561	-0.7801961	422.53	TNFRSF1B	TNF receptor superfamily member 1B
54659	3.60e-07	6.25e-09	0.0928	5.809906	0.5394172	1376.17	UGT1A3	UDP glucuronosyltransferase family 1 member A3
440836	3.60e-07	6.28e-09	0.3039	-5.809164	-1.765528	23.87	ODF3B	outer dense fiber of sperm tails 3B
55856	3.62e-07	6.33e-09	0.0654	5.807839	0.3796754	1924.34	ACOT13	acyl-CoA thioesterase 13
7805	3.66e-07	6.41e-09	0.1723	-5.8056	-1.0001159	684	LAPTM5	lysosomal protein transmembrane 5
5778	3.66e-07	6.43e-09	0.132	-5.805122	-0.7661863	77.24	PTPN7	protein tyrosine phosphatase non-receptor type 7
27333	3.70e-07	6.54e-09	0.0474	5.802436	0.2749105	2418.95	GOLIM4	golgi integral membrane protein 4
83481	3.70e-07	6.53e-09	0.2254	-5.802706	-1.3081121	87.37	EPPK1	epiplakin 1
6548	3.71e-07	6.57e-09	0.1271	-5.801499	-0.7373212	82.77	SLC9A1	solute carrier family 9 member A1
2950	3.71e-07	6.59e-09	0.1929	-5.800984	-1.1192715	139.53	GSTP1	glutathione S-transferase pi 1
9170	3.71e-07	6.60e-09	0.1758	-5.80092	-1.0196212	20.26	LPAR2	lysophosphatidic acid receptor 2
4688	3.74e-07	6.68e-09	0.1291	-5.798882	-0.7483762	182.35	NCF2	neutrophil cytosolic factor 2
5342	3.79e-07	6.77e-09	0.0756	5.79661	0.4383365	4549.39	PLGLB2	plasminogen like B2
113791	3.89e-07	6.97e-09	0.1346	-5.791604	-0.7792948	176.64	PIK3IP1	phosphoinositide-3-kinase interacting protein 1
1186	3.91e-07	7.02e-09	0.1855	-5.79053	-1.0741688	257.58	CLCN7	chloride voltage-gated channel 7
152002	3.94e-07	7.09e-09	0.0704	-5.788763	-0.4076717	85.32	XXYLT1	xyloside xylosyltransferase 1
9874	3.96e-07	7.14e-09	0.0638	5.787497	0.3691886	2163.06	TLK1	tousled like kinase 1
6280	4.00e-07	7.23e-09	0.2804	-5.785448	-1.6223148	119.07	S100A9	S100 calcium binding protein A9
