ID	adj.P.Val	P.Value	t	B	logFC
25976_at	2.24e-14	8.77e-19	-10.7214776	31.49635	-2.1299302
439996_at	8.20e-14	6.41e-18	-10.3450532	29.63465	-2.4278419
10426_at	3.60e-13	4.22e-17	-9.988483	27.868	-1.7155231
6446_at	2.37e-12	3.70e-16	-9.5773263	25.83026	-1.4124735
7763_at	1.55e-11	3.03e-15	-9.1775956	23.85215	-1.2006158
767597_at	2.27e-11	5.32e-15	-9.0706691	23.32404	-1.5671052
677814_at	1.28e-10	3.51e-14	-8.7097723	21.54643	-1.7688073
57018_at	1.54e-10	4.82e-14	-8.6492428	21.24918	-1.8149263
8013_at	6.10e-10	2.15e-13	-8.3616617	19.84139	-1.6217889
407006_at	2.26e-09	8.83e-13	-8.0875231	18.50749	-2.6675613
6430_at	2.94e-09	1.26e-12	-8.0176116	18.1688	-0.9438033
3039_at	5.06e-09	2.37e-12	7.8949066	17.57595	4.262812
100302650_at	6.12e-09	3.13e-12	-7.8403362	17.31299	-2.1099413
2827_at	6.12e-09	3.35e-12	-7.8272718	17.2501	-1.7038837
3164_at	8.36e-09	4.90e-12	-7.7526385	16.89135	-1.9641408
24138_at	1.20e-08	7.51e-12	-7.6685226	16.48807	-1.1983937
3653_at	1.42e-08	9.46e-12	-7.6231246	16.27091	-1.734745
3043_at	1.51e-08	1.06e-11	7.600238	16.16157	3.6413911
85391_at	3.56e-08	2.67e-11	-7.4178143	15.29335	-2.5245745
22936_at	3.56e-08	2.79e-11	-7.4091294	15.25217	-1.1164521
1655_at	7.87e-08	6.57e-11	-7.23784	14.44304	-1.0802237
6928_at	7.87e-08	6.76e-11	7.2319016	14.41509	1.4501988
374462_at	7.98e-08	7.17e-11	-7.2201062	14.35961	-1.7618764
23461_at	1.70e-07	1.59e-10	-7.0592722	13.60609	-1.2216383
84275_at	2.06e-07	2.01e-10	-7.0119846	13.38565	-1.6346095
677847_at	2.10e-07	2.13e-10	-7.0002762	13.33115	-2.2151967
57140_at	2.19e-07	2.31e-10	6.9845331	13.25792	1.3105287
4493_at	2.38e-07	2.61e-10	-6.9598287	13.14312	-1.9158702
10608_at	2.97e-07	3.37e-10	6.9075485	12.90067	1.5015309
1768_at	3.29e-07	3.86e-10	-6.8797315	12.77194	-1.0314244
91694_at	3.43e-07	4.16e-10	-6.8645134	12.7016	-1.3184448
5519_at	3.45e-07	4.31e-10	-6.8571636	12.66764	-1.0539995
56005_at	4.43e-07	5.71e-10	6.7997189	12.40274	1.2526242
1843_at	5.91e-07	7.85e-10	-6.7344808	12.10293	-1.8335536
3475_at	6.82e-07	9.34e-10	-6.6988332	11.93958	-1.2445718
10891_at	6.90e-07	9.71e-10	-6.6906454	11.90211	-0.8767366
10370_at	7.29e-07	1.05e-09	6.673845	11.82528	1.0215032
64651_at	8.78e-07	1.30e-09	-6.6298309	11.62437	-1.1773193
26045_at	1.09e-06	1.66e-09	-6.5804426	11.39956	-1.3529307
3040_at	1.15e-06	1.80e-09	6.5631941	11.3212	2.9062137
10560_at	1.22e-06	1.95e-09	-6.5464566	11.24525	-1.0778609
101928141_at	1.35e-06	2.21e-09	-6.520139	11.12599	-1.4353845
2354_at	1.41e-06	2.37e-09	-6.5059062	11.06158	-1.3133463
9334_at	1.53e-06	2.63e-09	6.484445	10.96457	1.2408775
84858_at	1.62e-06	2.84e-09	6.4680955	10.89075	0.9579099
8321_at	1.64e-06	2.96e-09	6.4598508	10.85356	0.9608877
6322_at	2.16e-06	3.96e-09	-6.398356	10.57677	-1.3708814
101926962_at	2.24e-06	4.20e-09	-6.3860379	10.52147	-1.7005617
10171_at	2.60e-06	4.98e-09	-6.3502864	10.36121	-0.7606381
9302_at	2.70e-06	5.27e-09	-6.3385046	10.30849	-1.938956
11214_at	2.87e-06	5.71e-09	-6.321579	10.23282	-0.8834143
58190_at	3.11e-06	6.32e-09	6.3001062	10.13695	1.0160461
79735_at	3.23e-06	6.70e-09	6.2879257	10.08264	0.8583237
5033_at	4.73e-06	9.98e-09	-6.2033726	9.70689	-1.147213
10157_at	5.11e-06	1.10e-08	-6.1830909	9.61711	-1.4626541
5166_at	5.54e-06	1.21e-08	-6.1620733	9.52421	-2.2605996
641451_at	6.14e-06	1.37e-08	-6.1363455	9.41069	-0.8345052
85389_at	6.26e-06	1.42e-08	-6.1282754	9.37513	-2.5189526
408263_at	6.36e-06	1.47e-08	-6.1213467	9.34462	-1.5992139
55422_at	6.62e-06	1.55e-08	-6.1091411	9.2909	-0.8695134
284702_at	6.84e-06	1.63e-08	-6.0987063	9.24502	-1.7475097
100129195_at	7.74e-06	1.88e-08	6.068628	9.11297	0.9438371
