ID	adj.P.Val	P.Value	t	B	logFC
9987_at	9.07e-06	2.23e-08	-6.0311403	8.94883	-0.5992853
64061_at	1.08e-05	2.70e-08	-5.9901502	8.76992	-1.4619007
101927355_at	1.09e-05	2.76e-08	-5.9852907	8.74874	-1.0518406
124245_at	1.12e-05	2.88e-08	5.9762606	8.70943	0.9222511
101927884_at	1.26e-05	3.29e-08	-5.9473368	8.58368	-1.4582674
9295_at	1.37e-05	3.65e-08	-5.9250145	8.48684	-0.8748882
25826_at	1.37e-05	3.70e-08	-5.9220379	8.47394	-2.4421448
157638_at	1.75e-05	4.80e-08	5.8655914	8.22992	0.8265781
3949_at	2.09e-05	5.80e-08	-5.8241835	8.05166	-1.5421401
1831_at	2.09e-05	5.97e-08	-5.8179541	8.0249	-1.131706
100127888_at	2.09e-05	5.97e-08	-5.8178281	8.02436	-0.905889
27297_at	2.14e-05	6.18e-08	5.8102237	7.99171	0.8718893
125988_at	2.34e-05	6.87e-08	5.7872615	7.89326	0.7314802
9619_at	2.56e-05	7.60e-08	5.7648535	7.79737	1.7199746
55204_at	2.62e-05	7.88e-08	5.7571329	7.76438	0.6277926
693197_at	2.66e-05	8.12e-08	-5.7503992	7.73562	-3.2148633
114789_at	2.75e-05	8.48e-08	-5.7409231	7.69519	-1.1539733
9931_at	3.13e-05	9.85e-08	-5.7078134	7.55417	-0.6239973
3993_at	3.13e-05	9.98e-08	5.7048913	7.54174	1.0351482
2286_at	3.13e-05	1.00e-07	5.7038272	7.53722	0.4996679
100873917_at	3.40e-05	1.10e-07	-5.6828962	7.44832	-1.1377704
192668_at	3.50e-05	1.15e-07	5.6735278	7.40859	1.2040179
8743_at	3.67e-05	1.23e-07	5.6586077	7.34538	1.0318845
102724484_at	3.67e-05	1.24e-07	-5.6576718	7.34142	-1.5643721
692090_at	3.73e-05	1.27e-07	-5.6517886	7.31652	-1.7742724
6050_at	3.89e-05	1.34e-07	5.6397842	7.26576	0.919805
10625_at	4.03e-05	1.40e-07	-5.629225	7.22116	-0.6435965
100507062_at	4.03e-05	1.42e-07	-5.6269313	7.21148	-1.4425375
102724720_at	4.36e-05	1.55e-07	-5.6071759	7.12818	-1.4167814
81603_at	4.37e-05	1.57e-07	5.6042194	7.11572	0.8612964
26020_at	4.75e-05	1.73e-07	5.5831175	7.02694	1.1426162
642273_at	5.16e-05	1.91e-07	-5.5603185	6.93122	-1.2226176
55814_at	5.16e-05	1.92e-07	-5.5598595	6.92929	-0.8219275
130074_at	5.23e-05	1.96e-07	5.5543615	6.90624	0.7368947
54464_at	5.32e-05	2.02e-07	-5.5476505	6.87812	-0.6009983
145624_at	5.32e-05	2.05e-07	-5.5447677	6.86605	-1.608379
55315_at	5.32e-05	2.06e-07	5.5436374	6.86131	1.1349119
6101_at	5.34e-05	2.09e-07	-5.5406728	6.8489	-1.2519444
84162_at	5.67e-05	2.24e-07	-5.5249986	6.78334	-0.644824
54964_at	5.70e-05	2.28e-07	5.5206016	6.76497	0.9587595
9044_at	5.70e-05	2.31e-07	-5.5178017	6.75328	-0.9162813
6675_at	5.70e-05	2.32e-07	-5.5173438	6.75136	-0.8089584
677_at	5.72e-05	2.35e-07	5.5143626	6.73892	0.9580257
65986_at	6.75e-05	2.84e-07	-5.4711835	6.55904	-0.7229016
55620_at	6.75e-05	2.86e-07	5.4695425	6.55221	1.1368882
390059_at	6.75e-05	2.87e-07	-5.4694935	6.55201	-0.8920414
1105_at	6.75e-05	2.88e-07	-5.4686331	6.54844	-0.9438045
257218_at	7.09e-05	3.05e-07	-5.4553353	6.49321	-0.8498786
25957_at	7.42e-05	3.22e-07	-5.4429893	6.442	-1.0143077
8724_at	7.42e-05	3.25e-07	5.4411301	6.4343	0.4959076
6271_at	7.85e-05	3.47e-07	5.4262769	6.37279	1.4018925
5996_at	7.85e-05	3.50e-07	-5.4243995	6.36502	-1.6028796
58485_at	7.91e-05	3.55e-07	5.4207822	6.35006	0.6394164
101928461_at	8.43e-05	3.83e-07	-5.4040283	6.28083	-1.1629243
5144_at	8.43e-05	3.86e-07	-5.4021613	6.27313	-0.7539033
23235_at	9.09e-05	4.19e-07	-5.3833257	6.19546	-0.7958727
2983_at	9.70e-05	4.51e-07	5.3664436	6.12598	1.2227769
646329_at	9.84e-05	4.62e-07	-5.3612627	6.10468	-0.7546579
3156_at	1.01e-04	4.76e-07	-5.3543016	6.07608	-0.9943908
3181_at	1.03e-04	4.91e-07	-5.3471944	6.0469	-0.5125569
23399_at	1.07e-04	5.12e-07	5.33751	6.00718	0.5801551
54463_at	1.13e-04	5.47e-07	-5.3224137	5.94534	-1.1330127
64848_at	1.24e-04	6.05e-07	-5.2994897	5.85164	-0.7124738
10808_at	1.24e-04	6.09e-07	-5.2979582	5.84538	-0.7774931
406991_at	1.33e-04	6.72e-07	-5.2752154	5.75266	-2.557259
116828_at	1.33e-04	6.76e-07	-5.2739761	5.74762	-1.7657801
4947_at	1.33e-04	6.76e-07	5.273845	5.74708	0.7984806
92181_at	1.33e-04	6.78e-07	5.2732139	5.74451	0.6445095
7538_at	1.36e-04	6.95e-07	-5.267553	5.72148	-1.2445907
259292_at	1.39e-04	7.20e-07	-5.259546	5.68891	-1.1992181
266655_at	1.68e-04	8.75e-07	5.2145599	5.50651	0.8837512
23195_at	1.69e-04	8.90e-07	-5.2104279	5.4898	-0.7717079
9817_at	1.69e-04	8.93e-07	5.2098368	5.48741	0.8345483
23767_at	1.74e-04	9.23e-07	5.2020044	5.45576	1.0442607
26001_at	1.81e-04	9.67e-07	5.1912707	5.41244	0.6030466
57448_at	1.92e-04	1.04e-06	-5.1750084	5.3469	-0.5861932
645460_at	1.95e-04	1.06e-06	-5.1698288	5.32605	-1.7253196
58517_at	1.95e-04	1.07e-06	-5.1672895	5.31583	-0.756365
401014_at	1.95e-04	1.07e-06	-5.1669398	5.31443	-0.6769664
26118_at	2.02e-04	1.14e-06	-5.1536866	5.26115	-1.1594167
4616_at	2.02e-04	1.14e-06	-5.1535467	5.26059	-1.4041046
54806_at	2.02e-04	1.14e-06	-5.1527532	5.2574	-0.8051059
8701_at	2.02e-04	1.15e-06	-5.1516533	5.25299	-0.8176323
23466_at	2.09e-04	1.19e-06	5.1425938	5.21663	1.077366
10979_at	2.13e-04	1.22e-06	-5.1365345	5.19233	-0.5656404
58526_at	2.13e-04	1.23e-06	5.1345992	5.18457	0.9441579
101927217_at	2.26e-04	1.33e-06	-5.1179239	5.11781	-1.4582458
339874_at	2.26e-04	1.33e-06	-5.1174832	5.11604	-1.0762629
117283_at	2.29e-04	1.35e-06	-5.1133249	5.09942	-1.8514174
348262_at	2.38e-04	1.41e-06	5.10279	5.05733	0.9017311
26084_at	2.40e-04	1.44e-06	-5.0988416	5.04156	-0.8803393
284361_at	2.41e-04	1.45e-06	5.0962151	5.03108	0.8428414
140803_at	2.41e-04	1.46e-06	-5.0953726	5.02772	-2.0755674
170850_at	2.44e-04	1.49e-06	-5.0898619	5.00575	-0.8168802
378938_at	2.44e-04	1.50e-06	-5.0888426	5.00168	-0.7545094
55111_at	2.49e-04	1.54e-06	5.0832902	4.97956	1.1513655
65125_at	2.53e-04	1.58e-06	-5.0770219	4.95459	-0.8100367
407036_at	2.53e-04	1.60e-06	-5.0738411	4.94194	-1.2039151
253959_at	2.53e-04	1.60e-06	-5.0734987	4.94057	-0.667641
202299_at	2.53e-04	1.60e-06	-5.073352	4.93999	-2.149418
283131_at	2.56e-04	1.63e-06	-5.069185	4.92341	-1.350411
114803_at	2.58e-04	1.67e-06	-5.0641142	4.90325	-0.8541085
221584_at	2.58e-04	1.67e-06	-5.0638781	4.90231	-0.8111893
81545_at	2.58e-04	1.69e-06	-5.0610845	4.89121	-0.6315477
4515_at	2.58e-04	1.69e-06	-5.0605761	4.88919	-1.1483977
84059_at	2.58e-04	1.70e-06	-5.0599128	4.88656	-0.682972
9209_at	2.58e-04	1.71e-06	-5.0586961	4.88173	-0.5860939
7157_at	2.63e-04	1.76e-06	5.0517408	4.85411	1.165093
2050_at	2.63e-04	1.76e-06	5.0514562	4.85298	0.9825179
4150_at	2.71e-04	1.82e-06	5.0432393	4.82039	0.9031855
27099_at	2.74e-04	1.86e-06	-5.0388761	4.8031	-1.1183643
57494_at	2.77e-04	1.88e-06	-5.0351757	4.78844	-1.0184198
80144_at	3.00e-04	2.06e-06	-5.0147438	4.70761	-0.8208445
84852_at	3.04e-04	2.10e-06	-5.010118	4.68934	-0.616799
8499_at	3.04e-04	2.10e-06	-5.0092677	4.68598	-0.8586538
84460_at	3.07e-04	2.14e-06	-5.0055298	4.67123	-1.4656807
378805_at	3.50e-04	2.45e-06	-4.9732339	4.54403	-1.5398336
4125_at	3.62e-04	2.55e-06	4.9638975	4.50735	0.8963179
1577_at	3.91e-04	2.76e-06	-4.9443186	4.43057	-2.0213459
6811_at	3.94e-04	2.80e-06	4.9410997	4.41797	0.7622706
101927244_at	3.99e-04	2.85e-06	-4.9366986	4.40074	-1.5205007
100873983_at	4.19e-04	3.02e-06	-4.9235612	4.34938	-0.8554978
23710_at	4.20e-04	3.04e-06	-4.9218352	4.34264	-1.3629237
5364_at	4.24e-04	3.09e-06	4.9181562	4.32828	0.7217254
8473_at	4.38e-04	3.22e-06	-4.9081202	4.28912	-0.9371179
5862_at	4.38e-04	3.23e-06	4.9070677	4.28502	0.4919736
10975_at	4.38e-04	3.23e-06	4.9069929	4.28473	0.4977162
23564_at	4.52e-04	3.36e-06	4.8978962	4.24929	0.8210212
10567_at	4.53e-04	3.39e-06	4.8958117	4.24118	0.7573555
1647_at	4.53e-04	3.40e-06	-4.8946501	4.23665	-0.9124585
8503_at	4.56e-04	3.44e-06	4.8918465	4.22574	0.843395
10461_at	4.56e-04	3.46e-06	-4.8907435	4.22145	-0.7095519
10014_at	4.63e-04	3.53e-06	4.8857463	4.20202	1.1317304
767589_at	4.77e-04	3.65e-06	-4.8776961	4.17074	-0.9463364
1300_at	4.89e-04	3.77e-06	-4.8703481	4.14222	-1.1834114
49855_at	4.91e-04	3.80e-06	-4.8684181	4.13473	-0.6818387
149483_at	4.92e-04	3.83e-06	-4.8662747	4.12642	-1.0761351
29116_at	5.03e-04	3.93e-06	4.8598202	4.1014	0.7443551
79144_at	5.09e-04	4.00e-06	4.8558655	4.08608	1.2302841
55652_at	5.15e-04	4.07e-06	4.8517633	4.0702	1.0784329
23589_at	5.19e-04	4.12e-06	4.8485644	4.05782	1.0282966
23033_at	5.19e-04	4.16e-06	-4.8462448	4.04885	-0.6683347
541466_at	5.19e-04	4.16e-06	4.8462362	4.04882	0.9416507
10984_at	5.38e-04	4.34e-06	-4.8364145	4.01085	-1.4276774
6748_at	5.41e-04	4.39e-06	4.8333735	3.99911	0.5635892
7916_at	5.41e-04	4.39e-06	4.8331516	3.99825	0.7958079
3204_at	5.42e-04	4.43e-06	4.831489	3.99184	0.8342242
100507321_at	5.57e-04	4.57e-06	-4.8237699	3.96205	-1.4128209
1509_at	5.68e-04	4.68e-06	4.8179159	3.93949	0.9336024
26789_at	5.83e-04	4.86e-06	-4.8090086	3.90519	-2.0298616
100131117_at	5.83e-04	4.86e-06	-4.8087451	3.90417	-1.338144
6328_at	5.83e-04	4.89e-06	-4.8072843	3.89855	-1.845477
5411_at	5.83e-04	4.90e-06	-4.8067428	3.89647	-0.7127219
90632_at	5.98e-04	5.05e-06	-4.7994887	3.86857	-1.8788239
6079_at	6.11e-04	5.18e-06	-4.7933646	3.84504	-1.1112616
22877_at	6.12e-04	5.21e-06	4.7918881	3.83937	0.7483312
8835_at	6.64e-04	5.69e-06	-4.7707222	3.75821	-0.8364892
113452_at	6.80e-04	5.84e-06	4.7640646	3.73273	1.7426739
2150_at	6.84e-04	5.91e-06	4.7614734	3.72282	0.8084754
3399_at	6.94e-04	6.02e-06	4.7567761	3.70486	1.2495059
100505658_at	6.99e-04	6.10e-06	-4.753574	3.69262	-1.3084722
60487_at	6.99e-04	6.13e-06	-4.752402	3.68815	-1.0142469
493812_at	6.99e-04	6.15e-06	4.7516069	3.68511	1.1839352
10896_at	7.19e-04	6.35e-06	-4.7438298	3.65542	-1.4760265
199974_at	7.25e-04	6.43e-06	-4.740775	3.64377	-2.3595568
2733_at	7.32e-04	6.52e-06	4.7372074	3.63017	0.6300758
55789_at	7.39e-04	6.61e-06	-4.7339487	3.61775	-1.7726718
2353_at	7.61e-04	6.84e-06	-4.7255555	3.58579	-2.534868
4267_at	7.65e-04	6.91e-06	4.7231216	3.57653	0.9319437
1471_at	7.94e-04	7.20e-06	4.7130667	3.5383	0.6351194
84662_at	8.08e-04	7.36e-06	4.7076362	3.51768	0.9301711
54206_at	8.15e-04	7.45e-06	-4.7046688	3.50642	-2.2745604
5150_at	8.18e-04	7.54e-06	-4.7017298	3.49527	-1.1857119
64429_at	8.18e-04	7.57e-06	-4.7006888	3.49132	-0.5308912
1503_at	8.18e-04	7.58e-06	-4.7005746	3.49089	-1.1449757
1649_at	8.34e-04	7.76e-06	-4.6946455	3.46841	-0.8264589
54461_at	8.54e-04	8.00e-06	4.6873375	3.44073	0.9542193
49854_at	8.54e-04	8.02e-06	-4.686638	3.43808	-0.800049
677845_at	8.54e-04	8.05e-06	-4.6857024	3.43454	-2.1036017
150737_at	8.64e-04	8.20e-06	4.6812773	3.4178	1.0899879
54998_at	8.64e-04	8.21e-06	4.6808345	3.41612	0.4694375
677771_at	8.65e-04	8.28e-06	-4.6788241	3.40852	-2.0472961
28956_at	8.65e-04	8.28e-06	4.6786431	3.40784	0.7200528
25966_at	8.90e-04	8.56e-06	4.6705045	3.37708	0.8934041
51594_at	9.23e-04	8.94e-06	-4.6598784	3.33698	-0.4793661
101929095_at	9.23e-04	8.95e-06	-4.6595563	3.33577	-1.8549299
409_at	9.34e-04	9.09e-06	4.6557065	3.32125	0.8453266
987_at	9.39e-04	9.18e-06	-4.6534499	3.31275	-0.4917819
6376_at	9.49e-04	9.31e-06	4.649909	3.29941	1.1631265
57192_at	1.00e-03	9.86e-06	4.6357575	3.24618	0.7067117
8431_at	1.01e-03	9.97e-06	-4.6330156	3.23587	-0.9127285
1081_at	1.01e-03	1.00e-05	-4.6317791	3.23123	-1.515495
7738_at	1.03e-03	1.03e-05	-4.6249902	3.20574	-0.8838442
57819_at	1.03e-03	1.03e-05	4.6242812	3.20308	0.8862267
80205_at	1.04e-03	1.04e-05	-4.6218341	3.1939	-0.5167142
6332_at	1.04e-03	1.05e-05	-4.6203988	3.18852	-1.1731872
23135_at	1.04e-03	1.05e-05	4.6203259	3.18825	0.7839608
1968_at	1.04e-03	1.06e-05	4.6180826	3.17983	0.7479153
375519_at	1.05e-03	1.07e-05	-4.6152281	3.16914	-0.7222584
9958_at	1.06e-03	1.09e-05	-4.6114516	3.15499	-0.6281576
81575_at	1.06e-03	1.09e-05	-4.6109474	3.1531	-0.9436243
92799_at	1.06e-03	1.10e-05	4.6093062	3.14696	0.8432223
101928769_at	1.07e-03	1.10e-05	-4.6074499	3.14001	-0.7918473
92579_at	1.11e-03	1.15e-05	4.5973193	3.10212	0.6943865
157680_at	1.11e-03	1.16e-05	-4.5948943	3.09305	-0.600035
85440_at	1.11e-03	1.17e-05	-4.594142	3.09024	-0.5639584
5970_at	1.11e-03	1.17e-05	4.5934118	3.08752	0.802475
392_at	1.13e-03	1.19e-05	4.5891608	3.07164	0.8163326
100861519_at	1.13e-03	1.20e-05	-4.5867606	3.06268	-0.6288066
283624_at	1.13e-03	1.20e-05	-4.5865793	3.06201	-1.1229534
112616_at	1.13e-03	1.20e-05	4.5865119	3.06176	1.0381227
6502_at	1.20e-03	1.28e-05	4.5702259	3.00105	1.0017013
57187_at	1.20e-03	1.29e-05	-4.5687009	2.99538	-0.5236979
8878_at	1.24e-03	1.34e-05	4.5600995	2.96338	0.5963027
643036_at	1.24e-03	1.35e-05	-4.5583111	2.95674	-1.4713645
101927869_at	1.24e-03	1.35e-05	-4.5579966	2.95557	-0.6176215
391356_at	1.26e-03	1.38e-05	4.5524442	2.93494	0.6064092
23286_at	1.27e-03	1.39e-05	4.5496262	2.92448	0.6510806
26121_at	1.27e-03	1.40e-05	4.5484272	2.92003	0.6503371
90529_at	1.27e-03	1.40e-05	4.5477953	2.91769	0.8865519
11253_at	1.31e-03	1.45e-05	4.539184	2.88575	0.5671746
10162_at	1.31e-03	1.46e-05	4.5378586	2.88084	0.6224182
8087_at	1.31e-03	1.46e-05	-4.537242	2.87856	-0.5673304
102724799_at	1.31e-03	1.47e-05	-4.5369307	2.8774	-1.0019774
728655_at	1.31e-03	1.47e-05	-4.5369265	2.87739	-0.8679148
101929302_at	1.32e-03	1.48e-05	-4.5340652	2.86679	-1.2011011
6651_at	1.36e-03	1.54e-05	-4.5249063	2.8329	-0.6215789
2289_at	1.38e-03	1.57e-05	-4.5200955	2.81512	-1.9567606
23077_at	1.39e-03	1.58e-05	-4.5180976	2.80773	-0.5461934
9454_at	1.40e-03	1.60e-05	4.5143865	2.79403	1.0510351
51133_at	1.41e-03	1.61e-05	-4.5134111	2.79043	-0.5373589
5932_at	1.43e-03	1.64e-05	-4.5086909	2.77301	-0.7114573
574040_at	1.43e-03	1.65e-05	-4.5065159	2.76498	-1.2861309
89978_at	1.44e-03	1.66e-05	-4.5050507	2.75958	-0.8582687
9301_at	1.44e-03	1.68e-05	-4.5032528	2.75295	-0.809457
25941_at	1.44e-03	1.68e-05	4.5028062	2.75131	0.6460704
5803_at	1.46e-03	1.70e-05	-4.4993072	2.73841	-0.5987787
55626_at	1.46e-03	1.72e-05	4.4971238	2.73037	0.6967436
6574_at	1.46e-03	1.72e-05	-4.4962146	2.72702	-1.1153988
4548_at	1.46e-03	1.73e-05	-4.4958354	2.72563	-0.5989814
100507267_at	1.47e-03	1.74e-05	-4.4939908	2.71884	-1.6744457
196472_at	1.48e-03	1.75e-05	-4.4917262	2.7105	-0.7110099
26046_at	1.52e-03	1.81e-05	-4.4841033	2.68247	-0.5976235
23352_at	1.52e-03	1.82e-05	-4.4821037	2.67512	-0.4983197
10945_at	1.52e-03	1.83e-05	4.4812246	2.67189	0.5948785
9230_at	1.57e-03	1.89e-05	4.4728933	2.6413	0.7125672
972_at	1.57e-03	1.89e-05	4.4724099	2.63953	1.0476669
642006_at	1.57e-03	1.90e-05	-4.4713924	2.6358	-0.7868557
5151_at	1.57e-03	1.91e-05	-4.4700544	2.63089	-0.5415803
7783_at	1.57e-03	1.92e-05	-4.4691003	2.62739	-0.7510047
57608_at	1.58e-03	1.93e-05	4.4674846	2.62147	0.8856386
9584_at	1.58e-03	1.94e-05	-4.4658372	2.61543	-0.6351038
6223_at	1.60e-03	1.97e-05	4.4628656	2.60454	0.5136074
339883_at	1.63e-03	2.01e-05	-4.4573487	2.58433	-0.8957937
54658_at	1.63e-03	2.02e-05	-4.4562754	2.58041	-2.3565016
27183_at	1.64e-03	2.04e-05	4.4538995	2.57171	0.565181
22836_at	1.67e-03	2.09e-05	-4.4479351	2.5499	-1.1500721
388403_at	1.68e-03	2.11e-05	4.4454793	2.54093	0.7940689
3956_at	1.69e-03	2.12e-05	4.4439679	2.5354	1.5575722
8553_at	1.69e-03	2.13e-05	-4.4426183	2.53047	-0.5963298
23654_at	1.70e-03	2.14e-05	4.4409903	2.52453	0.5871283
474338_at	1.70e-03	2.16e-05	-4.4396253	2.51955	-1.4107467
442920_at	1.71e-03	2.17e-05	4.4373229	2.51114	1.2900193
23350_at	1.71e-03	2.18e-05	-4.4363448	2.50757	-0.4912997
100873770_at	1.72e-03	2.19e-05	-4.4351006	2.50303	-0.9318242
10025_at	1.79e-03	2.29e-05	4.4237598	2.4617	0.7122243
11282_at	1.81e-03	2.33e-05	4.4200824	2.44831	0.7554631
9300_at	1.81e-03	2.34e-05	-4.4183292	2.44193	-1.7444178
403150_at	1.81e-03	2.35e-05	-4.418114	2.44115	-0.7460524
22870_at	1.83e-03	2.38e-05	4.4145056	2.42802	0.696238
83638_at	1.84e-03	2.40e-05	4.4122223	2.41972	0.8194213
102724053_at	1.86e-03	2.42e-05	-4.4097904	2.41088	-0.7255263
6867_at	1.89e-03	2.47e-05	-4.404787	2.39271	-0.7666664
2018_at	1.90e-03	2.50e-05	4.4016613	2.38136	0.6703799
100996307_at	1.95e-03	2.57e-05	-4.3943488	2.35484	-0.6106152
203_at	1.96e-03	2.59e-05	4.392872	2.34949	0.6670189
100240735_at	1.96e-03	2.59e-05	4.3925089	2.34817	1.3912284
51366_at	1.97e-03	2.61e-05	-4.3906635	2.34148	-0.5378445
4489_at	1.98e-03	2.63e-05	-4.38856	2.33387	-2.4474744
56664_at	2.00e-03	2.67e-05	-4.3851181	2.3214	-1.3376048
220359_at	2.03e-03	2.73e-05	-4.3790078	2.2993	-0.7362995
10095_at	2.03e-03	2.73e-05	4.3789452	2.29907	1.581637
9147_at	2.03e-03	2.74e-05	-4.3785952	2.2978	-0.5006009
2982_at	2.03e-03	2.75e-05	4.3772838	2.29306	0.8959526
55729_at	2.04e-03	2.77e-05	4.3758554	2.2879	0.4553951
10423_at	2.04e-03	2.77e-05	4.3755804	2.28691	0.7075834
100616166_at	2.05e-03	2.80e-05	-4.3731267	2.27804	-1.2658819
4739_at	2.07e-03	2.83e-05	-4.3699273	2.26648	-0.7894888
100033804_at	2.07e-03	2.84e-05	-4.3694456	2.26474	-0.4874113
102724811_at	2.09e-03	2.87e-05	-4.3662457	2.25319	-0.8189822
467_at	2.11e-03	2.92e-05	-4.3625105	2.23972	-0.9759512
55697_at	2.12e-03	2.93e-05	4.3612059	2.23501	0.5388685
654319_at	2.12e-03	2.93e-05	-4.3607566	2.23339	-1.3822292
11082_at	2.13e-03	2.98e-05	-4.3566126	2.21845	-1.528023
135892_at	2.13e-03	2.99e-05	-4.3558893	2.21585	-1.2413967
79002_at	2.13e-03	2.99e-05	4.3558408	2.21567	0.456627
10668_at	2.13e-03	3.00e-05	4.355295	2.21371	0.7217426
100505716_at	2.13e-03	3.00e-05	-4.3548264	2.21202	-0.8583981
23041_at	2.16e-03	3.05e-05	-4.3509304	2.19799	-0.5538851
113829_at	2.18e-03	3.08e-05	4.3483431	2.18868	0.6482622
4820_at	2.30e-03	3.26e-05	-4.3339165	2.13682	-1.224886
390916_at	2.31e-03	3.29e-05	4.3316077	2.12853	0.5665827
5326_at	2.35e-03	3.35e-05	-4.3266003	2.11057	-0.767194
642587_at	2.35e-03	3.37e-05	-4.3253555	2.1061	-0.963603
1281_at	2.36e-03	3.39e-05	4.3233163	2.09879	1.5780112
56905_at	2.36e-03	3.40e-05	4.322792	2.09691	0.9410582
9149_at	2.37e-03	3.43e-05	4.3209521	2.09032	0.7078553
100302179_at	2.37e-03	3.43e-05	-4.3207619	2.08964	-1.3883812
100126784_at	2.37e-03	3.44e-05	-4.3199579	2.08676	-0.6677146
647286_at	2.37e-03	3.45e-05	-4.3193015	2.08441	-0.678906
977_at	2.39e-03	3.48e-05	4.3166569	2.07494	1.1958123
8899_at	2.39e-03	3.50e-05	-4.3155058	2.07082	-0.6441559
254531_at	2.42e-03	3.54e-05	4.3122107	2.05902	1.0415285
