ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
7938291	9.58e-28	2.88e-32	43.990228	63.1867	4.2553773	SNORA3A	small nucleolar RNA, H/ACA box 3A
8066262	5.18e-27	3.11e-31	41.048619	60.94842	4.2414495	SNORA71D	small nucleolar RNA, H/ACA box 71D
7895261	7.36e-26	7.42e-30	-37.423264	57.93036	-2.6541486		
7981996	7.36e-26	8.84e-30	37.232015	57.76236	3.0607486	SNORD116-24	small nucleolar RNA, C/D box 116-24
8034512	1.24e-25	1.86e-29	36.432061	57.04939	4.3335705	SNORD41	small nucleolar RNA, C/D box 41
8165705	1.26e-25	2.60e-29	-36.07477	56.72549	-3.5676918		
7920875	1.26e-25	2.66e-29	36.053036	56.70567	4.1306173	SCARNA4	small Cajal body-specific RNA 4
7960359	2.17e-25	6.01e-29	35.20101	55.9187	3.4630036		
7938329	2.17e-25	6.28e-29	35.155121	55.87574	3.4479291	SNORA23	small nucleolar RNA, H/ACA box 23
7895225	2.17e-25	6.53e-29	-35.11578	55.83886	-2.7179073		
7894638	3.19e-25	1.05e-28	-34.625822	55.37588	-2.9652245		
7981988	5.88e-25	2.12e-28	33.923651	54.70014	2.78791	SNORD116-20	small nucleolar RNA, C/D box 116-20
7896084	1.03e-24	4.00e-28	-33.295451	54.08301	-2.8219045		
8166442	1.50e-24	6.45e-28	-32.830812	53.61867	-2.2138968	FAM3C	family with sequence similarity 3 member C
7988838	1.50e-24	6.74e-28	-32.789676	53.57723	-2.0823659	LEO1	LEO1 homolog, Paf1/RNA polymerase II complex component
7895005	1.81e-24	9.03e-28	-32.508347	53.29237	-3.0622545		
8142540	1.81e-24	9.25e-28	-32.485027	53.26865	-2.2353405	FAM3C	family with sequence similarity 3 member C
7967420	2.39e-24	1.29e-27	-32.166513	52.94279	-2.4178873	SBNO1	strawberry notch homolog 1
8116297	2.39e-24	1.37e-27	-32.113724	52.88846	-2.1854836	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 (H)
7981976	2.83e-24	1.70e-27	31.907684	52.67553	2.6813959	SNORD116-14	small nucleolar RNA, C/D box 116-14
8108422	3.11e-24	1.96e-27	-31.773639	52.53623	-2.6367918		
8075657	4.01e-24	2.76e-27	31.45353	52.20113	3.0795345		
7902398	4.01e-24	2.77e-27	31.45048	52.19792	2.5127891	SNORD45A	small nucleolar RNA, C/D box 45A
8008132	4.40e-24	3.17e-27	31.327094	52.0678	3.0938286	ATP5G1	ATP synthase, H+ transporting, mitochondrial Fo complex subunit C1 (subunit 9)
7893439	5.98e-24	4.49e-27	-31.006303	51.72703	-2.5352009		
