Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Mitotic Spindle,-3.932500e-01,-1.565671e+00,2.105263e-03,1.085020e-02,1.210000e-01,94/198,25.57%,ABI1;CCDC88A;MAPRE1;ITSN1;ROCK1;MYO1E;ARFGEF1;CDC42BPA;PAFAH1B1;TRIO;PPP4R2;PKD2;NEDD9;SMC3;CNTRL;DLG1;NCK1;TOP2A;CENPF;PCM1;APC;LRPPRC;NET1;RASA1;SMC4;ANLN;KIF11;CLIP1;NIN;CTTN;STK38L;KIF3B;CEP250;PALLD;NF1;KIFAP3;BRCA2;TTK;TLK1;CEP57;FBXO5;RFC1;KNTC1;KIF4A;CKAP5;ALS2;FGD6;PDLIM5;HOOK3;MARCKS;ARHGAP5;CDK5RAP2;CENPJ;CENPE;CD2AP;CDK1;DLGAP5;SMC1A;CCNB2;LMNB1;RAB3GAP1;TUBGCP5;RABGAP1;KIF23;RACGAP1;CDC27;RANBP9;PCNT;PCGF5;ECT2;DOCK2;PIF1;TUBGCP3;SOS1;ALMS1;RALBP1;RAPGEF6;MYH10;KIF15;EPB41L2;CEP192;NEK2;BUB1;WASF1;BCL2L11;RASA2;KLC1;NOTCH2;NUMA1;NUSAP1;CLASP1;RICTOR;TPX2;KIF5B
prerank,Coagulation,-3.890462e-01,-1.504114e+00,4.415011e-03,2.192802e-02,2.500000e-01,33/136,15.33%,CFI;A2M;MMP7;F2RL2;PRSS23;COMP;SERPINE1;LGMN;HTRA1;ADAM9;MMP11;C1S;CAPN5;ARF4;PLEK;CTSO;CTSB;THBS1;CFH;MMP1;FBN1;C1QA;CTSK;C3;ACOX2;CTSV;LAMP2;CTSE;CRIP2;CFB;TIMP1;MMP3;MMP9
prerank,Notch Signaling,4.115061e-01,1.489701e+00,3.225806e-02,6.879520e-02,5.800000e-02,12/32,19.93%,FZD5;NOTCH1;ARRB1;KAT2A;APH1A;LFNG;PPARD;DLL1;PSENEN;HEYL;FZD1;RBX1
prerank,Reactive Oxygen Species Pathway,3.608656e-01,1.473239e+00,2.272727e-02,5.044981e-02,6.400000e-02,23/48,22.75%,PDLIM1;FES;PRDX6;PRDX2;NDUFA6;STK25;MGST1;TXNRD1;G6PD;MPO;MSRA;JUNB;ERCC2;PRDX1;CAT;MBP;SBNO2;LAMTOR5;TXNRD2;ATOX1;EGLN2;GLRX2;GLRX
prerank,Interferon Gamma Response,-3.670079e-01,-1.455017e+00,5.353319e-03,3.595866e-02,3.980000e-01,84/195,29.81%,VCAM1;SSPN;C1S;ST8SIA4;CD38;IFNAR2;SLAMF7;SAMHD1;SELP;CMKLR1;ARID5B;HIF1A;STAT1;IRF8;PNPT1;CFH;CXCL9;NMI;BANK1;EIF2AK2;PARP14;PTPN2;IL7;CCL2;JAK2;LGALS3BP;IL6;GBP6;IFIT2;CFB;PFKP;IRF4;CASP7;TDRD7;SOCS3;IFIH1;APOL6;LAP3;CASP8;CD86;MTHFD2;STAT2;STAT3;ICAM1;LATS2;ITGB7;FAS;DDX60;ARL4A;IL10RA;PDE4B;CD69;RAPGEF6;EIF4E3;ZBP1;BPGM;TXNIP;RNF213;PLSCR1;CD74;SAMD9L;RIPK2;RTP4;SP110;TNFAIP6;IFITM3;IFI44L;IDO1;MX2;CASP3;CXCL10;P2RY14;HLA-DQA1;XAF1;ADAR;SPPL2A;CASP4;IFITM2;EPSTI1;NFKB1;TNFAIP3;MX1;FGL2;NOD1
prerank,Hedgehog Signaling,-4.522075e-01,-1.446004e+00,3.846154e-02,3.665954e-02,4.350000e-01,7/36,9.75%,THY1;NRP2;SCG2;NRP1;VLDLR;RASA1;NF1
prerank,Unfolded Protein Response,-3.744836e-01,-1.404276e+00,1.841197e-02,5.425098e-02,5.860000e-01,42/108,25.57%,SSR1;HSP90B1;ALDH18A1;DNAJC3;EIF4A2;NFYB;NPM1;BANF1;SEC31A;PDIA6;ERO1A;HSPA5;XPOT;EIF2AK3;SDAD1;PSAT1;CCL2;HSPA9;EXOSC9;YWHAZ;CNOT6;SLC30A5;EXOC2;PAIP1;NOLC1;FKBP14;NFYA;DKC1;MTHFD2;XBP1;KDELR3;ASNS;NABP1;DCTN1;HYOU1;SPCS3;PARN;DNAJA4;EIF4E;DDX10;PREB;KIF5B
prerank,Androgen Response,-3.657381e-01,-1.344854e+00,4.959631e-02,9.670584e-02,8.170000e-01,32/97,18.86%,ALDH1A3;PMEPA1;ANKH;APPBP2;SEC24D;GNAI3;ARID5B;LMAN1;STEAP4;ITGAV;ACSL3;PGM3;STK39;CDC14B;RPS6KA3;NGLY1;INPP4B;MERTK;IQGAP2;XRCC5;B4GALT1;PDLIM5;KRT8;XRCC6;AKAP12;ADAMTS1;ZBTB10;BMPR1B;CDK6;NCOA4;ELL2;GSR
prerank,mTORC1 Signaling,-3.327705e-01,-1.331587e+00,2.795699e-02,1.047461e-01,8.610000e-01,60/194,19.79%,SYTL2;SSR1;HSP90B1;LGMN;PITPNB;TCEA1;PLOD2;RAB1A;ACTR2;ACTR3;CACYBP;HSPA4;ACSL3;ERO1A;HSPA5;GBE1;VLDLR;TBK1;ATP6V1D;CXCR4;UFM1;ADD3;PSAT1;USO1;UCHL5;HSPA9;M6PR;SKAP2;BCAT1;GCLC;NUP205;PSMD14;CTSC;PSMC6;COPS5;PSMA4;PSPH;GTF2H1;HSPD1;TFRC;ME1;PSMD12;RPN1;CCT6A;RPA1;IDH1;TES;SLC6A6;HPRT1;ATP2A2;CANX;MTHFD2;FKBP2;XBP1;MCM4;GSR;IGFBP5;PSMC2;ASNS;IMMT
prerank,TGF-beta Signaling,-3.801766e-01,-1.291886e+00,1.101377e-01,1.429673e-01,9.390000e-01,13/54,10.90%,SERPINE1;TGFBR1;PMEPA1;LTBP2;RAB31;SKIL;THBS1;BMPR1A;APC;HDAC1;MAP3K7;CTNNB1;ACVR1
