ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
219176_at	5.17e-01	3.27e-01	-1.0007621	-5.942766	-0.10153179	C2orf47	chromosome 2 open reading frame 47
219864_s_at	5.17e-01	3.27e-01	-1.0007279	-5.9428	-0.11681062	RCAN3	RCAN family member 3
233003_at	5.17e-01	3.27e-01	1.0007203	-5.942807	0.13617769		
1555180_at	5.17e-01	3.27e-01	1.0007046	-5.942823	0.10071342	LOC100132686	uncharacterized LOC100132686
1553039_a_at	5.17e-01	3.27e-01	1.0007001	-5.942827	0.09525671	ASB10	ankyrin repeat and SOCS box containing 10
211043_s_at	5.17e-01	3.27e-01	-1.0006907	-5.942836	-0.11234021	CLTB	clathrin light chain B
1562922_at	5.17e-01	3.27e-01	1.0006894	-5.942837	0.08000724	LOC101929133	uncharacterized LOC101929133
234415_x_at	5.17e-01	3.27e-01	1.0006585	-5.942867	0.1823445		
243984_at	5.17e-01	3.27e-01	1.0006491	-5.942877	0.08426114	SCRG1	stimulator of chondrogenesis 1
206812_at	5.17e-01	3.27e-01	1.0006464	-5.942879	0.10598458	ADRB3	adrenoceptor beta 3
215439_x_at	5.17e-01	3.27e-01	1.0005573	-5.942966	0.08819951		
1553321_a_at	5.17e-01	3.27e-01	1.0005207	-5.943002	0.21337362	SULT1C4	sulfotransferase family 1C member 4
211237_s_at	5.17e-01	3.27e-01	1.0004674	-5.943054	0.31814027	FGFR4	fibroblast growth factor receptor 4
212583_at	5.17e-01	3.27e-01	-1.0004336	-5.943087	-0.11548415	AQR	aquarius intron-binding spliceosomal factor
