ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
A_23_P44166	9.11e-16	2.22e-20	15.4340499	35.68672	1.2152125	DCXR	dicarbonyl and L-xylulose reductase
A_32_P23187	6.83e-15	3.81e-19	14.3780468	33.010302	0.920795		
A_23_P338534	6.83e-15	5.00e-19	14.2791035	32.752079	1.082675	HIF3A	hypoxia inducible factor 3 alpha subunit
A_32_P223985	9.46e-15	9.23e-19	14.0583829	32.171349	0.84416		
A_24_P643776	9.81e-15	1.20e-18	-13.9654226	31.924814	-3.1750425		
A_23_P100642	2.22e-14	3.25e-18	13.6118546	30.97649	3.9659425	PNMT	phenylethanolamine N-methyltransferase
A_23_P253701	6.53e-14	1.13e-17	13.1785998	29.791219	2.0032225		
A_23_P310560	6.53e-14	1.27e-17	13.1366196	29.675003	1.1995425	NUDT16	nudix hydrolase 16
A_23_P374339	1.81e-13	3.97e-17	12.7490951	28.590675	3.09585	HIF3A	hypoxia inducible factor 3 alpha subunit
A_23_P123853	1.89e-13	4.62e-17	-12.6976844	28.445257	-3.520365	CCL19	C-C motif chemokine ligand 19
A_23_P233	2.46e-13	7.42e-17	12.5382084	27.991826	1.78055	FMO5	flavin containing monooxygenase 5
A_23_P83857	2.46e-13	7.61e-17	12.5296692	27.967447	1.8298275	MAOA	monoamine oxidase A
A_23_P102113	2.46e-13	7.80e-17	-12.5213458	27.943674	-2.4650625	WNT10A	Wnt family member 10A
A_24_P12904	3.24e-13	1.12e-16	12.4002001	27.596567	0.876125	TMEM245	transmembrane protein 245
A_24_P208703	3.24e-13	1.18e-16	12.3820232	27.54431	1.7908325	FAM107A	family with sequence similarity 107 member A
A_24_P110799	3.56e-13	1.39e-16	12.3289051	27.391334	1.067035	LSS	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)
A_23_P146417	6.36e-13	2.64e-16	12.1167638	26.776445	1.2308325	TMEM245	transmembrane protein 245
A_23_P138289	1.00e-12	4.39e-16	11.9493926	26.286873	0.6913375	ITGA10	integrin subunit alpha 10
A_23_P81280	1.03e-12	4.76e-16	11.9230333	26.209412	2.1552825	BTNL9	butyrophilin like 9
A_23_P983	1.09e-12	5.32e-16	11.8867966	26.102766	0.7479475	PRDX6	peroxiredoxin 6
A_24_P71341	1.31e-12	6.70e-16	11.811734	25.88127	2.083315	FMO5	flavin containing monooxygenase 5
A_23_P161458	2.29e-12	1.23e-15	11.615633	25.298889	0.8285625	OLAH	oleoyl-ACP hydrolase
A_23_P142187	2.33e-12	1.31e-15	11.5953772	25.238427	0.9783875	HIF3A	hypoxia inducible factor 3 alpha subunit
A_23_P116235	2.50e-12	1.46e-15	-11.5587761	25.12903	-1.96007	MDK	midkine (neurite growth-promoting factor 2)
A_32_P187951	2.69e-12	1.64e-15	11.5218465	25.018461	3.043725	BTNL9	butyrophilin like 9
A_24_P225845	2.90e-12	1.84e-15	11.4859615	24.910838	1.184645	P2RY1	purinergic receptor P2Y1
A_23_P213745	3.38e-12	2.22e-15	-11.4244654	24.725986	-3.95837	CXCL14	C-X-C motif chemokine ligand 14
A_23_P251387	3.70e-12	2.52e-15	11.3840789	24.604301	1.020995	REPS2	RALBP1 associated Eps domain containing 2
