ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID
AFFX-r2-Bs-dap-3_at	3.44e-02	1.18e-02	-2.666905	-3.34421	-0.2512473	AFFX-r2-Bs-dap-3_at
81623_at	3.44e-02	1.18e-02	-2.666457	-3.345199	-1.4306389	81623_at
9414_at	3.44e-02	1.18e-02	2.665909	-3.346409	0.2280849	9414_at
2707_at	3.44e-02	1.18e-02	2.665495	-3.347322	0.2778964	2707_at
1455_at	3.45e-02	1.19e-02	-2.665225	-3.347917	-0.1852539	1455_at
796_at	3.46e-02	1.19e-02	-2.663261	-3.352251	-0.7746764	796_at
5557_at	3.47e-02	1.19e-02	2.66234	-3.35428	0.2191245	5557_at
920_at	3.47e-02	1.20e-02	-2.661902	-3.355247	-0.3686977	920_at
3043_at	3.47e-02	1.20e-02	-2.661537	-3.356051	-1.3957251	3043_at
22873_at	3.47e-02	1.20e-02	-2.661461	-3.356219	-0.3432193	22873_at
4355_at	3.47e-02	1.20e-02	-2.661203	-3.356788	-0.5789979	4355_at
3631_at	3.48e-02	1.20e-02	-2.660044	-3.359341	-0.4338889	3631_at
7342_at	3.48e-02	1.20e-02	2.659845	-3.35978	0.2030502	7342_at
28974_at	3.49e-02	1.20e-02	-2.659145	-3.361323	-0.2557049	28974_at
9367_at	3.49e-02	1.20e-02	2.658915	-3.36183	0.1679126	9367_at
10390_at	3.50e-02	1.21e-02	2.657531	-3.364876	0.2059499	10390_at
79776_at	3.51e-02	1.21e-02	2.656523	-3.367096	0.3564193	79776_at
677_at	3.51e-02	1.21e-02	-2.656365	-3.367444	-0.3250108	677_at
51008_at	3.51e-02	1.21e-02	-2.655724	-3.368855	-0.211561	51008_at
4864_at	3.51e-02	1.21e-02	2.655648	-3.369023	0.2242194	4864_at
6672_at	3.51e-02	1.21e-02	2.65549	-3.36937	0.18358	6672_at
441263_at	3.52e-02	1.22e-02	2.654608	-3.371312	1.1318016	441263_at
272_at	3.53e-02	1.22e-02	-2.654108	-3.372411	-0.2257722	272_at
3570_at	3.53e-02	1.22e-02	-2.653715	-3.373276	-0.453026	3570_at
79603_at	3.53e-02	1.22e-02	-2.653459	-3.373838	-0.5294408	79603_at
4312_at	3.53e-02	1.22e-02	2.65327	-3.374255	2.0690802	4312_at
55695_at	3.53e-02	1.22e-02	2.653165	-3.374485	0.2794632	55695_at
23007_at	3.53e-02	1.22e-02	-2.652802	-3.375284	-0.6410533	23007_at
91442_at	3.54e-02	1.22e-02	-2.65209	-3.376851	-0.3522325	91442_at
2687_at	3.54e-02	1.23e-02	-2.651573	-3.377988	-1.4507848	2687_at
54860_at	3.54e-02	1.23e-02	-2.651106	-3.379014	-1.457381	54860_at
29930_at	3.55e-02	1.23e-02	-2.650849	-3.379579	-1.073666	29930_at
9824_at	3.56e-02	1.23e-02	-2.64929	-3.383006	-0.7365457	9824_at
79969_at	3.56e-02	1.23e-02	-2.649208	-3.383187	-0.6053684	79969_at
4709_at	3.56e-02	1.24e-02	2.648402	-3.384957	0.2123505	4709_at
54332_at	3.57e-02	1.24e-02	-2.647945	-3.385961	-1.4996143	54332_at
