GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
8425	9.73e-08	1.97e-09	0.1847	-6.00	-1.11	211.9	LTBP4	latent transforming growth factor beta binding protein 4
84166	9.74e-08	1.98e-09	0.1261	-6.00	-7.57e-01	389.59	NLRC5	NLR family CARD domain containing 5
101927505	9.85e-08	2.00e-09	0.3684	-6.00	-2.21	32.91	LINC02348	long intergenic non-protein coding RNA 2348
137872	1.00e-07	2.05e-09	0.0833	5.99	4.99e-01	1420.2	ADHFE1	alcohol dehydrogenase iron containing 1
6515	1.00e-07	2.05e-09	0.2326	-5.99	-1.39	165.73	SLC2A3	solute carrier family 2 member 3
976	1.00e-07	2.04e-09	0.1596	-5.99	-9.57e-01	226.57	ADGRE5	adhesion G protein-coupled receptor E5
25825	1.00e-07	2.05e-09	0.1706	-5.99	-1.02	241.86	BACE2	beta-secretase 2
83706	1.00e-07	2.06e-09	0.1675	-5.99	-1.00	83.87	FERMT3	FERM domain containing kindlin 3
10243	1.02e-07	2.09e-09	0.0735	5.99	4.40e-01	1501.96	GPHN	gephyrin
1999	1.03e-07	2.13e-09	0.2395	-5.99	-1.43	323.31	ELF3	E74 like ETS transcription factor 3
653308	1.04e-07	2.14e-09	0.0902	5.99	5.40e-01	282.43	ASAH2B	N-acylsphingosine amidohydrolase 2B
57705	1.04e-07	2.16e-09	0.0992	-5.99	-5.94e-01	313.7	WDFY4	WDFY family member 4
83982	1.05e-07	2.18e-09	0.2004	-5.98	-1.20	20.41	IFI27L2	interferon alpha inducible protein 27 like 2
152002	1.06e-07	2.21e-09	0.0708	-5.98	-4.24e-01	84.58	XXYLT1	xyloside xylosyltransferase 1
10437	1.06e-07	2.20e-09	0.1695	-5.98	-1.01	460.37	IFI30	IFI30 lysosomal thiol reductase
23645	1.10e-07	2.30e-09	0.1935	-5.98	-1.16	210.65	PPP1R15A	protein phosphatase 1 regulatory subunit 15A
81030	1.10e-07	2.29e-09	0.1533	-5.98	-9.16e-01	29.16	ZBP1	Z-DNA binding protein 1
79734	1.10e-07	2.30e-09	0.1752	-5.98	-1.05	30.57	KCTD17	potassium channel tetramerization domain containing 17
9518	1.13e-07	2.37e-09	0.3955	-5.97	-2.36	29.84	GDF15	growth differentiation factor 15
101928230	1.13e-07	2.38e-09	0.1046	5.97	6.24e-01	123.49	LOC101928230	uncharacterized LOC101928230
10044	1.16e-07	2.44e-09	0.1641	-5.97	-9.79e-01	51.98	SH2D3C	SH2 domain containing 3C
2000	1.17e-07	2.48e-09	0.1086	-5.96	-6.47e-01	107.56	ELF4	E74 like ETS transcription factor 4
54453	1.22e-07	2.58e-09	0.0677	-5.96	-4.03e-01	557.12	RIN2	Ras and Rab interactor 2
6277	1.23e-07	2.61e-09	0.2029	-5.95	-1.21	195.67	S100A6	S100 calcium binding protein A6
23218	1.25e-07	2.66e-09	0.1365	-5.95	-8.13e-01	329.33	NBEAL2	neurobeachin like 2
5912	1.26e-07	2.70e-09	0.0845	-5.95	-5.03e-01	406	RAP2B	RAP2B, member of RAS oncogene family
10855	1.28e-07	2.75e-09	0.1664	-5.95	-9.89e-01	62.23	HPSE	heparanase
55558	1.29e-07	2.76e-09	0.1786	-5.95	-1.06	93.24	PLXNA3	plexin A3
23411	1.29e-07	2.77e-09	0.0639	5.94	3.80e-01	822.4	SIRT1	sirtuin 1
10914	1.31e-07	2.81e-09	0.0471	5.94	2.80e-01	3926.62	PAPOLA	poly(A) polymerase alpha
9780	1.31e-07	2.83e-09	0.187	-5.94	-1.11	371.12	PIEZO1	piezo type mechanosensitive ion channel component 1
54997	1.32e-07	2.86e-09	0.2634	-5.94	-1.56	23.06	TESC	tescalcin
962	1.36e-07	2.95e-09	0.1452	-5.93	-8.62e-01	142.88	CD48	CD48 molecule
152926	1.36e-07	2.96e-09	0.0968	5.93	5.74e-01	816.89	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K
9600	1.37e-07	2.99e-09	0.2177	-5.93	-1.29	91.99	PITPNM1	phosphatidylinositol transfer protein membrane associated 1
3071	1.37e-07	2.99e-09	0.1096	-5.93	-6.50e-01	700.47	NCKAP1L	NCK associated protein 1 like
80149	1.45e-07	3.17e-09	0.2578	-5.92	-1.53	67.04	ZC3H12A	zinc finger CCCH-type containing 12A
23078	1.45e-07	3.17e-09	0.0614	5.92	3.63e-01	3117.33	VWA8	von Willebrand factor A domain containing 8
81704	1.46e-07	3.21e-09	0.106	-5.92	-6.28e-01	860.23	DOCK8	dedicator of cytokinesis 8
5900	1.48e-07	3.26e-09	0.1769	-5.92	-1.05	178.37	RALGDS	ral guanine nucleotide dissociation stimulator
30849	1.49e-07	3.28e-09	0.0672	5.92	3.98e-01	1423.63	PIK3R4	phosphoinositide-3-kinase regulatory subunit 4
548645	1.49e-07	3.28e-09	0.0813	5.92	4.81e-01	907.99	DNAJC25	DnaJ heat shock protein family (Hsp40) member C25
25829	1.49e-07	3.29e-09	0.1464	-5.92	-8.66e-01	134.06	TMEM184B	transmembrane protein 184B
80228	1.52e-07	3.37e-09	0.1147	-5.91	-6.78e-01	84.3	ORAI2	ORAI calcium release-activated calcium modulator 2
114769	1.52e-07	3.38e-09	0.0955	-5.91	-5.64e-01	107.21	CARD16	caspase recruitment domain family member 16
51186	1.52e-07	3.38e-09	0.1428	-5.91	-8.44e-01	126.65	TCEAL9	transcription elongation factor A like 9
23584	1.54e-07	3.44e-09	0.2216	-5.91	-1.31	30.76	VSIG2	V-set and immunoglobulin domain containing 2
103695433	1.55e-07	3.46e-09	0.3157	5.91	1.87	15.96	LINC01322	long intergenic non-protein coding RNA 1322
1739	1.57e-07	3.52e-09	0.0506	5.91	2.99e-01	2219.43	DLG1	discs large MAGUK scaffold protein 1
4306	1.57e-07	3.54e-09	0.0691	5.90	4.08e-01	1214.6	NR3C2	nuclear receptor subfamily 3 group C member 2
55206	1.57e-07	3.53e-09	0.048	5.90	2.84e-01	2163.49	SBNO1	strawberry notch homolog 1
51155	1.57e-07	3.53e-09	0.1084	-5.90	-6.40e-01	91.08	JPT1	Jupiter microtubule associated homolog 1
731656	1.57e-07	3.55e-09	0.1523	-5.90	-8.99e-01	707.74	LINC01348	long intergenic non-protein coding RNA 1348
93587	1.58e-07	3.56e-09	0.08	5.90	4.72e-01	245.69	TRMT10A	tRNA methyltransferase 10A
3702	1.58e-07	3.57e-09	0.1639	-5.90	-9.68e-01	138.12	ITK	IL2 inducible T cell kinase
36	1.58e-07	3.58e-09	0.1196	5.90	7.06e-01	17259.02	ACADSB	acyl-CoA dehydrogenase short/branched chain
107986710	1.58e-07	3.60e-09	0.0793	-5.90	-4.68e-01	31.99	LOC107986710	uncharacterized LOC107986710
26235	1.60e-07	3.65e-09	0.0597	5.90	3.52e-01	2004.16	FBXL4	F-box and leucine rich repeat protein 4
3707	1.61e-07	3.67e-09	0.0934	-5.90	-5.51e-01	396.92	ITPKB	inositol-trisphosphate 3-kinase B
