ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
A_32_P197585	3.10e-02	1.42e-02	2.5222961	-3.6361489	0.9853145		
A_23_P167723	3.10e-02	1.42e-02	2.5221943	-3.6363818	1.1480002	FBXL21	F-box and leucine rich repeat protein 21 (gene/pseudogene)
A_23_P71855	3.10e-02	1.42e-02	-2.5221459	-3.6364925	-0.7870181	C5	complement component 5
A_23_P206998	3.10e-02	1.42e-02	-2.5219521	-3.6369358	-0.8469118	MTMR4	myotubularin related protein 4
A_32_P174285	3.10e-02	1.42e-02	2.5218844	-3.6370909	1.6048335		
A_32_P59606	3.10e-02	1.42e-02	-2.5217744	-3.6373425	-0.6690394		
A_24_P183150	3.11e-02	1.42e-02	-2.5213949	-3.6382106	-1.1876086	CXCL3	C-X-C motif chemokine ligand 3
A_24_P565908	3.11e-02	1.42e-02	2.5213345	-3.6383488	0.6872221		
A_24_P75157	3.11e-02	1.42e-02	-2.5212519	-3.6385377	-0.6526615	TCP10	t-complex 10
A_23_P171258	3.11e-02	1.42e-02	-2.5212274	-3.6385938	-0.5344125	ABCB7	ATP binding cassette subfamily B member 7
A_23_P411113	3.11e-02	1.42e-02	-2.521206	-3.6386427	-0.4640022	CNTNAP1	contactin associated protein 1
A_24_P23067	3.11e-02	1.42e-02	-2.5210357	-3.6390323	-1.074841	UBOX5	U-box domain containing 5
A_32_P156476	3.11e-02	1.42e-02	-2.5207743	-3.63963	-0.6144978		
A_23_P76557	3.11e-02	1.42e-02	-2.5207402	-3.6397081	-0.5221021	NDUFA12	NADH:ubiquinone oxidoreductase subunit A12
A_23_P346900	3.11e-02	1.42e-02	-2.520315	-3.6406805	-0.5430081	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2
A_23_P74205	3.11e-02	1.42e-02	-2.5202558	-3.6408158	-0.9255891		
A_23_P52298	3.12e-02	1.43e-02	2.5199736	-3.641461	0.4756393	NPM3	nucleophosmin/nucleoplasmin 3
A_23_P501805	3.12e-02	1.43e-02	-2.5199651	-3.6414804	-0.5789803	LIPT1	lipoyltransferase 1
A_23_P5778	3.12e-02	1.43e-02	2.5198581	-3.6417251	1.2046893	RAB17	RAB17, member RAS oncogene family
