ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID
4676_at	3.69e-01	4.77e-02	2.0217812	-4.15702	0.20883959	4676_at
51005_at	3.69e-01	4.78e-02	2.0213539	-4.15779	0.27089828	51005_at
25941_at	3.69e-01	4.78e-02	2.0212587	-4.15796	0.32025617	25941_at
9797_at	3.69e-01	4.78e-02	2.0210358	-4.15837	0.15479071	9797_at
3059_at	3.69e-01	4.79e-02	2.020252	-4.15979	0.95166424	3059_at
135138_at	3.69e-01	4.79e-02	-2.0202409	-4.15981	-0.36953012	135138_at
757_at	3.69e-01	4.79e-02	2.0199462	-4.16034	0.34674273	757_at
222487_at	3.69e-01	4.79e-02	-2.0198272	-4.16056	-0.20596026	222487_at
23426_at	3.69e-01	4.79e-02	-2.0198114	-4.16059	-0.18684615	23426_at
101060181_at	3.69e-01	4.80e-02	-2.0190878	-4.1619	-0.15945919	101060181_at
7317_at	3.69e-01	4.81e-02	2.0183766	-4.16319	0.27727662	7317_at
717_at	3.69e-01	4.81e-02	2.018227	-4.16346	0.73419176	717_at
8439_at	3.70e-01	4.82e-02	2.0171824	-4.16535	0.32650883	8439_at
11133_at	3.70e-01	4.84e-02	-2.0156675	-4.16809	-0.23184312	11133_at
56125_at	3.70e-01	4.84e-02	-2.0154789	-4.16843	-0.33927448	56125_at
101927792_at	3.70e-01	4.84e-02	-2.0154701	-4.16844	-0.1333146	101927792_at
11171_at	3.70e-01	4.84e-02	-2.0150326	-4.16923	-0.16549435	11171_at
23140_at	3.70e-01	4.85e-02	-2.01461	-4.17	-0.14636137	23140_at
51657_at	3.70e-01	4.85e-02	2.0145632	-4.17008	0.24928634	51657_at
22938_at	3.70e-01	4.85e-02	2.0142896	-4.17058	0.22579045	22938_at
25939_at	3.70e-01	4.86e-02	2.0135935	-4.17184	0.3680064	25939_at
4097_at	3.70e-01	4.86e-02	-2.0133247	-4.17232	-0.22926804	4097_at
3643_at	3.70e-01	4.86e-02	-2.0132846	-4.17239	-0.34831816	3643_at
6347_at	3.70e-01	4.86e-02	2.0131472	-4.17264	0.97826022	6347_at
23271_at	3.70e-01	4.87e-02	-2.0127326	-4.17339	-0.16161323	23271_at
23354_at	3.70e-01	4.87e-02	-2.0126072	-4.17362	-0.16301146	23354_at
84747_at	3.70e-01	4.87e-02	2.0124454	-4.17391	0.24132776	84747_at
8226_at	3.71e-01	4.88e-02	2.0116078	-4.17542	0.48776835	8226_at
2140_at	3.71e-01	4.88e-02	-2.0113435	-4.1759	-0.1893897	2140_at
6596_at	3.71e-01	4.88e-02	2.0113202	-4.17594	0.29727424	6596_at
6443_at	3.71e-01	4.89e-02	2.0108375	-4.17681	0.25372236	6443_at
4696_at	3.72e-01	4.90e-02	-2.0094737	-4.17927	-0.21341931	4696_at
9318_at	3.72e-01	4.91e-02	2.0091395	-4.17987	0.18556359	9318_at
6462_at	3.72e-01	4.91e-02	-2.0089518	-4.18021	-0.33504554	6462_at
26225_at	3.72e-01	4.91e-02	-2.008513	-4.181	-0.34728905	26225_at
4067_at	3.72e-01	4.93e-02	2.0071262	-4.1835	0.54862283	4067_at
23094_at	3.72e-01	4.93e-02	-2.0070763	-4.18359	-0.18547098	23094_at
29949_at	3.72e-01	4.93e-02	-2.0068476	-4.18401	-0.24605859	29949_at
5580_at	3.72e-01	4.93e-02	-2.0068021	-4.18409	-0.33056405	5580_at
10992_at	3.72e-01	4.94e-02	2.0059612	-4.1856	0.1704097	10992_at
23786_at	3.72e-01	4.94e-02	-2.005792	-4.18591	-0.27575561	23786_at
11238_at	3.72e-01	4.96e-02	-2.0045123	-4.18821	-0.21226295	11238_at
55296_at	3.72e-01	4.96e-02	2.0044482	-4.18833	0.28799019	55296_at
39_at	3.72e-01	4.96e-02	-2.0044319	-4.18835	-0.28935681	39_at
10712_at	3.72e-01	4.96e-02	-2.0043049	-4.18858	-0.17452134	10712_at
55634_at	3.72e-01	4.96e-02	2.004071	-4.189	0.35693357	55634_at
9141_at	3.72e-01	4.96e-02	2.0039794	-4.18917	0.4760623	9141_at
10599_at	3.72e-01	4.97e-02	-2.0038535	-4.1894	-0.17710761	10599_at
7329_at	3.72e-01	4.97e-02	2.0036765	-4.18971	0.21751548	7329_at
80086_at	3.72e-01	4.97e-02	2.0034827	-4.19006	0.34553676	80086_at
5277_at	3.73e-01	4.98e-02	-2.002325	-4.19214	-0.20981374	5277_at
27122_at	3.73e-01	4.99e-02	2.001621	-4.19341	0.49955675	27122_at
29071_at	3.73e-01	4.99e-02	2.0015771	-4.19349	0.317918	29071_at
2762_at	3.74e-01	5.00e-02	2.0008107	-4.19487	0.30078903	2762_at
23052_at	3.74e-01	5.00e-02	2.0004532	-4.19551	0.34853771	23052_at
259173_at	3.74e-01	5.01e-02	-2.0000733	-4.19619	-0.30733302	259173_at
961_at	3.74e-01	5.01e-02	1.9997388	-4.19679	0.41768783	961_at
80173_at	3.75e-01	5.02e-02	1.9984827	-4.19905	0.15967549	80173_at
8803_at	3.75e-01	5.03e-02	-1.9980081	-4.1999	-0.37496015	8803_at
10223_at	3.75e-01	5.03e-02	-1.9976332	-4.20057	-0.29195873	10223_at
4361_at	3.76e-01	5.05e-02	1.9963129	-4.20294	0.20853148	4361_at
84658_at	3.76e-01	5.05e-02	-1.9960901	-4.20334	-0.2132214	84658_at
1965_at	3.76e-01	5.06e-02	-1.9955216	-4.20436	-0.15596329	1965_at
23064_at	3.76e-01	5.06e-02	1.9950745	-4.20516	0.1938613	23064_at
1556_at	3.76e-01	5.07e-02	-1.9944235	-4.20633	-0.30785072	1556_at
64927_at	3.76e-01	5.07e-02	1.9942149	-4.2067	0.19471929	64927_at
51185_at	3.76e-01	5.07e-02	1.9941721	-4.20678	0.24709348	51185_at
440387_at	3.76e-01	5.07e-02	-1.9941472	-4.20682	-0.29576702	440387_at
3669_at	3.76e-01	5.07e-02	1.9940955	-4.20691	0.59305145	3669_at
51614_at	3.76e-01	5.08e-02	1.9939667	-4.20714	0.20376965	51614_at
29108_at	3.76e-01	5.08e-02	1.9933972	-4.20816	0.82944221	29108_at
6329_at	3.76e-01	5.09e-02	-1.9925111	-4.20975	-0.23902156	6329_at
10576_at	3.76e-01	5.10e-02	1.9920047	-4.21066	0.24259777	10576_at
301_at	3.76e-01	5.10e-02	1.9919142	-4.21082	1.07267433	301_at
