ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID
7827_at	2.99e-13	2.48e-17	-19.359626	28.36092	-3.5073942	NPHS2 podocin
5166_at	1.87e-12	3.10e-16	-17.500336	26.204	-2.5116636	pyruvate dehydrogenase kinase 4
26577_at	5.77e-12	1.43e-15	-16.446731	24.86181	-2.6784836	procollagen C-endopeptidase enhancer 2
1154_at	9.82e-11	3.25e-14	-14.462441	22.06468	-1.3840197	cytokine inducible SH2 containing protein
6446_at	4.42e-10	1.83e-13	-13.448166	20.48302	-1.3788144	serum/glucocorticoid regulated kinase 1
79625_at	6.28e-10	3.12e-13	-13.146641	19.99116	-2.5733026	neuron derived neurotrophic factor
5420_at	7.42e-10	4.30e-13	-12.967526	19.69409	-2.2790664	podocalyxin like
1831_at	1.69e-09	1.12e-12	-12.442324	18.80146	-1.6200484	TSC22 domain family member 3
1843_at	2.51e-09	1.87e-12	-12.168297	18.32262	-1.9691702	dual specificity phosphatase 1
2246_at	2.72e-09	2.25e-12	-12.070953	18.15032	-1.9237488	fibroblast growth factor 1
5187_at	3.41e-09	3.28e-12	-11.873358	17.79694	-1.0227681	period circadian clock 1
53405_at	3.41e-09	3.39e-12	-11.856433	17.76644	-1.5335166	chloride intracellular channel 5
6372_at	7.85e-09	8.45e-12	11.38662	16.90543	3.420597	C-X-C motif chemokine ligand 6
4739_at	8.86e-09	1.03e-11	-11.287916	16.72092	-0.8368033	neural precursor cell expressed, developmentally down-regulated 9
5800_at	1.04e-08	1.30e-11	-11.170982	16.50069	-2.3526648	protein tyrosine phosphatase, receptor type O
1647_at	1.92e-08	2.55e-11	-10.835694	15.85921	-1.3665533	growth arrest and DNA damage inducible alpha
5650_at	2.22e-08	3.13e-11	-10.736093	15.66576	-0.9389254	kallikrein related peptidase 7
22820_at	3.35e-08	5.00e-11	-10.508796	15.21925	-0.5341947	coatomer protein complex subunit gamma 1
25976_at	5.65e-08	8.89e-11	-10.23355	14.66908	-1.6703899	TCDD inducible poly(ADP-ribose) polymerase
5654_at	1.31e-07	2.17e-10	-9.816729	13.8159	-1.14012	HtrA serine peptidase 1
4868_at	1.52e-07	2.70e-10	-9.715143	13.60427	-1.2788913	NPHS1 nephrin
8835_at	1.52e-07	2.77e-10	-9.704406	13.58182	-1.1397542	suppressor of cytokine signaling 2
9099_at	2.21e-07	4.35e-10	-9.497772	13.14651	-1.527783	ubiquitin specific peptidase 2
687_at	2.21e-07	4.40e-10	-9.493	13.13638	-1.0820855	Kruppel like factor 9
51196_at	2.48e-07	5.28e-10	-9.410422	12.96067	-0.9646439	phospholipase C epsilon 1
51673_at	2.48e-07	5.43e-10	-9.397407	12.93289	-0.9576591	tubulin polymerization promoting protein family member 3
9966_at	2.48e-07	5.54e-10	9.388904	12.91472	1.0221008	tumor necrosis factor superfamily member 15
4057_at	3.10e-07	7.18e-10	9.272141	12.66424	3.285713	lactotransferrin
7490_at	3.16e-07	7.59e-10	-9.247164	12.61041	-1.0772971	Wilms tumor 1
7301_at	7.46e-07	1.85e-09	-8.852817	11.74861	-0.5701975	TYRO3 protein tyrosine kinase
26009_at	7.65e-07	1.96e-09	8.827625	11.6928	0.6123134	zinc finger ZZ-type containing 3
7422_at	9.57e-07	2.54e-09	-8.716654	11.44586	-0.8395548	vascular endothelial growth factor A
7763_at	1.40e-06	3.83e-09	-8.538662	11.04611	-0.9816976	zinc finger AN1-type containing 5
140578_at	1.41e-06	4.06e-09	8.513661	10.9896	1.3067998	chondrolectin
4616_at	1.41e-06	4.08e-09	-8.512249	10.9864	-1.7879739	growth arrest and DNA damage inducible beta
7538_at	1.66e-06	4.97e-09	-8.427993	10.79527	-1.2945608	ZFP36 ring finger protein
9040_at	1.66e-06	5.11e-09	-8.416014	10.76802	-0.7324857	ubiquitin conjugating enzyme E2 M
23109_at	1.66e-06	5.23e-09	-8.406213	10.7457	-0.8741931	dendrin
57089_at	1.67e-06	5.39e-09	8.393226	10.71611	0.5110026	ectonucleoside triphosphate diphosphohydrolase 7
2205_at	1.69e-06	5.61e-09	8.375806	10.67638	1.9930836	Fc fragment of IgE receptor Ia
9806_at	1.81e-06	6.13e-09	-8.338133	10.59032	-0.7881287	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2
6863_at	2.30e-06	7.99e-09	8.226223	10.33347	1.9795827	tachykinin precursor 1
240_at	2.70e-06	9.61e-09	8.14878	10.15469	0.7850039	arachidonate 5-lipoxygenase
7139_at	2.80e-06	1.02e-08	-8.124037	10.09739	-1.005922	troponin T2, cardiac type
25816_at	3.16e-06	1.18e-08	8.063762	9.95745	1.474314	TNF alpha induced protein 8
2004_at	3.50e-06	1.33e-08	8.012128	9.83717	0.582841	ELK3, ETS transcription factor
1028_at	4.07e-06	1.59e-08	-7.939725	9.66788	-0.7804942	cyclin dependent kinase inhibitor 1C
5816_at	4.41e-06	1.80e-08	-7.887104	9.54438	-1.8764509	parvalbumin
55224_at	4.41e-06	1.81e-08	-7.88579	9.54129	-1.2362501	ethanolamine kinase 2
55316_at	4.41e-06	1.83e-08	-7.880942	9.5299	-0.4194447	radical S-adenosyl methionine domain containing 1
3487_at	4.99e-06	2.11e-08	-7.821811	9.39062	-0.8778214	insulin like growth factor binding protein 4
22936_at	5.12e-06	2.20e-08	-7.803837	9.34818	-1.1828126	elongation factor for RNA polymerase II 2
81575_at	5.20e-06	2.28e-08	-7.789211	9.31362	-1.3431353	apolipoprotein L domain containing 1
8842_at	5.28e-06	2.36e-08	7.775006	9.28003	2.4432962	prominin 1
1672_at	5.70e-06	2.60e-08	-7.736384	9.18855	-1.0748386	defensin beta 1
2982_at	5.72e-06	2.65e-08	7.727883	9.16839	0.9595072	guanylate cyclase 1 soluble subunit alpha
1524_at	6.22e-06	2.93e-08	7.686285	9.06958	1.838153	C-X3-C motif chemokine receptor 1
10458_at	6.93e-06	3.37e-08	-7.629546	8.93444	-0.755273	BAI1 associated protein 2
25926_at	6.93e-06	3.38e-08	7.627996	8.93074	0.4863204	nucleolar protein 11
2532_at	7.10e-06	3.53e-08	7.61096	8.89007	1.2531458	atypical chemokine receptor 1 (Duffy blood group)
65124_at	7.46e-06	3.77e-08	-7.584347	8.82647	-0.7216631	sosondowah ankyrin repeat domain family member C
1359_at	7.54e-06	3.87e-08	7.573185	8.79976	2.2296477	carboxypeptidase A3
50486_at	7.87e-06	4.11e-08	-7.549028	8.74191	-1.5783705	G0/G1 switch 2
10190_at	8.11e-06	4.30e-08	7.530434	8.69733	0.4497095	thioredoxin domain containing 9
90480_at	8.56e-06	4.61e-08	-7.502526	8.63032	-0.4860715	GADD45G interacting protein 1
7049_at	8.66e-06	4.73e-08	-7.491697	8.6043	-0.9083443	transforming growth factor beta receptor 3
26019_at	8.87e-06	4.92e-08	7.47557	8.56551	0.4438102	UPF2 regulator of nonsense transcripts homolog (yeast)
29116_at	9.00e-06	5.07e-08	7.463837	8.53727	0.738905	myosin regulatory light chain interacting protein
1462_at	9.07e-06	5.18e-08	7.454858	8.51564	1.948057	versican
26012_at	1.14e-05	6.67e-08	-7.352898	8.26934	-0.5867451	NMDA receptor synaptonuclear signaling and neuronal migration factor
51458_at	1.14e-05	6.72e-08	-7.349922	8.26213	-1.7312747	Rh family C glycoprotein
57820_at	1.24e-05	7.39e-08	-7.311768	8.16959	-0.524028	cyclin B1 interacting protein 1
5733_at	1.25e-05	7.66e-08	-7.297551	8.13507	-0.7740699	prostaglandin E receptor 3
51094_at	1.25e-05	7.67e-08	-7.29716	8.13411	-0.5622863	adiponectin receptor 1
4982_at	1.26e-05	7.84e-08	7.288107	8.11211	1.1176865	TNF receptor superfamily member 11b
5763_at	1.31e-05	8.25e-08	-7.267563	8.06215	-0.7228343	parathymosin
7837_at	1.40e-05	8.91e-08	7.236936	7.98756	1.1961237	peroxidasin
1212_at	1.43e-05	9.26e-08	-7.22143	7.94976	-0.5519997	clathrin light chain B
6016_at	1.47e-05	9.60e-08	7.207009	7.91457	0.7708871	Ras like without CAAX 1
1804_at	1.60e-05	1.06e-07	-7.168387	7.82019	-1.0494114	dipeptidyl peptidase like 6
26278_at	1.69e-05	1.13e-07	7.140463	7.75184	0.7736677	sacsin molecular chaperone
27306_at	1.71e-05	1.18e-07	7.126181	7.71684	0.7608408	hematopoietic prostaglandin D synthase
5653_at	1.71e-05	1.18e-07	-7.126063	7.71655	-0.9883483	kallikrein related peptidase 6
58486_at	1.79e-05	1.25e-07	7.103311	7.66075	0.5112548	zinc finger BED-type containing 5
55068_at	1.81e-05	1.27e-07	7.094419	7.63892	0.662493	ecto-NOX disulfide-thiol exchanger 1
25797_at	1.85e-05	1.32e-07	7.081396	7.60694	1.4944364	glutaminyl-peptide cyclotransferase
