gene,AUC
SERPINF2,0.9653225806451613
MDK,0.9282258064516129
SPP1,0.8725806451612903
TNXB,0.95
GDF15,0.9032258064516129
THBS1,0.8580645161290323
LTB,0.7806451612903226
CCL21,0.842741935483871
