ID	adj.P.Val	P.Value	t	B	logFC	Gene.Symbol	GB_LIST	SPOT_ID
11748659_a_at	0.00609	1.34e-07	-8.5237755	7.23541	-3.2311282	EFEMP1	NM_001039348,NM_001039349,NM_004105	
11719421_a_at	0.00609	2.47e-07	-8.1602034	6.73126	-1.6019903	ABCC1	NM_004996,NM_019862,NM_019898,NM_019899,NM_019900	
11744449_a_at	0.00795	4.83e-07	-7.7714582	6.16905	-1.5523844	ARHGAP4	NM_001164741,NM_001666	
11759908_at	0.00933	1.05e-06	-7.3373894	5.51229	-1.5065576	ITGBL1	NM_004791	
11718269_x_at	0.00933	1.14e-06	-7.2930376	5.44344	-1.3777648	ANGPTL2	NM_012098	
11718293_a_at	0.00933	1.36e-06	-7.1944914	5.28928	-1.2654213	CDKN2A	NM_000077,NM_058195,NM_058197	
11731394_a_at	0.00933	1.49e-06	-7.1446476	5.21069	-2.5782682	VIM	NM_003380	
11745779_a_at	0.00933	1.54e-06	-7.1263629	5.18176	-1.2422671	MLL5	NM_018682,NM_182931	
11751953_a_at	0.00933	2.11e-06	-6.9566317	4.91053	-1.2605059	PAPLN	NM_173462	
11732450_s_at	0.00933	2.11e-06	-6.9555052	4.90871	-1.2863891	AGRN	NM_198576	
11747693_a_at	0.00933	2.23e-06	6.9280843	4.86444	1.2883051	MME	NM_000902,NM_007287,NM_007288,NM_007289	
11737201_at	0.00933	2.33e-06	-6.903894	4.82527	-0.9389022	CSF1	NM_000757,NM_172210,NM_172211,NM_172212	
11715355_at	0.00933	2.46e-06	-6.8754642	4.77912	-1.1873626	COL1A2	NM_000089	
11731112_at	0.01044	3.08e-06	6.7552584	4.58249	2.0566563	GNMT	NM_018960	
11729157_a_at	0.01044	3.58e-06	-6.6757054	4.45104	-1.2157425	MFAP4	NM_002404	
11734968_a_at	0.01044	3.69e-06	-6.6594624	4.42406	-1.0371797	THEMIS	NM_001010923,NM_001164685,NM_001164687	
11758231_x_at	0.01044	3.86e-06	-6.6370143	4.38672	-2.7462923	HLA-DPA1	NM_033554	
11715847_x_at	0.01044	3.97e-06	-6.6216506	4.36111	-1.1959005	PLAT	NM_000930,NM_033011	
11729258_at	0.01044	4.02e-06	-6.6152698	4.35046	-0.9410853	MNS1	NM_018365	
11715934_s_at	0.01097	4.44e-06	-6.5628764	4.26278	-1.9208957	TAGLN	NM_001001522,NM_003186	
11717774_a_at	0.01146	4.93e-06	-6.5084999	4.1713	-1.0455286	PLEKHB1	NM_001130033,NM_001130034,NM_001130035,NM_001130036,NM_021200	
11724944_at	0.01146	5.28e-06	-6.473249	4.11173	-1.6300194	CLSTN2	NM_022131	
11753810_a_at	0.01146	5.34e-06	-6.4674299	4.10188	-1.3291413	CCL5	NM_002985	
11759907_at	0.01165	5.66e-06	-6.4370646	4.05037	-2.0406876	ITGBL1	NM_004791	
11733870_at	0.01219	6.39e-06	-6.3748996	3.94445	-1.4836489	HLA-DOA	NM_002119	
11717581_s_at	0.01219	6.63e-06	-6.3554001	3.9111	-1.278027	CD52	NM_001803	
11752142_a_at	0.01219	7.10e-06	-6.320533	3.8513	-1.2819513	FLNA	NM_001110556,NM_001456	
11744643_a_at	0.01219	7.12e-06	6.3188305	3.84837	1.446245	C5orf27	NR_026936	
11738435_x_at	0.01219	7.43e-06	-6.296982	3.81079	-1.7264448	CD74	NM_001025158,NM_001025159,NM_004355	
11719840_at	0.01219	7.50e-06	-6.2921892	3.80254	-1.2924265	PHLDA3	NM_012396	
11743800_a_at	0.01219	7.65e-06	-6.281937	3.78487	-2.1960169	DNAH2	NM_020877	
11752100_s_at	0.01262	8.18e-06	-6.2482554	3.7267	-0.9698505	E2F3	NM_001949	
11748036_a_at	0.0127	8.48e-06	-6.2294074	3.69407	-1.0960814	ATP2A3	NM_005173,NM_174953,NM_174954,NM_174955,NM_174956,NM_174957,NM_174958	
11728937_at	0.0132	9.09e-06	-6.1945178	3.63351	-1.1514089	GFRA2	NM_001165038,NM_001165039,NM_001495	
11747177_x_at	0.01394	9.88e-06	-6.1519804	3.55941	-1.7074471	AQP1	NM_198098	
11731938_a_at	0.01478	1.10e-05	6.0959131	3.46129	1.4253509	FTCD	NM_006657,NM_206965	
11751610_a_at	0.01478	1.11e-05	-6.0942175	3.45832	-1.3406037	DPYSL3	NM_001387	
11732368_a_at	0.01518	1.17e-05	-6.0674554	3.4113	-1.2627107	FGF14	NM_004115,NM_175929	
11736547_a_at	0.01529	1.22e-05	-6.044964	3.37169	-1.1445323	FANCD2	NM_001018115,NM_033084	
11764153_at	0.01529	1.24e-05	-6.0379322	3.35929	-0.7987467	---	AW953952	
11717455_at	0.01535	1.27e-05	-6.0234831	3.33379	-1.2201863	SPOCK2	NM_001134434,NM_014767	
11757941_s_at	0.01641	1.40e-05	-5.9778655	3.25306	-2.3919361	THBS2	NM_003247	
11741521_a_at	0.01802	1.58e-05	5.9161625	3.14333	1.1158414	HAO2	NM_001005783,NM_016527	
11724627_a_at	0.01802	1.61e-05	5.907888	3.12857	1.8013158	MAT1A	NM_000429	
11715625_a_at	0.01892	1.72e-05	-5.8724915	3.0653	-1.3642779	SH3BGRL	NM_003022	
11725214_a_at	0.0192	1.84e-05	5.8402214	3.00746	1.6157627	HAAO	NM_012205	
11716019_at	0.0192	1.88e-05	-5.8294553	2.98812	-1.0232322	RAB31	NM_006868	
11736746_a_at	0.0192	1.95e-05	-5.8119801	2.9567	-1.9790425	ADAM28	NM_014265,NM_021777	
11761516_x_at	0.0192	1.96e-05	5.8096244	2.95246	1.7098657	HNRNPM	NM_005968,NM_031203	
11718780_a_at	0.0192	1.96e-05	-5.8087057	2.9508	-1.4228074	SSBP2	NM_012446	
11746965_a_at	0.0192	1.98e-05	5.8030541	2.94063	1.3068427	ANPEP	NM_001150	
11744357_a_at	0.01947	2.05e-05	-5.7865297	2.91085	-1.0804953	TACC1	NM_001122824,NM_001146216,NM_006283	
11763684_x_at	0.01959	2.21e-05	-5.7485959	2.84232	-2.1639153	IGK@ /// IGKC	U79763.1	
11750231_x_at	0.01959	2.23e-05	-5.7452672	2.8363	-1.7989634	IGH@ /// IGHG1 /// IGHG2 /// IGHG3 /// IGHM /// IGHV4-31 /// LOC100290146	XM_001718220,XM_002347483	
11745244_x_at	0.01959	2.30e-05	-5.7307	2.80992	-1.8540992	IGH@ /// IGHG1 /// IGHG2 /// IGHG3 /// IGHM /// IGHV4-31 /// LOC100290146 /// LOC100294459	XM_001718220,XM_002347483,XM_002348257	
11746917_s_at	0.01959	2.32e-05	-5.7249853	2.79956	-1.1146215	ANXA8 /// ANXA8L1 /// ANXA8L2	NM_001040084,NM_001098845,NM_001630	
11720528_at	0.01959	2.37e-05	-5.7146125	2.78075	-2.0340644	LTBP2	NM_000428	
11749157_s_at	0.01959	2.37e-05	5.7145867	2.7807	3.1425008	CFHR3 /// CFHR4	NM_001166624,NM_006684,NM_021023	
11721927_at	0.01959	2.38e-05	-5.7134436	2.77863	-1.1511328	TMC8	NM_152468	
11746950_a_at	0.01959	2.38e-05	-5.7119032	2.77583	-1.2415126	NUPL2	NM_007342	
11753429_a_at	0.01959	2.43e-05	5.7025725	2.75889	1.5349106	WBP2	NM_012478	
11729461_a_at	0.01959	2.46e-05	-5.6966989	2.74822	-1.3562162	CTNS	NM_001031681,NM_004937	
11753555_a_at	0.01976	2.52e-05	-5.6844809	2.726	-1.3924268	CD53	NM_000560,NM_001040033	
11753883_x_at	0.02009	2.61e-05	-5.6670836	2.69433	-1.0549735	IL2RG	NM_000206	
11751845_x_at	0.02009	2.69e-05	5.6521359	2.66708	1.1331613	SERPING1	NM_000062,NM_001032295	
11740823_s_at	0.02009	2.70e-05	5.6501403	2.66344	1.5537802	LPA /// LPAL2	NM_005577,NM_024492,NM_145727,NR_028092,NR_028093	
11763693_a_at	0.02009	2.73e-05	-5.6461893	2.65623	-1.3243149	GLS	NM_014905	
11752521_a_at	0.02128	2.93e-05	5.6106564	2.59129	1.2498834	F11	NM_000128	
11754182_x_at	0.0215	3.00e-05	-5.5985278	2.56908	-1.9986357	IL2RG	NM_000206	
11724461_a_at	0.02187	3.10e-05	5.5832844	2.54114	0.890897	ALDOC	NM_005165	
11719842_x_at	0.02312	3.32e-05	-5.5490565	2.47826	-1.0145767	PHLDA3	NM_012396	
11745124_a_at	0.02346	3.42e-05	5.5351168	2.45261	1.1172782	BDH1	NM_004051,NM_203314,NM_203315	
11746458_s_at	0.02362	3.52e-05	-5.5216769	2.42785	-1.2300838	LOC100132214 /// POLR2J4 /// RASA4	NM_001079877,NM_006989,NR_003655,XM_001725602,XM_002342747,XM_002344378,XM_002344379	
11725610_s_at	0.02362	3.54e-05	-5.5185235	2.42203	-0.8936088	DTNA	NM_001128175,NM_001390,NM_001391,NM_001392,NM_032975,NM_032978,NM_032979,NM_032980,NM_032981	
11718268_a_at	0.02395	3.64e-05	-5.5052	2.39745	-1.9792826	ANGPTL2	NM_012098	
11716846_a_at	0.02513	3.87e-05	-5.4754482	2.34247	-1.7879404	MS4A6A	NM_022349,NM_152851,NM_152852	
11732504_a_at	0.02528	3.96e-05	5.4633682	2.32011	1.0713585	HPN	NM_002151,NM_182983	
11717354_at	0.02528	3.99e-05	5.459988	2.31385	1.0436453	PCBD1	NM_000281	
11720558_a_at	0.02528	4.05e-05	-5.4525997	2.30016	-2.8216037	GEM	NM_005261,NM_181702	
11756766_x_at	0.02528	4.09e-05	-5.4477694	2.2912	-1.6219155	CD74	NM_001025158,NM_001025159,NM_004355	
11754365_s_at	0.02534	4.16e-05	-5.4403405	2.27742	-1.4229836	ROR2	NM_004560	
11730247_a_at	0.02534	4.21e-05	-5.434613	2.26679	-1.4885191	PVRIG /// STAG3	NM_012447,NM_024070	
11726254_s_at	0.02584	4.38e-05	-5.4153819	2.23107	-1.2186279	CD74	NM_001025158,NM_001025159,NM_004355	
11733296_s_at	0.02584	4.40e-05	5.4134196	2.22742	2.1455155	CYP4F2 /// CYP4F3	NM_000896,NM_001082	
11744050_s_at	0.02663	4.64e-05	-5.3872391	2.1787	-1.358692	MAP1B	NM_005909	
11727603_a_at	0.02663	4.65e-05	-5.3857938	2.17601	-1.0418593	BMP5	NM_021073	
11751393_a_at	0.02663	4.75e-05	-5.3764368	2.15857	-1.4490902	PIK3IP1	NM_001135911,NM_052880	
11715293_s_at	0.02663	4.75e-05	-5.3763511	2.15841	-1.5903476	TRPT1	NM_001033678,NM_001160389,NM_001160390,NM_001160392,NM_001160393,NM_031472	
11715817_at	0.02663	4.80e-05	-5.3709497	2.14834	-1.2754987	ZFP36L2	NM_006887	
11723236_at	0.02663	4.85e-05	-5.3656426	2.13844	-1.1139985	IFI44L	NM_006820	
11732995_a_at	0.02708	4.99e-05	-5.3521087	2.11317	-1.6034671	RGS4	NM_001102445,NM_001113380,NM_001113381,NM_005613	
11763939_at	0.0287	5.39e-05	-5.3146909	2.04319	-0.8079481	LOC284441	NR_003128	
11718629_at	0.0287	5.40e-05	5.3137215	2.04137	0.8890356	BOK	NM_032515	
11727784_x_at	0.02895	5.51e-05	-5.3044904	2.02407	-1.4685209	TPM4	NM_001145160,NM_003290	
11718568_a_at	0.0294	5.66e-05	-5.291844	2.00036	-1.9496584	WIPF1	NM_001077269,NM_003387	
11721877_s_at	0.02942	5.72e-05	5.2863064	1.98997	1.4161365	MT1F	NM_005949	
11747490_a_at	0.02942	5.78e-05	-5.2815284	1.981	-0.6782589	PDE1B	NM_000924,NM_001165975	
11720441_x_at	0.02954	5.86e-05	-5.2746392	1.96806	-1.2176104	OLFML2B	NM_015441	
11733725_a_at	0.03048	6.20e-05	5.2476455	1.9173	1.6607728	CFB	NM_001710	
11759475_at	0.03048	6.23e-05	5.2452424	1.91278	1.8873174	CYP2C19	NM_000769	
11718290_a_at	0.03048	6.23e-05	-5.2452228	1.91274	-1.1952741	FXYD5	NM_001164605,NM_014164,NM_144779,NR_028406	
11717274_s_at	0.03107	6.49e-05	-5.225745	1.87605	-1.0847745	COL5A1	NM_000093	
11721751_s_at	0.03107	6.69e-05	-5.2110666	1.84836	-0.9120914	FZD7	NM_003507	
11724395_a_at	0.03107	6.71e-05	-5.2100903	1.84652	-1.1679597	ZNF83	NM_001105549,NM_001105550,NM_001105551,NM_001105552,NM_001105553,NM_001105554,NM_018300,NR_003936	
11729899_a_at	0.03107	6.77e-05	5.2060426	1.83888	1.6991177	C4BPB	NM_000716,NM_001017364,NM_001017365,NM_001017366,NM_001017367	
11737829_at	0.03107	6.77e-05	-5.2054305	1.83772	-0.8859995	ZNF192	NM_006298	
11739401_a_at	0.03107	6.79e-05	-5.2045799	1.83612	-0.9671613	CD74	NM_001025158,NM_001025159,NM_004355	
11735740_a_at	0.03107	6.79e-05	-5.2040282	1.83508	-0.8022596	RASA3	NM_007368	
11721975_s_at	0.03113	6.91e-05	-5.1956492	1.81925	-2.0425696	TPSAB1 /// TPSB2	NM_003294,NM_024164	
11715807_a_at	0.03113	6.93e-05	5.1942795	1.81666	0.836405	STARD10	NM_006645	
11739700_a_at	0.03122	7.09e-05	-5.1839519	1.79714	-1.2539298	STON1	NM_006873	
11735622_a_at	0.03122	7.10e-05	5.1831242	1.79558	0.8419948	TM6SF2	NM_001001524	
11761148_at	0.03122	7.17e-05	-5.1786042	1.78703	-1.12983	MSL3	NM_006800,NM_078628,NM_078629,NM_078630	
11762459_at	0.03122	7.27e-05	-5.1719151	1.77438	-0.8154708	XRCC1	NM_006297	
11754032_x_at	0.03122	7.27e-05	-5.171615	1.77381	-1.8997341	IGH@ /// IGHG1 /// IGHG2 /// IGHG3 /// IGHM /// IGHV4-31 /// LOC100290146 /// LOC100294459	XM_001718220,XM_002347483,XM_002348257	
11732500_a_at	0.03126	7.42e-05	-5.1616857	1.75501	-1.1602707	FAM3B	NM_058186,NM_206964	
11750811_x_at	0.03126	7.45e-05	-5.1601086	1.75203	-0.9819292	EOMES	NM_005442	
11720488_a_at	0.03126	7.50e-05	-5.1570522	1.74624	-0.7717858	HSPB6	NM_144617	
11731693_at	0.03126	7.55e-05	-5.1538579	1.74019	-1.7231993	HIST1H2AE	NM_021052	
11754285_a_at	0.03126	7.69e-05	5.1445851	1.72261	2.9952749	TTR	NM_000371	
11741605_a_at	0.03126	7.72e-05	-5.1432507	1.72008	-1.0753695	CHD3	NM_001005271,NM_001005273,NM_005852	
11753735_x_at	0.03126	7.72e-05	-5.1429202	1.71945	-1.0324975	TMSB4X	NM_021109	
11720680_a_at	0.03296	8.21e-05	-5.1137543	1.6641	-0.7449248	DGKA	NM_001345,NM_201444,NM_201445,NM_201554	
11721627_a_at	0.033	8.29e-05	-5.1092995	1.65563	-1.2673776	Septin 6	NM_015129,NM_145799,NM_145800,NM_145802	
11750819_x_at	0.03302	8.36e-05	-5.1051689	1.64778	-0.8873425	PODN	NM_153703	
11715972_at	0.03347	8.54e-05	-5.0950025	1.62845	-1.3644491	SMOC2	NM_001166412,NM_022138	
11756978_a_at	0.03395	8.73e-05	5.0844843	1.60844	1.3342516	KCNN2	NM_021614,NM_170775	
11752384_s_at	0.03398	8.81e-05	-5.080283	1.60044	-1.0752895	COL6A1	NM_001848	
11723293_at	0.03452	9.02e-05	-5.0691608	1.57925	-1.1061822	GPX7	NM_015696	
11749225_a_at	0.03456	9.13e-05	-5.0629921	1.56749	-0.9401942	BTN2A2	NM_006995,NM_181531	
11722130_s_at	0.03456	9.17e-05	5.0612703	1.56421	1.6354954	ECHDC2	NM_018281	
11763547_at	0.03495	9.39e-05	-5.0496804	1.54211	-0.697164	FLJ40330	NR_015424	
11715583_s_at	0.03495	9.43e-05	-5.047849	1.53861	-2.0378565	HLA-DPA1	NM_033554	
11746256_x_at	0.03495	9.49e-05	5.0446535	1.53251	1.683766	ORM2	NM_000608	
11718630_s_at	0.03495	9.60e-05	5.0391818	1.52207	1.0389042	BOK	NM_032515	
11731555_at	0.03495	9.67e-05	-5.0361709	1.51632	-0.8364902	SYNPO2	NM_001128933,NM_001128934,NM_133477	
11763226_x_at	0.03495	9.87e-05	-5.0261017	1.49709	-1.5321971	IL8	NM_000584	
11726432_a_at	0.03495	9.91e-05	-5.0246	1.49422	-1.024419	OSBPL3	NM_015550,NM_145320,NM_145321,NM_145322	
11744998_a_at	0.03495	9.96e-05	-5.0218974	1.48905	-1.1464936	MPZL1	NM_001146191,NM_003953,NM_024569	
11715350_a_at	0.03495	1.00e-04	-5.0185167	1.48259	-1.2970953	COL1A1	NM_000088	
11744379_a_at	0.03495	1.01e-04	-5.0157092	1.47722	-1.2277397	COL3A1	NM_000090	
11754601_s_at	0.03495	1.01e-04	-5.0153606	1.47655	-0.7880561	SPON2	NM_001128325,NM_012445	
11749234_x_at	0.03495	1.02e-04	-5.011908	1.46995	-0.8948059	NAP1L1	NM_004537,NM_139207	
11759318_x_at	0.03495	1.04e-04	-5.0037189	1.45428	-1.1824344	ISG20L2	NM_030980	
11732276_x_at	0.03495	1.05e-04	-4.9980762	1.44348	-1.6494605	CCL5	NM_002985	
11720207_a_at	0.03495	1.05e-04	-4.9956093	1.43876	-1.422443	IL2RG	NM_000206	
11717467_a_at	0.03495	1.06e-04	4.9944607	1.43656	0.9651062	TTC38	NM_017931	
11732321_a_at	0.03495	1.06e-04	-4.9910068	1.42995	-1.0037671	PLAT	NM_000930,NM_033011	
11741351_s_at	0.03495	1.06e-04	-4.9907894	1.42953	-1.150318	ANXA11	NM_001157,NM_145868,NM_145869	
11752353_x_at	0.03495	1.06e-04	-4.9903937	1.42877	-1.0536341	NFATC4	NM_001136022,NM_004554	
11733187_a_at	0.03495	1.07e-04	-4.9871453	1.42255	-0.8421526	IL7R	NM_002185	
11733963_a_at	0.03495	1.08e-04	4.9855662	1.41953	1.4138651	CYP4F11	NM_001128932,NM_021187	
11763989_at	0.0364	1.13e-04	-4.9632348	1.37671	-0.8091632	OMG	NM_002544	
11751717_a_at	0.03672	1.15e-04	4.9535846	1.35819	1.4640023	SLC6A13	NM_016615	
11746944_a_at	0.03672	1.15e-04	4.952947	1.35697	1.4323015	AGXT2	NM_031900	
11732326_x_at	0.03703	1.17e-04	4.945918	1.34347	1.4242787	PBLD	NM_001033083,NM_022129	
11756587_a_at	0.03727	1.19e-04	-4.9377205	1.32772	-1.0676072	PTGDS	NM_000954	
11729664_s_at	0.03727	1.19e-04	-4.935939	1.3243	-0.7108602	STK38L	NM_015000	
11758087_s_at	0.03727	1.22e-04	4.9280449	1.30913	1.4527307	DPYS	NM_001385	
11762926_at	0.03727	1.22e-04	-4.9280039	1.30905	-0.9106444	CELF2	NM_001025076,NM_001025077,NM_001083591,NM_006561	
11750357_a_at	0.03727	1.22e-04	4.9279998	1.30904	1.5863264	ETNK2	NM_018208	
11724608_a_at	0.03767	1.24e-04	-4.9179497	1.28971	-0.8507811	FUZ	NM_001171937,NM_025129,NR_033269	
11734966_x_at	0.03767	1.26e-04	-4.911366	1.27704	-1.2095537	NFATC4	NM_001136022,NM_004554	
11721141_x_at	0.03767	1.28e-04	4.9041382	1.26313	1.051341	TCEA3	NM_003196	
11754787_a_at	0.03767	1.29e-04	4.9015204	1.25809	1.0156607	ATF7IP2	NM_024997	
11731916_at	0.03767	1.29e-04	-4.9005843	1.25628	-1.2698673	KCNA3	NM_002232	
11735723_s_at	0.03767	1.29e-04	4.9001901	1.25553	1.2830329	RBCK1	NM_006462,NM_031229	
11747483_a_at	0.03767	1.30e-04	-4.8954618	1.24642	-1.0606408	TNFAIP8	NM_001077654,NM_014350	
11733214_a_at	0.03767	1.30e-04	-4.8945015	1.24457	-0.9654963	SLFN5	NM_144975	
11757126_x_at	0.03767	1.31e-04	-4.8932189	1.2421	-0.8522003	SNORA74A	NR_002915	
11734042_at	0.03767	1.31e-04	4.8918801	1.23952	1.7445785	APOC4	NM_001646	
11756393_x_at	0.03767	1.32e-04	-4.8888383	1.23366	-1.5230287	CORO1A	NM_007074	
11741117_a_at	0.03767	1.32e-04	-4.8884782	1.23296	-0.7957972	GRM1	NM_000838,NM_001114329	
11756339_x_at	0.03767	1.33e-04	4.8864655	1.22908	1.0136543	SARDH	NM_001134707,NM_007101	
11737575_at	0.03768	1.34e-04	4.8831624	1.22271	0.893986	USH2A	NM_007123,NM_206933	
11751465_a_at	0.03768	1.34e-04	4.8809004	1.21835	1.388046	GRB14	NM_004490	
11743599_x_at	0.03769	1.35e-04	-4.8776781	1.21214	-0.7028801	OTUD5	NM_001136157,NM_001136158,NM_001136159,NM_017602	
11719871_a_at	0.03769	1.39e-04	4.8659995	1.18961	0.7960819	TMEM176B	NM_001101311,NM_001101312,NM_001101313,NM_001101314,NM_014020	
11751673_a_at	0.03769	1.39e-04	-4.8655283	1.1887	-0.7107149	ZMIZ2	NM_031449,NM_174929	
11727515_at	0.03769	1.39e-04	-4.8652147	1.1881	-0.7738763	TTC9	NM_015351	
11740089_x_at	0.03769	1.40e-04	-4.8625882	1.18303	-1.2381494	PIK3IP1	NM_001135911,NM_052880	
11718237_a_at	0.03769	1.40e-04	4.8622608	1.18239	1.0788407	C1orf115	NM_024709	
11731854_at	0.03769	1.40e-04	4.8611196	1.18019	1.1539598	C8G	NM_000606	
11736154_a_at	0.03769	1.41e-04	-4.8582792	1.17471	-0.8333305	XPR1	NM_001135669,NM_004736	
11755723_s_at	0.03769	1.42e-04	4.8562107	1.17071	1.6312027	CFHR3 /// CFHR4	NM_001166624,NM_006684,NM_021023	
11716548_x_at	0.03769	1.42e-04	-4.8533028	1.1651	-1.4554548	FGFR1	NM_001174063,NM_001174064,NM_001174065,NM_001174066,NM_001174067,NM_015850,NM_023105,NM_023106,NM_023107,NM_023108,NM_023110,NM_023111	
11727252_a_at	0.03769	1.44e-04	4.847733	1.15434	0.9869379	KLKB1	NM_000892	
11723004_x_at	0.03769	1.45e-04	4.845	1.14906	1.6766406	F2	NM_000506	
11747249_a_at	0.03769	1.46e-04	-4.8429187	1.14504	-0.7726198	ADSS	NM_001126	
11753402_a_at	0.03769	1.46e-04	-4.8414503	1.1422	-1.0528226	RAB35	NM_001167606,NM_006861	
11751501_a_at	0.03769	1.47e-04	4.8384567	1.13641	1.163689	C5orf4	NM_016348,NM_032385	
11719351_s_at	0.03769	1.47e-04	-4.836836	1.13328	-0.784331	GCC2	NM_014635,NM_181453,NR_028063	
11734769_a_at	0.03769	1.48e-04	-4.8344735	1.12871	-0.6749077	THOC2	NM_001081550,NM_020449	
11737786_a_at	0.03769	1.49e-04	-4.8327053	1.1253	-1.0853732	KCNAB2	NM_003636,NM_172130	
11724372_at	0.03769	1.49e-04	4.8325728	1.12504	1.4631374	ANXA10	NM_007193	
11719602_a_at	0.03815	1.52e-04	-4.8231557	1.10683	-1.0425773	MOXD1	NM_015529	
11723135_s_at	0.03815	1.53e-04	-4.819503	1.09976	-0.8850278	SRC	NM_005417,NM_198291	
11747416_a_at	0.03815	1.54e-04	-4.8174538	1.09579	-0.8998969	FGFR1	NM_001174063,NM_001174064,NM_001174065,NM_001174066,NM_001174067,NM_015850,NM_023105,NM_023106,NM_023107,NM_023108,NM_023110,NM_023111	
11759316_at	0.03815	1.54e-04	4.8173849	1.09566	1.5340515	NFIC	NM_005597,NM_205843	
11721858_x_at	0.03823	1.55e-04	-4.8123365	1.08589	-0.8317868	PIGK	NM_005482	
11718809_a_at	0.03823	1.57e-04	-4.8089933	1.07942	-0.6962133	PRKCH	NM_006255	
11753109_a_at	0.03823	1.57e-04	-4.8068524	1.07527	-0.7802041	CDH11	NM_001797	
11760819_x_at	0.03823	1.58e-04	-4.8037083	1.06918	-2.196742	IGHG1 /// IGHV4-31 /// LOC100290146	XM_002347483	
11752544_a_at	0.03823	1.59e-04	-4.80153	1.06496	-1.3047312	GPNMB	NM_001005340,NM_002510	
11720885_at	0.03823	1.59e-04	4.8012689	1.06446	0.9156299	ACACB	NM_001093	
11732858_a_at	0.03823	1.59e-04	-4.8001856	1.06236	-0.9415847	GPR124	NM_032777	
11747213_x_at	0.03835	1.62e-04	4.793141	1.04871	1.2156237	CFHR3	NM_001166624,NM_021023	
11760613_at	0.03835	1.62e-04	-4.7931093	1.04865	-0.9471651	METTL3	NM_019852	
11754732_a_at	0.03835	1.63e-04	4.7904679	1.04353	1.6903	CNDP1	NM_032649	
11759815_a_at	0.03835	1.64e-04	-4.7881715	1.03908	-2.0887353	IGHM	AY510104.1	
11734126_a_at	0.03835	1.64e-04	-4.787551	1.03788	-1.1530154	NOD1	NM_006092	
11760324_a_at	0.03965	1.70e-04	-4.7696274	1.00311	-1.1342039	MSI2	NM_138962,NM_170721	
11715541_a_at	0.03973	1.72e-04	-4.7658423	0.99577	-1.3833956	THY1	NM_006288	
11733964_x_at	0.03973	1.72e-04	4.7641799	0.99254	1.1054513	CYP4F11	NM_001128932,NM_021187	
11729750_a_at	0.03973	1.73e-04	-4.7621502	0.9886	-0.9950884	LPAR1	NM_001401,NM_057159	
11726940_a_at	0.03978	1.74e-04	4.75939	0.98324	1.0498189	SLC7A9	NM_001126335,NM_014270	
11727272_x_at	0.04001	1.76e-04	4.7545343	0.97382	1.4378367	TRIM55	NM_033058,NM_184085,NM_184086,NM_184087	
11716131_s_at	0.04019	1.77e-04	-4.750233	0.96546	-1.417797	FSTL3	NM_005860	
11726425_a_at	0.04024	1.79e-04	-4.7464464	0.95811	-0.7811298	SCN3B	NM_001040151,NM_018400	
11744899_a_at	0.04024	1.79e-04	4.7454192	0.95611	1.8107628	FADS2	NM_004265	
11754592_x_at	0.04026	1.80e-04	4.7430331	0.95147	3.0933762	ATF5	NM_012068	
11728291_at	0.04034	1.81e-04	-4.7400599	0.9457	-1.4943548	SH2D1A	NM_001114937,NM_002351	
11748747_a_at	0.04034	1.83e-04	-4.7363672	0.93852	-0.7717313	ARHGAP25	NM_001007231,NM_001166276,NM_001166277,NM_014882	
11754011_x_at	0.04034	1.83e-04	-4.7358552	0.93752	-0.8354016	GPC3	NM_001164617,NM_001164618,NM_001164619,NM_004484	
11743813_a_at	0.04038	1.84e-04	-4.733267	0.93249	-1.3376542	EVI2B	NM_006495	
11724847_a_at	0.04065	1.86e-04	4.7281128	0.92247	1.2025982	GBA3	NM_001128432,NM_020973	
11763320_x_at	0.04113	1.89e-04	-4.7205108	0.90768	-0.9925448	GLS	NM_014905	
11756439_a_at	0.04115	1.90e-04	4.7182769	0.90334	1.6342175	ADHFE1	NM_144650	
11757153_x_at	0.04115	1.91e-04	-4.7162377	0.89937	-1.2639649	SNHG12 /// SNORA44	NR_002976,NR_024127	
11746859_a_at	0.04136	1.93e-04	4.7117806	0.89069	1.6128171	LPA	NM_005577	
11743915_s_at	0.04142	1.94e-04	-4.7091437	0.88556	-1.11404	SEL1L3	NM_015187	
11763233_x_at	0.04163	1.96e-04	-4.7047622	0.87703	-1.5065793	TRA@ /// TRAC /// TRAJ17 /// TRAV20	EU427374.1	
11757140_at	0.04198	1.98e-04	-4.6979343	0.86373	-1.4422472	SNORA52	NR_002585	
11719561_s_at	0.04198	1.99e-04	-4.696803	0.86153	-0.9960609	SOX4	NM_003107	
11725006_a_at	0.04247	2.02e-04	-4.6887177	0.84578	-0.6877401	GEFT	NM_001111270,NM_182947	
11722061_a_at	0.04247	2.04e-04	4.6849156	0.83837	1.462067	PPP1R1A	NM_006741	
11736627_s_at	0.04247	2.05e-04	4.6828151	0.83427	1.7937914	BAAT	NM_001127610,NM_001701	
11717801_a_at	0.04247	2.05e-04	4.6822308	0.83313	3.1315045	ATF5	NM_012068	
11735551_a_at	0.04247	2.06e-04	-4.6798634	0.82852	-1.3313487	FCRL6	NM_001004310	
11740683_a_at	0.04247	2.06e-04	-4.6795595	0.82793	-0.82088	PRKG1	NM_001098512,NM_006258	
11730997_at	0.04266	2.08e-04	-4.6756196	0.82024	-0.8134659	LRRN1	NM_020873	
