ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
8070632	1.27e-52	1.06e-56	23.9232796	118.34111	1.18282164	CBSL///CBS	cystathionine-beta-synthase like///cystathionine-beta-synthase
8162394	8.21e-43	1.37e-46	-19.9127867	95.37343	-2.87354942	ASPN	asporin
8103254	6.46e-42	1.62e-45	-19.5068705	92.93433	-2.60960092	SFRP2	secreted frizzled related protein 2
8076137	2.39e-40	8.00e-44	18.872068	89.07959	0.82966871	SUN2	Sad1 and UNC84 domain containing 2
8109333	2.61e-40	1.09e-43	18.8217659	88.77208	1.41080964	GPX3///GPX3	glutathione peroxidase 3///glutathione peroxidase 3
8136662	1.10e-39	5.94e-43	18.5485993	87.09692	2.16041968	MGAM	maltase-glucoamylase
8149555	1.10e-39	6.46e-43	-18.535093	87.01386	-1.07706565	PSD3	pleckstrin and Sec7 domain containing 3
8148070	1.01e-38	6.75e-42	-18.1587309	84.69115	-2.06047864	COL14A1	collagen type XIV alpha 1 chain
8130739	7.91e-38	5.96e-41	17.8119763	82.53703	0.90790522	RPS6KA2	ribosomal protein S6 kinase A2
7903214	1.39e-37	1.17e-40	-17.7054526	81.87262	-1.36622984	PLPPR4	phospholipid phosphatase related 4
8147244	1.40e-37	1.29e-40	17.6891484	81.77082	1.80468093	NECAB1	N-terminal EF-hand calcium binding protein 1
8149551	1.47e-37	1.47e-40	-17.6685064	81.6419	-1.32082505	PSD3	pleckstrin and Sec7 domain containing 3
7954481	1.53e-37	1.66e-40	-17.6493344	81.52211	-0.9908241	SSPN	sarcospan
8063923	2.28e-37	2.67e-40	17.5739122	81.05049	2.04902995	SLCO4A1	solute carrier organic anion transporter family member 4A1
7950810	4.22e-37	5.30e-40	-17.4657373	80.37302	-1.10353269	SYTL2	synaptotagmin like 2
7946641	6.10e-37	8.16e-40	17.3976483	79.94596	1.11366708	GALNT18	polypeptide N-acetylgalactosaminyltransferase 18
8083447	6.92e-37	9.85e-40	17.3680725	79.76031	1.38505638	P2RY1	purinergic receptor P2Y1
8123104	7.58e-37	1.16e-39	-17.3419052	79.59597	-1.62903685	FNDC1	fibronectin type III domain containing 1
7908204	7.58e-37	1.20e-39	-17.3363201	79.56089	-1.42244629	HMCN1	hemicentin 1
8070961	2.61e-36	4.36e-39	17.1339237	78.28733	0.92863077	LSS	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)
8174654	2.45e-35	4.31e-38	-16.7750397	76.01896	-1.39818915	KLHL13	kelch like family member 13
7953021	4.27e-35	7.85e-38	16.681309	75.42446	0.91647076	ADIPOR2	adiponectin receptor 2
8019357	9.78e-35	1.88e-37	16.5451045	74.55908	0.78842754	DCXR	dicarbonyl and L-xylulose reductase
7996819	1.51e-34	3.02e-37	-16.4712592	74.08918	-1.6543613	CDH3	cadherin 3
7914042	1.53e-34	3.20e-37	16.4624014	74.03278	0.90239938	MAP3K6	mitogen-activated protein kinase kinase kinase 6
7914950	1.68e-34	3.66e-37	16.4417162	73.90105	1.44233323	CSF3R	colony stimulating factor 3 receptor
7939665	1.83e-34	4.13e-37	-16.4229483	73.78149	-0.87458787	MDK	midkine (neurite growth-promoting factor 2)
8043981	3.94e-34	9.42e-37	16.2946998	72.96367	2.74583777	IL1R2	interleukin 1 receptor type 2
7968015	3.94e-34	9.56e-37	-16.2925396	72.94989	-1.08107809	TNFRSF19	TNF receptor superfamily member 19
8088919	8.59e-34	2.16e-36	-16.1663821	72.14395	-0.83810793	ROBO1	roundabout guidance receptor 1
7920238	8.67e-34	2.25e-36	16.1598666	72.10229	2.01109249	S100A12	S100 calcium binding protein A12
8092230	1.09e-33	2.91e-36	-16.1201355	71.84817	-0.75377968	ZMAT3	zinc finger matrin-type 3
7972745	2.67e-33	7.38e-36	15.9760534	70.92549	0.9401535	IRS2	insulin receptor substrate 2
7904293	2.90e-33	8.26e-36	-15.9585176	70.81308	-1.08845177	PTGFRN	prostaglandin F2 receptor inhibitor
7965606	5.00e-33	1.46e-35	15.8702821	70.24705	0.76493707	HAL	histidine ammonia-lyase
7959834	5.34e-33	1.61e-35	15.8556744	70.15328	1.12880436	GLT1D1	glycosyltransferase 1 domain containing 1
8039096	7.45e-33	2.31e-35	15.8000317	69.79594	0.85347458	NLRP12	NLR family pyrin domain containing 12
7926152	1.36e-32	4.32e-35	15.7033198	69.17428	0.81486789	ECHDC3	enoyl-CoA hydratase domain containing 3
8122222	1.39e-32	4.54e-35	-15.6956065	69.12467	-1.17829101	PDE7B	phosphodiesterase 7B
